author,date,rating,text
Harsh patel, 3 weeks ago, 5,small place staff good food oh god loved food mind blowing 
Lauren Lee, a month ago, 5,
Brian Almonte, 2 months ago, 5,
Nicole Herr, 5 months ago, 5,love bowl always generous peanut butter freshest fruit
Amber Burton, 5 months ago, 5,really friendly helpful service order made quick generous drizzle tasted amazing must try
Ikram Atmane, 5 months ago, 5,refreshing acai bowl perfect summer 
Kelly Phelan, 5 months ago, 5,go time aa bowl favorite hoboken staff lovely quick always friendly
Pete, 5 months ago, 3,n't really ordered peanut butter smoothie little close drinking straight jar skippy wife n't impressed either
CM Love And Health, 6 months ago, 5,amazing definitely place visit best area nice friendly professional love
Dawid P, 7 months ago, 5,
yurissa cueva, 7 months ago, 1,happened delicious acai guy whatever change made taste like nothing
James Bond, 7 months ago, 5,helpful staff reasonably priced delicious smoothy frequenting aa ya later continue quest eat healthier
Andy Napolitano, 7 months ago, 5,absolutely love place everything good
Sameer Ven, 8 months ago, 4,healthy smoothy friendly fast serving guy told want vroom blending 
CJ, 8 months ago, 5,small simple good option choice acai pitaya try pitaya n't friendly staff always good quality fresh fruit highly recommended
Iesha T, 8 months ago, 1, listened review ordered 2 juice acai bowl acai bowl came frozen let sit defrost juice missing called let know told get refund thru grubhub  even care call let know  ordering
Erika Tejeda, 8 months ago, 5,perfect vegan food 
Sky gem, 11 months ago, 1,wish could give zero star place terrible dirty  wash fruit make smoothie quickly rinse dirty blender water dirty sponge bowl prepackaged acai rock solid  bottom freezer week disgusting place go
Ashley Ooms, a year ago, 5,favorite acai place hoboken
Brian Arcos, a year ago, 2,would rate lower  get try aa smoothie terrible respectable place sell smoothy  put canned dole pineapple juice smoothie literally would  happier watered smoothie please never put canned fruit  healthy  smoothy yeah smoothie tasted like back freezer month old frozen fruit sugar overload dole price smoothy mean using quality ingredient
Nadine L, a year ago, 1,happy bowl frozen tasted old fresh  get  make scratch
Clarence Romero, a year ago, 1,wish would n't scam employee hourly wage using tip
Chris Shimmin, a year ago, 5,good aa bowl get money another place town  many option choose
fabrizio fazio, a year ago, 5,
silvio garola, a year ago, 4,healthy food
Gigi Esp, a year ago, 4,smoothy bowl delicious staff friendly   giving 4 star
robert jacobson, a year ago, 5,
Brandon Stoll, a year ago, 5,going acai ya later 2 year almost every day week office right block different spot town shaka pitya name acai bow acai ya later league might first review ever felt obligated let know amazing job prep fruit acai friendly service continue go every day pro tip acai bowl granola healthy amount almond butter honey blueberry mango strawberry coconut flake top ate one 4 hour ago drooling writing see tomorrow
Becky A, a year ago, 1, two bad experience first smoothie  blended properly chunk ice spinach chew second aa bowl ready within 2 second ordered immediately knew  fresh going good aa frozen tasted like ice bottom  supposed smoothie texture threw everything else tasted like sitting hard make fresh bowl customer dont really understand pre make bowl  gross wont back  way better
Oscar De La Rosa, a year ago, 5,
Reinaldo Cruz, a year ago, 1,
Ana Alvarenga, a year ago, 5,
Amanda Murphy, a year ago, 5,best bowl ever service also amazing ca n't wait come back
Michael Kogler, a year ago, 5,absolutely love place become go-to delivery juice aa bowl quarantine life favor order power ball little bite happiness whole bunch gain later acai ya later keep thing thank 
Rosemarie Heim, a year ago, 5,
Mihoumon Kouakou, a year ago, 5,
Tom L, a year ago, 5,
James Foley, a year ago, 3,
Min V, a year ago, 5,great aa bowl really enjoy washington bowl family favorite coco loco smoothie great service friendly crew
