author,date,rating,text
Olla Abbasi, 4 days ago, 5,best middle eastern food nj 
brs “Brsrafal” rafal, 6 days ago, 4,
Sandy Godfrey, a week ago, 1,12 50 saying
J. B., a month ago, 4,
Chloe Bergman-Ray, a month ago, 5,went first time recently wonderful experience staff friendly food delicious plus byob
John Bing, a month ago, 5,love abraham feed 25 year amazing food never disappointed one make lamb like like everything cook please n't retire starve death jtb
Shilpa Themdeo, a month ago, 4,one oldest restaurant town must try even though late dinner served u well falafel soup great good variety dessert
Shareen Fatima, a month ago, 5,mediterranean delight went friend  birthday dinner glad chosen place staff extremely accommodating helpful even played birthday song cut cake really nice everything ordered refreshing tabouleh salad falafel platter sahara chicken highly recommend place  area super friendly pocket definitely back
Shadi Sheikhfaal, a month ago, 3,
Tim Krasniqi, a month ago, 5, wanting try place badly finally got chance service great mix grille juicy tender please  leave without trying homemade baklava tried pistachioand regular one die
Lisa M Isley, a month ago, 5,nice experience server could kinder refreshing food absolutely delicious
Fargol Araghi, a month ago, 5,good food
Andrew G, 2 months ago, 4,
Dalia Galan, 2 months ago, 3,
Ellie Di Liberto, 3 months ago, 5,love place going since 2017 never stop food authentic always outstanding order memorized service always great
Rich Slaby, 3 months ago, 4,
Parichit choksi, 3 months ago, 4,hi good food
Piyush, 4 months ago, 5,enjoyed hummus platter lot come back
Benedikt Parstorfer, 4 months ago, 5,always delicious one go-to takeout delivery spot
Eric Rodriguez, 4 months ago, 5,best place eat owner go way show case love passion food food could eat everyday good
Jeff Johnson, 4 months ago, 4,
Jesus Gonzalez, 4 months ago, 5,
Nu Fone, 4 months ago, 5,wonderful experience used come kid stopped coming almost decade food miss step still delicious stellar service place business almost 40 year come eat understand
Priyank Jain, 4 months ago, 5,taste volume presentation food top quality food pricier side totally worth outdoor sitting area cute term style definitely best middle eastern food tried hoboken far
Irene C, 4 months ago, 5,
J. T., 4 months ago, 3,food decent gave le positive feeling extra charge credit card use obligatory service charge added 30 bill
Julianne Yue, 5 months ago, 4,
reccden reccden, 5 months ago, 5,love ali baba always deliver owner super friendly rest staff even rice addicting sure cooked butter dripping thing wish would add veggie plate rather one pepper quarter tomato seems pretty typical middle eastern cuisine
Alejandro Herrera, 5 months ago, 3,food ok customer service average beware tip included check would given tip regardless imposed tip came kind rude going back
Anita Bui, 5 months ago, 3,
Hira Iftikhar, 6 months ago, 5,
Andrew Price, 6 months ago, 5,
Yusuf Demircan, 6 months ago, 5,
cristina marin, 7 months ago, 5,
Susy Vargas, 7 months ago, 5,
louai kourani, 7 months ago, 5,best falafel sandwich town
Aki, 7 months ago, 4,translated google accompany playing park along river weekday road front n't open recommended stop road river side ordered pita beef kebab something like vegetable croquette specialty shop full plenty vegetable seasoning right delicious regret taken challenge handmade sweet lined glass showcase inside store original 
Kerry McNeilly, 7 months ago, 5,love ali baba 40 thief grill mix favorite thing menu
Ahmed H, 8 months ago, 5,
Erick Rodriguez, 8 months ago, 5,
H A, 9 months ago, 2,food okay online ordering vendor beyond menu nothing terrible put order called asked many question verification arrived restaurant told order cancelled beyondmenu heads-up courtesy call nothing ordered 40 thief grill mix 2 much le quantity for-2 meal many restaurant
Karim Hassan, 9 months ago, 5,
Roseann P. Eddris, 9 months ago, 4,
Abdullah Alazzani, 9 months ago, 5,great food wonderful service 
Nick Papp, 10 months ago, 2,gyro good
Tom Zschach, 10 months ago, 4,good quality mediterranean food friendly service neighborhood feel
