author,date,rating,text
Ezra Zlika, 2 weeks ago, 5,familiar restaurant 25 year never disappointed always good tasty steak service good polite taking friend eat every one exception say best steak ever eate even visitor abroad thumb arthur keep going
Joe Vella, 3 weeks ago, 3,used better
John Casimiro, 3 weeks ago, 5,
Chad Simons, 4 weeks ago, 5,coming year never disappointed steak like butter
Danny Bracho, a month ago, 3,probably one memorable experience food excellent service good ca n't beat great steak
susy Martinez, a month ago, 4,translated google perfect place meat lover spacious place full attention original el lugar perfecto para los amantes de la carnes un lugar espacioso lleno de atenciones
Christian Olivares, 2 months ago, 3,
Mo'Que Que, 2 months ago, 5,friend took spot like place stake burger fry margarita enjoyed margarita yum yum yum stake everything point
Jason S., 2 months ago, 5,
Ritmo, 2 months ago, 5,food good
Sidney Keyles, 2 months ago, 4,16 oz sirloin steak good limited menu due pandemic
Robert Rose, 2 months ago, 5,great place low key 80 music friendly expensive good service food food
atlas490, 3 months ago, 4,
matt lagana, 3 months ago, 3,
Jonathan Guerra, 3 months ago, 5,
Vanessa Aquino, 4 months ago, 5,love steak
R.J. Cook, 4 months ago, 2,6 friend 1st time steak good cut back lot stuff disappointed  46 00 still get full portion potato  pepper  n't even one bill 400 00 change drink terrible coming arthur long time 12 95 steak still love steak p covid really messed lot thing 
MT Garcia, 4 months ago, 5,best ribeye steak
Donna Kaht, 4 months ago, 3,
GASIMEX LLC, 4 months ago, 2,coming arthur many year time surprised quality food hight price n't see business next event
Jacob Gerber, 5 months ago, 5,menu really one steak done perfectly perfect need second choice
Sasha and the cats, 5 months ago, 3,read recent review noticed either people love hate place admit customer 15 year ago loved place despite recent negative review decided give try honestly wo n't coming back fair arthur horrible 1 star like people rated simply better place go offer better food better value honest better going outback steakhouse get better steak choice price value better service arthur trimmed menu 2 steak choice think burger come steak steak large ribeye steak salty never experienced sure salted butter salt seasoning way salty like salt garlic bread good potato good crab cake tasty service adequate noticed neighbor waitress n't friendly overall 2 people 2 steak 3 drink garlic bread crab cake 150 bill price like said go outback get better steak better side soup appetizer etc cheaper bill sad cause used love place 1 star worth trip price
A DiB, 5 months ago, 4,steak amazing
Darnell Tucker, 6 months ago, 4,old school steak house burger wedge salad etc clean plate food delicious
Julia Morales, 6 months ago, 4,
