author,date,rating,text
brielle b, 4 days ago, 5,go hibachi time favorite place yummy
Aishwarya Jema, a week ago, 5,
Frank Guzman, 3 weeks ago, 5,n't one grandson wife really enjoyed fun hibachi chef sushi awesome reservation must accommodation time frame
numan can akıllı, a month ago, 5,translated google successful sushi eaten many country world deserves 5 star visually term taste price reasonable  original dnyann bir ok lkesinde yedigim sushiler iinde en baarls grsel olarak ta lezzet olarakta 5 yldz hakediyor fiyatlarda ok makul 
Shelley Hamilton, a month ago, 5,fresh sushi unique special roll hibachi table back great friendly service plan eat next visit hoboken
Yolanda Lopez, 2 months ago, 5,
Jacqueline Aguilar, 2 months ago, 5,amazing place get sushi clean environment friendly staff little bit wait friday night hoboken expected ordered  old men sea   ayame gyoza   made salmon  crazy tuna roll  remember  byob liquor store 7th washington street
Cassandra Jones, 2 months ago, 5,food always great service even better  continue frequent
Kelli Cheng, 3 months ago, 5,great lunch deal sushi fish always fresh nice
Charles Frederick, 3 months ago, 4,best hibachi hoboken
prajakta sonawane, 3 months ago, 5,
Luzy Calafat, 3 months ago, 1,aware rip trashy dead fish obliged must give want tip tip gratuity give whatever want gift 20 tip two people forced u give 35 never ever go back
Agnes Rousen, 4 months ago, 1,first last time 8 per 6 super tiny crushing roll think would make better lol thanks  ordered delivery
Anibal Vasquez, 4 months ago, 1,store totally closed say opened write
Matt Basile, 4 months ago, 5,outrageous taste clean excellent service
Chad Robison, 4 months ago, 1,amount charge would think read note buzz call number  waste time money
Adam Scott, 4 months ago, 4,great food great service
Steven Lopez, 4 months ago, 5,bit pricey still delicious food
Zoe Spinelli, 4 months ago, 5,
Amelia mu, 5 months ago, 5,got yellow dragon roll salmon roll mouthful flavor deff recommend place good quality sushi high
cece merejo, 5 months ago, 5,place nice quaint still give benihana vibe le people food awesome service great could lobster though lol
Francisco Ortiz, 5 months ago, 5,
JuliJu, 5 months ago, 5,best sushi hb must do
Tony Thambinayagam, 5 months ago, 5,
Lion Pashchenko, 7 months ago, 3,translated google tasty ugly original   
PLA Service Co, 7 months ago, 3,translated google so-so original  
Forrest Klawunn, 7 months ago, 5,great food service byob ca n't ask much
Megan Gillen, 7 months ago, 4,tried place weekend takeout got combo great value 3 standard roll miso soup tasted great  definitely going back try special roll next time  craving sushi
Silvia Rodrigues, 8 months ago, 4,food delicious service slow
Israel Villanueva, 8 months ago, 5,
Kevin L. Vasquez, 8 months ago, 5,
Jack Tolkien, 9 months ago, 5,best hibachi town cook right front eating also great must town
Nexusforce, 9 months ago, 5,
Mel L, 10 months ago, 5,best sushi hoboken debate freshest fish
Allison Ehrhart, 10 months ago, 5,omg love place hibachi much fun big group fact byo make quite party food really good n't forget dessert
Yousaf body, 10 months ago, 5,
Kelly Phelan, 11 months ago, 4,sushi best quality hoboken plus  byob  tried almost every sushi place best bang buck fish piece large price  horrible quality time always go order ready 10-25 minute huge menu choose amazing special roll option service could better choose go sit  ordering best option  ordering 2 year never disappoints
Kishan Sudusinghe, a year ago, 2,order late 2 hour food best mediocre sushi rolled big appetizing wo n't repeat wo n't recommend
Valery Bentzianov, a year ago, 4,
Vivian Flores, a year ago, 5,japanese food service spot excellent arrived five n't busy certainly worth return trip place awesome atmosphere similar place denver liked
al rodriguez, a year ago, 5,awesome food service definitely recommend
Tatiana Super, a year ago, 5,good sushi fast service reasonable price
Amir Zeenreich, a year ago, 1,good food lousy delivery guy delivery guy call building lobby inform food downstairs asked please bring reply food downstairs n't hear politely ask reply ask hang leaf food downstairs nice move excellent service used order food ayame lease 2-3 time month suppose sushi alternative hoboken
Ivan Radoslavov, a year ago, 4,
Diana Leon, a year ago, 3,
Jagoda, a year ago, 5,love menu definitely one favorite place order delivery recent month
Matthew Miller, a year ago, 1,ordered dinner 7:30 pm 9:45pm canceled order said fulfill
Alvin Vera, a year ago, 5,food delish customer service great
MILUSKA RODRIGUEZ, a year ago, 5,
Rayanne Ella, a year ago, 5,
Sal Z, a year ago, 5,delicious fresh little pricy good
Vito Matt, a year ago, 2,
James Fining, a year ago, 5,
Franklin Cedillo, a year ago, 4,always fun time eating usually long wait
Shilpa Jindal, a year ago, 5,
Noe Siguencia, a year ago, 5,
Maggie He, a year ago, 5,food delicious tasty like interaction hibachi chef customer please keep definitely come
Lindsey Bourne, a year ago, 5,delicious hibachi
Brandon Plitt, a year ago, 4,great sushi always went thursday thing problem sometimes service n't great go either get refill pay sometimes weird hour would n't open posted
Zach Carpenter, a year ago, 5,cozy atmosphere attentive staff byob nice well would recommend mackerel nigiri delicious nigiri good well mackerel need try
Saira Soto, a year ago, 2,bad experience first time visited last waited long time order one come called someone busy took 40 minute food come simple chicken teriyaki ask probably order chicken come cold also raw could n't eat portion rice ridiculously small please rice cheap order sushi okay terrible service
Tom Knockenhauer, a year ago, 5,
Mei Fan, a year ago, 4,
Christina Krawiecki, a year ago, 1,large cockroach hibachi dinner enough said check yelp apparently cockroach problem
Jesse Howard, a year ago, 4,
Sam Wasserman, a year ago, 4,
William L, a year ago, 4,food good hibachi show level place bad
Vanessa Correia, a year ago, 5,
The Keiretsu Foundation Ltd., a year ago, 4,typical traditional hibachi fair sushi
Scott Bailey, a year ago, 5,spot excellent convenient rate large dish employee constantly nice
Charles M, a year ago, 4,good customer service california roll rainbow roll lacking flavor
Jacob Heck, 2 years ago, 5,
Alexey Lutsenko, 2 years ago, 4,
Matthew Kelly, 2 years ago, 5,every time hoboken try hit ayame hibachi chicken delicious one filling meal ever
Connor Murphy, 2 years ago, 5,
Linkun Liu, 2 years ago, 3,recommendation stop using store bought bbq sauce chicken catsu chicken cooked decently sauce tasting like 1 dollar bbq sauce whole dish le average use store bought item least use something actually japanese cheap bbq sauce
Umer Javed, 2 years ago, 5,
Michael Amkreutz, 2 years ago, 5,incredible sashimi deluxe platter great value
Pushkar Gaitonde, 2 years ago, 5,one definitely try veg platter
Andrew Fernandez, 2 years ago, 5,
Lukas Behun, 2 years ago, 5,
Anastasia Rodrigues, 2 years ago, 5,
Kavy Jain, 2 years ago, 5,peaceful authentic delicious food
luidel enrique palmar rosales, 2 years ago, 5,translated google excellent sushi original excelente sushi
LUIDEL PALMAR, 2 years ago, 5,translated google excellent original excelente
Jaime Bravo, 2 years ago, 5,food wonderful chef quite entertaining
Somil chouhan, 2 years ago, 4,
Monica Saliceti, 2 years ago, 5,
Francine Nieva, 2 years ago, 4,
Todd Lindquist, 2 years ago, 4,good edamame sushi
David Torres, 2 years ago, 4,good sushi place bit dark
Graciela Hernández, 2 years ago, 4,good place food delicious
Rafael Lopez, 2 years ago, 5,food service excellent coming back
Chris Florek, 2 years ago, 5,
Artem Krylysov, 2 years ago, 4,
Dhaval Parikh, 2 years ago, 1,
