author,date,rating,text
M A, 2 weeks ago, 5,service drink die must stop manhattan hoboken
Parth bhanushali, 2 weeks ago, 3,
Philip Mierswa, a month ago, 3,
Philip Evan DeCorte, a month ago, 3,overall ok couple thing improve speed service quality cocktail also brunch would nice offer traditional brunch cocktail
Alejandra Limones, 3 months ago, 4,good atmosphere good people great drink currently redoing cocktail list
Elena Ten, 3 months ago, 5,
Club Social Anxiety, 3 months ago, 5,absolutely love belo bar food delicious menu lot variety food drink friend able find food  enjoy made night unforgettable pasta also unforgettable sure try  best ever  fact best drink  ever  wait come back
Sofia Villamonte, 3 months ago, 5,cutest place ever whole staff personable special way making everyone feel welcome great vibe cocktail also unique well thought highly recommend
Geraldine Salazar, 3 months ago, 5,love love love belo bar food incredible great selection food drink little something everybody best espresso martini  ever definitely returning
Cindy Villamil, 3 months ago, 5,love spot nice change vibe washington street bar tried different drink friend loved even let bartender jessica convince try bourbon drink  usually like bourbon  glad let def recommend
Victoria Mollinedo, 3 months ago, 5,recently visited saturday night bartender jessica quick friendly suggesting specific cocktail thoroughly enjoyed ordered salmon farfalle pasta shrimp substitute salmon delicious finished entire dish made way boyfriend  belo burger   usually high hope burger bar one fantastic well pleasantly surprised quality food considering  cocktail bar looking forward visiting soon
Nicole Ramirez, 3 months ago, 5,go-to place unique delicious cocktail owner always welcoming staff wonderful server camila sweet made excellent recommendation burrata world penne pasta perfect amount spice flavor
Luca Bessi, 3 months ago, 3,
Paula Awad, 3 months ago, 5,wonderful experience bar delicious drink friendly service mention delicious tuna tartare
Anika Saraf, 3 months ago, 1,owner cussed u young kid table finished mediocre dinner kid still hungry went order food kitchen closed got pizza nearby place finished table owner came got extremely upset took pizza threatening throw away understand eating outside food restaurant wrong kid offered eat elsewhere unfortunately owner continued curse angrily yell totally uncalled  wish horrible experience upon anybody never back
Avi Animations, 3 months ago, 1,manager cursed kid witnessing horrible behavior owner family eating food one table owner aggressively cursing kid table way treat customer matter circumstance customer  causing scene breaking anything loud annoying yet owner still verbally attacked customer
SAL Spadafora, 4 months ago, 5,
Charlene Javier, 4 months ago, 5,wow best statement  say establishment love good cocktail bar great menu moment walked hostess waiter patient deciding drink well indecisive gf knowledgeable well versed preferable liquor depending taste self experience working restaurant industry know difficult sometimes even busiest hour patient would come time time also drink remarkable  date 07 09 21 time 9:15 pm
Jay, 4 months ago, 5,awesome spot great service friendly employee def come
Khalid Hosein, 5 months ago, 5,
Erika Bracy, 5 months ago, 5,
Kiran Aravapalli (akakiran), 5 months ago, 3,might come back drink cocktail leave review warning people artichoke dip super hot even though dish cold even day later top mouth still burned honest strong suspicion microwaved something hot would usually bubbling come oven
Grzegorz Działa, 5 months ago, 5,love place much always great service amazing bartender cocktail topnotch never disappointed food  highly recommend
Sylvia Kloskowski, 5 months ago, 1,honestly worst service awhile took hour half get food u drink  quick either  returning one person asked mayo burger arrived finished waited 10 min started eat cold burger received
Joseph Snavely, 6 months ago, 5,
mostaan Saremi, 6 months ago, 2,unorganized reservation 8 30 sat 9 45
Des KF, 7 months ago, 3,pick spot last minute one girlfriend get dinner called able book 7:30pm reservation arrived found parking nearby street place small able keep socially distant indoor outdoor seating greeted z hosting waiter really nice n't present drink ordered glass wine friend ordered strawberry martini drink took long time got time order entres ordered linguini meatball friend ordered shrimp salad shrimp pasta tasted shrimp salad delicious entre ok tasting friend could seasoned little wanted order drink search z several time another server ray came saved day ordered drink course still took forever ray asked bill came little 100 ok experience
Antonio Chia, 7 months ago, 4,great experience staff welcoming fun
Amy Xiong, 7 months ago, 5,
Brandon Lovinmoore, 7 months ago, 1,service horrible waited 15-20 minute get asked would like eat bar 50 yard long 10 table 4 waiter  patient patient wait like uncle waited 45 min 6oz salmon lol water glass filthy food  great potato  fire  get potato   really recommend food recommend liquor course
Thomas Steitz, 7 months ago, 5,exceptional staff around creative drink good food
Jacqueline G, 7 months ago, 1,waited outside 35 min fiance cold told  sorry room rude bouncer literally one inside actually got specialty drink way priced incredibly watered  boston normal jersey def coming back
Bailey Mariner, 7 months ago, 3,5stars 3stars always walk finally drawn 1 50 oyster came saturday night really enjoyed belo bar wait nice staff good drink oyster deal throughout restaurant bar nice also meatball good nothing special great atmosphere date night hear conversation  nice low lighting semi industrial decor mention drink solid edit 1yr later covid still frequent belo bar recent week service gone really  usually review place 4 star bc  easy hard business last night reservation felt unwanted everything super slow finished apps got drink dinner took almost hr arrive asked heater next u put twice felt ignored say drink always spot
Amee Jogi, 7 months ago, 5,great food great drink
Christabelle Liu, 8 months ago, 3,nunya business cocktail incredibly one note sour much else lavender foam cool drink really odd tasting didn\'t get hibiscus really lemon juice gin ghost lavender past dinner partner got social dilemma said fine nothing special noteworthy trio tartare salmon tuna guacamole appetizer good though credit credit due well flavored though don\'t know necessarily count guacamole tartare lol recommendation would bump price 2-4 dollar add actual 3rd tartare serve guacamole side surprise extra bread chip may kind thing way filling trio tartare title people getting bit perceive extra guacamole make super happy come back next time give another try maybe night food drink necessitate update review
Cara S, 8 months ago, 4,beautiful place great food drink atmosphere unfortunately waiter truly marred experience friend waiter seemed attitude reason appeared go way ignore table observed several time hanging attentive table check u instead time came try drop check without even asking wanted anything else eat drink said manager courteous helpful caccio e pepe ordered delicious drink food menu offered nice selection love come back would hope get different waiter
Randy Jaggassar, 8 months ago, 5,great place great people highly recommend coming
Devanshu Upadhyay, 8 months ago, 5,
saba an, 8 months ago, 5,nice drink remember  honor reservation 10pm suggesting  open table glitch found table okay loud crowd expected bar round good
majeed simaan, 8 months ago, 5,
Dan Tierney, 8 months ago, 5,
Sun Shine, 9 months ago, 5,highly recommend chill environment good music friendly bartender zee super cool made delicious drink visit denver sure beat bar area 
Brian Hasenstab, 10 months ago, 5,bartender awesome great cocktail food owner super friendly atmosphere really nice try espresso martini best one hoboken
Andreas “Aris” Aristidou, 10 months ago, 3,good atmosphere cool decor mostly act bar food menu great selection louder side game tv time animated people seem covid-safe reason left
Elise Mueller, 10 months ago, 5,yumburgers
Ammar Hussain, 11 months ago, 5,
Teagan Hammond, 11 months ago, 5,really nice vibe music would highly recommend espresso martini easily best one ever
L Newell (DUST-THEMONSTER), 11 months ago, 5,food great nice place enjoy
christine bopp, a year ago, 5,happy come know belo owner staff environment great especially trying avoid broboken spot cocktail unique delicious made fresh ingredient highly recommend 1st 100th date night spot
Oliver Trajkoski, a year ago, 5,
Sayak Sinha, a year ago, 5,great food drink
Khalid El haouari, a year ago, 5,
