author,date,rating,text
Chris B, 3 days ago, 4,largest slice ever seen n't bad
Tracie Lutz, 4 days ago, 1,ordered uber eats delivery pizza never forget good way honestly even sure pizza never seen anything like opened lid thought joke far veggie meat pizza seen pizza heavy soggy time delivered starting fall bottom box needle say pizza went right trash uber eats total cost 57 00 trash
Aman Pawar, 5 days ago, 3,
Manuel Saenz, a week ago, 5,translated google good  original muy bien 
Lena Zhu, a week ago, 4,met expectation bring cash got slice cheese pizza total came 4 25
CARMEN-DELIA V, a week ago, 5,best pizza ever
Jennifer Decker, a week ago, 5,
Eloy Musso, a week ago, 4,
Martin Ramos, 2 weeks ago, 5,fire pizza
Amelia mu, 2 weeks ago, 5,delicious pizza deff experience going
Juan Seguinot, 2 weeks ago, 5,
Jose Castro, 2 weeks ago, 5,good pizza
Cheryl Lesser, 3 weeks ago, 5,one slice pizza two plate awesome
Lance Kallfelz, 3 weeks ago, 5,tasty great service
Jocelyn Rivera, 3 weeks ago, 4,eating since little girl 40 slice still large feel tomato sauce changed n't tasted past 5 year feel changed sauce use pizza
Fatih Tulun, 3 weeks ago, 1,ordered gave debit card owner told cash cash sign atm restaurant pushed get cash atm charged extra 3 dollar ripping irs tax u
Briana Torres, 3 weeks ago, 5,slice biggest ever seen definitely worth trip town price fair
Tony DiM, a month ago, 5,ready order whole pizza huge good
Justin Young, a month ago, 5,
German Konwai, a month ago, 5,
Narinder Sharma, a month ago, 1,average taste asked veggie slice dude literally put raw uncooked topping regular slice serve cash
Titi S, a month ago, 1,used go spot lately pizza dough  done even adding comment make dough well done  getting food
Lupita Leal, a month ago, 5,translated google excellent place food tasty expensive recommend original excelente lugar la comida e muy rica e caro lo recomiendo 
Ankit Patel, a month ago, 4,know hoboken best ny pizza benny tudinos five star pizza minus one star cash kinda dingy inside
Clay Smith, a month ago, 4,
Mel M, a month ago, 4,quality seems lessened tad one italian around anymore think use old name slives ate smaller used favorite
Jeannette Calle, a month ago, 2,longer greatest used
Shadi Sheikhfaal, a month ago, 2,rude angry reason 
Amanda Babes, a month ago, 1,wait time horrible
Vinlo, a month ago, 1,
Melissa W., a month ago, 4,restaurant great staff friendly pizza slice huge food good
Luis Colon III, a month ago, 5,go place family visit state love food
Nishanth Mudkey, a month ago, 4,
C, a month ago, 4,slice huge eggplant delicious
Yanir Guzman, a month ago, 5,
Jasmine Ortiz, a month ago, 5,
alfresco antonelli, a month ago, 1,30 minute waiting waiter never came say hello give u excuse delay still waiting noting 45 minute late waiter came say want eat wait like say thank
Noel Paris, a month ago, 5,
Anthony Marshall, 2 months ago, 5,
Norma Santiago, 2 months ago, 4,
Tom B, 2 months ago, 5,absurdly good food first time last night  wait go
Kim Wakefield, 2 months ago, 4,one best slice ate definitely must go place eat
Robert Giaquinto, 2 months ago, 2,slice huge thats good thing say place pizza mediocre cash atm ran outta cash 3:30pm
Jose Gil, 2 months ago, 4,
Stephon Shearin, 2 months ago, 5,
Micah Bowden, 2 months ago, 1,went service trash 30 min server made eye contact acknowledge human existence extremely rude would go back beware
michael stine, 2 months ago, 5,favorite place slice
Eddie Barahona, 2 months ago, 5,
Suyash Schmidt, 2 months ago, 5,pizza great ofc garlic bread made give 5
Kritika Sethi, 2 months ago, 4,
Francisco Ortiz, 2 months ago, 5,
mark north, 2 months ago, 1,worst place order ordered shrimp grilled chicken penna vodka got 3 shrimp grilled 28 forth hoboken food suck priced simply bc location
Wanda Rodríguez, 2 months ago, 5,translated google good place excellent pizza original buen lugar excelente pizza
Kilsys Almonte, 2 months ago, 5,huge pizza slice yummy
Danielle Broderick, 2 months ago, 4,
Vennela Gadde, 2 months ago, 4,cash huge slice pizza average cheap
Frank D'Anna, 3 months ago, 3,
Wil Torres, 3 months ago, 4,pizza delicious  forever loved walking probably largest individual slice pizza ever see eaten put away one slice enough staff friendly service quick definitely stop
Nnenna Davis, 3 months ago, 5,first time pizza excellent talking bread sauce cheese pepperoni slice crazyyyy huge loved nyc style worker cool especially female waiter cash place driving hoboken actual nightmare mater time day would go back get pizza 
Abdallah Moustapha El Cherbini, 3 months ago, 5,
Daniel Stone, 3 months ago, 4,great pizza cash bothersome
Richie D, 3 months ago, 5,always great extra large slice
Laurie Quinn, 3 months ago, 5,exceptional pizza friendly service biggest pizza ever saw
Andrew Scelsi, 3 months ago, 5,good food friendly
Evan Sun, 3 months ago, 4,pizza pretty good guy serving pizza seem passive aggressive  pretty good pizza cash place
Lillian Brisson, 3 months ago, 4,
Thomas Keane, 3 months ago, 5,
bryan aguilera, 3 months ago, 5,went 1 slice end 3
Kyle, 3 months ago, 5,amazing pizza
julieth osorio, 3 months ago, 5,
Joyce, 3 months ago, 5,love food
Al G, 3 months ago, 1,big slice worth
Manisha Patel, 3 months ago, 3,ordered plain cheese pizza wing pizza okay wing taste fresh  probably never order place worth hype average pizza joint
MEGHANA TUMKUR NARENDRA, 3 months ago, 1,
Soo Kyong Pak, 3 months ago, 5,
Ginny Klie, 3 months ago, 5,
Elizabeth McCann, 3 months ago, 5,best biggest pizza server tammy excellent
sabrina talamantes, 3 months ago, 5,
Carlos Collado, 4 months ago, 5,super pizza
Allison Serries, 4 months ago, 5,enormous delicious slice mussel calamari favorite also ca n't go wrong wing
Edgardo Flaquer, 4 months ago, 4,
SHANO GOLD, 4 months ago, 5,
Julian Vidal, 4 months ago, 5,
Shrey Patel, 4 months ago, 5,
bob reel, 4 months ago, 5,
carmine lombardi, 4 months ago, 4,great food
Julie Betancourt, 4 months ago, 5,service great 32 big pizza delish
Markos A, 4 months ago, 5,translated google first big pizza ate great recommended original la primera gran pizza que comi fue buenisima recomendado
Lissette Rios, 4 months ago, 5,staff extremely kind pizza slice tasty definitely recommend
Benjebike Scalia, 4 months ago, 5,gone since vary young one best pizzarias ever bine life slice huge thay taist great
Mayra Batista, 4 months ago, 1,
Maddy, 4 months ago, 5,great food wonderful service thank tammy taking care u best please pas get best food town dont forget ask tammy
Christina Moniuszko, 4 months ago, 4,avocado salad great calamari touch big fettucine carbonara delicious bestfriend eggplant parmigiana enjoyed well waitress friendly took excellent care u
Nick Lucivero, 4 months ago, 5,best pizza time
Miley Castellon, 4 months ago, 5,food amazing every time
Frank Quiroz, 4 months ago, 5,
David Young, 4 months ago, 5,delicious food biggest pizza slice ever seen 
Nehal Samuel, 4 months ago, 4,big slice pizza yummy
Robert “Native New Yorker” Quiles, 4 months ago, 4,
Lori Levy, 4 months ago, 2,place came highly recommended friend grew hoboken expecting amazing pizza got ok nothing rave fyi cash bit attitude staff
ATLAS, 4 months ago, 5,translated google pizza giant chicken crust slightly raw affect taste sauce good stick cake much perfect store american service good owner enthusiastic kill many pizza haboken king gu original haboken 
John Lee, 4 months ago, 4,cash nice service
Chris Quiles, 4 months ago, 5,
Jennilee Guzman, 5 months ago, 1,need new delivery system food always come super late super cold  even bother  changed
anthony strube, 5 months ago, 5,3x size slice gimmick delicious beer tower fun staff friendly accommodating bring kid
Nat Nat, 5 months ago, 1,literally rude threw pizza counter get rather giving hand gave friend dirty look waited pay rude guy stayed phone saw standing got phone felt like take money
Joe Momma, 5 months ago, 5,best pizza world
jodie ordanza, 5 months ago, 4,
Darrell Kidd, 5 months ago, 5,great people great food always friendly
Susan Nicholson, 5 months ago, 5,
Kirk Brabham, 5 months ago, 1,horrible slice even sure finished cooking also asked  well done extra crispy  slice front right basically two slice middle fallen apart cooked straight clown behind counter
Benjamin Zink, 5 months ago, 4,generous portion friendly service importantly food good
Sissi Sosa, 5 months ago, 5,biggest slice town absolutely delicious definitely keep coming back
Michael Caccavale, 5 months ago, 5,home largest slice must stop hoboken
Richard Govan, 5 months ago, 5,
Gladis Choueifati, 5 months ago, 1,seated waiting pizza pie ordered found order put waiting half hour learning forgotten order food experience  going good
Uygar Yilmaz, 5 months ago, 3,
Fatma Gul, 5 months ago, 5,delicious 
Verónica Meza, 5 months ago, 5,love
Yes Josie Family!!!, 5 months ago, 5,pie huge good kid enjoyed experience food recommend place
Moriah Potts, 5 months ago, 5,
G. Madenci, 5 months ago, 5,
Karm Patel, 5 months ago, 5,
Blanca Camacho, 5 months ago, 5,
Kyle Harry, 5 months ago, 5,
Jonathan López, 5 months ago, 5,phenomenonal pizza wing pasta lost keep going come try disappointed
Jose martinez, 5 months ago, 5,
Jeanie DeVincenzo, 5 months ago, 4,delicious eggplant rollatini spinach cheese pizza eggplant parmesan sub
julian villafane, 5 months ago, 4,pizza service better 20 year ago
Chime Lhatso, 5 months ago, 2,pizza good dealing staff whilst waiting to-go pizza n't good experience would definitely suggest take away
SuperBoy, 5 months ago, 5,
Brandon A, 5 months ago, 5,takeout food great
Nicolas Osorio Morales, 5 months ago, 5,good outdoors table
Hamilton Carrion, 5 months ago, 5,amazing
Vanessa Guzman (Vana), 6 months ago, 5,love really nice lady 
jeanne lopez, 6 months ago, 4,
Omar Elissa, 6 months ago, 5,
Midge Pomelow, 6 months ago, 5,remember first visit 30years ago good food classic atmophere
Theo, 6 months ago, 3,pizza ok pasta terrible
Amiyah Rossi, 6 months ago, 5,staff greet good morning full confidence smile meanwhile ordered kind informative
Ceza Negron, 6 months ago, 5,pizza good nearly ate second slice
Lukas Lugoツ, 6 months ago, 5,
Katie Marnell, 6 months ago, 5, ever hoboken getting slice benny tudino  must 1 slice like 2 absolutely delicious staff friendly
Travis Swaby, 6 months ago, 5,
KINGSTON GOTOVINA, 6 months ago, 5,greatest
Thomas Link, 6 months ago, 3,
Christine Sprague, 6 months ago, 4,food good
Anthony M., 6 months ago, 5,
Nick Waterhouse, 6 months ago, 5,awesome slice
Akash, 6 months ago, 5,
Bhavin Rokad, 6 months ago, 5,huge slice authentic nyc pizza whole pizza 32
Sakshi Naik, 7 months ago, 4,amazing pizza affordable seating arrangement nice take cash make sure cash atm charge u well
Sadia Laronde, 7 months ago, 5,great place
Michael Song, 7 months ago, 5,
Ryal C, 7 months ago, 5,suggested go owner place renting awesome ate much stomach hurt
Regg Al, 7 months ago, 5,coming year back home atlanta 1st stop
Stephanie Gosik, 7 months ago, 5,delish every time come home
Cristian R, 7 months ago, 4,
Kanchi Chandwani, 7 months ago, 1, know place got famous every time  pizza turned bland  plenty pizza place jersey city go save money avoiding place
Joanna Navarrete, 7 months ago, 5,walked decided try place best decision mussel wine sauce pizza red white sangria everything including bread delicious staff friendly great customer service definitely coming back
nicole oliver, 7 months ago, 5,
Motasem Mohammad, 7 months ago, 1,
Miguel A. Cintron, 7 months ago, 5,great pizza slice
benny lisojo, 7 months ago, 3,food use good much anymore pizza big truly favor
v Stone, 7 months ago, 3,pizza n't big picture suggested really big pie get expensive regular big pie topping 34 dollar get veggie pie size 70 bit pricey pizza ok
Sohail Chaudhry, 7 months ago, 4,established 1968 benny  og pizza joint hoboken cash-only standard fare style pizza pie northern nj must try pizza fan area
Angel Feliu, 7 months ago, 5,bro pizza size baby exaggeration pick establishment pizzeria area although pizza competition area far best  ever seen
william hellinger, 7 months ago, 5,awesome pizza
douglas pearson, 7 months ago, 4,pretty good pizza huge slice like boardwalk
Ralf274, 7 months ago, 5,classic pizza size quality slice always coming back
aishwarya Sathyakumar, 8 months ago, 5,humongous pizza
michael lauto, 8 months ago, 4,
Rosennie Feliz, 8 months ago, 5,food sooo good great environment great history read wall memory
Michael Angelo Bosch, 8 months ago, 3,changed alot
George Geisert, 8 months ago, 5,best pizza ever life
Thomas Mazzotta, 8 months ago, 5,best pizza ever life right
Jenna Hannawi, 8 months ago, 5,amazing food owner nice welcoming
Jud Etem, 8 months ago, 5,
Andrea Siciliano, 8 months ago, 1,go delivery via seamless delivery guy called said  come apt leave door  elevator building hung called benny tudinos said guy  come food might lobby hung hard understand either cancel order bc idea food actually located  leave apt time even check hence delivery rude store delivery guy
Gilberto Matos, 8 months ago, 4,
David N Rosensaft, 8 months ago, 3,
Brian Hornak, 8 months ago, 5,stopped 1st time yesterday huge delicious slice reasonable price hoboken benny must
Os Quirog, 8 months ago, 5, recommend place definitely come back wow suddenly became favorite pizza huge delicious slice fair price wall full history cozy warmly family owned restaurant pizzeria loved sell wine beer well liked lot staff 5 star  must-to-go spot hoboken
Kristina O'Connor, 8 months ago, 5,slice r huge pizza always nice treat done rite like bonus bring cash cause dnt take card
Jonathan P., 9 months ago, 5,literally best pizza ive ever jersey serve 32 inch pie huuge slice also order seperate slice come 32 inch pie definitely order whenever im hoboken
Binoy Vasavada, 9 months ago, 2,asked big pepperoni slice onion extra topping got pre-made pepperoni slice topped raw onion slice instead took bite thinking must typically serve tbh pizza tasted terrible raw onion strong despite removing pizza tasted acceptable high expectation bt quite worth hype
Jack Tolkien, 9 months ago, 5,benny  one favorite cheese pizza must good selection beer also
Kenyaaa, 9 months ago, 5,boyfriend introduced place boy let tell favorite pizza spot slice big head big ol head delicious highly recommend
Kelly Delaney, 9 months ago, 5,
Mabel Avalos, 9 months ago, 4,pizza slice huge one people get filled  good quality pizza price  bad either good appetizer well like wing mozzarella stick tasty service okay could lot friendly despite  definitely come back
Dady Yagoubi, 9 months ago, 1,worst pizza ever nasty rude stuff
Nyia Njamfa, 9 months ago, 5,
Trini Gyall, 10 months ago, 5,gr8 usual
Nicole Gonzalez, 10 months ago, 5,
Tony Canales, 10 months ago, 1,sad leave service related love pizza live area tonight pizza shop employee rude felt like racial profiled priced pie simply asked order  big pie plain famous large slice instead taking order made sure aware price 34 00 dollar returned add order mentioned order handled cash cash also surprised since paid credit debit card many time first sunday new year 2021 understand came 9:30 close late least 12am love pizza honestly quite shocked treatment received guest patron never leave review case insulted enough spend time write review warn future guest possible complication visit pizza joint
Fortino Flores, 10 months ago, 5,
Nicol Gómez, 10 months ago, 5,
Randall Gleichner, 10 months ago, 5,
Manan Patel, 10 months ago, 5,nice pizza one thing would make sure ready wait outside cold usually pending order take little time worth
Angie Vera, 10 months ago, 4,
Dr.Gloria Patino, 10 months ago, 5,excellent delicious pizza
Mo Jefri, 10 months ago, 1,food cametwo hour late cold pizza missing item food mediocre besthorrible experience would recommend place first time last time order refund 20 apologized
Rachel Rachel, 10 months ago, 5,decent pizza fast service big slice parking rough  pick-up right anyway work  recommend would go
Lisa U, 11 months ago, 5,great pizza top book tried many continue search great pizza great value place n't nec warm welcoming guy filling order behind counter know make really good pizza number people see getting various menu item guessing know make really good whatever sell cash place
karthika N, 11 months ago, 3,went dine covid time place clean pizza slice really big check size ordering
Amanda Johnson, 11 months ago, 5,
isa cortes, 11 months ago, 5,
Rae A. Barton, 11 months ago, 5,unreal best pizza tri-state area far
Raymond Riepel, 11 months ago, 5,great food great people
GASTON BOIREAU, 11 months ago, 5,hand  go wrong order
Mario Kaldas, 11 months ago, 1,rude take lesson manner
jp garces, 11 months ago, 5,
I M, 11 months ago, 5,really great pizza every time visit hoboken make sure stop benny always great fresh tasting pizza one slice enough last whole day love place
Michael Confoy, 11 months ago, 5,moved hoboken
Sophie Patz, 11 months ago, 4,
MARIA JOSE MALVACIAS V, a year ago, 5,
