author,date,rating,text
Mell Didd, 6 hours ago, 5,great experience thank guy experience amazing lobster roll em family thank wonderful experience delicious lobster roll
Elan cadiz, 20 hours ago, 4,good joked meal
Ayisha Collins, a week ago, 5,omg disappointed customer service beyond great bathroom extremely clean charging port phone food delicious  sidebar ordered bed stuy biggie roll mexican mini corn lobster loaded fry lobster mac cheeseeverything made love ready bed lol
Marlee Ann-Marie, 3 weeks ago, 3,avoid delivery first time ordered messed order refunded u nice second time ordered hoboken lobster roll disappointing romaine leaf except leaf wilted due heat fry thrown top crisp fresh like someone would expect lettuce wrap would better keep green separate delivering something like amount lobster also disappointing
Andrew Price, a month ago, 4,food delicious bed-stuy biggie roll one right side side photo le lobster 6 cheaper bk sauce roll
Kaylla Silva, a month ago, 5,delicious food attentive staff
Leslie Howard, a month ago, 2,food described made claw meat like spread roll delivery went wrong bldg n't follow provided instruction get bldg unlikely order lobster roll supposed look like get bk hoboken
Mark, a month ago, 5,
Valentina Herrera, a month ago, 4,talking phone friend said knew great hot dog spot hoboken said let go dinner turn hot dog lobster roll ended staying menu option ordered flatbush roll jamaican jerk seasoning wanted something spicy burn mouth bbq sauce sweet fought already sweet lobster meat bun delicious toasty buttery fry wow fry seasoned perfectly crisp outside fluffy inside come back might opt simple seasoning way enjoy sweet lobster meat service excellent chef cashier sweet helpful offered great service table sit outside inside location price quite fair receiving loaded bun lobster huge amount fry
Dashawnia Magazine, a month ago, 5,friend went bk lobster today literally everything delicious ordered bk lobster roll bed stey roll lobster fry corn lobster mac must say made perfection definitely coming back
Nakia Evans, a month ago, 5,definitely recommend bk lobster friend tried first time ordered variety item everything sooooo delicious
Edwardd Ramirezz, 2 months ago, 5,
Joseph Lake, 2 months ago, 5,
Sadie Glenn, 2 months ago, 3,ordered ubereats bk sauce lobster roll delicious said looking forward lobster mac cheese left order super disappointed especially since item receive tasted good order hope next time receive item order
Jacqueline Aguilar, 2 months ago, 5,omg lobster roll  super delicious classic partner butter lemon really loved buttery lemon lobster roll side spring salad amazing fresh 10 star also serve decent portion  definitely getting money  worth also fry heavily seasoned  fave still good  wait come back  already planning
Gloria Grant, 2 months ago, 4,fried lobster fry food tasty fry seasoned also got steamed lobster go fry ate next day good
Alexis Stanley, 3 months ago, 5,place disappoint met friend lunch bk lobster hoboken honestly one best lobster roll ever arrived owner gave u first class service start finish don\'t really lot seating inside sat outside one sidewalk table friend got classic lobster roll got crown height roll fried lobster sort aioli good come fry salad chose fry gave u much barely finished also moniker state place exclusively sell lobster roll think might salad go lobster roll place u wan na get salad know definitely would come back
kelsy saldana, 3 months ago, 1,absolute joke store treated girlfriend terribly grown woman name tiff curse staff yelled cursed girlfriend seventeen year old simply job unpleasantly rude tried enter store embarrassing obviously disrespectful type management
Tiffany Santiago, 3 months ago, 5,
Anastasiia Sciarra, 3 months ago, 1,ridiculously overpriced lobster scrap
Cherilyn Carpenter, 3 months ago, 5,food good good service go back new jersey
Eddie Bones, 3 months ago, 5,awesome staff great service owner spectacular
Marcus Boykin, 3 months ago, 5,amazing food even better service
Mistah FoTwenty, 3 months ago, 5,
Yary De la Cruz, 3 months ago, 2,disappointed bought 2 go could barely see lobster meat worth 25
Hilda Clarke, 3 months ago, 1,salad terrible everything else ok definitely worth price paid disappointing
Erick Rodriguez, 3 months ago, 5,
Ann Marie James, 3 months ago, 5,
Emmillie Glass, 3 months ago, 5,food service amazing biggie roll definitely favorite fried shrimp close second  food looked good got forgot take picture 
Shawn T, 3 months ago, 5,food fresh well seasoned shrimp fry also munchies added order honey bbq wing also cook perfection must say place knowledge found thumbing google satisfied bk lobster  
Al Ro, 3 months ago, 5,delicious lobster roll mmmmm need morepeople need go
Max Sciarra, 3 months ago, 1, lobster scrap hotdog 23 get 1 1 4 pound lobster dinner side price sit restaurant waiter service atmosphere drink
X Boone (The FiG), 4 months ago, 4,good food lobster roll point hole wall also outdoor seating
Jess, 4 months ago, 1,ordered meal good go staff know food ended handful french fry advertised 18 meal
J Foster, 4 months ago, 5,went tonight got crown height roll delicious flavorful love fry seasoning
Ebony Johnson, 4 months ago, 5,
Amber Bullion, 4 months ago, 5,yes yes yes yummmmmmmmmm
Rohan Mukherjee, 4 months ago, 2,quality ok really skimp lobster wayy overcharge  getting poor value overall better eating elsewhere
Chad Colwell, 4 months ago, 1,
Eric Rodriguez, 4 months ago, 5,place best staff food great
cristina marin, 4 months ago, 5,classic lobster roll great place like hoboken
Chanell Newton, 4 months ago, 5,
Marvin Moreno, 4 months ago, 5,
Jacob Pas, 4 months ago, 5,lobster roll wing fantastic 
Daniel Keller, 4 months ago, 5,great experience way around importantly food awesome bk sauce roll crown height roll point loved chipotle sauce crown height roll worth making regular stop
calvin roberts, 4 months ago, 3,good food
David Torres, 4 months ago, 3,n't great experience roll ok expensive get also may lack experience since place recently opened staff although helpful extremely slow could see hesitating preparing order passing back forth fact customer also impatient handling order
Jessie Bell, 4 months ago, 5,food tasty bit pricey
Darcy Harris, 5 months ago, 5,
Gold Poodle, 5 months ago, 5,many bk lobster location ny nj location ny nj consistent food tasty staff management work hard satisfy customer community impressive hoboken location came hoboken roll hoboken community anyone get lobster roll classic well scrumptious new option italian bay ridge roll jamaican jerk sauce roll flatbush roll fry fry fries whether lightly seasoned well-season never pas fry
Kelly Oliva, 5 months ago, 1,terrible service lobster dry chewy seasoning  taste good
Joseph Fung, 5 months ago, 4,lobster lover nice assortment appetizer entree lobster roll variety go beyond standard maine connecticut style add unique signature offering including bed stuy biggie roll crown height fried lobster roll flatbush roll latter two drizzled chipotle jerk sauce respectively add nice kick mood roll go fried lobster get chunk perfectly fried lightly battered lobster greasy overcooked served tasty seasoned fry fine addition hoboken offer innovative item step old luke lobster used town grand opening bit disorganized wait around half hour staff earnest chalk opening day issue
Ryan Macaluso, 5 months ago, 5,
Brian Donohue, 5 months ago, 1,
Eve Marsan, 5 months ago, 5,ordered classic bk roll bk sauce roll mouth watering fresh hit spot back 
T. Pisani, 5 months ago, 4,excited see place coming town wanted give fair shot overall food decent overpriced 22 6 inch lobster roll nut one thing sit restaurant waiter fast takeout place price need closer 15 make ever go back
Alan K, 5 months ago, 1,sunday afternoon slow walk right order staff clue lady work front pleasant lobster fry took 30 min  lobster place put roll salt fry let  go holy moly  want come back read review saw similar comment week ago improvement hey owner eat time nice live two block away let  assume lady eat 3 meal month u average lost 900 year good get staff know basic stuff friendly  take 30 min ez peezy
Jaclyn Carosotto, 5 months ago, 5,tried bk lobster tonight first time fantastic everything seasoned perfection appreciated food still warm upon delivery looking forward ordering bk lobster
Christina Willis, 5 months ago, 5,
BRASILEIRISSIMA SALON SPA, 5 months ago, 2,
Geneviève, 5 months ago, 5,flatbush bay ridge roll amazing
Orlando Myers, 5 months ago, 5,really enjoyed lunch weekend family customer service excellent food made order
D J, 5 months ago, 5,food great  wait try menu item
Krys c, 5 months ago, 5,first made order lobster roll experience amazing come write review good yes little wait expected opening weekend since returned efficiency point great see received roll within 5 minute tried biggie classic crown height roll flavorful surprisingly lot lobster meat biggie roll expected fry came well seasoned crispy outside still maintained potato flavor like like ca n't wait try item menu regret stopping great addition washington st
Danielle Smarts, 5 months ago, 5,tried biggie roll amazing
Valerie Smith, 5 months ago, 5,
Tiffany Cooper, 5 months ago, 5,great service great vibe food amazing looking forward next visit
Andrea Ross, 5 months ago, 5,first experience lobster amazing   always wanted try extremely satisfied worth every penny greeted upon entry made smile clean sitting area able enjoy food great music complete homework assignment without interruption extraordinary experience return highly recommend others return well 
sean redman, 5 months ago, 5,fried shrimp fry win love place  black woman owned 
Tiffany Lewis, 5 months ago, 5,food amazing staff friendly
Chi Iregbulem, 5 months ago, 5,went opening day support black woman-owned small business returned week later food delicious bed-stuy lobster roll ordered fresh flavorful accompanied hot seasoned fry also yummy vegan option also tried next visit n't disappoint found service warm welcoming despite busy sincerely hope bk lobster continues succeed thrive hoboken
Veronica Rosario, 5 months ago, 5,
Da Print Spot, 5 months ago, 5,great seafood takeout option impressing vegan option tasty food upbeat staff amazing experience
Molly's Closet, 5 months ago, 5, never take seafood gooddd fried shrimp paired season fry favorite alongside flatbush lobster roll absolutely fan lobster coming caribbean flatbush roll definitely reminded root consistency island flavor throughout entire lobster roll cooked perfection cooked nothing short amazing definitely back shoutout superb staff attentiveness order great experience
Denise White, 5 months ago, 5,great addition hoboken lobster salad amazing fresh green lobster tender wan na take quick walk office go visit wo n't sorry
Shameer Mohammed, 5 months ago, 1,awful never lobster salad piece lobster tasted like lobster dressing went bad
Felix Avendano, 5 months ago, 1,slow service quiet day unprofessional staff n't want go anymore
