author,date,rating,text
Michael Blazek, 2 hours ago, 3,decent pizza little watery though service okay would liked server come little often considering staffing situation country though n't fault establishment
Beatriz Lizanne, 2 days ago, 5,
Grace .S, 5 days ago, 5,boyfriend came dinner since  always packed walk past really impressed tagliatelle al ragu bolognese  overly salty pasta perfectly cooked sauce chef  kiss also ordered margherita pizza also great complaint enough space table dish large sharing plate taken away location great right water front view nice definitely back try dish
Andressa C, a week ago, 1,
Verito “ecuaverito” 81, a week ago, 5,
catherine hetmanski, a week ago, 5,love place great staff great food wonderful view nyc
Vanessa Lance, a week ago, 3,
Henry Estrada, a week ago, 4,pizza excellent
Slavica Chavdarsky, 2 weeks ago, 5,place outside sitting area beautiful view sinatra park hudson river table small still feel comfortable food good ordered chicken served pasta delicious dish large tried pizza taste bit soggy tomato sauce yet  personal preference price meal ranged 15-30 staff great definitely coming back
Mina Defee, 2 weeks ago, 2,pretty disappointed honest reading google review looking pic look like would awesome place great food view  pretty much none service incredibly slow took forever order forever get food forever pay  busy  look understaffed  know deal see others get better service maybe individual server food worth price paid 20 chicken parm literally used sliced cheese fruta di mate pretty good shell broken spaghetti oh  looking something sinatra related  find name plaque outside thing related  looking good view go one local park
vinamra jain, 2 weeks ago, 5,one authentic italian restaurant city nearby area staff helpful reservation ordering substitution professional gathering 20 people everyone liked food drink ambience thank wonderful arrangement would definitely recommend going food ambience wonderful evening
Supratik Hajare, 3 weeks ago, 5,great place eat enjoy ny sky line salmon pino noir salmon nicely cooked sauce plate veggie although wine selection best considerable give go
STOOL PIGEON, 3 weeks ago, 3,place pretty nice view-our waiter anthony mistaken really attentive funny group 4 around 2030 food served fast friend got tuna salad belive nothing special tbh bro got pork chop got ta say real good friend got cheesecake bad got prosciutto truffle pizza first time trying truffle think highlight whole night super delicious downside cocktail site wine n't mood
Sahil Bassi, 3 weeks ago, 5,
Paola Fernanda Uribe Mora, 3 weeks ago, 5,dinner italian food full moon hoboken could n't better
Roula Harfoush, 3 weeks ago, 4,enjoyed dining experience tasty food wonderful view ny  pizza delicious  dessert got half nutella cannoli cream half nutella pizza super yummy although service bit slow enjoyed seating outdoor 
Yuriy Vasilyev, 3 weeks ago, 1,late lunch octopus burned overcooked seafood stew cold bread offered ask worth money would n't go
Roger Mendoza, 4 weeks ago, 5,great food
Kyle, a month ago, 5,good food riverside window little glossed view kinda food make lackings
Gery Mifodin, a month ago, 5,
