author,date,rating,text
Mr. & Mrs. Bains, 5 days ago, 5,best cuban restaurant
Nicole Tang, 4 weeks ago, 5,
Grant Chin, 4 weeks ago, 5,
Sunil T, a month ago, 5,food delivered amazing
Hilario Galan, a month ago, 5,everything always good
Elisa Levin, 2 months ago, 5,
Ike Spangler, 2 months ago, 1,chango failed update hour chownow wasted hungry hour friday night waiting order never came unfortunately order confirmed via email frustrating experience
Jonathan Petrakakos, 2 months ago, 5,always great experience chango staff friendly food especially sandwich amazing byob highly recommend cubano venezuelan steak sandwich
David Bos, 2 months ago, 3,
Randall Blecher, 2 months ago, 5,
Fred Marten, 2 months ago, 5,really authentic cuban food reminded childhood miami
Emilie Knight, 3 months ago, 5,would give chango kitchen 10 star could everything  tried amazing
Guy Tal, 3 months ago, 5,
Andrew G, 3 months ago, 5,breakfast tamale awesome argument could used creme fraiche though morir sondano excellent usual haven\'t inside since renovation quite nice staff conscientious mask wearing customer often completely ignored huge mask entry sign infection number careful
Terrence Richardson, 4 months ago, 4,really good tasty cuban food
Vasisht Batchu, 4 months ago, 5,coming decade old restaurant food amazingly good every single time
gia hargrove, 4 months ago, 1,second time order steak sandwich even flavor good could count one one hand strip steak sandwich tasted mayo onion server extremely rude handed money placed counter hate give give change back
Michelle Dziuban, 4 months ago, 5,mango salmon rice bean incredible plantain must much flavor around
Alejandro Brown, 4 months ago, 5,
Anna Siano, 4 months ago, 3,
Erick Crespo, 4 months ago, 5,love place excellent food everyone nice always great experience highly recommend
Brillyance McCowen, 4 months ago, 5,best cuban food ever john waiter best
Ralph Zogheib, 5 months ago, 4,nice cuban restaurant good food well price though bit better
Zack Mejias, 5 months ago, 5,amazing value quality food short rib pineapple smoothie delicious
Kelly Phelan, 5 months ago, 5,super authentic reasonably priced delicious best food hoboken opinion plus  byob 10 10 would recommend
VAUGHNEVA WRIGHT, 5 months ago, 5,
James Reilly, 5 months ago, 5,
James Marino, 5 months ago, 5,great new spot lot tempting option surprisingly affordable price
Miguel Rivas, 5 months ago, 5,nice place excellent customer service great food
Rafael Lopes, 6 months ago, 4,edit 05 03 2021 4 star  moving review 4 star revamped kitchen amenity customer service decent place eat right friendly staff previous review 2 star n't trust chango ordering grubhub seamless something go wrong delivery wo n't provide decent service refund like level calling restaurant hanging phone face talking
Boo Bees, 6 months ago, 5,food delicious back
Sophia T, 6 months ago, 5,
Trevor Freeman, 6 months ago, 5,
David Mathless, 6 months ago, 5,great food service definitely going back
Peter Chu, 6 months ago, 4,
Robert Spichiger, 7 months ago, 5,
Cheri Alves, 7 months ago, 5,nice place
Pete, 7 months ago, 4,would say 3 5 give guy extra relatively good price  idea nutrition felt healthy
Marcela G., 7 months ago, 5,big shout best latin place hoboken chango kitchen traditional yummy latin dish fabs churrasco con chimichurri skirt steakgrilled ropa vieja shredded beef kid loved alfajores dulce de leche tres lech hot chocolate cold outside service warm friendly visit place multiple time never get tired try well
jon aumiller, 7 months ago, 5,
Nicholas Gentile, 7 months ago, 5,mofongo
Kerry McNeilly, 7 months ago, 5,chango kitchen delicious food attentive staff
Shuna Harley, 8 months ago, 5,omg service food atmosphere aligned perfection place 2021 covid season service enforces rule regulation implemented cdc
Ryan Kulp, 8 months ago, 5,first time chango  absolutely fantastic quality authentic delish cuban cuisine looking cuban dish place 100 recommend
Jeanie Santore, 8 months ago, 5,
Sarah Apicella, 8 months ago, 4,
Dor Katz, 8 months ago, 5,great service food
Marina Havriliak, 8 months ago, 5,
Michelle M, 8 months ago, 5, one post review much say place absolutely amazing son born beginning covid  easy cook time tried chango uber ordering ever since customer service incredible  wait come visit person son little picky place eat rice bean empanadas mine keep great work
Maria Sooklall, 9 months ago, 5,great food
Eduardo Diaz, 9 months ago, 5,
Yosy M, 10 months ago, 5,happy find place
Jiel Mixson, 10 months ago, 5,
Liz C., 11 months ago, 5,flavorfullllllll highly recommended
Gloria Canales McCabe, 11 months ago, 5,
narmy diaz, 11 months ago, 5,
mofo tyb, 11 months ago, 5,
Abhyudai Nouni, a year ago, 4,
Valery Bentzianov, a year ago, 5,
Frank Frattolillio, a year ago, 5,
