author,date,rating,text
Justin O'Boyle, 2 months ago, 5,go often lunch get soy garlic friendly people great food
Vanessa W, 2 months ago, 5,best chicken around love sweet spicy flavor
DD, 2 months ago, 3,sure legit korean fried chicken restaurant drumstick wing lack flavor good lack bit flavor sweet spicy flavor also lack spiciness bummer people like actually enjoy spicy food opinion  say much service ordered online pickup upon arriving order ready good guess friday night order  probably give another shot next time  area
Lisa Marie Zapata, 2 months ago, 5,love soy garlic wing crispy well seasoned everyday pick box chicken factory every time delight
Auston, 2 months ago, 5,absolutely delicious perfectly crispy expect korean fried chicken fry equally good
Joemy Assaf, 4 months ago, 5,crack chicken need day small place deliver lunch special perfect 10 portion control rice cold slaw wing soy garlic spicy half half delicious  never disappoints lunch special avail online menu
OPFOR SQUAD, 4 months ago, 5,great food everytime
Fantin C., 5 months ago, 1,
Atiqa Ghouse, 6 months ago, 5,great food non-spicy spicy flavor wing  great lunch special option  clean delicious
Alex Wang, 6 months ago, 5,
Marina Havriliak, 6 months ago, 5,wonderful little place tasty food friendly service definitely go back
Tim Stead, 8 months ago, 5,great wing
Adriel ', 8 months ago, 2,serving size fairly large big issue place menu limited like 5 different thing price jump lunchtime dinnertime chicken wrap ordered real flavor whatsoever n't season chicken cooked fry however really crispy sauce get every order make food tolerable
Connie G, 8 months ago, 5,delicious crispy travel well
flashy Money Moe Hollywood Reid, 10 months ago, 5,chicken delicious 
Roy Lee, 10 months ago, 5,best fried chicken hoboken really friendly service
Maurice S, 11 months ago, 5,korean bbq place excellent sister come town asked take place awesome feel
Manouchka Ali, 11 months ago, 5,food always good chicken always point delicious salad fresh well prepared
Eduardo Lowery, a year ago, 5,korean bbq place good service always super even full house staff friendly attentive place nice atmosphere food like place baltimore loved
Trinanjana Mandal, a year ago, 3,ordered chicken bibimbap uber eats okay nothing great prefer gogi grill possible time uber eats delivered food already semi cold taste good result close nyc great korea town restaurant spoilt u compare
Carmelita Flores, a year ago, 5,b e fried chicken  20 min wait worth definitely please give try wo n't regret
Young K, a year ago, 5,amazing korean spicy chicken taste authentic flavorful go-to food wanting quick easy dinner
Katsuya K, a year ago, 5,
Vin Thomas, a year ago, 4,
Grace Casale, a year ago, 5,delicious food even better service
Jennifer Volker, a year ago, 5,
Juan Huerta, a year ago, 3,place get 3 star food need little flavor tried korean fried chicken place much better food simple mediocre price tried wing drum got 2 big piece drum rest looked like pigeon leg yeah tiny
