author,date,rating,text
Alessandro Orsini, a week ago, 1,ordered app store closed went pick 5pm people inside would n't let n't get refund
Christian Salas, 2 weeks ago, 1,guy opening 4
Nidhi Shah, 2 weeks ago, 1,poor service waited hour order made online never received staff n't care
Mike Ciaglia, 3 weeks ago, 1,multiple time chip miss mark disappointing
jimmy B, 3 weeks ago, 1,begin walk way tell  online order even though  10 worker behind counter  bad enough  literally always something last week went completely chip steak cheese ice soda machine went today rice  better walking jersey city location one mess rarely leave review chipotle make question life even worth living
Brian M, 3 weeks ago, 1,rarely leave review anything 4th time month messed order used work chipotle honest  really hard complete online order especially  peak time  say  ordering
Brad Hendrick, 3 weeks ago, 1,close 730pm
Matteo De Santis, 3 weeks ago, 5,
Erin Butler, 3 weeks ago, 5,
Mark Godwilling, 4 weeks ago, 2,sometimes good time level service bad portion always given wrong amount pick always delayed seems like employee really could care le attendant also always wearing mask
AJ Angelosante, 4 weeks ago, 1,want wrong order bad food 100 time order
Mohammed Charri, a month ago, 1,
Josh, a month ago, 1,
John edison Sabogal gaitan, a month ago, 4,
Scott Cohen, a month ago, 4,
Changwoo Ham, a month ago, 1, usually person post review place experience chipotle today felt like post something ordered chicken bowl side chip app told order would ready pickup around 2:20 arrive around 2:18 pick food food n't come 2:30 understand bit short staffed front get food find chip  bag asked lady register chip reply  chip told get refund online also  care much bag chip still pretty annoyed order came 10 minute late getting order time eat location train catch got station looked order find order completely wrong bowl looking half eaten swept side enough food inside bowl either way completely unacceptable  advise everyone order location clearly lack understanding good customer service tldr food came late  get chip mediocre service got completely different item ordered looking half tossed around like football
Adam Cohen, a month ago, 3,disappointing chipotle location staff slow replenish item line ice available plate bowl available dine-in eating foil dining room
Jamie Hawkins, a month ago, 1,literally nobody take order order online table dirty  chip guac menu although  clearly visible behind serving counter please better
Dhananjay Salgaocar, a month ago, 1,good reason come get reason complain customer service get refund free entree next time
Fred Gladis, a month ago, 1,get find  ordering  backed would take 30 minute went restaurant next door within 5 min
NIRAV JAIN, a month ago, 5,
Erik Anderson, a month ago, 1, chipotle 20 time sure keep going back 1 3 time go pick online order waiting 1 hour pick time many time order completely wrong staff completely unprofessional disorganized basically useless doubt know difference burrito bowl problem become pattern nothing done fix understand become overwhelmed order fact experienced often  clearly   problem
Chelsea Chelios, 2 months ago, 1,ordered quesadilla double steak chicken yes dollar bowl missing steak fajitas sauce lettuce rice
Ben g, 2 months ago, 1,online order full staff open store always scam bowl better walking jersey city going chipotle
Lopa Nath, 2 months ago, 1,ordered app got home half full bowl missing topping never good experience  one nearby chipotle something awful franchise location
Antonio Rezik, 2 months ago, 2,took day write extremely upset moment wanted cool arrived ten minute closing waiting short line one young bilingual lady operating front minute noticed sign glass customer server saying cash cash hand decided run around corner get cash atm returned line behind woman behind originally three minute closing young lady start take order assume manager gentleman make come front tell customer behind store closed young lady attempt explain line leave get cash would hear instructed throw order give two star young lady hustling served half dozen u fully intend serving gentleman behind manager rude unwilling listen employee understand card reader break going cash need understand walk two minute get cash atm pouring rain least stay open minute two later complete mine gentleman behind order like chipotle long giving business location
Ralph Quinones, 2 months ago, 5,
Sumedh Habbu, 2 months ago, 5,
Alex DeFelice, 2 months ago, 1,shame bad chipotle location give try every 2 month always something walked line today staff yelling food prepped
Charles Lin, 2 months ago, 3,
Jose Silva, 2 months ago, 1,countless chipotle across u hand worst unfortunately local chipotle rice always hard rock chip constantly soggy stale portion always tiny staff also poorly ran body seems care  bad drive way chipotle town avoid experience together
Elizabeth Wasserman, 3 months ago, 2,chipotle chipotle good usually chipotle close house go pretty often last 5 time ordered something gone wrong ordered chicken bowl almost every topping received steak rice cheese came get bowl person fajita veggie guac veggie bowl food standard get right
Ricky Vargas, 3 months ago, 5,excellent
Isabel Alleyne, 3 months ago, 2,hit miss sadly usually miss
Rahul Srivastava, 3 months ago, 2,like chipotle general store definitely understaffed result long wait time order cancellation unpleasant experience hoboken local wish chipotle would take notice fix issue order canceled delayed beyond 30 min several time going waste time location
Luis Rivera, 3 months ago, 1,could give 0 star really would worst chipotle ever chicken tasted old rice hard bean b uncooked top chip extremely stale n't first time happened either last time ever ordering save time go order somewhere else trust
Bryan, 3 months ago, 1,chipotle terrible service
saroj lenka, 3 months ago, 2,start one liner need cleanness proper space meat veggie container sure chipotle keep veggie meat container close next forget veggie veggie chance meat fall veggie container filling bowl wrap chicken meat eater ok vegetarian
Ameya desai, 3 months ago, 5,great service
Sylvester DelVillar, 3 months ago, 4,
Rajeshkumar Thankaraj, 3 months ago, 5,good place
kartik Ravat, 4 months ago, 1,worst staff ever meet disappointed
Mallory Lasko, 4 months ago, 1,chipotle gave wrong order 2x
Giselle Ross, 4 months ago, 1,highly upset order placed door dash 10:00am received order 11:30ish good food awful cheese middle taco food cold chip stale crunch could n't even bite one looking forward lunch reason
Sathya Kummarapurugu, 4 months ago, 5,
Siva S, 4 months ago, 1,worst staff  almost one hour close almost everything even looking fill rice black bean lettuce
Addison Taylor, 4 months ago, 1,health department would legit shut afternoon kitchen serving area inexcusably disgusting creepy help avoid time
Esmeralda Javier, 4 months ago, 1,
Saraih Cruz, 4 months ago, 5,would like give massive thank three people front working hour hour end jaylynn trinity lizzie line possibly 45 minute clearly going rush look review seems like everyday experience chipotle entire wait must served made hundred different order yet maintained strong kindness understanding customer frustration trying get line moving quickly possibly could someone worked food industry complete understanding frustrating customer try rush something beyond control chipotle way many people coming store everyday overworking diligent employee bone yet see gratitude worker review person would like thank three employee jaylynn trinity lizzie outstanding worker deserve nothing best definitely promotion well employee work particular chipotle keep outstanding work hope nothing best location hopefully customer understand appreciate effort giving every single day
Mike Bonham, 4 months ago, 1,took 2 hour get delivery look elsewhere
SY Q, 4 months ago, 1,rice fully cooked hard portion small order online
Nick Ayers, 4 months ago, 1,place going downhill quickly rice cooked hard portion also cut half compared chipotle
DJ Marly Mar, 4 months ago, 2,service slow sometimes according one employee register shuts different time day
Ankush Patel, 4 months ago, 1,consistently chipotle make mistake take order even 25 inch screen infront breaking go inside bowl understand make mistake twice fifth sixth time happened poor training poor management order meat end meat order tortilla  missing sometimes end puddle water bottom bowl like nice soup yes chipotle app nice offer compensation free meal order get thing happen wont ordering period stay away folk
agron biblekaj, 4 months ago, 1,
Mihir Wagle, 4 months ago, 5,
Usama Nazeer, 5 months ago, 4,jersey city location worst experience fortunately food good lmao
Ryan McLaughlin, 5 months ago, 1,could quite possibly worst chipotle
Jude Sargent, 5 months ago, 1,constantly get order wrong leave stuff order
Soo Back, 5 months ago, 1,found dirty piece plastic wrap inside burrito absolutely disgusting
Izaiah Hayward, 5 months ago, 1,ordered food uber eats first put wrong rice bowl everything else taste old stingy amount food put got side order chip guacamole chip definitely old well
Jackson Luis, 5 months ago, 4,food always fantastic update 5 star estimate accurate understand wait wish properly shown order online
DM, 5 months ago, 1,tried place order online reason n't allow decided eat line got parking lady behind counter helping order clumsy dumping spoonful option bowl like would prison salsa sofritas sauce dripping food container everytime took spoonful put bowl top cauliflower rice tasting stale guac salty
Abhishek Allen, 5 months ago, 1,horrible experience ordering pick ordered chicken burrito bowl opened box may half usually get order store 3-4 piece chicken topping missing ordering online pickup anymore wait store ordering start future disappointed
Luis dominguez, 5 months ago, 5,delicious burrito
Yuriy Rusko, 5 months ago, 1,pickup order promised 3:30 still ready 3:55 got front still working back fine taking bit longer due high demand go ahead specify realistic pickup time won\'t run back car feed meter also pretty much staff need refresher course mask-wearing food-wise white rice crunchy batting 0
Carolyn Vaccaro, 6 months ago, 1,ordered food 6:47pm thru seamless got 1 call driver 8:17 resulted nothing called next driver 8:19pm resulted nothing received call 9:02pm grubhub regarding order resubmitting order get update app 9:31 spoke agent grubhub simultaneously got message text saying order cancelled refunded extremely disappointed enraged etc order going order hope n't either restaurant n't pick phone either terrible system work regardless restaurant another website also previous time ordered serving size small accurate quality expect chipotle disgrace
Keith Dsouza, 6 months ago, 3,
Roman Makovey, 6 months ago, 1,consistently poor experience specific location always go chipotle location
Toxichammertoe, 6 months ago, 1,guy register rude disrespectful guy charging free chip guac n't know give punk attitude
Sidney Suggs, 6 months ago, 1,terrible  even go order anything
Erin Rae, 6 months ago, 1,
Tony Ferrer, 6 months ago, 2,food woth long time people wait
Dylan Adams, 6 months ago, 1,unfriendly incompetent unable manage online order
Tianhao Wu, 6 months ago, 2,order management time estimate way dozen people waiting order imo great pandemic could public health risk need timely least block timeslots online ordering backlogged
Faisal Kagadkar, 6 months ago, 3,
Mike Winschuh, 6 months ago, 1,ordering online order consistently wrong always late bowl burrito filled even pay extra service embarrassingly bad without doubt worst chipotle chain  ever consider eating
Paul, 6 months ago, 1,ordered online 10 time 7 10 time missed item gave ridiculously small portion first time today managed order chipotle online
Katya Rempel, 6 months ago, 1,order never delivered postmates driver stole food horrible customer service got core issue lying 2 hour food way shame postmates never order
Mary Perryman, 6 months ago, 5,
Benjamin Atwater, 7 months ago, 1,ordered app pick 115 said soonest available time pick waiting 1:40 still ready staff said  running 15 minute behind see order waiting pickup shelf 115 even 130 understand  busy would mad app set earliest pickup time later  miss important business call 2  pandemic year excuse anymore especially chain like chipotle
mecks tv, 7 months ago, 1,said would take 10 minute took 40 minute  extremely rude inquired possible sure terrible awful people even hired
Nick T., 7 months ago, 1,fault staff fault app order many order staff  even take in-person order anymore staff extremely nice hard-working though
Alaa Elashkar, 7 months ago, 5,
