author,date,rating,text
necee dorsey, 3 days ago, 5,
Mark Morchel, 6 days ago, 5,
Alan Hilton, a week ago, 1,outrageously expensive terrible food terrible service
Anastasya V, a week ago, 4,really wanted love place way cool packed got reservation definitely made ordered porterhouse 2 medium rare came medium bottle caymus entree server awesome check way many charge  even part bill cash cheaper credit stated check definitely good quality food first choice food nice  feel like got best service
Audrey, a week ago, 2,underwhelming experience steak quality prime grade especially price many dish salted waiter attentive strange ate early  crowded yet disappointed many good review went special occasion indoor ambiance good vibe
Kemar Tulloch, 2 weeks ago, 5,
John Quinn, 3 weeks ago, 4,nice place little pricey opinion
johncz100, 3 weeks ago, 1,terrible service really wish hoboken solid steakhouse dino harry  could spot  steak often cooked propped service leaf much desired act michelin rated restaurant opposed standard steakhousewhich disappointing
Alan McGrath, a month ago, 5,
Ella ت, a month ago, 5,truly remarkable steak house comfortable atmosphere beautiful view filet mignon excellent perfectly cooked mac cheese wonderful side added experience 5 star would highly recommend
Robert Trujillo, a month ago, 4,cool ambience fast service would go
Dave Reed, a month ago, 1,food great experience terrible tried pay credit card visa gift card told don\'t accept visa gift card chip went manager vent bit told waiter didn\'t realize also manager ridiculous would go place like can\'t afford pay asked restaurant doesn\'t accept visa gift card response wouldn\'t know go restaurant afford pay wow surprised say least arrogance unreal great food never
Gregory Ford, 2 months ago, 4,first timer wonderful experience staff extremely friendly helpful got petite filet mignon dyanne flavoring alright quality amazing looking forward coming back
Stella Reyes, 2 months ago, 4,excellent service loved atmosphere great two u menu remained covid thankful trust place
Brianna Strzezek, 2 months ago, 1,could give 0 star would  even deserve 1 even begin came boyfriend 30th birthday night went south fast dino fantastic piano talented boyfriend decided get play whole restaurant loving next thing know dino owner come slam piano cover boyfriend hand scream face  know  dino get hand piano  context boyfriend front 17 people made huge scene front restaurant way addressed absolutely disgusting embarrassing owner restaurant talk u like ruined entire night fortunately dino took business elsewhere absolutely recommend place comment food dino screamed u even ordered food looking get piano dinner dino harry  place
Curtis Berger, 2 months ago, 5,dino best great server remember bartender coolest make amazing cocktail branzino fugettabatit place date amazing family evening n't miss live music friday night great vibe
Ally Esposito, 2 months ago, 1,would step foot give vibe old musty basement bunch older woman staring
Daniel deCavaignac, 2 months ago, 3,friday night dinner outside 4 september food good porterhouse 3 well cooked however bill contained 30 fee paying credit card really spent 377 dinner 4 getting charged giant fee without communication ok return
Luis Londono, 2 months ago, 1,server offered u cheese fry trying nice quick charge u 6 serve good food still make money without deceitful practice parmesan cheese cost 6 per serving
Luis Hernandez, 2 months ago, 5,exquisite taste fantastic service utmost appreciation mr garcia hostess elli tapa entreas amazing cocktail dino harry never disappoints would like express thank jorge jvbicycles reference unforgettable evening
Dave M., 2 months ago, 5,amazing experience top notch food service surpassed every expectation
David Rosensaft, 2 months ago, 4,lovey place atmosphere attentive service bit overrated though onion soup ok lacked depth flavor one would expect price caliber dining experience cod excellent although sauce lacked character much flavor key lime pie presented beautifully bit sweet lacking lime flavor might go back try steak next time
Arnaud Tinet, 2 months ago, 5,go hoboken excellent service
Cheyo&Ede, 3 months ago, 5,translated google excellent place original excelente lugar
M D, 3 months ago, 5,
Ant P, 3 months ago, 4,
Chandan Hingorani, 3 months ago, 4,
Rafael M, 3 months ago, 5,expensive guess pay good quality food steak impressed yummy anything place delicious goodness 
Amanda Silverstein, 4 months ago, 5,favorite restaurant hoboken always great dining experience lovely atmosphere incredible food cheap spot well worth money
Amanda Colon, 4 months ago, 3,
Erich Jost, 5 months ago, 5,
Ryan Davis, 5 months ago, 5,
Joseph Siri, 5 months ago, 5,veal parm one best thing  ever eaten
