author,date,rating,text
Andrea Gonzalez, 9 months ago, 1,recently called store ask  puff bar  told price 16 completely overpriced usual price 10 said sell 2 25 made way bought 2 puff bar expecting pay 25 got back home checked transaction charged 32 called tell never answered discovered puff bar fake unacceptable unprofessional reporting better business bureau
Bruno Francisco, 9 months ago, 5,
Dennis Lawrence, 11 months ago, 1,poorly managed
Osborn Focht, 11 months ago, 5,something everybody lowest price american spirit service friendly favorite corner store
William Clark, 2 years ago, 5,really nice shop beautiful neighborhood owner really nice guy employee great really nice corner store
Vivian Torres, 2 years ago, 5,
Tracey Ausby, 2 years ago, 5,pick spot ups ground pickup package
Nasser Al-Hanna, 2 years ago, 1,rude priced filthy practice illegal way con trick customer neighborhood corner store n't complete opposite welcoming neighbor service answer paying customer lie rude disrespectful answer asninket know posting bad experience store google shrugged snd n't even care anti american importantly selfish full greed left shop somewhere else please boycott untill fmfhsngr thier way
Marco Hernandez, 2 years ago, 2,
RAKESH MAJITHIA, 3 years ago, 5,
sangam swathy, 3 years ago, 5,
