author,date,rating,text
Robert Spichiger, a day ago, 4,
Tejal Raval, a day ago, 5,family came diwali lunch everything wonderful food fresh delicious warm hospitality staff great definitely place check hoboken
Mrutyunjaya Panda, 2 days ago, 5,
Shikshya Gurung, 3 days ago, 5,wonderful place tasty food items
Api&Astit gurung, 3 days ago, 5,best place delicious food
Nishanth Mudkey, 4 days ago, 4,
Tom P, 4 days ago, 1,ordered food 2:30 hour ago still  ready even sure  take order  fill never ordering going also tried calling hour said preparing food tried calling back  answer say anything keeping phone online busy biggest issue  honest picked phone would  made plan knew  end 3 hour
Atharv Gosavi, 4 days ago, 1,service suck lot one beer serve took 1 hr placed order 8:50pm waitress came ask 9:45pm order however placed order long back never order paneer chili  paneer  rubber asked everything late manager waitress started giving u rude look far worst service ever indian cuisine restaurant entire u  sitting restaurant still waiting rest order  10:30pm
EZ NZ, 4 days ago, 1,2 5hrs food even ready delivery driver pick order risk
Mo Sekhon, 4 days ago, 1,awful experience ordered two hour ago still got food ready delivered fine busy update wait time online wrong looked ubereats see since changed still state 45mins ca n't call either clearly disengaged line show busy terrible service
Gopal Agarwal, 4 days ago, 4,good food appetizer gobi 65 paneer tikka great main course okay-ish lot jain option
Arun Kumar, 6 days ago, 5,
kishan smith, a week ago, 5,really good restaurant hoboken went 12 friend birthday service amazing food great looking real indian taste must visit also momo  really good must try strongly recommended
Chandni Gandhi, a week ago, 4,
PRANAI RAI, a week ago, 5,exhausted whole day home inspection looking good soul food place eat god finding needle haystack indian cuisine find hell yeah late afternoon 3p staff break manager house kind enough accommodate u long story short food incredible great selection nice vibe thank god momo chutney kasto din ayechau dhunga khojda deuta bheteko good job team totally recommend place
Ismael Boussatta, a week ago, 5,delicious food excellent service great ambiance
Roshni Agarwal, a week ago, 5,stone throw away distance hoboken path station tried samosa chat empyrean mix grill chicken curry mutton biryani drink food really good recommend place trying indian food
totof z, a week ago, 5,best indian food around particularly like butter chicken chicken curry nice generous portion plenty sauce great garlic naan
Eric Williams, 2 weeks ago, 5,
