author,date,rating,text
Philipp Siemons, 14 hours ago, 1,given good rating really looking forward taste quality fact tourist staying manhattan actually took bus hoboken try look manhattan eating sandwich near water sadly looked window outside saw neither two customer one two staff member counter wearing mask might  house quality   verify failed expectation protection corona
Peder Pedersen, 4 days ago, 5,best sandwich ever
Erika Gomes, 6 days ago, 5,get thursday special like good sandwich maybe ask gravy side dont like messy meal
john loeper, 6 days ago, 5,
Jose Rios, a week ago, 5,roast beef tender melt mouth gravy sublime everyone need thursday special life
Jim Sannerud, a week ago, 5,
Peter Flanagan, 2 weeks ago, 5,
George Conroy, 2 weeks ago, 5,
Theoriginalsave, 4 weeks ago, 5,
Ed De, a month ago, 4,tried famous saturday special mozzarella roast beef sandwich  flavorful way bread hold shape tho great gravy thing beauty believe also option pepper try next time also great imported pastrami good sliced super thin
Paul Belkin, a month ago, 5,best best
PR Danny, a month ago, 5,great food
Joseph Powers, a month ago, 5,best mozzzz anywhere
ENNZ, a month ago, 3,n't understand hype bland roast beef sandwich look good taste bland
Joyce S, a month ago, 4,
hector castro, a month ago, 5,heard roast beef sandwich deli finally chance try think far best roast beef sandwich ever mozzarella excellent beef tender
Glenn Luciano, a month ago, 5,best mozzarella ever
Mandy Hadley, 2 months ago, 5, writing dream roast beef smoked mozzarella sandwich unfortunately  get one today figured would least talk hopefully find picture tide
William Borrelli, 2 months ago, 5,
Mike Acconzo, 2 months ago, 5,ca n't beat it
stinging wound, 2 months ago, 5,trip fiore best way start every week
Larry L, 2 months ago, 5,
carlos quinones, 2 months ago, 5,translated google place good sandwich follow order line order order protection covid checkout area payment credit target accepted cash original un lugar para buenos sndwiches pero siguen orden en la filum para pedir la orden hay proteccin contra covid en rea de caja se aceptan pagos en target de crdito solo cash
Seth Victor, 2 months ago, 5, know  review  explain thing properly go try talking mozzarella big cheese people recommend place within hoboken cheese fix case made favorite said sandwich favorite nj ny get roasted red pepper sun dried tomato baguette perfect mozzarella regular smoked though  fan regular love life cash always line saturday  always worth wait  need eat anything else day
Tony Joa, 2 months ago, 4,
Britney Laromie, 2 months ago, 5,rant rave quality sandwich place  already said many time  need repeat left yes already another sandwich
Alan Liskov, 2 months ago, 5,30 rock sandwich iykyk
