author,date,rating,text
Hugo Long, 7 months ago, 5,spot never fails impress awesome food convenient pricing long wait even packed
Joel Robles Bustamante, 9 months ago, 5,food food awesome recommend people coming first time trying turkish food like pitta bread falafelor rice kebab
Michael McElroy, a year ago, 5,great experience place enjoyed great atmosphere meal staff super attentive glad ultimately managed try place
Ivan Fraevich, a year ago, 5,
Danny Johnson, a year ago, 5,food constantly well prepared yummy staff member provides excellent customer service liked cleanliness ambience visit
Kay, a year ago, 3,
Frank F, a year ago, 5,love flatbread solid delivery spot order couple time week fresh consistent favorite platter special great
matt marsh, a year ago, 5,love flatbread grill much best restaurant chicken pesto
Marissa D, a year ago, 5,love chicken hummus pita chicken chipotle flatbread
Bernard Orr, a year ago, 5,actually like food service awesome area next live staff member always super friendly come back
Elvis Jimenez, 2 years ago, 5,overwhelmed flavor recommend original platter filling
Rachel Cipkins, 2 years ago, 5,
Erika, 2 years ago, 1,love one jersey city extremely sad closed went website saw hoboken location delivering hoped right hour received phone call saying check location ordering deliver jersey city come pick order unfortunately due job impossible reason clicked delivery problem asked could refund young lady refused let speak manager said  know extremely rude top went without lunche still got charged highly disappointed customer service ordering system deliver hoboken stated someone make comment feel harassed  case close  use another country turmoil poor excuse way treat customer would never understand going
Bitter Sweet, 2 years ago, 1,food good customer service staff look miserable 3 time everyone bad attitude management please work better staffing might losing many customer people want deal staff attitude
Robert Schaedler III, 2 years ago, 3,
Hazel Chinique, 2 years ago, 4,good food lack nut allergy friendly option though
David Horowitz, 2 years ago, 5,really good chicken nice lunch spot
Anuj Mittal, 2 years ago, 3,
Andrew “WoodyWilson” Hughes, 2 years ago, 1,review mostly faked food old prepared fresh come back
CurlsnPearlsss, 2 years ago, 2,falafel pita pocket ok overly drenched sauce yogurt cucumber red hot way tangy made bread completely soggy unable eat half staff friendly return
Maddie, 2 years ago, 1,employee unnecessarily rude food  anything special overpriced worth editing respond never location montclair starting eating hoboken location opened customer service increasingly declined see
Tushar Mukherjee, 2 years ago, 1,
Stephanie Escobar, 2 years ago, 2,employee either need cheer add love making sandwich chicken pesto sandwich  good chicken burnt greeting walking standing register also fault soda service sandwich stock horrible
Kristina Morton, 2 years ago, 3,
Andrew Deur, 2 years ago, 4,
Matt, 2 years ago, 5,
Lakeisha Jackson, 2 years ago, 2,refused change salad manager rude never returning
