author,date,rating,text
Unique SFTB, 3 days ago, 1,garbage customer service dont know treat people properly patient dont care care money
Matthew McKeon, a week ago, 5,best burrito ever food always hot fresh employee friendly well
Ray Wang, a week ago, 5,good
Marlon Vite, 2 weeks ago, 3,hope find information useful hurting business far intention quite opposite n't really like type food n't eat often guess people love invited invite 2 lady sister one girlfriend paid bill may expected normal generously 3 dish combination ingredient except drink flavor good temperature could warmer 3 dish included bbq beef tasty plenty beef fiber ligament tendon chef remove prior grilling serving chew difficult cumbersome shamefully diplomatically remove mouth napkin would try dish fair public opinion able anytime soon wished grilled tasty meat tendon oh well ate 90 mine made sleepy soon believe nutritious
Jeremy Gunawan, 3 weeks ago, 1,small portion server gave side  even ask poor service
Rebecca X, a month ago, 2,
Kathleen Donaway, a month ago, 5,fantastic bowl easily customizable tasty enough food two meal portion large definitely recommend either bulgogi galbi option definitely coming often
Nahja Joseph, a month ago, 5,flavorful especially different sauce option
Justin Musella, 2 months ago, 3,nice helpful staff food taste
mooniut, 4 months ago, 4,americanized bibimbop still great 
Aakriti Mahajan, 4 months ago, 5,bulgoli marinated nicely kitchen sink meal huge portion fried rice also really good
Luna G, 4 months ago, 4,good quality ingredient portion food fresh filling like customization healthy unhealthy want spicy chicken galbi little sweet taste got much sauce shrimp rather bland vegetable standard freshly prepared good quick lunch overall
Koko T, 5 months ago, 2,bit disappointed korean fried rice  look taste different plain white rice overall portion quite small comparing advertised photo
Yizhi Zheng, 5 months ago, 4,good quality korean food beef bulgogi kimchi fried rice awesome
Saad Hussaini, 5 months ago, 5,
Zhun Han, 6 months ago, 4,bowl tasty entry bit uneven
R C, 6 months ago, 5,good food
HakJa De Sousa, 7 months ago, 5,
Katie Auer, 7 months ago, 3,rude rude rude end story unfortunately food delicious rude
Narendra Gajraj, 8 months ago, 5,good place healthy choice variety vegetarian non vegetarian alike
Tarell Glenn, 8 months ago, 5,
Meliza Gomez, 8 months ago, 5,complaint place  best place  hoboken
luis muteverria, 10 months ago, 4,
ANON BLUE, 10 months ago, 1,food nasty expensive
sunghee kim, 11 months ago, 5,tried spicy pork belly kimchi rice tast great bowl come w good portion ingredient fresh well prepared recomad butter kimchi one topping 4 choose definitely visit
Janice Veal, 11 months ago, 5,delicious food excellent customer service
Vivek Bhagat (VB), 11 months ago, 4,
Chan Ho Joung, a year ago, 5,quick stop food experience 10 10 food come large portion vegetable crisp fresh meat full flavor bite full delight food convenient fast recommend anyone drop try
George Colinn, a year ago, 1,allergic reaction upsetting stomach someone threw food floor got sick week puke three time put back plate 
Bryan Nead, a year ago, 1,place horrible owner sit around nothing worker work like slave support unworthy business
lizzy rosa, a year ago, 1,bad restaurant threw korean bowl disabled granny
Ian, a year ago, 5,
Richard Pena, a year ago, 5,great tasting lunch price bad highly recommended
Stephen Ramirez, a year ago, 5,ordered chicken tender custom bowl delivery everything came fantastic even delivery 
Jessica Collazo, a year ago, 5,great price friendly worker bibibom big fan looking something new place definitely worth visit
Mondee Hadibroto, a year ago, 5,
Unego Yao, a year ago, 4,yum back soon
Amit Mhatre, a year ago, 4,
Stuart Smith, a year ago, 5,
Marc Carrion, a year ago, 5,food amazing
Rachael Lynch, a year ago, 5,received delivery 5 14 20 loved kimchi tater tot korean bacon pork dumpling also short rib bowl kimchi rice various veggie thought beef little chewy bowl still tasty also got shrimp burrito bowl burrito sauce nothing came recommend extra sauce like clinatro lime katsu side impressed overall would recommend anyone like korean fast food
Xauen Zirpolo, a year ago, 2,ordered bulgogi beef burrito way back path everything tasty beef spicy sour cream onion kimchi fried rice got burrito complete turnoff love kimchi kimchi fried rice usually favorite mine however prepared lacked great sour pungent flavor kimchi usually actually unpleasant eat burrito bet went back ordered without kimchi much delicious
Ramiro Ratchford, a year ago, 5,fantastic experience spot enjoyed great environment food waiter affable happy ultimately managed visit
Junior Valenzuela, a year ago, 5,would absolutely recommend visiting place exceptional mood fresh dish good customer service never disappoint
Priyanka Basu, a year ago, 4,
rishi patel, a year ago, 5,flavorful filling fair priced similar kbg better opinion definitely coming back
hariharan gopalakrishnan, a year ago, 3,food descent menu option le mainly vegetarian
keame J, a year ago, 5,
Destiny Mhishi, a year ago, 5,
D Knight, a year ago, 5,spot give extraordinary service tasty food one favourite restaurant around town drink food served fast price inexpensive definitely recommend place
Heesun Hong, a year ago, 5,
Luís Davim, a year ago, 4,
Leonard Cuevas, a year ago, 5,take family restaurant quite often best place pas nice evening visit place routinely cooking great team friendly payment reasonable enjoy eating restaurant decent meal
Maksym Salo, a year ago, 4,
Damien Fouillade, a year ago, 5,
Rebecca Cuering, a year ago, 3,
Gerges Hakim, a year ago, 5,
Kyle St. Clair, a year ago, 5,
Levi, a year ago, 5,
natalie campbell, a year ago, 5,good food bibimbap burrito good kimchi ok
Missy DiFranco, a year ago, 3,staff pleasant run lot
Pamela Pinon, a year ago, 3,
Amy _, 2 years ago, 5,good food affordable price plus available longer place
Sangram Desai, 2 years ago, 5,
Allie Mccreery, 2 years ago, 5,go great spot time time favorite restaurant grab bite visit place least month meal tasty staff helpful cost affordable enjoy going place good lunch
Utsav Sinha, 2 years ago, 4,good place quick service food flavor generous portion size
Emily Wong, 2 years ago, 5,really fantastic food korean red pepper sauce bomb
Rudy SIReast, 2 years ago, 4,
Perry Jones, 2 years ago, 4,beer food dog friendly pub
John Kim, 2 years ago, 5,
Ahamed Rauf, 2 years ago, 5,
Mohammad Naz, 2 years ago, 4,
Antonino Gancitano, 2 years ago, 4,
Ahmed Monessar, 2 years ago, 4,
Danni Dee, 2 years ago, 4,
Luigi M, 2 years ago, 5,great portion great food nice staff
Parvathy Ajit, 2 years ago, 4,
joanna wang, 2 years ago, 5,
Jimmy M, 2 years ago, 5,always get kitchen sink combo never disappointed service quick professional
L HC, 2 years ago, 5,
Kokoi Kokoi, 2 years ago, 5,service go beyond went twice steve always helpful courteous
abhenandhan manoharan, 2 years ago, 5,
lauren garrido, 2 years ago, 5,
Birnalisi Baez Dosili, 2 years ago, 4,translated google well original bueno
Jay S, 2 years ago, 1,delivery insane took 1 half hour deliver n't know driver delivered cold food offered 20 next order compensation ridiculous
Machiavell BriTish, 2 years ago, 4,
Jennie Lim, 2 years ago, 5,
Eleanor, 2 years ago, 5,delicious huge portion size bibimbop tasted good
Jason Jaslow, 2 years ago, 5,hobokens best korean
Jacqueline Cassidy, 2 years ago, 5,went gogi grill neon coat got short rib super tasty well cooked definitely back
Yad Garewal, 2 years ago, 5,
Michael Desousa, 2 years ago, 4,bad korean bbq always wonder place empty  really good
Kush Manjrekar, 2 years ago, 4,
Morgan Philips, 2 years ago, 1,originated new york attempt pullover verison gogi grill light fact one new york extremely insipid client benefit ludicrous late obtained combo hoboken zone went acknowledgment administration extremely poor amateurish wrongdoing chance storekeeper would exceptionally vexed look feel terrible awful representative look awkward like caught creature slaving endlessly running forward backward way demonstration n't right completely comprehend yet one thing nourishment estimated bowl resembles 10-20 bowl must made gold requested taste insipid store dull client benefit frightful fruitful specialist would prescribe eat place merit cash time
Sean Glendon, 2 years ago, 4,took path go-to way home work really interesting tasty food along friendly staff
Darren Farinas, 2 years ago, 5,
SRIRAM SUNDARAM, 2 years ago, 5,
Chris Skarantonakis, 2 years ago, 5,wow wait long try place ordered chicken burrito extra chicken cilantro lime sauce wayyy better chipotle found new place order delivery happy repeat customer
Javier Miguelez, 2 years ago, 5,
Jaime Sanchez, 2 years ago, 5,good food good servicestaff nice good price
invertigo, 2 years ago, 5,
Mike Pacheco, 2 years ago, 5,
Danielle Aras, 3 years ago, 5,great korean food go portion size generous stingy meat topping choose combination customize meal great picky eater korean bacon red pepper sauce standouts
Alex Binnie, 3 years ago, 5,
heather lewis, 3 years ago, 1,
Harry whitton, 3 years ago, 1,n't bother odds get food order grubhub placed order order received told way well never showed tried calling store never answered reading review grubhub seems regular issue unfortunate food good want go store
Meghan Murphy, 3 years ago, 1,order delivery place delivered half order could get contact restaurant complete order tried calling 30 min guess closed early inconvenient
Jon Cortellacci, 3 years ago, 5,almost n't matter put bowl stupid good
Heng Li, 3 years ago, 5,
Fatma Gul, 3 years ago, 5,delicious
Nate Stumpf, 3 years ago, 1, ever order delivery seamless restaurant messed multiple time tonight order 1 hr late called way correct mistake  still hungry stay away
Andy Lee, 3 years ago, 3,
Corey Hammond, 3 years ago, 3,
Gilvanni Lopez, 3 years ago, 1,disappointed store ready take order 10:15 yesterday morning food n't understand time operation location say close 11:00pm door close 10:00pm supposed open 10:00am yet food
Jorge Benconk, 3 years ago, 5,
Salith De Silva, 3 years ago, 4,
Joy M., 3 years ago, 5,
Nexusforce, 3 years ago, 5,
mers sumida, 3 years ago, 5,get sweet potato vermicelli damn good live berlin miss time
Mollie McGinnis, 3 years ago, 5,
Rich Luick, 3 years ago, 5,
Brian Almonte, 3 years ago, 5,
Helen Hoang, 3 years ago, 4,pretty decent
Tommy Castner, 3 years ago, 5,
Brian Almonte, 3 years ago, 5,
Rich Q, 3 years ago, 5,good food clean restaurant friendly crew
Devon Henry, 3 years ago, 5,food delicious vermicelli noodle spicy bacon amazing service super friendly staff really know product would recommend anyone
Nataliya Semenchuk, 3 years ago, 5,
Rajat, 3 years ago, 4,
Zeplin Zoom, 3 years ago, 3,
Phil Derrick, 3 years ago, 1,waited 1 5hrs order never came hold 20 min explanation would order
deftoneplayboy, 3 years ago, 5,
Brendan Huddy, 3 years ago, 5,
Montserrat Fermin, 3 years ago, 5,good food
Andrew Bryant, 3 years ago, 4,
Luilly Payano, 3 years ago, 5,translated google excellent place original excelente lugar
Henry S, 3 years ago, 5,
Dhruval Shah, 3 years ago, 4,korean version chipotle good test serving per price
Pat Grasso, 3 years ago, 3,ordering felt rushed ordered kimchi-ed bowl alright fantastic also stevens student place longer accepts duckbill reason cashier could apply promised discount stevens student bill
K. Buvar-Toth, 3 years ago, 5,
Phol Vasquez, 3 years ago, 5,
Casey Rose, 3 years ago, 5,good
Shanna Tang, 3 years ago, 3,
Sharad Patel, 3 years ago, 5,great tasting quick good
L Z, 3 years ago, 4,
Adi Ezer, 3 years ago, 4,n't try rolled ice cream yet bowl great option quick lunch work
Earl Grey, 3 years ago, 5,
Shaun, 3 years ago, 5,place best pineapple chicken sesame seed hoboken area give shot make actual gogi beef
Ming Lai, 3 years ago, 4,best way explain chipotle korean food bowl quite good large selection option long line prime lunch hour
Natali Gonzalez, 3 years ago, 5,delicious food delicious rolled ice cream friendly staff totally recommend
Desiree Ann Lim, 3 years ago, 5,
Kalyani Jagannathan, 3 years ago, 4,
Charlene Costor, 3 years ago, 5,
ooajuba, 4 years ago, 5,loved koriginal combo bowl clean bathroom
Sagar K, 4 years ago, 4,
Dongyoung Joo, 4 years ago, 5,
yeryoung KIM, 4 years ago, 4,
Paul Cox III, 4 years ago, 4,great new find definitely added rotation take food option make trip different
Grant Wing, 4 years ago, 5,spicy chicken sweet potato vermicelli delicious definitely go
SCH, 4 years ago, 1,
SK Wilkins, 4 years ago, 4,good fast casual spot ordered salad beef spinach cucumber carrot kim chi unfamiliar korean food prepared rather pungent smell strong taste kimchi may putting newbie heading back office make sure got gum brush teeth
Edward Pei, 4 years ago, 5,surprisingly delicious fast chipotle korean bbq
Ken Sanvictores, 4 years ago, 4,little 10 get pretty decent sized bowl food
Donald Juarez, 4 years ago, 1,chicken dry food n't good garbage filled couldnt even fit mine ice cream delicious
Sunny Patel, 4 years ago, 5,
Claudio Farinella, 4 years ago, 5,translated google excellent food cheap price especially try instant ice cream many flavor great food cheap price especially try instant ice cream many taste original ottimo cibo prezzi economici sopratutto da provare il gelato istantaneo tantissimi gusti great food cheap price especially try instant ice cream many taste
Raymond de Leon, 4 years ago, 5,ice cream great
Sandy, 4 years ago, 5,love big portion highly recommended
Victoria Kim, 4 years ago, 5,delicious
Skyet T, 4 years ago, 3,
Nikhil Maheswaraiah, 4 years ago, 4,
Aleta Pardalis, 4 years ago, 5,
Behrad Ghazi, 4 years ago, 4,
Jason and Kathleen Barker, 4 years ago, 5,excellent food try arr intetested asian food got white rice steak dish fantastic
JIGAR PATEL, 4 years ago, 5,
Andrew Fitch, 4 years ago, 4,
Danilo Morales, 4 years ago, 5,loved gogi grill bowl ribeye beef really really good area go try totally recommend
Wan Lee, 4 years ago, 5,
Cyndy Selena, 4 years ago, 4,nice clean definitely good choice vegetarian vegan also rolled ice cream
Steven Wang, 4 years ago, 5,
Gemma Kim, 4 years ago, 5,came kid loved korean say pretty authentic much faster way grab go got ta come back try different thing
Alex, 4 years ago, 1,hoping find korean food nothing korean chipotle lol walked walked right
Leah Hanson, 4 years ago, 5,favorite bugolgi beef purple rice absolutely delicious
Williams Agate, 4 years ago, 5,
Cori Armstrong, 4 years ago, 5,good staff large space inside fresh ingredient food good
Nam Dao, 4 years ago, 4,korean chipotle pretty pricy
Amer A, 4 years ago, 5,try rolled ice cream
K S, 4 years ago, 5,took gamble reading review needed something quick catch train idea going order helped pick something great friendly food fresh tasty def would go next time try ice cream
Veronica Cortes, 4 years ago, 5,
Andrew Hejnas, 4 years ago, 5,
Ian Ivey, 4 years ago, 5,excellent food friendly fast service lot variety one bowl short rib tasty bulgogi perfect sauce suit every taste mild authentic spicy red pepper sauce place great idea executed well
Chris Shimmin, 4 years ago, 5,good korean food added angel ice cream shop inside
Jason Manenkoff, 4 years ago, 3,place subway domino pizza korean bbq wasn\'t terrible something eat
Matthew Goczalk, 4 years ago, 4,good place fast-casual korean food option may lead decision paralysis would difficult find combination choice would lead poor taste shame though pork option bacon pork bulgogi table bit close together place empty enough prove issue drink option limited also find rolled ice cream venue albeit different register
Avinash Salgam (Avi), 4 years ago, 5,friendly staff quality rolled ice cream amazing try earl grey tea
Helen Ye, 4 years ago, 5,friendly staff got earl grey tea rolled ice cream delicious unlimited topping would recommend getting homemade meringue cooky topping
Surf Ace, 4 years ago, 5,love fresh ingredient good size portion pickled vegetable add another dimension flavor bowl burrito sometimes order two lunch dinner
Mitchie, 4 years ago, 5,great convienent place location 5 min walk away train station nice cozy atmosphere went around 1 week opened try rolled ice cream heaven get watch guy make front fun experience went evening work tried bowl first time yummy got korean fried rice chicken breast side water cress spicy slaw cheese sriracha sour cream honestly cheap price give lot food great flavor luckily job bit block away place definitely new holy grail ca n't try flavor worker nice well
Bhadesh Basdeo, 4 years ago, 5,korean version chipotle good food
Kevin Ucker, 4 years ago, 5,great food great location right near train station
Dan Panagacos, 4 years ago, 5,food great short rib asked owner could byob encouraged
