author,date,rating,text
Melody Ann Carey, a month ago, 5,love greek salad food fresh
Parth Shah, 3 months ago, 5,
Donna Marie, 3 months ago, 4,
Kevin Stapleton, 3 months ago, 5,excellent
Jerseyorkreviews Jerseyorkreviews, 3 months ago, 5,truly blessed eat place like greek town
Deirdre Jefferson, 4 months ago, 5,delicious gyro platter salty authentic go
Young C, 4 months ago, 4,definitely need improvement attending customer take order aura impressive thou seemed clean hot inside even ac running surprise food delicious fat pork dish gyro enjoyed much return hoping service improve restaurant kept cool next time
cristina marin, 5 months ago, 5,feta cheese honey absolutely amazing great food
Jeff Delgado, 6 months ago, 3,
Alex Kogan, 6 months ago, 3,take mediocre food best think precut giro meet serve throughout day
Anastasia Milyutina, 6 months ago, 5,delicious
Dylan Felix, 7 months ago, 5,extremely good food friendly service outdoor dining pocket park across street liquor store nearby byob
Ubaldo A Rodriguez, 7 months ago, 5,
Maemij Baldonado, 7 months ago, 5,
Anthony Nappi, 7 months ago, 1,gyro soggy mystery meat gyro watery tzatzki pathetic  greek  food
Paulo Santiago, 10 months ago, 5,always great food ppl chicken soup delicious
Shamsher Sachdeva, 10 months ago, 2,found meat severely cooked vegetable raw fresh sauce tasty salty
Jordyn Kent, 11 months ago, 4,
Chad Chamberlain, 11 months ago, 3,
aria pollard, 11 months ago, 5,greek food setting super good food tasty looking forward coming back relative see place many great review
Alex Vega, 11 months ago, 1,live two door greektown seventh time time calling order pickup 8:50pm told already closed would never leave review like taken back whomever girl spoke never come back
Jelizaveta Busygina, a year ago, 1,food never arrived
Cassandra Fleming, a year ago, 5,greek food yeah delicious service kind attentive price well within reason quality
Mark E, a year ago, 4,fast friendly service beef lamb yeero flavorvorful slightly dry ca n't go nyc would first choice surprisingly old school greek diner jersey city hoboken area serve bland gyro
John, a year ago, 5,ill make short sweet point far best greek food north jeresy portion size amazing espically price fry beyond good staff veey nice overalll amazing food
Bernadette Sarlo, a year ago, 5,delicious food
David Reagan, a year ago, 5,portion size great get extra sauce food pretty good decent quality best greek food solid worth price point
Ryan Esposito, a year ago, 1,
Suzanne Coffey, a year ago, 5,
Leo, a year ago, 5,
Vashone Williams, a year ago, 3,
greg clements, a year ago, 5,
William Brent Rudderham, a year ago, 2,got order wrong delivery guy make 2nd delivery missing item soggy fry calamari much money expect
Alex Staunton, a year ago, 5,great neighborhood spot entree enough feed two people go wife spicy feta dip yeero platter usually left over
David Corsi, a year ago, 1,
google user google user, a year ago, 1,
Shant Marootian, a year ago, 3,average greek food
Jessica Cruz, a year ago, 5,
David Orr, a year ago, 3,
Laura Ortiz, a year ago, 5,dish delicious fresh
Len Keck, a year ago, 5,
Abby Washuta, a year ago, 4,great service straightforward menu well prepared well priced n't love byo
Teo Baiza, a year ago, 5,loved  first time definitely coming back server really nice sweet mention almost closing time food cheap taste good
Scott McCown, a year ago, 5,fantastic greek food  especially big fan greektown salad always fresh always delicious
Sven Dehner, a year ago, 1,worst greek ever eaten meat dry flavor ist also cold im vacation place lost entire day puke 4 time want money back
Tameka, a year ago, 4,food good decent  flavor looking meat seemed bit bland
David Carreon, a year ago, 5,
Ronnie Feise, a year ago, 2,ordered 2 greektown yeeros delivered chowtown hour half called see told driver running late would arrive 5min food ice cold ordered 2 bottle coke 2 50 received can gyro large tasted pretty good reason gave 2 star given temperature kept biting piece bone something hard fiance chipped tooth definitely wont eating
Tolia T, 2 years ago, 5,
Sarmad Mirza, 2 years ago, 4,
William Saunders, 2 years ago, 5,holy cow yeero great
Nick Zappulla, 2 years ago, 5,amazing gyro freshest pita bread tzatziki sauce  ever reasonable price try greektown fry pita
Artem Krylysov, 2 years ago, 3,
Dan Mastroianni, 2 years ago, 5,best lunch hoboken
Carlos Orjuela, 2 years ago, 4,good
Lucas Reis, 2 years ago, 5,love food service highly recommended
Patrick Armstrong, 2 years ago, 2,
Elisabeth Lenheim, 2 years ago, 5,
Joan Lazar, 2 years ago, 5,food consistently amazing service right little pricey rightfully
Ciro Petrillo, 2 years ago, 3,
Frank Pugh, 2 years ago, 5,
asa james, 2 years ago, 5,place awesome great food great team
John Chae, 2 years ago, 5,amazing food mike owner nice
Fady Markos, 2 years ago, 5,
Onecccm76, 2 years ago, 3,expensive portion give u
Bernie Ching, 2 years ago, 5,love place delivery fast food delicious something kebab gyro current favorite grilled seafood entree
Allan Lazenby, 2 years ago, 4,portion enormous falafel good
Adriana Alltari, 2 years ago, 5,
Jennye cordova, 2 years ago, 5,translated google favorite place excellent food original mi lugar preferido excelente comida
Or Shkolnik, 2 years ago, 3,
Stephen Shaw, 2 years ago, 3,
Seyedeh Roya Riazi Hamadani, 2 years ago, 3,
Zubin Dhingra, 2 years ago, 4,
Franklin Cedillo, 2 years ago, 5,
Prayash Kapadia, 2 years ago, 5,
Oda Simi, 2 years ago, 3,place ok chicken yeero bit dry side rice bit bland decent tzatziki sauce dessert excellent staff nice decor average
Sarah Greene, 2 years ago, 2,
Jason Colbert, 2 years ago, 5,
JCC X, 2 years ago, 5,translated google fantastic gyro original fantastic gyro
Warren Curtin, 2 years ago, 4,
Denny Regini, 2 years ago, 4,
sonia Delgado, 2 years ago, 5,
Miren Patel, 2 years ago, 5,
Aziz Mee, 2 years ago, 1,dry plain-flavorless chicken skewer sandwich probably pre-cooked asked wanted french fry literally 4 fry inside sandwich lunch time wander whole place empty
Hen Pastry Chef, 2 years ago, 5,authentic greek food like one would find greece everything delicious especially fried feta cheese sesame honey delicious lot vegetarian option besides meet chicken option good salad big fresh cut traditional dessert greek many time say definitely authentic also greek music background service fantastic
Neko Daniel Ferro, 2 years ago, 5,outstanding gyro yeeeos everything perfectly cooked fry nice lemon touch delicious
kakhi chiqovani, 2 years ago, 5,best foood town come 2-3 time week food amazing portion insane quality fresh food every time visit greektwon say loudly best restaurant hoboken service always outstanding food good  get hamide provides best service always amazing person amazing server always top everything love coming thank greektown amazing outstanding food service grilled chicken platter favorite come salad french fry yes dessert bakhlava omg omg
Reyna Aparicio, 2 years ago, 5,
Daulet Nurmanbetov, 2 years ago, 5,attentive fresh greek food portion large delicious wife forth 2 appetizer 2 plate ended taking home resting next 2 day  place byob liquor store conveniently located across street making spot great date friend get togethers service quick attentive overall would coming back
Vivek kumar, 2 years ago, 5,
Cesar Barrios, 2 years ago, 5,translated google like original gusta
Alex Higgins, 2 years ago, 5,yummy nice place tasty food
Jorge Murillo, 2 years ago, 5,really liked spot food delicious service fast server nice would deff come back
Levi, 2 years ago, 4,good food order ahead take long time prepare food even lunch special
Art Thomas, 2 years ago, 4,
Tommy C, 2 years ago, 5,generous portion salad amazing staff love place
Adolfo Alvarez, 2 years ago, 5,
Derek Arnette, 2 years ago, 3,
Mike mavro, 2 years ago, 5,fresh greek food best gryo hoboken
Pamela Lee, 2 years ago, 5,fantastic food service awesome portion huge
Pearl Stars, 2 years ago, 5,never disappointed place good casual dinning week night
Mr. Smiley, 2 years ago, 1,ordered yeeros greektown gyro plate suppose come french fry delivery person showed suite cold yeeros sandwich 5 6 individual stale french fry stuffed inside sandwhich  lol think lying swear taken picture already warmed changed way looked taking wrapper reply owner owner yes ordered greektown gyro excuse delivering food cold stale french fry inside see bad review past isnt first time
Morris Goldberg, 2 years ago, 5,good food
bob mcinturff, 2 years ago, 5,outstanding food server wonderful ca n't say enough good thing
Jonathan Nicholas, 2 years ago, 5,
Stephen Gebhardt, 2 years ago, 5,
Xiang Ni, 2 years ago, 5,
Otabek Yusupov, 2 years ago, 1,food delivered 2 hr cold
