author,date,rating,text
Christopher North, a week ago, 4,really good food fast delivery 4 star bc really expensive
Rick Simon, a week ago, 1,ordered pork definitely  pork hard say  worse taste disappointment mystery meat
Zoe Perry, 3 weeks ago, 5,
Roman Benitez, a month ago, 5,10 min wait time orange chicken good
Miss Vee, 4 months ago, 1,bland insipid ordered chicken cashew expecting clear sauce came heavy brown sauce yuck 
chris kay, 6 months ago, 5,best chineese food hb
Tim O'Sullivan, 7 months ago, 5,
Ralf274, 8 months ago, 5,always good food service
Ej Carannante, 11 months ago, 5,loved chicken broccoli
Rafael Hernandez, a year ago, 3,food good great delivery guy left food front stoop  even bother ringing bell calling texted  see text till ten minute later unacceptable
Manuel Loor, a year ago, 1,
Kyle Englishman, a year ago, 4,
A McGowan, a year ago, 1,placed order line never received called several time answer disappointing
Tony Enrico, a year ago, 5,delicious great people fast delivery
suresh jain, a year ago, 4,vegetarian found choice food quality taste good satisfied service good ambience
lorraine Prestimonico, a year ago, 5,
Rhett Colon, a year ago, 5,great yummy food love character place worker friendly surely come back
Shakiera Zimmerman, a year ago, 5,
Vicky González, 2 years ago, 5,good service n't like beef broccoli white rice meat small
Barney Lynch, 2 years ago, 5,excellent service friendly staff super value money tasty food
Walt Sparrow, 2 years ago, 4,
Lucas Eduardo de Brito, 2 years ago, 5,
Joe Minuti, 2 years ago, 5,good food great price
Glenn Coogan, 2 years ago, 4,great rib fast delivery
Melanie Tam, 2 years ago, 3,typical chinese take called place order pick told come ten minute still wait another 15 minute even  still come back  craving greasy takeout food  beat price lunch special 6 50 portion huge
Alicia Ray, 2 years ago, 3,quaint little chinese food spot food fairly good best around area far come time everything fairly consistent food taste service service always great 
jhosep, 2 years ago, 5,translated google well original bueno
manny perez, 2 years ago, 5,
HERBIE GONZALEZ, 2 years ago, 5,
Jon Cooper, 2 years ago, 5,delicious po tofu broccoli spicy nogh get hot oil side delightful young lady front
Arnaldo Torres, 3 years ago, 5,
Rafael irizarry, 3 years ago, 5,
Orlando camacho, 3 years ago, 5,
Konstantin Milovic, 3 years ago, 1,could even give one sorry would take review warn people worst food ever tasted bbq beef burnt must dipped bucket salt 
Colleen Zelaya, 3 years ago, 5,best chinese food hoboken also nice people work counter ive tasted alot chinese restaurant one far best
Daph, 3 years ago, 1,food nasty burnt nd  give duck sauce
Deyna Peay, 4 years ago, 4,good chinese food
Shannon Theobald, 4 years ago, 4,
Baltazar Carrada, 4 years ago, 4,giid food
Ken Yung, 4 years ago, 5,probably best place chinese food around area traditional chinese food also american chinese food
Rosalind Candelaria, 4 years ago, 1,whoever took order took wrong ordered combination fried rice got alacarte white rice shrimp scallop garlic sauce veggie called fix yelled hung time horrible enough
Pete diaz (Roush dude), 4 years ago, 5,
Corey Hoey, 4 years ago, 5,
David Tsai, 4 years ago, 5,typical chinese takeout restaurant one best hoboken also make off-menu dish tell want
Gordon Myers, 4 years ago, 1,star worst ever first time delivery soup like watered ketchup thickened lo mein flat taste cold general tsao chicken like hard ball fried chicken stuck together strawberry jam pitch everything suffer later night never
Mark W, 4 years ago, 1,food blahhhh
adam decicco, 4 years ago, 5,friendly staff great food best budget chinese town
Sean Haptmann, 4 years ago, 1,one place leaf menu littered building able get access bother scummy way market tried food fair worst chinese 
M E, 4 years ago, 3,unhealthy fast chinese food bad good either
Melissa Blanco, 4 years ago, 3,
gabrielle garzotto, 4 years ago, 5,great food favorite chinese ever fried pork dumpling delicous
maryfitzzz, 5 years ago, 5,order time complaint female work hard food great reasonable n't pas place 1210 hudson
paulo Somlo, 5 years ago, 1,5 day 2 x delivered wrong food soda always hot biggest problem 30 min lunch 2x food time eat ridiculous money tossed garbage woman 
Vishal, 5 years ago, 5,quick friendly service also menu wide variety
Arif A, 5 years ago, 5,great environment tuesday night best
Shawn Xu, 5 years ago, 5,
Jayvion Henderson, 6 years ago, 5,
Javier Estrada, 6 years ago, 5,saying sesame chicken bangin 10 10 would recommend place every time
Yvonne Picard, 6 years ago, 5,great food salt pepper shrimp squid awesome
Anderson Belgrove, 7 years ago, 5,food always fresh great price
Julia Montgomery, 7 years ago, 3,yummy nice people great food solid value respectable delivery appreciate restaurant
Gilbert Sandoval, 9 years ago, 4,food real good first time new jersey glad found place price inexpesive staff friendly
Nick Walker, 9 years ago, 4,good inexpensive food quick service
