author,date,rating,text
Cameron Abt, 2 weeks ago, 5,
Kehinde Ajayi, 3 weeks ago, 4,
Jagger Doll, 3 weeks ago, 5,super nice staff plain slice pretty good specialty slice great penne slice especially
Rosa Quevedo, a month ago, 5,delicious food specially soup 
Michael Renninger, a month ago, 5,great food great city love hoboken
Kaizer323, a month ago, 2,delivery extremely slow  take hour half delivering within hoboken
Mikasa Ackerman, a month ago, 5,
Larry Qin, 2 months ago, 5,pleasant staff great pizza pizza night hoboken go giovanni
Shashikanth Reddy, 2 months ago, 4,
Shaun Verma, 2 months ago, 5,
Joshua McCormill, 2 months ago, 3,food consistently good charging 4 delivery surcharge based address technically hoboken 25 yard away hoboken fire station 
Fred Knowlton, 2 months ago, 5,
Karan Desai, 3 months ago, 5,
Carlos Titos, 3 months ago, 5,preferred pizza spot hoboken would recommend margherita pepperoni slice chicken tender food delicious cooked perfection nice spot washington street eat indoors outdoors
Elijah Pontier, 3 months ago, 4,food good waitress hostess dismissive felt unwelcome
Kevin Albertson, 3 months ago, 5,
PH ST, 4 months ago, 4,
Patrick Shannon, 4 months ago, 5,great food friendy service
Charles Kraybill, 5 months ago, 5,
Carolyn Norman, 5 months ago, 4,excellent
Tim Preziosi, 6 months ago, 4,
Peter Chu, 6 months ago, 4,
Christian Hernandez, 6 months ago, 4,good chicken parm
Mahesh r patel, 7 months ago, 5,
Cody Leonard, 8 months ago, 1,1st time coming pizzeria place sub par pizza priced large soda like medium plain slice pizza 3 dollar specialty slice le 4 dollar  come back especially better place around washington
Edwin, 8 months ago, 5,server great people great pizza great favorite chicken bacon ranch slice chicken parm slice definitely come back family friend
Emily Ng, 8 months ago, 5,delicious tried margarita pizza thin crunchy slice tasty tomato sauce
LYVICK PEREZ, 9 months ago, 4,great pizza got cheese pepperoni margarita good also got canoli yummy friendly staff good price
Lisa Hoskins, 9 months ago, 5,great restaurant friendly staff nice place also patio outdoor seating
Peggy Dyer, 10 months ago, 5,food great
Rene Zepeda, 10 months ago, 5,great pizza great staff
Birnalisi Baez Dosili, 11 months ago, 5,excellent place share family price good
Len Raids, 11 months ago, 2,terrible food long wait overcharged seemed microwaved ravioli term texture benny
Jonathan Murphy, 11 months ago, 5,exquisite meal excellent service highly recommend chicken parmesan pizza wonderful calamari sub-par rest food definitely make
Sarah Braslavets, 11 months ago, 5,updating 5-star review restaurant absolutely delicious always satisfied whenever order chicken parmesan entree die definitely skimp amount cheese 
Eddie Kamber, 11 months ago, 5,
Tykeira Miles, a year ago, 1,
Jenny, a year ago, 4,place awesome great food great customer service time never disappoint
Tracey Ausby, a year ago, 5,pizza good
Luv Patel, a year ago, 1,restaurant really bad ordered pizza barely sauce waitress trying charge extra actual bill n't recommend restaurant anyone
Emilio Branco, a year ago, 5,amazing food great service 10 10 overall experience
Paul Carter, a year ago, 5,
Albeirys Francisco, a year ago, 5,
Vivek Bhagat (VB), a year ago, 4,
Marc Carrillo, a year ago, 5,great place great value people working friendly polite definitely come back
Fred Dedomond, a year ago, 5,food hot fresh delicious
Megan Carton-Poole, a year ago, 5,amazing wing great pizza definitely ordering quick delivery
sandra and sal Laspisa, a year ago, 5,
Mark Dresden, a year ago, 4,
Kathleen Nipal, a year ago, 5,
Ivo Marchokov, a year ago, 5,
Tyrone McDonald, a year ago, 5,
Chris Candreva, a year ago, 4,go stevens staple
Mauricio Pereira, a year ago, 5,place pretty good food great
David Jerez, a year ago, 5,really miss pizzeria came clifton nj enjoy favorite slice
Gloria Canelao, a year ago, 1,disappointed cheese ravioli side sausage sausage tasted disgusting like literally actual meat tasted terrible like cheapest sausage buy sauce tasted burnt cheesy garlic bread 
Carolyn Norman, a year ago, 5,excellent
Jason Heberle, a year ago, 4,
Siobhan Murphy, a year ago, 5,
Tommy England, a year ago, 5,spot worth visiting serve big portion affordable price regularly well kept good ambience visit
Drenica7 Dren, a year ago, 5,
Christine Heinz, a year ago, 1,went november interested linguine amore 17 45 served shrimp expensive n't like shrimp asked price changed shrimp meat ball said 15 45 
Brianna Stoohs, 2 years ago, 5,penne vodka place godsend mean visit boyfriend hoboken around every 3 week start looking forward way advance exactly penne vodka supposed generous 
Nichole Workman, 2 years ago, 1,ordered fettuccine alfredo italian sub meat lover pizza delivery faster anticipated food poor quality pizza basic tasted like frozen pizza sub dry 
Haydee Sanchez, 2 years ago, 1,
