author,date,rating,text
Basavaraj G, 2 days ago, 3,
Sachin Patel, 6 days ago, 5,rose chai amazing buy ingredient guy perfected
Gaurang Patel, 6 days ago, 5,customer year quality product
Shastri Maharaj, 6 days ago, 5,
Vishala M, 6 days ago, 5,
shar s, a week ago, 5,ambience pretty cool ethnic ordered couple item popular menu rose chai bombay sandwich avacado toast amazing good place visit
Gina Bucchiano, 2 weeks ago, 5,great coffee
Jason Ganz, a month ago, 4,place excellent coffee get pick flavor coffee want pour addition everything done cup mass made bit machine cup therefore fresh however bagel got overcooked hard chewy rather soft bagel made soft insipid would perfect bagel morning cup coffee happy female owned business continue support work bagel review become five star
Anuj Mittal, a month ago, 4,finally place nice indian style tea
Ravi Teja Kolla, a month ago, 5,great ambiance good taste
Reyes Carpintero, 2 months ago, 3,
Kritika Sethi, 2 months ago, 5,
Shabeer Mothi, 2 months ago, 5,
Katrina Michalewski, 2 months ago, 5,coffee absolutely delicious n't eaten yet great vibe
delfi peralta, 3 months ago, 5,
Lakshmi Maddali, 3 months ago, 5,love rose chai donut place hidden gem pun intended
EMAN ALOFI, 3 months ago, 5,really like rose chai latte variety option 
Ian Fette, 3 months ago, 3,love garden st location location path chronically understaffed morning waited 15 minute latte placing order today  kind time built morning commute
Paige DiFiore, 3 months ago, 5,love honey bee latte  spacious photogenic
Anurag Chaudhary, 4 months ago, 5,
Pratik Kadam, 4 months ago, 5,
Anirudh PV, 4 months ago, 5,
Koko T, 5 months ago, 5,rose chai latte purple haze coffee amazing especially love pink drink rose petal rose chai latte  def come back
Haotian Cai, 5 months ago, 3,disappointing espresso par hidden ground store employee wearing mask busy facetime
Rishi Takrani, 5 months ago, 5,great experience many option choose got rose chai tasted amazing nice ambience sit relax enjoy cup tea coffee friend check variety option available everyone also vegan gluten free dessert available hoboken store
Randall Blecher, 5 months ago, 5,refreshingly different coffee shop great selection coffee chai drink donut delicious
Michael Deperio, 5 months ago, 5,
Simon Gorelkin, 5 months ago, 5,monica best
X Boone (The FiG), 6 months ago, 5,de-lish cheesiest bec area
Dheeraj Chakilam, 6 months ago, 5,vegan filter coffee oatly oat milk amazing vegan traditional chais spiced sweet great well
Tushar Sudake, 7 months ago, 2,slow service tasty
Jennifer Krems, 7 months ago, 5,great decor cozy one best chais around
Christabelle Liu, 8 months ago, 5,loved place simply chai still love though miss delicious egg toast hot sauce dish bombay sandwich good also big fan hot saffron chai hot rose chai actual coffeeshop spacious comfortable well decorated well thing appropriate spaced usually see girl behind counter go average height short curly wavy hair glass usually 2 braid sorry n't know name friendly quick rockstar
Agnel J D'Cruz, 8 months ago, 5,
Priya Bajaj, 8 months ago, 5,
Parul Duggal, 8 months ago, 5,
Roxanna Santamaria, 8 months ago, 5,
Katie Mc Croy, 8 months ago, 1,came try donut post ig super small compared zoomed picture ig stale super dense flakey soft like donut maybe cause stale biggest turn posted instagram deleted comment  even bother dm-ing alone tell never bring business business understand customer always right transparent honest  delete negative review smh
Nivesh Kalra, 9 months ago, 3,service crazy slow two people kitchen one person serving order given number order would thought second person would jump serve however food actually pretty good
Ananya Gupta, 9 months ago, 3,look like simply chai renamed hidden ground coffee assuming tea went selling ordered ginger tea elaichi cardamom tea former okay strong enough ginger flavor latter okay mild point also lot residual strand filtered
Keisha Mukasa, 10 months ago, 5,
Mason Cooper, 10 months ago, 5,
Shreya Mukherjee, 10 months ago, 3, order ginger tea couple time hoboken store  either hit miss depending  making expensive tea around 6 also  replaced sandwich  naan  wiches  know sandwich good seeing bread replaced naan  feel like trying
Ashni D, 10 months ago, 1,went simply chai new brunswick first time couple month ago september 2020 terrible experience male staff rude family guy unwelcoming impatient spoke aggressively u placing order difficulty hearing speak wearing mask got annoyed u repeat said never experienced terrible customer service place made u feel sad treated way ordered 4 hot chai drink lukewarm even taste like chai lukewarm milk syrup small cup 3 4 full expensive place would expected least full cup authentic chai came back last week hoping better experience especially regular hidden ground however everything mentioned hold true staff member rude improvement quality drink felt need write review coming back
Joe Vigilante, 10 months ago, 4,
Michael Samaniego, 10 months ago, 5,love donut probably ordered dozen  regret one bit favorite rose lemon donut  fluffy sweet melt mouth keep ordering  understand one star reviewer
Aditya Borde, 10 months ago, 4,
HARSHA VARMA, 11 months ago, 4,
Bhavik Jain, 11 months ago, 5,
Roshan Bhakta, 11 months ago, 5,
Sourabh Saha, 11 months ago, 5,wonderful chai especially masala chai bombay grill cheese also worth trying 
anwar hyder, 11 months ago, 1,wish could give zero horrible chai place word chai name expensive tasteless sugar water sure place many high review please contact share recipe better chai good luck take care
Chirag Rana, 11 months ago, 3,weekday lame happening spot must visit weekend overpriced tea lol starbucks 
Chinmay Nerurkar, 11 months ago, 5,
Jacalyn Boer, a year ago, 5,really cute spot delicious drink
