author,date,rating,text
Angela Frid, 2 weeks ago, 5,fast efficient service excellent product large variety custom bubble tea highly recommended
amelie, 3 weeks ago, 5,dana amazing love much best employee everrrr
Nagnath Prabhu, 3 weeks ago, 4,place got nice variety bubble tea also adjust level sugar drink actually make accordingly
Justin Chen, a month ago, 5,fast service everyone except customer wear mask
The Travelling “RJ” Bhuiyans, a month ago, 3,
Ivanna Kaleniuk, 2 months ago, 5,bubble tea fan definitely check place great variety flavor quick service also order pick 
Mitchell Reiff, 2 months ago, 5,
Andrew McCauley, 2 months ago, 5,
prshant batra, 2 months ago, 1,told wait since seemed busy order sincerely waited 10 min chinese man walk order told lady behind counter  thought see bubble tea made since  look chinese asian  fact check india part asia found super rude would never go
hiba khan, 3 months ago, 5,
Xingyang Wu, 3 months ago, 5,bubble really delicious like
Mimi ZZ, 3 months ago, 1,stay away place
Max Oro-Hahn, 3 months ago, 5,
eda kurt, 3 months ago, 5,delicious kind staff fast service many option recommend kung fu milk tea
Umm Kalthum, 4 months ago, 1,sadly bad first experience green tea really bad taste maybe bad asked would replace something else told flat idea good customer service going back recommend hoboken
Logan Minami, 4 months ago, 5,came whim dinner seeing map best bubble tea  ever  tea connoisseur  spent 2 year working bubble tea shop  area bubble tea mainstream every corner  good taste many different kind tea extremely  rich  tongue tingling flavor got nice combo strawberry lemon green tea mention grape popping bubble something never heard impressed would 100 recommend anyone walking street definitely make must stop whenever  north
Kui Sun, 4 months ago, 5,
Jigz, 4 months ago, 5,
payam rastogi, 4 months ago, 4,
Akash Sharma, 4 months ago, 5,favorite
Priscilla Lozada, 4 months ago, 5,
Timothy Maryanski, 5 months ago, 5,amazing service girl blonde hair behind counter
Liezel Ayangco, 5 months ago, 5,delicious highly recommend taro milk tea wintermelon milk tea
Pete, 5 months ago, 4,would give five star dialled sugar level little getting much even ask le sugar
Shachar Ashkenazi, 6 months ago, 5,delicious bubble tea
Ivan Radoslavov, 6 months ago, 5,
ankur wadhwa, 6 months ago, 4,
Pruthvi Bhat, 6 months ago, 5,thai bubble tea combined regular coffee bubble make drink delicious
Rajarshi Choudhury, 6 months ago, 4,
Emely Wexler, 6 months ago, 5,
sandra villamar, 6 months ago, 5,translated google excellent original exelente
Alex García, 6 months ago, 5,give 5 star bubble tea best especially mango slush best bubble ever tried currently disappointed giving stamp card anymore well n't understand take overall bubble tea good price believe fair staff friendly place organized clean
Muath Mahmoud, 7 months ago, 4,tea experience sweet
Oleksandr Artiushenko, 7 months ago, 5,
Foo McCoolio, 7 months ago, 5,
Mariia Aksenova, 7 months ago, 1,terrible customer service ordered hot oolong tea made black regular tea refused refund asked pay wanted exchange drink something else manager  want talk rip
Mae Dungo, 7 months ago, 5,
Agentsmith 2099, 7 months ago, 5,awesomesauce price pretty good remember get pay staff friendly organized bad ca n't eat yet chill vibe tea great milk shake slush best spill proof cup awesome function design whether bubble tea milk shake place go
tianwei liu, 7 months ago, 5,
Yolanda Dell-Graham, 7 months ago, 5,
Linda Du, 7 months ago, 3,way sweet
Anna Woerz, 7 months ago, 5,yum great bubble tea adjust sugar content
Guisi Ni, 8 months ago, 1,cashier store today super rude disappointed
Sydney McMillian, 9 months ago, 2,translated google ewwwwwwwwwwwwwwwwwwwwwwwwwwwww original ewwwwwwwwwwwwwwwwwwwwwwwwwww
Chao Han, 9 months ago, 1,cashier make feel store lot money
Patteeya B., 9 months ago, 3,
Dhwani Patel, 9 months ago, 5,best bubble tea ever really like popping bubble
Rupak kumar Bag, 10 months ago, 5,
Jihong Song, 10 months ago, 5,generally quite good
ATOMIC BOOMER LIVE, 10 months ago, 5,
Hazel, 11 months ago, 5,one fav bubble tea place fav drink category milk strike herbal jelly classic kung fu black tea milk tea thai punch lychee black tea milk cap cocoa cream yogurt green tea slush tarp love kung fu tea
Anthony Robles, a year ago, 2,tea fine shame violation state law regard refusing allow customer use restroom even people ibt
Edward Wei, a year ago, 5,
Christian Santos, a year ago, 5,
Himanshu Sethi, a year ago, 5,
Adeel Ahmad, a year ago, 5,
Mariam Basta, a year ago, 3,got oolong milk tea 50 sugar tasted like sweet milk bubble also way sweet never tasted bubble like
nihar pethani, a year ago, 4,
Sophia T, a year ago, 5,great mango slush
Ellen, a year ago, 3,cashier friendly drink made specification extremely sweet asked sugar label say sugar well
Emily Ng, a year ago, 5,always kind worker drink never disappoint
Amina Malik, a year ago, 5,
Voravong Nachampassak, a year ago, 5,
Jesus Garcia, a year ago, 5,
Dakota Van Deursen, a year ago, 5,fast personal great atmosphere stopped least day almost five year staff took time get know prepare drink ordered despite ton people flowing every day location set gold standard bubble tea despite tempting option around
Chinmay Nerurkar, a year ago, 5,
Liset Urgiles, a year ago, 5,
Oscar De La Rosa, a year ago, 3,
Jenny, a year ago, 5,translated google amazing place tea delicious precise one good original un lugar increble el t e delicioso los preciso son buenos
kelsey M, a year ago, 1,follow freaking instruction guy hate jelly bubble tea specifically selected tapioca bubble hell would give tapioca stupid jelly guy instruction simple pay attention ruined drink lost 12 bubble tea grubhub service fee tip
andrei p, a year ago, 2,
Joy Intasamakul, a year ago, 5,
Akash Sharma, a year ago, 5,
Karen A, a year ago, 5,
Luke Fisher, a year ago, 5,
Jazmin Contreras, a year ago, 5,
samir saha, a year ago, 4,
Bhaumik Shah, a year ago, 5,great bubble tea
Sumith Somasundaram, a year ago, 5,
Priyanka Basu, a year ago, 5,
Simon Raymond, a year ago, 3,
Richard McCormack, a year ago, 2,plesant
Justin Antigua, a year ago, 5,
Tim Leonard, a year ago, 5,
A Sad, a year ago, 5,
Mariam Gadelsayed, a year ago, 5,
Earl Grey, a year ago, 5,
Arathy M, a year ago, 4,
Melly H, a year ago, 4,
souleater 978, 2 years ago, 5,tea amazing
Dakshin, 2 years ago, 5,
Alexander Rizsk, 2 years ago, 5,amazing tea great option
Luana Sampaio, 2 years ago, 5,
leo ouyang, 2 years ago, 1,
Dee Dee Foodie4life, 2 years ago, 5,yes yes yes kung fu tea mango green tea mango jelly delicious
Greedy V2, 2 years ago, 5,love process good
Bayane Khelili, 2 years ago, 1,really hate person complain  thing like make never want return store  customer year always place pick order without problem even  close soon always get accommodated today called 9:40 place regular order get weekly phone  answered multiple time knowing  open girl answered hesitating take order saying close 10 gon na like obviously   calling drive way jersey city inconvenience go inside pick order placed 20 minute ago tell sorry forgot  like okay problem give order tell dumped bubble honestly irritating  want bubble tea without bubble drove reason called get reliable worker
madeleine, 2 years ago, 5,
Kevin Largacha, 2 years ago, 5,
Ravi Rathore, 2 years ago, 5,
Gabriela Espana, 2 years ago, 5,best bubble tea
anthony mauceri, 2 years ago, 4,personally prefer gong cha tea better kung fu tea much better option socializing friend due extra space layout room
Emily Raque, 2 years ago, 5,place fulfill bubble tea need
Julia Liszka, 2 years ago, 5,
Krishma Shah, 2 years ago, 5,
Kavy Jain, 2 years ago, 5,amazing bubble tea fan bubble tea acquired taste must visit place ginger milk coffee milk bubble tea leeche punch bubble personnel favorite
Mari F, 2 years ago, 1,visited tapioca bubble tea n't fresh texture hard
Anthony Curro, 2 years ago, 5,
Dennis W., 2 years ago, 3,
Shireasha Walker, 2 years ago, 5,
Karen N, 2 years ago, 4,messed order initially staff good quickly fixing apple pay accepted minimum tea brewed perfectly hoping see bubble tea shop pop hoboken kung fu tea definitely 1
Rushabh Maru, 2 years ago, 3,
Mohibba Fatima, 2 years ago, 5,best bubble tea ever
Viktoria Synytska, 2 years ago, 5,
Dani Cruz, 2 years ago, 5,
Andrea Matos, 2 years ago, 5,
DeusCurrentMachina O., 2 years ago, 5,always make best bubble tea comparison hoboken location great variety new jersey looking good bubble tea lol
Benny Liang, 2 years ago, 4,
Amena Chaudhri, 2 years ago, 5,
Sally Elias, 2 years ago, 5,many flavor choose always try pick new one every time come adjust much sugar ice want big plus tea flavor actually come overshadowed much sugar
Michael, 2 years ago, 5,
SeoYoung JI, 2 years ago, 5,
Zuhal Taş, 2 years ago, 5,first bubble tea loved keep coming back lady register kind friendly tried kung fu tea latte bubble really good think bubble go better tea 
Grace Chen, 2 years ago, 5,
David Jamroz, 2 years ago, 5,best bubble tea area
O-livia, 2 years ago, 1,disgustang drink asked new drink first order gross received thing never come back u want money back
vincent prado, 2 years ago, 4,pretty good
varvara kirylchyk, 2 years ago, 5,nice place good choice
Jordan Urbaczek, 2 years ago, 5,best bubble tea hoboken favorite taro milk green tea
Henry Tseng, 2 years ago, 4,
Yiyang Yu, 2 years ago, 5,
Caleb Ward, 2 years ago, 5,one best boba tea place find hoboken building decorated nicely make experience lot better fun relaxing place go friend family offer board card game play wait drink finish service usually fast quality awesome
CC Mizrahi, 2 years ago, 5,fantastic service delicious tea
Juli Sams, 2 years ago, 4,fantastic coffee get going day long place must stop whenever come nj pro tip go early
Stephen Desautels, 2 years ago, 5,
A P, 2 years ago, 4,
Anita Jathavedam, 2 years ago, 5,
张宝文, 2 years ago, 4,
Darren Farinas, 2 years ago, 5,
Kush Patel, 2 years ago, 5,great selection flavor option definitely come back
Huiyan Chen, 2 years ago, 5,
Rahul Yadav, 2 years ago, 5,
Stephanie Colon, 2 years ago, 5,loved
Oulla Dahhan, 2 years ago, 5,
Ruth Xue, 2 years ago, 5,
Jack Brummer, 2 years ago, 4,
Madhuri Kashyap, 2 years ago, 3,
Yuexiang Yao, 2 years ago, 3,
swapnil moon, 2 years ago, 5,lot option service fast
T L, 2 years ago, 1,actually depends girl working day got great customer service awesome tasting tea today different girl working customer service n't good tea pretty bland supposedly fancy specialty tea
Rachel Cipkins, 2 years ago, 5,
Chong Shen, 2 years ago, 4,
Alexander Fligel, 2 years ago, 4,good bubble tea cup size seemed little smaller expect
Mike Pacheco, 2 years ago, 5,
Jesus Lopez, 2 years ago, 5,
Hudson Shi, 2 years ago, 5,
Aileen, 3 years ago, 5,
David T, 3 years ago, 5,
Miao Miao, 3 years ago, 5,
Priyanka Manocha, 3 years ago, 1,giving star 10 star card thing like refund favor even waiting drink ordered take forever make drink bubble tea ca n't take 10 minute also bland taro tea color taste taro
Feng Bian, 3 years ago, 5,good service delicious bubble tea go every weekend
Gabi, 3 years ago, 5,really sweet staff great drink
Charles Zwicker, 3 years ago, 5,
Eric Chu, 3 years ago, 5,
Red Dacquel, 3 years ago, 4,
Robert Schaedler III, 3 years ago, 5,
Cristal Fuentes, 3 years ago, 5,
Carter Rosen, 3 years ago, 5,
Nick Everts, 3 years ago, 5,best place little bubble tea hoboken wife go way often
Michael Bolls (マイケル・ボールス), 3 years ago, 5,tasty remembered also nice free video game enjoyment
Paulo Morante, 3 years ago, 5,
Ashley Bromiley, 3 years ago, 5,always play great music sticky note wall amazing bubble tea good toooo
Shuo Zhang, 3 years ago, 5,
John Nagle (Blasterman#1362), 3 years ago, 3,milk tea good n't bother rice roll chicken dry
Sam J, 3 years ago, 5,
samantha ceballos, 3 years ago, 4,
Rosemary Guerrero, 3 years ago, 5,
Suhayb I., 3 years ago, 4,
béatrice Lipeb, 3 years ago, 4,
Jon Dow, 3 years ago, 1,location claim milk dairy free milk lactose free dairy free edit owner fine print menu online state milk powder contains  sodium caseinate  milk protein dangerous people dairy allergy
René Gonzalez, 3 years ago, 4,slow service
Qianren Zhou, 3 years ago, 3,
Luis Mendes, 3 years ago, 4,
Rirrii, 3 years ago, 5,
Mike Wu, 3 years ago, 4,
Alexander Lee, 3 years ago, 4,
Matthew C, 3 years ago, 4,ordered yogurt orange tasty downside expecting yogurt like semisolid food reality like watered orange juice
Hangqiang Xie, 3 years ago, 5,
Ru-Ern Chee, 3 years ago, 4,friendly service bit slow busy long skinny layout super conducive getting order fast think much like free game station retro arcade game button mash waiting
Kid Wu, 3 years ago, 5,translated google kid bubble tea good original 
Valerie Yeo, 3 years ago, 5,walked smelling tea fragrance lovely fast service definitely go back
Jude Odenthal, 3 years ago, 1,always get order wrong ran bubble twice week 9 pm evening overpriced
Gustavo Genao, 3 years ago, 5,
Tommy Castner, 3 years ago, 4,
Roxie L, 3 years ago, 1,
Aditya Kamath, 3 years ago, 5,definitely try mango snow visit one best bubble tea
Adam Chen, 3 years ago, 5,
Lan, 3 years ago, 4,kung fu tea drink dangerously delicious particular location however definitely get drink leave kind place place sit chill unless get one table back place entirely narrow seated wall people brush existing
Jaren Rocha (Jboy0624), 3 years ago, 5,
Yasemin Alev, 3 years ago, 5,tapioca always fresh drink great lot customizable option perfect drink le ice sweetness etc love
Salith De Silva, 3 years ago, 4,love buble tea issue finding easy parking washington street hoboken problem though
C DeGuzman, 3 years ago, 4,
Christian Benitez, 3 years ago, 5,
Devan McCoy, 3 years ago, 5,
Kevin Yan, 3 years ago, 5,
Jonathan Vick, 3 years ago, 1,second time order delivered correctly mango slush bubble converted mango ice chunk bubble jelly nearly top cup whatever tan colored sludge bottom coming back
SuVeThA, 3 years ago, 5,
Paulina R. Khanna, 3 years ago, 5,
James Sweeney, 3 years ago, 4,
Lihong Ma, 3 years ago, 5,
James Fong, 3 years ago, 5,god bless
Koro Chan, 3 years ago, 5,fast friendly service amazing selection tea filling snack always come hoboken least week
Fan Zhang, 3 years ago, 4,
Carlos Cesta, 3 years ago, 3,
Christopher de la Victoria, 3 years ago, 4,
Natalie Dunn, 3 years ago, 5,
Emily Luedeman, 3 years ago, 5,
Sandra “Sandi” Bartlett, 3 years ago, 3,fun atmosphere game available entertain small area super loud constant basis
Veronica Gonzalez, 3 years ago, 5,
Gillibee, 4 years ago, 5,best bubble tea bubble chewy never hard herbal jelly top notch
Melanie Tam, 4 years ago, 3,bubble tea sort drink boyfriend really like place gave try ca n't remember kung fu tea chain city liked menu system location extremely customizable get choose bubble v tapioca etc flavor sugar level ice level careful thought add-in add real quick iced oolong tea herbal jelly really enjoyed lot herbal jelly chunk way big fit straw tea great n't watered like half expecting would definitely willing come back try combination
Dalid Castillo, 4 years ago, 5,place clean place chill friend bubble tea yummy
Carin Whitaker, 4 years ago, 5,kung fu franchise popping good reason bubble tea best get unsweetened half sweet full ice light ice double bubble jelly etc everything order get coconut milk tea unsweetened bubble tapioca lught ice whether order columbus ohio hoboken amazing product nailed kung fu franchise guru bubbletea kungfutea
Alyssa Russek, 4 years ago, 5,best service delicious bubble tea
Meng Chen Lee, 4 years ago, 5,perfect place grab drink school love environment
Natashia Rodriguez, 4 years ago, 1,wait line ordering tea waited 15 min 1 tea get watched ppl get tea n 15 asked money back ill never go
S T, 4 years ago, 5,
Xiaolong Li, 4 years ago, 5,slick decoration spacious drink also good
Juan Huerta, 4 years ago, 5,awesome place awesome bubble tea wife daughter visited place loved
Pamela Pinon, 4 years ago, 5,
Prashanth Reddy, 4 years ago, 4,
Rawad Shaheen, 4 years ago, 5,
John, 4 years ago, 5,friendly service even lactaid menu ca n't entire milk like fast even busy day sit play board game highly recommend
Nam Dao, 4 years ago, 5,
Phuoc Nguyen, 4 years ago, 5,
Mehmet Kurt, 4 years ago, 3,
Carlos Gonzalez, 4 years ago, 4,
Gabby P, 4 years ago, 4,
Toni Cano, 4 years ago, 4,
Yoohan Ko, 4 years ago, 5,
Sukanya Rangarajan, 4 years ago, 5,try mango slush jelly
Vaibhav Agarwal, 4 years ago, 5,really like green tea
Joel Ruiz, 4 years ago, 5,
John Gazzara, 4 years ago, 5,
Li-An Chen, 4 years ago, 5,
Dawn Bo, 4 years ago, 4,
Nhung Nguyen, 4 years ago, 5,
Frank Filogamo, 4 years ago, 4,price little high line hoboken good selection fast friendly service
Punk Geek, 4 years ago, 5,
Patrick Catanzaro, 4 years ago, 5,amazing bubble tea great staff game play back enjoy tea
Jiaren Li, 4 years ago, 5,good place variety bubble tea hot drink
angela hurtado, 4 years ago, 5,ginger tea delicious
Wil M, 4 years ago, 5,
Craig Dubery, 4 years ago, 5,looking real treat try slush mango jelly
Paul Lichstein, 4 years ago, 5,nice people
CK Chinkuei, 4 years ago, 4,good service
AliciaTH1, 4 years ago, 5,love people ive known year theyre super cool oolong milk tea taro milk tea original kung fu milk tea die almost come every week every day cant get enough 
Jahn Andersen, 4 years ago, 5,love bubble tea must like bubble tea
Ankit Sharma, 4 years ago, 3,great bubble tea rude employee cash n't understand long take get card machine fixed sham
Queen SeeAsia, 5 years ago, 5,yummm eee
Pat Coleman, 5 years ago, 5,great little place grab coffee bubble tea favorite lychee punch staff friendly wifi free
Francis Botero, 5 years ago, 4,tea good
Devin Mattheson, 5 years ago, 4,great place bubble tea game lot flavor option
Brad Tylutki, 5 years ago, 5,friendly staff fast service
Anthony Tesori, 5 years ago, 5,
Avinash Salgam (Avi), 5 years ago, 4,
prashanth r, 5 years ago, 5,nice cozy little place hang frieends
Jayahar K, 5 years ago, 5,welcoming friendly staff member tasty beverage
