author,date,rating,text
Emily Ng, a day ago, 5,delicious tasty garlic shrimp mofongo great entree come two side except mofongo though garlic sauce amazing instagram emilyeatsat
Dirty Sanchez, 3 days ago, 5,oxtail point
Carlos Rivera, 6 days ago, 5,food delicious definitely go back
Lem Wilson, a week ago, 5,food amazing wife best bistec empanizado ever eaten along maduro avocado salad rice bean everything fresh bill unbelievably inexpensive seeing lot u future
Frael Reinoso, a week ago, 5,
Sheila Dilone, a week ago, 4,nice tiny place good music ambiance nice staff great food real latin american flavor
RAJAT MALHOTRA, a week ago, 4,good food small space
Luis Negrin, a week ago, 5,love eating la casa great cuban sandwich pastelles great service atmosphere
CARMEN-DELIA V, 2 weeks ago, 5,delicious empanadas alcapurias friendly clean n great service
rolando castilla, 3 weeks ago, 5,
Avi Persaud, 3 weeks ago, 5,best caribbean latin food  ever chicken fried rice phenomenal garlic chicken plus staff attentive welcoming weekly staple point
Alexa Angel, 3 weeks ago, 5,
Eric P, a month ago, 5,always consistent always tasty chicken beef stew empanadas basic rice bean great
Maura Ruiz, a month ago, 5,translated google delighted attention everything serve delicious friendly staff affectionate welcoming customer original encantada de la atencin todo lo que sirven e muy delicioso muy amable el personal son muy cariosos acogedores con los clientes
michael roman, a month ago, 5,first time wonderful looking food delicious large amount recommend highly ca n't wait go back
Zama Rivera, a month ago, 5,great service dinner delicious
Ricardo Castillo, a month ago, 5,huge portion great price importantly food great
Altinay Cortes, a month ago, 4,delicious food nice staff missed pickup order grubhub gave complimentary dessert
Kaitlin Jean-Noel, a month ago, 5,worker kind welcome food top tier mangu la casa phenomenal would definitely recommend
Anthony Rodrigues, a month ago, 5,another really flavorful good latin cusine place
Kat Scott, a month ago, 5,place great vibe byob wait staff patient nice ended trying three different appetizer including tostones rellenos split cubano one sandwich bill 40 great deal delicious meal
Stephanie Ortiz, a month ago, 5,la casa far favorite restaurant hoboken  like grandma cooking healthier delicious  tell abuela year obsessing la casa friend family also love restaurant either ordering enjoying hole wall quaint feeling person weekend asked la casa cater rehearsal dinner everyone excited la casa delivered beyond even 2 hr traveling food tasted fresh delicious ordered everything rice yuca croquettas pernil ropa vejia cubanos many people  heart coconut cake guava cheesecake left within second thank la casa making start wedding weekend unforgettable u knew stomach would happy ready next day highly recommend la casa dinner night event alan amazing work
Matteo De Santis, a month ago, 4,
Priyanshu Deshraju, 2 months ago, 4,dinner 2 ordered grilled chicken mexican style love green sauce chicken felt old rubbery place value money
J Martinez, 2 months ago, 5,
John D, 2 months ago, 5,
Mark Bullock, 2 months ago, 5,
Frank Guzman, 2 months ago, 5,oxtail w yellow rice w pigeon pea sweet plantain wow still licking ffingers place peaceful ambiance definitely go love peace \u200d
Janet Castiblanco Gonzalez, 2 months ago, 5,
Amanda Shirley, 2 months ago, 5,
Brandon Martinez, 2 months ago, 5,super quick service great staff great food
Jerome Langella, 2 months ago, 5,amazing food far best cuban sandwich tri-state area must try signature dish also excellent staff friendly helpful restaurant byob
Alfonso Austin-Rivera, 2 months ago, 5,
followJTusa JT USA, 3 months ago, 4,hoboken jan latin food taste homecooked la casa 54 newark street offer taste tender rabo encidido oxtail exclusively latin dish also universal favorite enjoyed meat lover africa pacific peeking hot cabinet food warmer variety empanadas croquetas papa rellena seen outside glass window even offer guava cheese empanadas dying try fave far spinach cheese beef carne olive chicken pollo empanadas taste fresh made in-house easy miss tiny door lead cozy intimate atmosphere menu offering include standard latin favorite chicken chorizo beef side include bean selection rice yuca maduros name seems small place btw let forget good meal complete without dessert bar display coconut cake chocolate enclosed glass stand coffee served weekday special entree come 2 side tradition followed spanish restaurant generous portion side choice arroz moro arroz amarillo etc sandwich also offered brunch week-ennds startvearlty check schedule change due changing covid protocol make sure say easy salt please least
Janill Rivera, 3 months ago, 5,
Juan Bolívar, 3 months ago, 5,translated google excellent latin cuisine area original excellent cuina llatina la zona
Alexander Chen, 3 months ago, 5,
Tunde' F, 3 months ago, 5,food amazing well service
