author,date,rating,text
Danielle, 2 weeks ago, 1,could zero star longtime loyal customer always loved food however one time got beef broccoli smelled tasted absolutely rancid fair blue chinese food sometimes called asked see would refund replace refused help got offended didn\'t want potentially get ill sick meat smelled spoiled owner literally told don\'t get replacement refund mean don\'t like cooking hung speaks volume business run concern likely significant health code violation broken defensive owner get one small complaint request stay away cost
E, 3 weeks ago, 1,owner restaurant rude costumer  come
Lotte Andersen, 4 months ago, 4,
chikita diaz, 4 months ago, 1,receptionist spoiled listen phone personal life
Kimberly Dora, 4 months ago, 2,love food lady handle phone rude driver got lost called store hoping give better address rude gave attitude told wrong address proceeded hang phone order anymore despite food good  way treat repeating customer
Jaime J, 4 months ago, 1,terrible customer service lady phone rude hang explaining issue delivery food ordered several time never ordering place chinese food option hoboken offer better service hope help future customer
William Pond, 4 months ago, 5,
D S, 5 months ago, 1,found piece clear plastic eating noodle soup ordered looked paint chip called let know found soup lady hung never eat food
MELO JR, 5 months ago, 1,guarantee stomach acheeverything cookedvegetables taste horrible
Jeremmy Capilla, 6 months ago, 5,
B Mason, 7 months ago, 3,food undercooked came quickly usually better also give u way much package sausage end trash please stop sending u
Sarah Lynch, 8 months ago, 4,
Rohan Pandit, 8 months ago, 1,
Alex Granit, 9 months ago, 5,
Michael Volpe, 10 months ago, 5,
Zah From Newark, 10 months ago, 4,girl answering phone need check attitude rude food greasy fresh would give 5 star  miss cutesy rude girl
Jose Tuy, a year ago, 1,
Alexis Webb, a year ago, 1,could give place 0 star would live across street ordered food 6:30pm 7:30 called find food greeted rudest employee said waiting driver get back said live across rudest tone said told street delivery would hour told would done pick ended canceling order option town never give place another cent money better offer ordering asia sushi 9th washington 10 block away house showed 20 minute better price quality food
Jesse Schoenfeld, a year ago, 5,ordered take couple time via website really good food 
Todd, a year ago, 5,fit description unfussy take-out delivery joint offering classic chinese dish many health-oriented choice review must looking chinese food packed msg simple good food
James Barwick, a year ago, 5,
Jennifer C, a year ago, 5,amazing best chinese food hoboken looking light healthy everything fresh tasty like chinese food spot hoboken go spot quick delicious food make feel awful eating 10 10
Joe Minuti, a year ago, 5,good tasting food good price
mostaan Saremi, a year ago, 5,
thisplaceisajoke, a year ago, 1,customer service sucked worst chinese restaurant hoboken order place woman answering phone rude inconsiderate got order wrong called back let know something  correct told wrong told order 3 time never read back claiming also seems distracted put hole 3 time probably order wrong lmao place joke
RichyG, a year ago, 5,best chinese food hoboken new jersey
Kendell Mccook, a year ago, 3,boneless spare rib combo plate ok nothing spectacular chick kathy front desk absolute sweetheart
Eric Hammer, a year ago, 1,good ranked 1 chinese food hoboken beyond general tso chicken rubbery mundane lo mein bland egg drop soup fine egg roll saving grace meal whole regrettable hoboken city quality chinese food hard come ton better option
Opoline, a year ago, 2,costumer service good trying explained wanted lady front desk rude
Dee Ta, a year ago, 1,re-writing review due rude customer service longer ordering restaurant older woman front please fix attitude lost valued customer
Genevieve, a year ago, 5,affordable tasty fast service
Robert Crowther, a year ago, 2,mediocre really n't enjoy anything ordered look elsewhere area chinese food
Jordan Tang, a year ago, 5,fast friendly staff really tasty general tso  chicken probably best area everything tasted fresh
Thomas Fan, a year ago, 5,good service great food
Simon Belmundo, a year ago, 5,awesome food love place
David, a year ago, 5,
JC P, a year ago, 4,good food good price
