author,date,rating,text
manuel largo, 2 days ago, 4,
Sanket Pednekar, 4 days ago, 3,nice place ramen fond japanese cuisine muteki ramen made rethink ordered bang ban shrimp pretty good maybe could serve dipping sauce appetizer much spice also ordered karaage ramen thin noodle quantity way much felt chicken never going end usual ramen taste nothing extra ordinary chicken good taste ended meal mango mochi ice cream good although first time mochi icecream overall decent experience good food
TheGrassGuy, 5 days ago, 5,greatly enjoyed spicy ramen okonomiyaki first time trying latter actually liked
Bianca Johnson, 2 weeks ago, 1,went lunch friend today fried chicken boa soggy ramen enjoyable broth thin noodle used nothing enjoyable n't eat much friend got kimchi ramen also said lacked flavor way better ramen
Leonardo Altafine, 3 weeks ago, 4,
Maria Loera, 4 weeks ago, 5,ordered ramen okonomiyaki unagi karaage fried chicken item tasty even delivery could tell cared presentation definitely ordering want ramen night
John Griffin, 4 weeks ago, 5,love volcano always fast food excellent thank
Daniel Feyjoo, a month ago, 5,great food 2nd time n't disappoint
Florence Eng, a month ago, 5,
stacey li, a month ago, 5,great place looking ramen wanting experience japanese food gyoza crispy juicy takoyaki soft sweet especially since bonito top came friend ordered ramen tonkatsu ramen karaage ramen karaage crispy crunch great take bite broth ramens good taste pork broth wasnt salty overall great place server nice plus came back checked see needed anything 5 star coming back try item
Matthew Mo, a month ago, 5,
Kevin He, a month ago, 5,
Mar'Keith AllenCampbell, a month ago, 5,stationed japan 2 plus year get taste ramen udon restaurant shop sell ramen udon feeling hard recreate walked got warm polite welcome staff nostalgic feeling hit knew gon na good waiter polite patient kind decided order volcano miso karaage bun ramune strawberry karaage bun soft warm delicious like omg volcano miso hit spot like train hitting destination clear beautiful day right amount spicy compliment oh butter melt tongue pork near part jesery spot might wan na stop try
kovit nisar, a month ago, 5,love veggie ramen tempura bao
Bryan Cabo, a month ago, 5,long day veteran group running flag throughout northern nj found way  always ramen damn  know going amazing surprise long story short veggie ramen phenomenal also picked mochi green tea cheesecake
Liza Gomelski, a month ago, 5,thank muteki making delicious tamtamen ramen make happy every time excellent service fancy restaurant date craving hot soup fulfill need coming back
Natasha Brennan, a month ago, 2,food good halfway guess employee child walked kitchen area poodle left restaurant shortly came back poodle arms  finish food repulsed arrived guest pet outside guest sit outside pet would employee think  ok pet inside dining food prep area gross
ankur wadhwa, 2 months ago, 5,
Vanessa W, 2 months ago, 4,
Toni B, 2 months ago, 1,reaally wanted like place several negative 1 volcano ramen decent definitely sweeter side 2 ramen garlic oil always get ramen place nj ny asia tasted like salt 3 takoyaki ridiculous one dough one tiny piece squid kindly shared feedback server said takoyakis made supplier ugggghh get better supplier food worth money brings 4 overpriced even nyc standard get larger better tasting bowl price
Tae Kim, 2 months ago, 5,pretty good local ramen restaurant
Shay Bates, 2 months ago, 5,
Michael Hsu, 2 months ago, 5,really enjoy muteki ramen one favorite restaurant hoboken jc area got chicken wing edamame appetizer super flavorful ca n't go wrong muteki ramen tonkotsu
Eric Shwartsman, 2 months ago, 5,delicious
R K, 2 months ago, 2,japanese cuisine indeed base texture bun think n't know make genuine japanese ramen learn bottom
Brooklyn Williamsburg, 2 months ago, 1,place authentic japanese ramen tonkotsu ramen tasty like pork broth mixed chicken broth think also japanese even ca n't pronounce tonkotsu mad ramen n't go people go reason location horrible ramen ever
Auston, 3 months ago, 3,
Stanley Chan, 3 months ago, 4,ramen bit salty overall think good deal ramen hoboken area
Tayyar Akkurt, 3 months ago, 5,
Patrick Robleza, 3 months ago, 5,
Linnea “Adurnari” Stew, 3 months ago, 5,aesthetic excellent service quick polite friendly music hair louder would normally like great selection nonetheless food chosen sake keep brief could wax eloquent quality flavor let keep simple combination flavor texture presentation made favorite ramen experience ever bought one souvenir pair chopstick commemorate occasion
Shine Wang, 3 months ago, 4,
rana kingi, 3 months ago, 5,love place
Shatilah Perry, 3 months ago, 4,visited week ago husband atmosphere nice recommend tempura bun delicious chicken katsu curry good could  bit hotter overall enjoyed meal visit finding parking hoboken terrible recommend going earlier day
Amir Zeenreich, 3 months ago, 5,excellent ramen ate miso vegetarian great bun chicken
Ambrosio Valencia-Romero, 3 months ago, 5,magnificent
Elena Gurczeski, 4 months ago, 5,
Dominique Bession, 4 months ago, 5,good food friendly staff
Derek Liu, 4 months ago, 1,
Justin Lewis, 4 months ago, 1,authentic taste
Chanell Newton, 4 months ago, 5,perfect traditional japanese ramen shop 
