author,date,rating,text
Kayla C, 3 weeks ago, 2,used love place must changed pastrami last couple time gotten texture completely different honestly tasted like boar  head pastrami grocery store deli 
Barney Simon, 9 months ago, 5,efficient pick excellent pastrami
Nick Frangipane, a year ago, 4,went soft open happy place opened hoboken ordered pastrami sandwich corned beef pastrami good tender corned beef tender cut slack 
Visionary Module, 2 months ago, 5,oh god cheese steak amazing 10 10 new cheese steak place blow midtown shred
Agent Panda, 3 months ago, 3,hmmm picture look good google map doordash however sandwich ordered last week good picture cheese sauce super dry sandwich meat almost flavor 4 6 star doordash think 3 8 google map would realistic
Doris Nicholson, 10 months ago, 5,great selection product sandwich excellent portion
Stu The Jew, a year ago, 5,place awesome best food ever two type knisches need say best restaurant washington street beyond impressive menu
Lisa Hoskins, 11 months ago, 5,pastrami sandwich excellent best potato pancake ever cook home need side dish run pastrami house get potato pancake side dish giant chocolate chip cookie sell ridiculously awesome love knish
Jacqueline Johnson, 7 months ago, 5,pastrami sandwich sooo delicious happy made 35 mile trip potato pancake perfect
Daniel Kadyrov, 6 months ago, 5,place good got hurricane brisket melted cheese pepper onion hot delicious also came tasty pickle savory cole slaw friend got sloppy joe took two day eat 
Larysa Droczak, 8 months ago, 1,blintz order piece sort plastic photo called refunded portion order 
S. G, 7 months ago, 5,great place amazing fresh food lot opinion place everything jewish style delicatessen
David Rosensaft, 10 months ago, 4,excellent pastrami good bread wish sit-down experience happy find good deli meat area
calvin roberts, 4 months ago, 1,close 9pm arrived 8 20 pm could order pastrami sandwich smh
Adam Sachs, 6 months ago, 4,outstanding pastrami great half sour pickle frill compromise quality
Kait Thomson, 8 months ago, 1,placed large order evening family friend 1 2 hour grub hub driver contacted u said restaurant backed big deal  fine 15min later received text stating order 
PH ST, 4 months ago, 5,always high quality cheap
Derrick Coates, 8 months ago, 5,reuben sandwich great toasted buttered rye bread cooked perfection  back visiting new york new jersey 
ttahir anzid, 2 months ago, 1,bad service ever owner rude n't wast time money
Elise Mueller, 6 months ago, 5,nice big sandwich clean store hsve pancake
john cunning, a month ago, 5,good menu 
Em Thompson, a year ago, 4,got large brisket sandwich meat pretty good  put sauce bread good pricey well good service  wait long  give another shot first week restaurant still working kink
Nicole C, a year ago, 5,delicious food friendly staff sandwich probably  travel well getting soggy excellent eaten site unique deli hoboken  worth visit
Varun Khanna, 11 months ago, 1,consistently received bad service cold food deli 3 poor experience never order better going nyc hitting katz craving reuben
CurlsnPearlsss, 9 months ago, 5,best pastrami ever also cole slaw perfect side compliment sandwich delish
James M. Smith, 7 months ago, 5,definitely impressed food service next time hoboken first stop
John Secret, a year ago, 5,best reuben town  really happy place opened hope make great sandwich fresh bread great service clean fast friendly highly recommended
David N Rosensaft, a year ago, 3,pastrami decent reuben flavorful albeit tad greasy item creative interesting uneven deli kind hoboken craving strike worthwhile destination
Margarita Alvarado, 10 months ago, 4,every item ordered n't disappointed matzo ball soup always favorite
evan cohen, a year ago, 1,good mediocre good however never seem get delivery order correct 4 5 time food either incomplete incorrect gentleman say  manager argumentative faced fact order incorrect best order somewhere else
Eric Hammer, a year ago, 4,retroactive january 2020 get hot pastrami sandwich first go anything else would 
George Wicks, 6 months ago, 3,forget mustard pastrami rye w provolone cheese come man
Carlos Prado, 9 months ago, 5,good sandwich spot pastrami definitely going back
Ryan Rasmason, a year ago, 4,dig place hope stick around reason 5 star personal beef pun intended pastrami sandwich everywhere overpriced n't know thing everywhere really n't expensive 
Carla Reagan, a year ago, 1,excited try place give neighborhood business purchased bite size ruben sandwich one bite afraid food poisoning pastrami chopped like 
Jason F, a year ago, 4,got large hot pastrami sandwich bread solid meat fairly fresh also n't exactly generous portion definitely pricey get however great selection jewish deli specialty 
John H, a year ago, 1,got pastrami sandwich n't good n't taste like pastrami n't rye bread like ordered swiss cheese guessing make pickle bc got cucumber prob week pickle get 1 4 pickle buy also paid extra one
Kate Grove, a year ago, 2,ordered food online seamless scheduled pick got confirmation arrived scheduled pickup time waited hour got different quoted wait time every time asked girl front 
Ken Boyar, a year ago, 2,suppose giving two star since staff nice cole slaw decent meat seriously bad ordered corned beef sandwich meat tough stringy practically inedible better going local deli
Jon C, a year ago, 5,unique addition hoboken bunch fun snack like cheesesteak egg roll shepherd pie cake
