author,date,rating,text
Ricky Kirk, a week ago, 5,got food delivered really really good
rahuL islam, a week ago, 5,
Rokotoff, 2 weeks ago, 5,recommend
Joelle Eberhart, 3 weeks ago, 5,continues best bang buck lot food much start offering pitaya
M. J., a month ago, 5,purple rice good sure add order miso soup decent
Christine Seel, a month ago, 4,infinite variety combination good food
marie pierard, a month ago, 5,
Eric Williams, 2 months ago, 3,good food slower seamless 8 minute pickup order seemed chaotic behind counter manager exactly good customer service kept putting hand communicate order behind good food need work time estimate organization
Vanessa W, 2 months ago, 5,healthy delicious love place kale noodle onion beef sooo good
Izzy G, 2 months ago, 4,missed ingredient bowl great food
lv vl, 2 months ago, 5,awsome spot must try
Peter Demkowicz, 2 months ago, 5,
gammeelovemusic, 2 months ago, 4,piki bowl kale noodle favorite yuzu salmon le savory maybe add sauce crispy spicy salmon ball disappointing much rice little salmon
Ana West, 3 months ago, 3,decent place poke area issue poke hawaii keep comparing place clean easy order many option fish best portion small ordered extra poke bowl
Liliya Mergesova, 3 months ago, 5,delicious fresh
Jory Vigs, 3 months ago, 5,
Brandon Rosario, 3 months ago, 4,
Jace Graham, 4 months ago, 5,thoroughly enjoyed poke n't super adventurous standard hawaiian bowl purple rice enjoyed every bite
Alexa Wilson, 4 months ago, 5,best poke ever food fresh salmon die
Brian Almonte, 4 months ago, 5,
Keith Kelleher, 5 months ago, 5,delicious
VANYASADVENTURE TV, 5 months ago, 2,acai bowl completely frost bitten fresh poke ok worth money long wait time
Jason Jaslow, 5 months ago, 5,fresh ingredient say best poke bowl hoboken
Regina Jaslow, 5 months ago, 5,tasty great menu option
Ryan Xiao, 5 months ago, 5,place incredible one favorite poke place high quality fish food always fresh tasty
J R, 5 months ago, 2,low quality chinese poke tuna salmon barely flavor tidal poke pokeworks better
Ilana Lotan, 5 months ago, 2,old rice chicken bowl even though ordered tofu although sent fresh order delivery guy  come upstairs left lobby
Alfredo Franco, 6 months ago, 5,polo bowl yet let option portion food riceballs die taste size aa something never stop thinking getting highly recommend also first time trying unagi must
Becca Binder, 6 months ago, 5,favorite poke spot hoboken fish always fresh delicious also love salomon rice ball best
Dean Mitchell, 6 months ago, 5,irresistible  human doodle puppy far best poke bowl hoboken huge portion size delicious fresh ingredient wide array option crave multiple time week
Sanjana Lal, 6 months ago, 4,grilled eel really good
Tiva Lee Samaru, 6 months ago, 5,yummy tasty food quick service ordering easy open walk purchase sit outside eat like take home pricing really good serving size well
Stephanie Thao Tran-Chong, 7 months ago, 5,one best poke bowl  year ingredient fresh portion right love also purple wild rice base option highly recommended place
Andrew Price, 7 months ago, 5,
Chelsey Williams, 7 months ago, 5,poke bowl good topping unlimited decently priced paid like 13 2 protein
Laura Rincon, 7 months ago, 5,
Megan Gillen, 7 months ago, 5,great poke bowl  impressed covid precaution ordered ahead arrived easy contactless pickup system felt safe poke bowl tasty  skimp portion
Carlos HL, 7 months ago, 1,extremely slow service 40 minute get poke better go actual restaurant
Anthony Bassolino, 7 months ago, 5,best poke spot hoboken
Stephanie Xiaoyu Zhou, 7 months ago, 5,super fresh food one fav hoboken
Eman Noeman, 7 months ago, 5,
Emely Wexler, 8 months ago, 5,
Irene Scarlet Carrino, 8 months ago, 1, say close 10 00 pm got told closed thank
Matt Garrison, 9 months ago, 5,best poke town
Chris Range, 9 months ago, 5,best food ive ordered 3 time 1 week love packaging love flavor love piki poke hat amazing chef staff brilliant
Jen, 9 months ago, 5,fantastic great variety topping fresh n't limit amount topping like poke place town also implemented lot safety measure pop to-go order
Emily B, 10 months ago, 5,
Zoe Perry, 10 months ago, 5,really good super fresh
Hanna Nicole, 10 months ago, 5,definitely worth price ingredient tasted fresh unlike many poke restaurant  visited  stingy topping sauce selection ingredient great customizing bowl offer signature bowl combination ingredient overall ordering simple service fast especially wait order online advance anyway avoid waiting line additionally place located great spot right two great bubble tea spot couple block beautiful waterfront
Алексей Иванов, 11 months ago, 3,would n't recommend disappointed expectation
Brad Backenstose, 11 months ago, 5,
Angelique M. Rodriguez, a year ago, 5,
Adam Cohen, a year ago, 5,
Derrick Mitcham, a year ago, 5,restaurant us really fresh ingredient everything put together meticulous care wait little long best order ahead absolutely worth
Luminita F, a year ago, 5,refreshing food definitely must try hoboken
Aviva Morgenstern, a year ago, 5,fresh ingredient every time
Jordan Spagnola, a year ago, 5,
Ben Thomson, a year ago, 5,
