author,date,rating,text
Doctor Dig, 5 days ago, 5,
Larysa Kuriliuk, a week ago, 3,
Damon Trifeletti, a week ago, 5,food great sushi super fresh amazing taste loved much got extra roll take home
Ola Nesgovorov, 3 weeks ago, 4,polite 6nice staff food came quickly portion big avocado salad ginger dressing dressing come side deliciousbasic salad dressing make special duck dark sauce mushroom green tender jucy needed little kick additional flavour personal opinion overall positive expiriencewill definitely come back
Edvin Recinos, 3 weeks ago, 4,
BARUN ROY, a month ago, 5,
Michael Hofmann, a month ago, 5,best chinese food ever staff super nice ca n't recommend enough give 6 star could
Shaquana Johnson, a month ago, 1,rude staff food gone downhill second guessing place go somewhere else
Priscilla Lozada, a month ago, 4,
Lidia Alvarez, a month ago, 1,order delivered food bad pupu platter greasy soggy seemed leftover refried noodle hard dried pleasant taste hope review help others careful ordering definitely buy horrible food
Gia Karizma, a month ago, 3,food delicious server robotic
Rachel, 2 months ago, 1,ordered last week food pretty disappointing entree drenched sauce salmon sushi runny looking ended toss half order
Brian, 2 months ago, 5,lunch precious delicious suchi quick service polite staff good price back
ankur wadhwa, 2 months ago, 5,
Rusi Sethna, 2 months ago, 4,nice dumpling good quantity polite staff
Mark Wittman, 3 months ago, 4,
123dynamics, 3 months ago, 5,great food
Clara Ochoa, 3 months ago, 5,love food
Zei S, 3 months ago, 5,favorite place hoboken hand portion huge price low 6 75 lunch special huge soup huge lunch portion black tea bag fortune cookie enough 2 literally 2 lunch great deal also rainbow roll special 11 come huge portion roll 4 piece sushi soup salad ca n't beat humble opinion anyways oh bubble tea thai iced tea else want
Mario Tridente, 4 months ago, 1,sushi old slimy rude addressed  back used good lost business
Jesse Schoenfeld, 4 months ago, 5,order chinese food pretty standard good food around
Shivani Dedhia, 4 months ago, 1,food mediocre never sweet pad thai anywhere waitress said thai food always sweet chef must put sugar nobody came take check went front desk said  accept discover apple card charge tip forced u pay 15 tip horrible food waitress unable explain dish well versed english service slow food average front desk lady said america tip
Caitlin Price, 4 months ago, 2,listen  hater  really  lifelong hoboken resident  eating restaurant whole life  never left anyone review good bad
Heena, 5 months ago, 3,husband went sitting outdoors ordered sushi thai ice tea husband ordered soda said dine-in minimum order 8 9 per person  want anything opt takeout sushi okay thai ice tea  good
Seth Victor, 5 months ago, 5,hand best bet chinese variety vegetarian option
Thomas Fan, 5 months ago, 5,vegan perspective quality meat substitute feel substantial well thought service good
Kevin Muraca, 5 months ago, 5,best rib pork fried rice  ever one bite know sauce rib homemade little darker color well outstanding
Precious Vega, 5 months ago, 4,
Dyana Camera, 6 months ago, 5,good sushi amazing price amazing chinese food loved lo menu special roll weekly lunch special great deal 
Jet suen, 6 months ago, 1,
Donna Delmas, 6 months ago, 5,
James Rymdeko, 6 months ago, 4,
Marlene Canavati, 7 months ago, 5,exquisite delicious  one favorite place 
Jay Rosenberg, 7 months ago, 3,dried peking duck decent dumpling
Andrea Andino, 7 months ago, 5,translated google best chinese food ever  100 recommended original la mejor comida china que probado  100 recomendada
Lydia Santiago, 7 months ago, 5,place hoboken love go eat staff polite food amazing
Sava Neskovic, 7 months ago, 1,listen  hater  really  lifelong hoboken resident  eating restaurant whole life  never left anyone review good bad however experience today precious felt like share review internet eating fried rice found huge chunk plastic food  try attach photo waiter seemed hesitant exchange another one minute persuasion finally let proceeded try charge food  even touched since lost appetite two bite plastic-infested rice waiter consistently denied refund deserved went insist pay thirty buck two bite food bite plastic someone plastic food least could ask full refund internet say average settlement civil lawsuit regarding foreign food restaurant 100000 half hour waiting arguing rightful refund barely prevailed granted refund additional friend granted something called  service fee   covert way charging 20 tip  way opt folk  come restaurant plenty great restaurant chinese japanese eastern asian cuisine food one  bare minimum service  plastic food 1 10
Simon Celiberti, 7 months ago, 1,horrible service plastic food
Justine B, 7 months ago, 5,fresh great tasting food good customer service
Jeremiah Gaynor, 8 months ago, 1,disgusting im talking taste absolute garbage crook
Amanda Shirley, 8 months ago, 5,best hoboken
Vanessa Irizarry, 9 months ago, 5,
acie douglas, 10 months ago, 5,best asian food ever best vegan option well coming ever come back jersey
Richard Logazino, 10 months ago, 5,ca n't miss excellent food satisfy craving
mandee santiago, 10 months ago, 5,love food cant ever go wrong lunch dinner must try
Ronald Mccall, 10 months ago, 1,
Melissa Zoleta, 10 months ago, 5,hard find decent chinese food hoboken place great came beef w broccoli lunch special yummy soup came fast broccoli fresh meat perfectly tender picky food salty everything delicious quick friendly service snowstorm needed thank
Alexandra Ortiz, 11 months ago, 3,
Mike Donetz, 11 months ago, 5,best chinese food around
John Pope, a year ago, 4,go place
Danielle Red Bonk, a year ago, 5,spicy  beef  satay  soup absolute best ever  expert given  never china last 10 year strong anytime cold  rain  order lunch warm soul  consistently good beef spot tender spinach bean sprout still nice  crunchy fresh thx precious never disappoint
Susie Roman Luna, a year ago, 5,ca n't rave enough place travel 25 minute hoboken food authentic reasonably priced great quality food
Thomas Link, a year ago, 4,
Goat Vomit, a year ago, 2,ordered vegetable dumpling given meat mixed two star used favorite place closing weary vegan vegetarian
Sophia T, a year ago, 4,great wonton soup
Victor Manuel Gonzalez, a year ago, 4,
Jeremy Lambert, a year ago, 5,best chinese food hoboken food fantastic delivery super fast
Evan Wieczorek, a year ago, 5,love place every time go never order anything come bad great job people work cook amazing food thank much
Michelle Rivas, a year ago, 5,favorite chinese food hoboken food taste fresh huge portion usually order delivery went sit outside one day great experience  talking want go back  10 10 recommend
Julia Kee, a year ago, 5,amazing chinese food super speedy service great takeout eating wonton soup phenomenal crispy egg roll fyi main dish portion pretty large usually friend like split bunch appetizer one main course two people overall great price quality quantity ratio
Nicholas Currie, a year ago, 5,love place
Ali Naizi, a year ago, 1,food came 30 minute late cold mention good
J-Rocks!, a year ago, 5,really nice chinese food reasonably priced efficient service
Adriano Aceto, a year ago, 5,
Tiline De Jesus, a year ago, 5,absolutely love restaurant chinese restaurant hoboken ever eat staff great sho food every single time
jordan pinzolo, a year ago, 1,would never order placed order girlfriend grubhub account  come hour half waiting called status update woman picked told  sorry must forgotten put order   try make right manager call never
chris kay, a year ago, 5,best chinese food hoboken consistant food good service u dine owner warm friendly well
Avisha, a year ago, 5,
Marcelino A. Mosquea, a year ago, 5,
CurlsnPearlsss, a year ago, 1,mother ordered egg foo young chicken wing order burned beyond recognition egg completely blackened wing dry hard food overpriced  shock would even deliver food burned badly never ordering
LSUFAN67, a year ago, 4,grabbed takeout precious dinner egg roll crab rangoon general tao shrimp lomain came packaged well plastic takeout dish 5 min walk home food still perfect temp eat service good fast would definitely return
Nicholas Romano, a year ago, 1,thought place good found pubic hair lo mein shrimp called back employee took order kind enough say would give another lomein shrimp house next time ordered got pic prove girlfriend disgusted
Selena Edwards, a year ago, 5,
mark r, 2 years ago, 5,delicious food friendly service soooo many chinese food option hoboken jersey city area bypass make way precious highly recommend new thai basil fried rice beef particular
Nabeel Shah, 2 years ago, 5,initially discovered place mistake probably dozen time many week delicious chinese food reasonable price everybody bought felt
Jamaal Williams, 2 years ago, 5,
Gabriela Espana, 2 years ago, 5,
Pooja Desai Patel, 2 years ago, 4,go-to chinese place lived hoboken every time town always pick vegetarian plenty choice veggie fried rice lo mein amazing string bean also soy-based chicken always tasty option complaint consistency hot sour soup sometimes tends sour side service kind swift usually willing accommodate special request dietary restriction happy found place well 6 year ago
Noelle Plumlee, 2 years ago, 5,
David Hsu, 2 years ago, 4,tasty food fast efficient service eat lunch week
arianna castillo, 2 years ago, 5,great vegan option something everyone fresh vegetable price fair every budget
Ivan Garabito, 2 years ago, 5,
Sunil Kumar Makkinni Ramnath, 2 years ago, 5,
Alec Martin, 2 years ago, 4,
Anastasia Milyutina, 2 years ago, 3,
Earshad Kabir, 2 years ago, 4,
Ahmed Elaraby, 2 years ago, 2,bad service
Latoya Graham, 2 years ago, 4,good chinese food reason egg roll always burnt
Jules, 2 years ago, 4,come time japanese lunch special 10 get 2 roll salad miso soup think great deal food pretty good
Nettie WinWin, 2 years ago, 2,server waited u table make sure tipped feel strongly black hurt disappointed
Clara Ochoa, 2 years ago, 5,like food
Puja Sakhuja, 2 years ago, 5,love food going precious last 10 yr food great consistency
Erica Lee Mitti, 2 years ago, 1,precious go chinese food last time tuesday chicken bit firm sit well hope n't mess around food
Jimmy M, 2 years ago, 5,
Stephanie Gil, 2 years ago, 3,place average inconsistent worst hoboken best want better chinese order asia sushi chinese  best  tried far
Steven Elwell, 2 years ago, 5,easily 1 chinese food spot jersey city edgewater every dish delicious special credit go crab rangoon app singapore mei fun excellent meaty general tsao beware byob luckily sparrow liquor mere 2 storefront away
Jaime Sanchez, 2 years ago, 5,excellent food good service price affordable highly recommend
Oksana kovalchuk, 2 years ago, 4,
Victor Astudillo, 2 years ago, 5,
Ahmed Shehata, 2 years ago, 1,get expected orange chicken think dissapointed
Paul Aponte, 2 years ago, 5,
Zuhal Taş, 2 years ago, 5,came around 9:00pm  crowded chill clean place service good fast loved food tried couple chinese restaurant around absolutely best  definitely gon na come try food  totally recommend vegetable lo mein noodle 
susan gabor, 2 years ago, 4,
THGI, 2 years ago, 4,chinese japanese food little standard neighborhood restaurant food quality ok service affordable price bring alcoholic beverage recommended tight budget hungry
Emilio Ewing, 2 years ago, 5,place worth visit big portion fair price constantly neat awesome mood highly recommended
Edward Haas, 2 years ago, 5,service good food good enjoyed vegetarian paradise update pic next time come cozy place crowded 9 pm saturday
David Rosensaft, 2 years ago, 4,great dumpling soup appetizer main dish tend bit much oil taste adequate portion fair price area one better local chinese option
Alvin Fernandez, 2 years ago, 3,
Lawrence Taylor, 2 years ago, 5,
Amit Keret, 2 years ago, 4,
Michael Pizza, 2 years ago, 5,food always freshly prepared consistently good
Monica Ripken Park, 2 years ago, 4,
I. alvear, 2 years ago, 4,
Eric deRuiter, 2 years ago, 5,great selection vegan dish including many meat substitute beyond tofu recommend black pepper vegan steak
kentusmc0311, 2 years ago, 5,staff chill food top notch price average highly recommend spot
Mayelin Garcia, 2 years ago, 5,
Mike “Unclescary” Nelson, 2 years ago, 5,good duck fantastic
Roberta Burns, 2 years ago, 5,amazing
Robert Knapp, 2 years ago, 5,
Kathrina Manansala, 2 years ago, 5,
Jess Kleman, 2 years ago, 5,
Brianna Goodwin, 2 years ago, 5,fantastic chinese food
Mili Chang, 2 years ago, 5,good place visit friend quick service
Patrick Nevins, 2 years ago, 4,
Gustavo Trejo, 2 years ago, 5,food great great price kevin waiter nice best waiter ever love place
Jaquin Abreu, 2 years ago, 5,
Joey F, 2 years ago, 4,surprisingly great food chinese noodle noodle soup noodle soup bit salty overall pretty simple tasty  looking yummy standard chinese fare definitely place hoboken price flavor bare bone simple super fast service style
Allen McCord, 2 years ago, 5,excellent food excellent service
Heng Li, 3 years ago, 4,
Gabriela Bucheli, 3 years ago, 5,
Emily Fetsko, 3 years ago, 5,great food greasy salty quick delivery
Robert Glenn, 3 years ago, 5,great lunch spot wide variety dish little pricey worth friendly wait staff talented kitchen staff serving delicious dish give tangerine beef try like spicy sweet dish
HikingLife 201, 3 years ago, 1,disgusting
Agraj Sobti, 3 years ago, 1,get try food yelp google say closing time 11:00pm took outside table 10:10 waiter come tell u restaurant closing 10 minute kept coming confirm finish food 10:30 could close place would say waiter fault owner update operation hour google yelp misleading customer laying blame waiter job
Lauren Hunter, 3 years ago, 5,
Priyanka Agarwal, 3 years ago, 2,
Bonggo and Patrick Moore, 3 years ago, 5,serve chinese japanese thai food seafood pad thai non-traditional delicious
陈康利, 3 years ago, 5,
Melanie Strouse, 3 years ago, 5,
daniel yong, 3 years ago, 4,
Alex Simonds, 3 years ago, 4,price decent wait time carryout low
JP PHX, 3 years ago, 5,
kelsey M, 3 years ago, 1,ever thought could get chicken wing wrong used love place hard anymore
