author,date,rating,text
Hakersito _, 5 months ago, 5,
ashley, 5 months ago, 1,ordered two poke bowl mango smoothie took hour half get restaurant miscommunication doordash driver would  okay however 65 order got w tip fee included know gave
Life with Cey & Jen, 6 months ago, 1,thid place extremely poorly managed constant long line matter time day come whoever managing keep one person working time prepared wait least 20 min get food top give paper bag bag break n't offer replacement compensation never go establishment plenty better place neighborhood much better service
J. D. Baldwin, 6 months ago, 4,
Sophonie ROBICHON, 7 months ago, 5,simply delicious absolutely loved poke bowl owner also gave u sample marinade amazing extra credit great service highly recommended
Rich Slaby, 7 months ago, 5,favorite healthy goto great staff especially rus
Ben Thomson, 8 months ago, 5,
SuperStarBunny3, 11 months ago, 1,ordered lunch office rice overcooked fish tasted stale nothing place good literally ended trying eat starving halfway started feeling sick threw would avoid one
Javier Justiniano, 11 months ago, 5,
Zah From Newark, 11 months ago, 5,guy friendly patient first time poke food delicious rice sticky rice u get inside sushi roll ordered rice mixed green chicken shrimp spicy mayo hawaiian mayo side balance spice good last bite
A F, a year ago, 4,decent poke place happy  neighborhood  love zucchini noodle thick spicy tuna  sushi tuna like canned tuna topping white rice salmon good  go back skip spicy tuna zucchini noodle stick basic rice salmon try ahi tuna friendly guy working store clean
Karla Wei, a year ago, 5,
Denise Cahn, a year ago, 3,happy place locally enjoy food one occasion walked suppose open closed note door anything annoying especially opening hour posted door complaint switched environmentally sound packaging first opened
Brittany Outlaw, 2 years ago, 1,n't waste time better poke place area
Thomas Castner, 2 years ago, 5,love sauce selection definitely get food taste high quality place clean steven discount
