author,date,rating,text
Alicia M, a week ago, 4,
Andrea Arteaga, a week ago, 5,good service delicious bowl choose liking everything fresh
cesar alzate, 2 weeks ago, 5,
dean kline, 2 weeks ago, 2,beat
J. B., 4 weeks ago, 4,
Ralf274, a month ago, 4,good food make right better restaurant specifically ask want avoid mistake part
Thomas Steitz, a month ago, 1,never gotten le food 15
Giselle Moya, a month ago, 1,ofendi la actitud de la persona en caja amablemente le pregunt si tenan bao ya que mi hijo lo necesitaba ella muy grosera contest que el bao solo era para clientes sin decirme dnde est ubicado sent discriminada ante su actitud nuestra intencin era comer en el restaurante pero mi hijo ocupaba de urgencia el bao por esa razn pregunt de primero deberan capacitar mejor su empleada en la atencin al cliente la comida muy buena
Bayardo Rafael Moya Turcios, a month ago, 1,translated google attention good food delicious attention bad especially attention one waitress male waiter good female waitress good original la atencin fue muy buena la comida en cambio muy deliciosa pero la atencin muy psima en especial la atencin de una de la meseras los dems mesero hombre e buena pero el de la meseras mujeres fue buena
Jory Vigs, a month ago, 2,smallest portion-wise burrito bowl ever gotten qdoba definitely due hoboken totally unacceptable
Roberto Pincheira, a month ago, 5,
Pranit Trivedi, a month ago, 4,would opt bowl burrito everything fresh whenever nacho platter guacamole really good good place fill
Toxichammertoe, a month ago, 1,veggie bowl stingy portion size tasty except white rice come guac tiny portion worth 10 plus tax hit chipotle still hungry unless want want depressing episode hunger frustration dont bother veggy bowl basuda
Ryan Black, a month ago, 3,consist constantly try force 30 cent bag  tell charge assume want bag try make extra money also give small portion  close manager kinda rude
Nelson Monterrosa, 2 months ago, 5,
Kristy George, 2 months ago, 5,live town visit place often quick delicious option fan quality customer service n't steered wrong yet
Jeff Gonzalez, 2 months ago, 4,
Kathan Patel, 2 months ago, 5,quick well prepared
Erick Lanford Xenes, 2 months ago, 5,
Mark Bullock, 2 months ago, 5,
Jon Cucci, 2 months ago, 5,
followJTusa JT USA, 3 months ago, 3,updated july 6 2021 service go eric duty one lady charge tried snatch back extra fork hand bad child told get one fork sharing usual order chicken quesedilla husband opinion staff behaves see owner behaving know probably know mean prior review hoboken jan go hoboken branch take consistent reliably good mild mexican flavor chopped steak chicken fajita ground vegan meat substitute either wrapped burrito presented quesadilla topping green pico de gallo guacamole sour cream sweet corn green bell pepper bean rice grated cheese complete flavor prefer love chicken quesadilla go-to hunger filler n't want cook consistency flavor deserve five star seat cafeteria-like uncomfortable people behind counter efficient quick polite eric friendly courteous manager backed good attentive staff five star crew n't seen fork spoon display since quarantine feel like munching release stress try queso cheese usually add tazita sweet maize melted cheese satisfying round gnawing menu including soup selection child could remember music lately rest family love steak really gor like vegan alternative
nolimitboucar, 3 months ago, 1,earned free meal refused give u deserve lady rude  give answer
sital pal, 3 months ago, 3,
David Yoselow, 3 months ago, 5,
h D, 3 months ago, 1,
Elijah Machado, 4 months ago, 1,terrible service terrible customer service rude never coming
dheeraj davis, 4 months ago, 1,one worst place customer service food suck please avoid save time
G Morales, 4 months ago, 5,lov place
Noelia Fernandez, 4 months ago, 5,love food definitely worth money amazing cant go wrong
Mary Perryman, 4 months ago, 5,
BOUCHRA ECH-CHETYOUY, 4 months ago, 4,
H D, 4 months ago, 2,
Kathleen Nipal, 5 months ago, 5,
Miriam Caraball0, 5 months ago, 5,
Diamond Black, 5 months ago, 5,
David Szopinski, 5 months ago, 1,ordered brisket burrito rice burrito person see preparation delivery appears another story burrito 90 cilantro rice appeared tablespoon brisket item 13 buck lesson learned
Andre Phillips, 5 months ago, 4,
Robert Spichiger, 5 months ago, 4,
Kecia Cotton (Kay), 6 months ago, 4,food fresh tasty
Christopher Ortiz, 6 months ago, 5,
Boo Bees, 6 months ago, 5,
EZ DuzIt201, 7 months ago, 4,
Kidd Swag, 7 months ago, 5,love qdoba food amazing
alFredo Romero, 7 months ago, 5,chula grill chicken top notch
Louis Dapron, 7 months ago, 4,
Henry Columna, 7 months ago, 1,make 0  thing made order grubhub never delivered tried calling restaurant one answered phone even though open 11pm reached grubhub said order delivered n't waited 40 minute told order delivered n't refund thanks nothing
Jewella Dville, 8 months ago, 5,
Gianluca LoPorto, 8 months ago, 5,
Manish Kumar, 8 months ago, 5,
Jason Buckman, 8 months ago, 5, know qdoba always hit spot recommend trying cholula sweet spicy chicken
Angelique M. Rodriguez, 8 months ago, 4,
Govinda Gindodia, 8 months ago, 3,
Jorge Luis, 9 months ago, 5,
Palak Baid, 9 months ago, 5,
Sara Costa, 9 months ago, 5,people super friendly extremely helpful nice wo n't go qdoba
alex Encalada, 9 months ago, 3,translated google nice good service original simptico muy buena la atencin
Nikki McCoy, 10 months ago, 1,rude unprofessional staff  even acknowledge u line nearly 5 minute messed order guy maybe manager said well maybe  order complained coming chipotle better service
Kelvin Reynoso, 11 months ago, 5,
Tobe Ramlowmin, 11 months ago, 4,
Timothy Borin, 11 months ago, 5,staff always friendly decent price get
Homayoon Kambiz, 11 months ago, 4,
Frank Ortiz, 11 months ago, 4,
Jonathan Santamaria, 11 months ago, 5,
Jessica B, a year ago, 5,
Rohan Ratwani, a year ago, 5,vegetarian fav place get burrito bowl 
Tacoma Hicks, a year ago, 5,
Sasha, a year ago, 1,rude unprofessional staff
bre cohen, a year ago, 5,
PRIYANK DESAI, a year ago, 5,
Julio Reyes, a year ago, 5,always good great service love hoboken location  awesome
Thomas Link, a year ago, 5,yum
Aaliyah18 B, a year ago, 5,mexican food super delicious favor try place service friendly ambience similar fresno scene
