author,date,rating,text
Rahul Baid, 3 hours ago, 4,good food
Ivo Pletikosić, a week ago, 4,loved general tso chicken beef curry red curry soup n't impressed chicken dish seems like cook vegetable chicken separately mix serving taste
Nived Menon, a week ago, 5,
Apoorv Gangwal, 3 weeks ago, 5,
ankita biswas, 3 weeks ago, 1,ordered mee goreng mango sticky rice grubhub shrimp mee goreng super chewy mango raw  recommend
Ikxnnx music, a month ago, 3,
R Y, a month ago, 5,let singaporean wife order everything every single dish extremely satisfying especially loved mee goreng indian style decent food portion decent-looking tab 10 cash discount applied end evening
gammeelovemusic, a month ago, 4,recommend fry flat noodle coconut pudding pho
Carlos E, a month ago, 5,
Christie Rose Vitucci, 2 months ago, 5,food authentic hand one favorite spot malaysian cantonese item favorite dish coconut lamb sooo good would definitely recommend 5 star sure
David, 2 months ago, 3,
Sonia Siaw, 2 months ago, 5,love malaysian food cooked served satay ordered terengganu chicken full flavored chicken rice delicious
Andrew G, 2 months ago, 4,mainstay u know crazily large redundant menu good roti canai veggie spring roll general chicken basic noodle dish mei fun country style singaporian mei fun soup bad pad thai indian mee goreng mango noodle really stay away three dessert standard chinese dish really bland malaysian menu overall bad worth shot
Isaac Ewumi, 2 months ago, 5,
Doug Keeton, 3 months ago, 5,great malaysian food malaysian specialty soup especially good
Mony Kiem, 3 months ago, 2, pay eat pad thai probably worst  ever bland flavorless flavor white rice say none kept taking bite bite hoping flavor surface effort vain also beef chen  mai dish also bland bland pad thai almost requested spicy none least beef tender irony white rice hainanese included part beef dish star show perfectly cooked perfect grain rice  probably give place 1
Ed Wiegner, 3 months ago, 5,satay asia restaurant great food freshness food amazing service extraordinary price reasonable
Xandra Lau, 3 months ago, 4,
Peter Yong (PedroJoven), 3 months ago, 4,authentic taste malaysian food beef rendang tender good curry spicy lobak decent hainanese chicken well done kangkung belacan real shrimp paste chili sauce chicken rice better nyonya nyc roti canai satay dot malaysian definitely coming back
New Rks, 3 months ago, 4,
Ronak Desai, 4 months ago, 4,
Conner Van Pevenage, 4 months ago, 5,
Crashman no (Crashman2355), 4 months ago, 5,
Karthik Ranganathan, 4 months ago, 3,
Regina Jaslow, 4 months ago, 5,tasty authentic dish including roti prata hainanese chicken rice prawn mee chendol
mihika gupta, 4 months ago, 4,roti kanoi good overall food fresh taste nice green thai curry inexplicably expensive though
Joey O'Rourke, 4 months ago, 4,
Jason Jaslow, 5 months ago, 5,authentic delicious se asian food spouse singaporean enjoy going taste home
Shareen Fatima, 5 months ago, 3, fairly nice place enjoy malay thai food especially loved lichi drink quite refreshing veg green curry 17 felt bit pricy since meat option price low giving 3 5 star rating group 3 server billed gratuity advance check would made sense larger group  charged upfront
Cecilia Chung, 5 months ago, 5,affordable lunch deal 8 95 10 pay cash deal includes soup 3 option choose tried egg drop curry tasty curry one slightly spicy main got malaysian fried noodle curry fried rice noodle excellent 5 shrimp fried rice also delicious fresh come chicken mild say slightly spicy also drink appetizer want try next
Ted Lee, 5 months ago, 1, taste anything like padthai
Kevin Obomanu, 5 months ago, 5,
Prashanth Reddy, 5 months ago, 5,
Muhammad Ahmad, 6 months ago, 5,great authentic malaysia food
Kelly S, 6 months ago, 3,
Elena Nik, 6 months ago, 3,food ok lunch portion small
Mariana Noriega, 6 months ago, 5,amazing every time
Emily Ng, 6 months ago, 5,always great tasting delicious food roti canai best
Rob Naked Cowboy, 6 months ago, 3,salty
MrRuAli, 7 months ago, 1,coconut pudding gave food poisoning food bland tasteless never
Cherlynn Low, 7 months ago, 4,indoor dining experience fine food good 
Xiaolan Tong, 7 months ago, 5,
Peter Chu, 7 months ago, 4,
J Izquierdo, 7 months ago, 5,
Richika Saraf, 8 months ago, 5,always love place roti canai veg chili chicken made soy coconut pudding absolutely finger licking good
Jeannette Calle, 8 months ago, 5,general tao chicken best town beef chow fun go hoboken great chinese
Brendan McCann, 8 months ago, 5,phenomenal reasonable price great food eveyone polite professional
Lantian Zhang, 8 months ago, 5,good malaysian food coconut pudding great order directly website 10 instead delivery service
Abdullah Zubair, 9 months ago, 5,great vegetarian option
Vaasu Pendyala, 9 months ago, 3,
Henry Tseng, 9 months ago, 4,
Joseph Aubourg, 9 months ago, 5,great food service
amjn, 9 months ago, 5,
Mike Saini, 9 months ago, 3,original waiter rude friend noticed condescending roti canai great beef chowmein kind nasty first time last time trying restaurant
Bhargava V, 11 months ago, 5,lovely hole-in-the wall style malaysian restaurant food finger-licking good roti canai roti telur favorite sometimes go eat two dish
M Koch, a year ago, 5,outstanding location tasty malaysian food got near seven n't crowded service consistently good food feeling reminds kansa city
Stanley O, a year ago, 5,fine place delicious malaysian food arrived five n't busy price fair
Karen N, a year ago, 5,ridiculously good place malaysian cuisine  area roti delicious although curry slightly watery  malaysia still taste pretty good might american spin dish loved char kway teow dish  one popular malaysia shrimp perfect salty would definitely come back
boulfalak bassam, a year ago, 5,
Vlad Sobol, a year ago, 4,delicious malaysian food frill setting quite high sodium indulge occasionally
Praveena Prasad, a year ago, 3, one-time go restaurant malaysian cuisine hoboken outdoor indoor seating see open kitchen indoors place focussed takeout delivery order food okay-ish ordered sambal beef white rice mango noodle spicy flat noodle nasi goreng fried rice fried rice salty send back got remade beef could used flavor noodle dish alright best thing lychee flavored green bubble tea group 4 gratuity 15 already included bill without tip
Noah20 B, a year ago, 5,malaysian food tasty came friday think definitely worth going back bill decent quality food like restaurant jacksonville loved
romita saha, a year ago, 4,similar indian cuisine like spicy food must try
Harshad Kulkarni, a year ago, 5,love roti canai  first dish  considering taste confident rest food better looking forward trying option
ShinaRai United States, a year ago, 5,
Nicolas Boyer, a year ago, 5,one fav spot quality malaysian food brother come town asked take back bill fair quality food food similar cafe portland loved
Yang Yang, a year ago, 1,ordered uber eat barely edible
Mo. M., a year ago, 1,give 1-star incredibly rude impolite old lady owner cash register hope restaurant something want come back satay bitter person one noticed bad attitude disappointing
Sneha Kanaya, a year ago, 5,
Khurram Zaveri, a year ago, 5,
Aracely Gonzalez, a year ago, 5,delicious food
Angel Frazier, a year ago, 5,fine place malaysian food give spot two thumb nothing great experience keep coming back
Laurie May, a year ago, 5,excellent food spicy yummy bad live clear across country utah would new favorite place thank awesome meal
Holly W, a year ago, 5,food great service highly recommend restaurant
Julian Benitez, a year ago, 3,
shivprasad shettar, a year ago, 5,
Benjamin Atwater, a year ago, 1,placed order online received order confirmation food coming within 15 minute trekked rain make pickup time asked order staff could find picked order sheet paper putting mentioned saying another 25 minute apology delay offer discount well clarifying additional 20 minute giving place one star complete lack customer service get delay simple sorry go long way instead treating like  nuisance asking paid order top employee eating inside mask nj law allow simple covid polciy  followed make wonder sanitary policy followed update hoping service would match food wrong incredibly low quality beef tasteless sauce eat
Golden Sunshine, a year ago, 5,authentic surprising hoboken looking super trendy 5 star service go somewhere else looking authentic food friendly service go gave le 5 star n't know malaysian food foodie sick met owner hope okay
Mike Placentra, a year ago, 5,
Artem Krylysov, a year ago, 3,
Justin O'Boyle, a year ago, 5,
Andrew Marshall, a year ago, 5,spicy curry soup sesame chicken delicious
吴轲（Wú Kē）, a year ago, 2,
Renee Samuel, a year ago, 5,
Henry Kang, a year ago, 3,malaysian food
Miho Attygalle, a year ago, 4,variety flavor enjoy malay food mix thai india vietnam cuisine coming 10 year
Alexa Ray, a year ago, 5,
Quanzhen Ding, a year ago, 4,
Prithvi shetty, a year ago, 5,
Bobby Adappoor, a year ago, 5,awesome place family friendly service enjoyed food
Rish Agarwal, a year ago, 4,decent place reducing one star bit cozy also dented scratched glass water feel unclean straw good try lo mein egg noodle definitely try appetizer pretty nice overall good food one thing really didnt like force u pay 15-18 gratuity even small group 2 3 prefer tip based experience anyways n't like tipping culture 15 18 high pay some1 picking bowl food counter 3 foot away table wish make optional carry cash possibility discount
Bobby Adappoor, a year ago, 5,tasty food
Avinash Garde, a year ago, 4,nice malaysian eatery
Chris Bateman, a year ago, 5,absolutely absolutely love place duck trengganu absolutely incredible one flavorful dish long time another favorite ayam randang staff friendly help suggestion large menu
LA IR, a year ago, 5,
Vidyasree Conda, a year ago, 4,
nupur jain, a year ago, 5,
Eliza Chandra, a year ago, 5,
Abdias Pichardo (OBI), a year ago, 4,
Nicholas Liakos, a year ago, 5,roti canai app amazing eat chance get
Zongyao Mao, a year ago, 5,
Shae Smalley, a year ago, 1,satay way waitress shocking food may come highway underpass sure ate beef animal fat bone would recommend least favorite person friend  appreciate diet coke milk shake glass curly straw though 
My Lam, a year ago, 5,food super delicious wow never tried malaysian food place super delicious price reasonable pay cash get 10 appetizer bit small  full flavor delicious entree big portion food seasoned good curry noodle soup tasted delicious bbq pork rice good personally recommend try fried fish rice come bell pepper cashew nut super delicious sauce different sweet sour go fish bell pepper recommend come try food ever stop hoboken nj
Ankit Bawa, a year ago, 5,roti canai chilli chicken favorite lunch deal great value money restaurant offer 10 discount pay cash
Arun Warrier, a year ago, 4,good lunch special available 10 percent discount pay cash
Julian Izzy, a year ago, 3,thing soup tasty though
L S, a year ago, 1,
geekandglitter, a year ago, 5,ordered lamb saag lamb rogan josh quality indian food learned big variation one restaurant another back restaurant
Victor Manuel Gonzalez, a year ago, 4,translated google excellent meal original excelente comida
Saumil Pradhan, a year ago, 5,
Marc Carrillo, a year ago, 5,love place affordable tasty additionally get 10 discount paying cash definitely recommend
Ramachandran Kumaresan (SK), a year ago, 4,
Warren McLeod, a year ago, 5,great food best group
Bhupesh Bora, 2 years ago, 4,nice malaysian food oily teste
RAJESHKUMAR THANKARAJ, 2 years ago, 5,awesome food
Ed Moore, 2 years ago, 4,seems like local hang food tasty aware beer wine liquor
Wenlin Hu, 2 years ago, 4,
Dipak Parekh - From Atrix DP, 2 years ago, 4,
Alex Gonzalez, 2 years ago, 5,
Kimberly Lindman, 2 years ago, 3,food delicious generous portion good  rush off-peak hour customer waitress extremely slow take order bring check whole thing took 2 hour waiting time waitress also wanted tip got change back waiting could tip eat takeout probably sit
Yug Shah, 2 years ago, 5,
Chen Wenjie, 2 years ago, 4,
Cynthia Persaud, 2 years ago, 5,favourite restaurant amazing food amazing service
dru kapadia, 2 years ago, 3,sure authentic enjoyed wo n't leave hungry
Anuj Mittal, 2 years ago, 4,
Prashant Naik, 2 years ago, 1,
Prashant Naik, 2 years ago, 1,
ankana bhatacharya, 2 years ago, 1,stale food bad service particularly found rude tried sort bill confusion around food served requested curry since chicken curry ordered particularly dry still trying understand dry curry coming back 
Prashant Naik, 2 years ago, 1,food stale dint like service rude waiter
rohan mehra, 2 years ago, 1,extremely bad service food kind dish dry curry food stale roti completely overcooked crispy like cracker top manager kept fighting u worth coming back
Niki Mishra, 2 years ago, 1,like every good restaurant loses charm sometime satay gone drain sad see standard go restaurant favorite go place served cold stale food even hygienic would recommend place anymore really good
Priyanka Ramesh, 2 years ago, 5,amazing delicious wow great food really friendly staff coming back
Johnny Leung, 2 years ago, 5,
luis guaman, 2 years ago, 5,nice good food 
Nan Xiang, 2 years ago, 5,malay fried noodle rice noodle but forgot exact english name soooo good tasted like would hawker center malaysia singapore lunch special affordable wish visit
Emily Wong, 2 years ago, 5,love place food always great consistent also pretty sweet deal lunch
rajkumar PARDASANI, 2 years ago, 4,fantastic food good service u pay cash u get 10 discount
Jitesh Chulani, 2 years ago, 1,good food reasonable price service great host rush finish quickly also walk customer keep hovering inside people eat make customer aware wait time rather asking sitting customer hurry never heard bad customer service
Aravind Narayan, 2 years ago, 5,
Hatem Gawaly, 2 years ago, 5,
Allan Lazenby, 2 years ago, 4,one favorite lunch spot good vegetarian food great price
Naimi Shah, 2 years ago, 5,
king david, 2 years ago, 3,
Alex McCabe, 2 years ago, 4,satay surprisingly mediocre given name nasi goreng point though order
abhenandhan manoharan, 2 years ago, 5,
Kush Patel, 2 years ago, 5,
Clifford A Rathkopf Jr., 2 years ago, 5,good authentic malay cuisine sambal blachang sp chinese hot sauce however pleasant surroundings good service convenient location 10 percent discount cash payment idea food married kl in-law lived near pj
Luca Fruci, 2 years ago, 5,
Abhishek Prabhu, 2 years ago, 5,
Ahamed Rauf, 2 years ago, 3,
Roberto Ronderos Chacón, 2 years ago, 5,
matthew blum, 2 years ago, 5,delicious 
rahul ajit, 2 years ago, 5,authentic malaysian food yummy
Fabian Mercado, 2 years ago, 4,
Rushikesh Javalgekar, 2 years ago, 5,amazing food must eat
Vivek Chandwani, 2 years ago, 3,
Tim Zheng, 2 years ago, 5,
Jeanne Watkins, 2 years ago, 5,delicious food excellent service
Jason Colbert, 2 years ago, 5,
Pack My Bag Please, 2 years ago, 5,
Amit Verma, 2 years ago, 4,
Samrat Baweja, 2 years ago, 5,good food
yh, 2 years ago, 1,
Deepan Guharajan, 2 years ago, 5,nice shop lunch special ca n't miss meal choice rice soup 8 75 nice server take care u well nice decor well p ask chilli oil spces everything
Arcelia Gallardo, 2 years ago, 5,great shrimp steamed dumpling egg noodle mango sticky rice  care deep fried tofu bamboo cucumber dry tasteless
Cara Nesi, 2 years ago, 5,
Sara Wu, 2 years ago, 5,really good food
Lin W., 2 years ago, 5,good portion tasty come back
S.-S. Cheung, 2 years ago, 5,tasty authentic malaysian food
