author,date,rating,text
Basia Buga, a month ago, 5,
Karoline M., 2 months ago, 2,
Melisa Fluhr, 2 months ago, 5,catered luau themed outdoor party 30ppl summer using shaka bowl located 40 minute away home thrilled went build asked serving dish included simple set elegant buffet load topping sauce everything arrived carefully packaged right time shaka bowl manager guest served dumpling egg roll passed along big portion taco making poke bowl everything fresh colorful tasty next day team came back pick dish supply big thanks kiersten team delicious food helping host memorable event
Allison, 2 months ago, 4,
Lauren Halloran (Brink), 2 months ago, 5,
Gregory Gioia, 2 months ago, 5,little pricey great quality
Anton Slyusar, 3 months ago, 4,
Barak Nizgoda, 3 months ago, 5,love acai bowl also tried poke bowl ok
slug, 3 months ago, 5,jesus based af keep going king
Athos, 3 months ago, 1,high hope bowl poke live height congress st elevator tried tidal pokay piki plus minus good shaka bowl walking distance driving expensive delivery fee either felt like discovered something great first time went salmon decided wait another time time today easily worst bowl poke area looooong mile got large bowl asked pay extra scoop fish make whole bowl half tuna half salmon picked topping ponzu sauce n't see spicy mayo menu n't ask got order decided ask spicy mayo side figuring must guy said allowed turn sauce called spicy shaka sauce order apparently get one sauce bowl every place stingy get shoyu bowl top spicy mayo everywhere else whatever figured go home mix kewpie mayo sriracha mix bowl got home portion insulting asked extra fish money le fish bowl three place mentioned even get regular order let alone pay extra even stingy pineapple edamame little compared used could n't taste single sweet onion cilantro tried find visually could n't see either forgot two topping everything seemed fresh point
Adam Smith, 5 months ago, 3,
Aeri Co, 6 months ago, 1,ok first want say love place gf cooky salmon bowl 15 regular fresh juice mean beyond even manhattan price 15 fresh juice pay normally two
Kele Munoz, 6 months ago, 5,
S Linn, 7 months ago, 2,food great however pricing inconsistent every time go menu say one thing display board say another cashier n't know quite disappointing
Andy Napolitano, 7 months ago, 5,great smoothy staff always friendly
KERRY LYNN, 7 months ago, 5, amazing variety option love trying various bowl available delicious thoughtfully made always add coconut granola  addictive fiance adores breakfast bowl egg buffalo sauce order often always come promptly perfectly packaged hot tip matcha shake delicious keep full day
Tynee Wonders, 7 months ago, 5,absolutely loooooovvvvveeeeeee fresh delicious option absolute favorite spicey salmon poke bowl 12 l 15 spicey veggie poke bowl 9 l 13 feeling taco go chicken taco 3 12
Louis l dapron jr, 9 months ago, 4,
Yuribel Alejo, 9 months ago, 4,bowl good healthy
Brandon Demetrios, 9 months ago, 5,
Manee Kassaii, 10 months ago, 5,hand best poke bowl around great food healthy option super friendly staff love decor highly recommended
Roman Makovey, 10 months ago, 5,
Mark Pasculli, a year ago, 5,good hawaiian food
Gerald F, a year ago, 5,one preferred place tasty hawaiian food great hospitality next time back relative bring hunger portion filling food like restaurant louisville loved
Hamzah Farah, a year ago, 5,
Daniel Hernandez, a year ago, 5,first time pleased gentleman walked entire menu offered answer question definitely coming back enjoy acai bowl
Dave DelSonno, a year ago, 5,
RED Dacquel, a year ago, 4,
Scott Mazur, a year ago, 4,
Sarah Hong, a year ago, 3,
juan contreras, a year ago, 3,
Dirty Hippie, a year ago, 5,healthy light amazing
Connie Abraczinskas, a year ago, 5,nitro coffee
Jair Perez, a year ago, 3,
Melissa Laudenbach, a year ago, 3,
The Plant God, a year ago, 5,nomnom  almond milk avocado mango blueberry banana aa
Parinita Hegde, a year ago, 4,
Holly S, a year ago, 5,acai bowl amazing highly recommend also cute atmosphere
Darshan Shetty, a year ago, 4,nice acai bowl smoothy
Nainesh Vashi, a year ago, 4,pricey small quantity
Gisel A Costa, a year ago, 5,ordered acai bowl fast service staff friendly place clean
Olga Bandillis, a year ago, 5,love poke bowl love build get right every time staff always super friendly even load bowl little extra ton healthy option highly recommend
8th Sensus Inc, a year ago, 1,component rancid salad
David Donovan, a year ago, 5,good smoothy
Ervis Zeqo, a year ago, 4,
Clennia Melendez, 2 years ago, 5,
Urban Arts, 2 years ago, 5,delicious nutritious
Brian Stauffer, 2 years ago, 5,
Hayley Drum, 2 years ago, 5,
Caroline Culp, 2 years ago, 4,
Kaeko Shipley, 2 years ago, 5,
Julia Bucci, 2 years ago, 5,
Ryan Macaluso, 2 years ago, 5,
Elka Figus, 2 years ago, 1,hurt writing review madison avenue location go place first opened last visit ordered bannutry disappointment banana bowl ripen point slimy please eat shape container squished make better one big mush time got bottom definitely good experience try option town offer type bowl needle say 3 bite threw trash banana simply edible
Mark Lavery, 2 years ago, 5,
Red Dacquel, 2 years ago, 4,
Nicole Herr, 2 years ago, 1,
Kas Sweeney, 2 years ago, 5,
Natalie Nikolaieva, 2 years ago, 5,amazing hawaiian place healthy dinner staff friendly space super clean great atmosphere good chill music design pretty good everything reminds hawaii  outlet next every table 2 restroom really like place recommend
Becky Bruton, 2 years ago, 5,delicious sometimes staff little disorganized location forgiven food always great
Maria Sol Cabrera Castillo, 2 years ago, 5,
Kaitlyn Krolick, 2 years ago, 2,really disappointed frozen berry aa bowl today definitely quality  looking 9 bowl
Lizzie Maligranda, 2 years ago, 4,delicious smoothy poke bowl fast fresh
Ivan Ivanov, 2 years ago, 3,
Patrick Cedrowski, 2 years ago, 5,
Steffanie, 2 years ago, 5, addicted acai bowl amazing wish  use plastic besides love place
Grant Pilarz, 2 years ago, 5,
Saadi, 2 years ago, 5,food place great patron even better
katy, 2 years ago, 4,
Rich Gaffin, 2 years ago, 5,love shaka bowl
Lisa Marie Zapata, 2 years ago, 5,food fresh service prompt pleasant
Redwing “RedwingOriginal” Original, 2 years ago, 5,great atmosphere
Jeanette O, 2 years ago, 5,make great poke bowl love anything tuna pineapple build
John Geldart, 2 years ago, 5,
joey avniel, 2 years ago, 5,love food vegan best option area
dayanara rojas, 2 years ago, 5,everything great n't disappointed
Jack French, 2 years ago, 4,update still really like aa bowl probably best town owner quick right wrong  honestly pretty disappointed really like aa bowl arbitrarily overcharged 6  sure  return funny thing 20 coupon seemed like 20 added
Sophie Raven, 2 years ago, 5,fresh food friendly staff build smoothy poke bowl great wide selection topping poke bowl back
Caius Castro, 2 years ago, 5,fast service great food wonderful atmosphere
jairo liriano, 2 years ago, 5,love place great acai bowl poke bowl oatmeal bowl
madeleine, 2 years ago, 5,
Savannah Jones, 2 years ago, 5,
Russell Furino, 2 years ago, 1,extremely disappointed took 20 minute make 2 overpriced bowl 30 say overpriced price received absolutely pathetic asked taking long counter person clear mouth wonton crisp un elegantly shoving throat 75 cent avocado sure prob sliver 1 10th avocado yeah nut fish size penny joke never gain come throw away money people top one two bowl missing component never buyer ware regular restaurant n't paid card ahead time would walked right
Enedys Lache, 2 years ago, 5,sper yummy
Jelly p, 2 years ago, 5,delicious bowl
Dhawal, 2 years ago, 5,
Hunter Cole, 2 years ago, 4,shaka bowl great acai poke bowl extremely fresh smoothy go-to item highly recommend one area frustration ramping second store opening washington shaka shrunk bowl noticeably smaller size price remained smaller bowl reason get 4 5 still frequent shaka appreciate reward program friendly staff atmosphere cleanliness change go unnoticed
Kristina Bodnya, 2 years ago, 1,first impression  nice since ordering cashier chewing chip something mouth full piece food falling front unpleasant unprofessional disrespectful moreover poke bowl dinner woke middle night sharp pain stomach take medication nearly vomiting friend also ordered bowl still feeling awful  think  ever visit
Artem Krylysov, 2 years ago, 2,
Erin Hennessy, 2 years ago, 3,
Maryann Seriale, 2 years ago, 5,
Rosalia M, 2 years ago, 4,good stuff great gluten free option
Karem Veras, 2 years ago, 1,got tuna taco tuna rotten called let know happened change hung  called complain let know
Michael Livingston, 2 years ago, 4,great smoothy
Jonathan Howard, 2 years ago, 5,relatively fast little place pick healthy lunch acai smoothie dinner poke bowl run set back 10-15 definitely worth better health fitness negative trying find parking may challenge time day
Joann SantaCruz, 2 years ago, 5,
Omar Aly, 2 years ago, 4,food good lot sitting space portion size large
Carli Fernandez, 2 years ago, 5,
Ellendale Baterbonia-Chan, 2 years ago, 5,love place delicious acai bowl town service excellent
Joselyn G, 2 years ago, 1,love place last year went last week horrendous taste unexplainable felt like ice flavoring original fruit went many place last place go anyways need step container  even logo anymore dollar store container thought well chain franchise
Angie mimbela, 2 years ago, 1,aa flavorless came weird looking container used enjoy place downgraded
Steve Catanzaro, 2 years ago, 5,shaka great spot smoothy lunch coffee break unique character high-quality food
Kelly McVeigh, 2 years ago, 5,
Luna, 2 years ago, 4,sometime find place actually better poke tried later regular customer since live near food qualify good service ok price ok based quality food problem portion food getting smaller smaller happened many time missed selection poke bowl really frustrating
Ca Ro, 2 years ago, 5,love shaka favorite bowl hoboken gluten free granola plenty option sweet savory bowl service great
Stefania Delgado, 2 years ago, 5,found little gem way wine paint poki bowl amazing
Lauren Sachs, 2 years ago, 5,
Varemar Marketing, 2 years ago, 5,
Brian Varela, 2 years ago, 5,
Natallia Stelmakh, 2 years ago, 5,ordered poke bowl today food arrived super fast everything super fresh tasted amazing
Cindy Vances, 2 years ago, 3,horrible bad guess worth shot
Thomas Hayes, 2 years ago, 4,
Tarin Shulze, 2 years ago, 5,delicious healthy
bryan pattman, 2 years ago, 5,
beth salonia, 2 years ago, 5,yooooo place make best aa bowl area delicious smoothy hilo favorite top-notch cold brew peanut-buttery nutella   monkey bread  imaginable
Brandon Bell, 2 years ago, 4,amazing poke acai however price high given portion size especially poke
Emmanuel Williams, 2 years ago, 5,
Sonja, 2 years ago, 5,food atmosphere staff great perfect place quick bite lot delicious option even date night vegan brownie good enjoy
Rachel Cipkins, 2 years ago, 5,
Karen CIreland, 2 years ago, 3,couple time food always point gotten loco moco kalua pork rice plate give ton food best type savory comfort food want busy day loco moco drenched nice gravy kalua pork good go short rib
Mike DiMaria, 2 years ago, 4,
Mike Pacheco, 2 years ago, 4,
Adi George, 3 years ago, 5,
Leon Cal, 3 years ago, 5,good healthy sugary great
Alexander Tweel, 3 years ago, 5,
Kaitlynn Helm, 3 years ago, 5,complaint love experience overall everytime
Bahaa Kutub, 3 years ago, 2,overpriced  new  bowl one thing overpriced accepting mobile payment really ridiculous get time accept apple pay used great spot definitely place avoid
Frank Ali, 3 years ago, 4,
Jirina Harastova, 3 years ago, 5,
Richard Wiebe, 3 years ago, 4,say open 7 side 718 still none around
Maria Ber, 3 years ago, 2,two star poke  tasteless bowl rice piece tuna acai bowl ok coming pork much better place hoboken
Jim Mannoia, 3 years ago, 4,
Diana Knight, 3 years ago, 5,love place literally obsesssed sometimes get breakfast dinner love food never feel need consider  healthy food taste amazing  fresh taste healthy love poke bowl think size good love grilled chicken option also love mix rice another base zoodles good also think nutritious nanner bowl taste like nirvana avocado toast hot honey taste like  bannutty pitaya bowl fresh saw couple negative review staff scratch head  least 50 time  super nice seemed know talking
HL, 3 years ago, 4,
Idan Levi, 3 years ago, 5,
Sheila Taylor, 3 years ago, 4,best thing place thing ever gotten macaron ice cream sandwich cookie delightfully chewy great contrast smooth flavorful ice cream flavor run nice spectrum usual rocky road wacky fruity pebble definitely give try prepared wait long line
arielle hope, 3 years ago, 2,
Filip Trajkovic, 3 years ago, 5,
Gianfranco Borrello, 3 years ago, 5,
Jude Odenthal, 3 years ago, 3,bowl good topping little light left hungry
Jocelyn G., 3 years ago, 3,aa bowl look pretty flavor need sweeter
Quincie Dixon, 3 years ago, 2,beautiful interior care staff  attitude  match acai flavorless point actually keep tasting see  getting good bite  poor quality two star fast service otherwise  sticking favorite local acai joint rhyme schmaya bowl
Jamison Scala, 3 years ago, 1,wife called say website dairy free excited try dairy free bowl asked yogurt dairy free said  greek yogurt said greek vegan yogurt said  know people answering phone  know yorgurt dairy free order disappointing
Mario Builes, 3 years ago, 5,
Yvette Franco, 3 years ago, 4,
Paulo Morante, 3 years ago, 5,
Emily Raque, 3 years ago, 4,serving size little small price
Luis Roque, 3 years ago, 2,place changed since last went granted unfortunately hasnt changed better menu gotten alot difficult decipher employee helpful
Kali Crandall, 3 years ago, 2,changed menu okay build bowl la carte instead pre made suggestion also changed bowl recyclable brown cardboard bowl plastic concerning bowl still taste good lot filler rice much fish also charge price new small version bowl used old full size
N Gaston-McDonald, 3 years ago, 4,traveled bronx hoboken path train light rail nix birthday boy like poke girl hesitant shaka bowl offer acai pitaya parfait poke bowl snack large size able try something different zoodles poke nix zoodles rice ahi tuna everything delicious service good reason 5 star wanted mango bowl sadly mango day nix loved smoothie afterwards coffee delicious also took home monkey bread girl tried recreate tasty definitely go back
Peter Jensen, 3 years ago, 4,
Frederic Spieler, 3 years ago, 5,
Tamir Post, 3 years ago, 5,
Alejandro (Dro), 3 years ago, 4,
JW, 3 years ago, 4,great place smoothy bowl pretty quick usually may time line long
Joshua Schroeder, 3 years ago, 5,absolutely incredible
Juliette Lemercier, 3 years ago, 5,translated google super good generous portion especially smoothy rare eat good healthy phil feel good bit expensive original super bon portion tres genereuse surtout pour le smoothy rare de manger bon et sain aux phil ca fait du bien mais un peu cher tt de mme
Rafael Lopes, 3 years ago, 2, know happened place awesome beginning everything look extra spicy expensive come ugly plastic bowl 60 rice used delicious innovative  another bowl place like one find manhattan  even bowl anymore plastic can killer sad  come  want pay around 10 buck eat rice topping sweet thing good though pitaya bowl good
David Koethe, 3 years ago, 3,food really good great acai bowl order menu item website must make custom bowl little annoying n't pick phone takeout order listed number
S N, 3 years ago, 5,
Bruce Ornstein, 3 years ago, 2,nice place much better fresher poke elsewhere
Joanna Duverge, 3 years ago, 5,
Steven Elwell, 3 years ago, 3,weird vibe totally silent pretty distracted service welcoming experience poke place portion generous flavor good great definitely good enough return visit
Myles Helfand, 3 years ago, 4,
Katarina Jevtic, 3 years ago, 5,great place lot acai poke bowl far best keep good work guy
Daniel Gargiulo, 3 years ago, 5,best around
Pramod Raju, 3 years ago, 4,
Nils Dahl, 3 years ago, 5,
Bob Treue, 3 years ago, 5,never poke bit skeptical restaurant promote healthy food today went shaka bowl one best meal ever life plan go back lot mauna kea bowl tuna mango pineapple cilantro hot pepper rice sesame seed flavor explosion kind like great sushi much feb 2018 update addicted poke tried fruit bowl first time amazing molokai cocoa bowl fruit acai variety nut nutella top absolutely fantastic
deftoneplayboy, 3 years ago, 5,
Celia Maldonado, 3 years ago, 5,place amazing stuff poke bowl delicious nutritious nanners oatmeal breakfast best aloha smoothie tasty course acai bow want food healthy delicious
Miguel Alcón (Mikel), 3 years ago, 4,
Mikhail Panin, 3 years ago, 4,
Andrew Price, 3 years ago, 5,
Robert Lurie, 3 years ago, 5,really good poke good selection smoothy acai bowl definitely cheap get surprising amount food paying really make 5-star rating customer service wife recently picked food couple mistake made order mistake happen emailing shaka bowl mistake offered free poke bowl next visit need really helped make sure go back
Jiaren Li, 3 years ago, 5,slight premium place decent healthy food option usually order build bowl seafood protein rice abundant amount topping resulting meal pretty satisfying overall think food fairly average expensive hoboken however personally highly recommend smoothy plenty healthy nutritious innovative option satisfy people variety taste
dante afk, 4 years ago, 5,place bomb absolutely delicious healthy
Vince Priblo, 4 years ago, 4,
Kaitlin McKay Mckenzie, 4 years ago, 5,love shaka bowl addicted acai pitaya bowl also love poke bowl service great food always point owner staff friendly remember u every time come highly recommend
Katrina Wilson, 4 years ago, 5,u need try
William L, 4 years ago, 5,
Amar Khandve, 4 years ago, 5,
Stevens Florez, 4 years ago, 5,great food wish little bit cheaper everything like
James Tome, 4 years ago, 5,great food prepared short line place become popular
Michael Real, 4 years ago, 4,
Jenni Chagas, 4 years ago, 5,
Cesar Mc, 4 years ago, 4,
Stephen Parish, 4 years ago, 5,fantastic poke mauna kea great
Ishan Amarasiri, 4 years ago, 4,love smoothy
Tori Quan, 4 years ago, 5,
Ketan Patel, 4 years ago, 5,
Vanessa S, 4 years ago, 1,overly priced small portion
Outlet Home Inspections, 4 years ago, 5,couple time love new acai poke bowl movement absolutely delicious best feel bad eating one like cacao nutella acai bowl super filling nice power breakfast lunch acai bowl run 10 also enjoy poke bowl usually build mix match green base general protein add sweet spicy sauce give nice kick poke bowl bit expensive running 14 even though place bit expensive still much cheaper nyc spot good luck parking area also small seating area need expand jersey city
Joseph Mezzina, 4 years ago, 5,
Debora Mendonca, 4 years ago, 5,amazing food
Gian Paul Gonzalez, 4 years ago, 5,
Drew Pronko, 4 years ago, 5,
Nikki Rivera, 4 years ago, 4,nice place
Gabriella Romano, 4 years ago, 4,
Justin Valerio, 4 years ago, 5,
David Rodriguez, 4 years ago, 5,eat
Marisel Perez, 4 years ago, 5,
Eugene Belinkov, 4 years ago, 3,
FARAH ABBASI, 4 years ago, 5,
Dariana Mullen, 4 years ago, 5,absolutely one favorite place incredible service beyond amazing acai bowl 
Fari A, 4 years ago, 5,
Sara Hernandez, 4 years ago, 5,love love love place reasonably priced pok bowl able eat half also love avocado n't extra
Valentina Gu, 4 years ago, 4,one favorite poke bowl place around really good poke bowl many others ca n't mimic gave 4 star sauce heavy past couple bowl gotten otherwise definitely recommend place everyone
Luis Manzanillo, 4 years ago, 5,excellent place nice wind smoothie
Sean Hollingsworth, 4 years ago, 5,
Joey “Board Golfer” Ay, 4 years ago, 4,
Michael Hansen, 4 years ago, 5,awesome
Fiona Greeley, 4 years ago, 5,
Allie Gazda, 4 years ago, 5,great food quick service
MaryAlice Skidmore, 4 years ago, 5,
Michael Z. Horvath, 4 years ago, 5,made remember hawaii trip back food spot-on
Agan Singh, 4 years ago, 5,solid bowl definitely go back changing review 5 star zucchini noodle service always fast banana chocolate vegan cooky excellent bowl 14 ingredient high quality
William Pond, 4 years ago, 5,
ally nesci, 4 years ago, 5,
Mawel Soler, 4 years ago, 4,tried loved definitely good choice lil pricey well worth service awesome owner prepared bowl winning lmao
Nikhil Maheswaraiah, 4 years ago, 4,
Anthony Curro, 4 years ago, 5,big thing california really enjoyed
Kyle Lukas, 4 years ago, 4,place always busy delicious poke pitaya bowl ingredient always fresh come expect pay 14 per bowl cost business hoboken nowadays one employee working front counter could nicer
Dean, 4 years ago, 5,great place clean great presentation good portion size amazing food definitely going lot
Jackie Pino, 5 years ago, 5,unbelievable legendary pioneering healthy food amazing
Josh Ellison, 5 years ago, 5,amazing food menu reasonably priced get
Ashish Sheth, 5 years ago, 5,acai bowl peanut butter real nice
Leah Yesepkin, 5 years ago, 5,
Max Davis, 5 years ago, 5,healthy great food
