author,date,rating,text
Lajya Suman, 4 hours ago, 3,
Valentina Restrepo, a day ago, 5,
Mario Jorell Haigler, 6 days ago, 5,fresh wholesome great broth ingredient would definitely ramen
Brian F, a week ago, 4,good ramen
Tysis Sid, 2 weeks ago, 4,tried shoyu ramen momos good loved chicken broth ramen though ramen bowl good enough would even better extra topping
Jonathan Raitses, 3 weeks ago, 1,item ordered good okonomiyaki ordered completely raw center eating couple bite noticing stomach hurt
Hanna Agarrouj, 3 weeks ago, 1,terrible customer service
Priyank Thakkar, a month ago, 5,
Jessica Chen, a month ago, 5,yum  new favorite ramen spot hob-jc area legit tonkotsu soft shell crab golden crisp outside light batter soft inside
Diana Nunes, a month ago, 4,great tasting food great vibe outdoor indoor seating establishment clean service courteous timely definitely coming back
Leena Morant, a month ago, 1, seat u 9:30 kitchen closed although close 11 disappointing
Em Cat, a month ago, 5,ramen served good amount topping portion inside crowded seated immediately place also clean staff friendly 
Nancy Wadie, a month ago, 4,best place ramen definitely love vibe place nice outside area table loved place definitely go back
Sid N, a month ago, 4,best japanese food ramen place dtjc hoboken without tearing hole wallet service amazing 4 5 time except junior staff around closing 
Angela Zhang, a month ago, 5,definitely proper place japanese food hoboken
Junliang Zhou, a month ago, 5,
Prince Chauda, 2 months ago, 5,one best japanese food restaurant hoboken food taste good feel authentic loved sake appetizer
Andrew Flores, 2 months ago, 5,
Leti, 2 months ago, 3,service good restaurant nice clean ramen lack depth flavor egg n't marinated ramen place high star location expected better ramen perhaps higher expectation love ramen try food may shine tried
Charles Lin, 2 months ago, 4,
Kesavanand M, 3 months ago, 4,soup broth great wish rice shrimp option
Melissa Ronga, 3 months ago, 5,
Jalessa Almonacy, 3 months ago, 4,thoroughly enjoy spicy pork bowl would enjoy bun acid cut sweetness bowl  reason  giving 4 star thatdelicious
Jill Stapleton, 3 months ago, 5,good smallish location accommodated 9 u issue worker kind attentive food delicious may even go back tomorrow
Asish Ghosh, 3 months ago, 5,
Marcus Jimenez, 3 months ago, 1,spicy miso broth pork bun pretty good chashu ramen tasted smelled expired ive accidentally consumed expired pork smell taste ended trashing
Michaela C. Dudley, 3 months ago, 1,ramen good pretty overpriced unfortunately customer service terrible order couple time month live block ordered vegetable ramen today delivery ubereats 
Kunal Puranik, 3 months ago, 4,nice ramen place hoboken nice open vibe indoor outdoor seating greeted nice lady got table instantly surprisingly crowded given went monday eve 1 vegetarian ramen 
Pete, 3 months ago, 5,really enjoyed
Kurayish Kurmanaliev, 3 months ago, 2,think 2 star good ranking place waited couple day cool head write honest review 2 reason give place 2 star instead one 
Chris Lee, 3 months ago, 5,loved spicy miso ramen generous portion nice presentation great taste relaxed atmosphere good service
April Willis, 3 months ago, 5,waitress nice friendly atmosphere soothing food delicious must try green tea ice cream bomb
Natalie, 3 months ago, 5,got shoyu ramen chicken rice bowl fried ice cream chicken skewer everything delicious  chicken rice bowl little spice perfect ramen absolutely amazing love everything fried ice cream extremely good well highly recommend
Simplicity XXX, 3 months ago, 4,good late night meal recommended
Gene Lu, 3 months ago, 5,place never fails spicy pork bun okonomiyaki buri agedashi tofu  basically try everything menu  best  get without go city
Shivanjali Verma, 3 months ago, 5,delicious food 
Red Chris TV, 3 months ago, 1,worst ramen ever try flavor greasy noodle oil broth throw garbage
Samiul Karim, 3 months ago, 4,good ramen  new area visiting weekend one piscataway better around
Chao Tsang Huang, 3 months ago, 5,
John, 3 months ago, 5,great food awesome service
