author,date,rating,text
AMI Logistics, a month ago, 5,love place come weekly found newark location
Mike Clark, a month ago, 5,love place come 2-3 time per week great food service
Austin Armon, a month ago, 5,food drink delicious
Mike Nowatzky, a month ago, 5,love food shake amazing 10 10 recommend
Nestor Haro, a month ago, 5,first time today great think found new favorite place healthy tasty flavor
Matthew Palazzolo, a month ago, 5,great food great service eat breakfast lunch dinner several time week
KING BOXX (King Boxx), a month ago, 5,food awesome great place smoothy well make combination want
Cre8tive Mojo, a month ago, 1,tropical salad honey mustard dressing good little bland smoothie good best ever unfortunately main person working kept bothering leave google review free drink originally gave 4 star free drink  think good enough charged drink food good people pushy unprofessional pushy review review unprofessional never come back
Craig O'Sullivan, a month ago, 5,cajun salmon wrap quinoa sweet potato fried totaling 500 cal 43g protein 41g carbs food quality seems cleaner leaner average quick service restaurant one differentiating factor list nutritional info metric staff friendly well
Robert Rose, a month ago, 5,good smoothy natural ingredient friendly staff seems like good choice
Matt, a month ago, 5,souzafit  great spot  trying lose weight maintain muscle breakdown macro meal within menu staff  also friendly helpful need add change meal
Michael Skircak, a month ago, 5,one best place eat hoboken clean food macro shown always taste great care diet want tasty food check
Christina M. Segro, a month ago, 5,always friendly experience food fresh always accommodating
Nicholas Fultz, a month ago, 5,souzafit hand best meal prep service hoboken cater meal exact macro diet service always superb well
jose almonte, a month ago, 5,love place great choice friendly service accommodate style love come hook great price well
JayPelle, a month ago, 5,food good signed meal plan smoothy also amazing service staff excellent
stevie bello, a month ago, 5,best exercising
Xavier Beaudet, a month ago, 5,love place found place week ago  getting lunch multiple time week since food healthy delicious affordable good portion staff welcoming  trying everything menu one time favorite far souzafit burrito  thinking grabbing meal  definitely recommend
kk greg, a month ago, 4,great service friendly people
David Werner, a month ago, 5,love place come several time week lunch dinner delicious protein shake awesome healthy wrap must try monster wrap fire mention early 2000s hip hop music video great vibe staff also  possibly nicer
britney ellis, a month ago, 5,place amazing healthy food always best quality fianc easily eat 4 time week either lunch dinner great smoothy wrap definitely worth walk downtown eat
kenneth Martin, a month ago, 5,eat souzafit least 5 day week great service great tasting especially healthy food option
Nydia Montanez, a month ago, 5,best healthy natural juice food create 
Allison Levy, a month ago, 5,food amazing discovered place couple week ago 5x since
David Brown, a month ago, 5,love place heathy still tasty usually get chicken teriyaki recently tasted someone  steak stir fry wow next order additionally friendly service comfortable eat inside outside takeout
David Shakir Sari, a month ago, 5,love place  perfect healthy protein based breakfast
Maria Andrade Velez, a month ago, 5,favorite post workout vegan option friendly staff
Jonathan Chitic, a month ago, 5,highly recommended good service healthy food fantastic restaurant
Michael Quinlan, 2 months ago, 5,grilled chicken quesadilla excellent
E.Jason Prince, 3 months ago, 5,great place
Gregory Gioia, 3 months ago, 5,good juice people friendly
Ian, 3 months ago, 5,one go place eat hoboken high quality ingredient big portion size lot meat protein friendly staff recommend chicken quesedilla
Karen N, 4 months ago, 1,need wear mask especially time covid protect local community price steep get strawberry kiwi fruit sour skimpy serving size  like cutting even 2 strawberry entire fruit bowl know  control easily least figure produce problem  meal  head piki poke road next time acai bowl
Jeffrey Becker, 4 months ago, 5,great food great service extremely weak complaint featured people nothing better complain
nina witas, 4 months ago, 5,
ss amazon, 4 months ago, 1,really bad service decent food even try
nycentral tours, 4 months ago, 1,horrible food disrespectful service
Angela Frid, 5 months ago, 2,feel bad writing negative review friendly service worked several restaurant  realize already paid single staff member wearing mask seems unsafe customer contrary healthy lifestyle branding cajun salmon wrap tasty salmon still skin
X Boone (The FiG), 5 months ago, 3,shout souza fit making medium rare burger close well dryer whoopin cough menu super dope really detailed love fact see stats meal like boxing game shrimp taco best part meal yet still full get regular fry
Michael M, 5 months ago, 5,
Michael Rufino, 5 months ago, 4,food fantastic staff friendly helpful made experience even better resturaunt list calorie macro content dish extremely beneficial anyone diet bit conscious intake unfortunately souzafit detail nutrition fact past macro leaving sodium sugar content also list calorie count side specific plate two thing addressed would five star sure
Bryan Hricay, 6 months ago, 5,staff souzafit amazing treat like vip every time dine tasty healthy reasonably priced plus provide macro menu tracking eat recommend barbell salad chicken protein coffee give extra jolt
Gizem Acar, 6 months ago, 4,nice place healthy-ish bite fast service food okay
ketleen cuel, 6 months ago, 5,
I Aco, 6 months ago, 5,
Tere Lopez, 6 months ago, 5,the best food town 
P S, 6 months ago, 5,
Dener AmeriCANO, 6 months ago, 5,delicious food love
Gabriel Lino, 6 months ago, 5,
Livia Mara, 6 months ago, 5,best restaurant town good near-healthy spot stop looking place really gon na eat good place
Helder Rodrigues, 6 months ago, 5,response alee google review negative dispute nothing quality food business model sorry hear bad experience restaurant would like take opportunity assure done anything illegal unethical withhold last paycheck key staff apparel returned common business business owner want non-employee key alarm code safety issue christina reached two week asking return key take measurement protect asset business informed loss clearly showing immature irresponsible behavior statement miserable unfair untrue felipe christina hard-working people care business customer know often work 12-14 hour day without taking break keep order coming making sure 3 location run smoothly possible always road commuting 45 1 hour assist staff anything always looking passionate committed individual help service community please reach way solve matter community support back negative review reviewed won\'t let behavior day-to-day
Gabriela Medina, 6 months ago, 1,dont even count calorie right way think eating something 300 calorie might eating 700 dont recomend place
Mark Desmond, 6 months ago, 1,
Louie Pathirana, 6 months ago, 5,thank much fantastic food team loved healthy right amount food
rohan kadu, 6 months ago, 2,horrible service morning rude unprofessional
Henry Powell, 7 months ago, 5,
Todd Dahlquist, 7 months ago, 5,place gem food excellent staff great visiting hoboken must eat place
jessica ortiz, 7 months ago, 5,best beet juice town
Marralyn Fare, 8 months ago, 5,
Nathaniel Arocho, 9 months ago, 5,
Artem Krylysov, 10 months ago, 4,
Samantha Sanchez, 11 months ago, 5,service outstanding quick worker always make u amazing drink knew boyfriend drink heart super cool overall super friendly customer service beautiful clean restaurant definitely new date spot
LBHM Hoboken, 11 months ago, 5,love eating three day black bean burger die definitely keep ordering great portion tasty
Andrew Price, 11 months ago, 3,pro food decent service fast con add credit card fee warning menu sign store leaf bad taste charged without knowing beforehand cashier pulled mask talk phone chef mask half time cooking indoor dining n't look like 25 capacity n't know could fit 4x chair outside pandemic bundled ketchup sachet included hfc disappointing place advertising healthy food
Amelia mu, a year ago, 5,excellent service great food try smoothy strawberry banana good saw using fresh fruit
Martino Bautista, a year ago, 5,
Isabela Souza, a year ago, 5,
Ednilson Silva, a year ago, 5,always great food great ambiance meal prep life savior busy cook lovely staff
kelly DaSilva, a year ago, 5,pretty good spot healthy eating excellent food selection even kiddos picky eater loved friendly staff clean welcoming environment recommended
Leo Pires, a year ago, 5,great place super clean delicious
julio cesar, a year ago, 5, amazing place delicious food congratulation whole team
João Pedro Scaranelo, a year ago, 5,wonderful
