author,date,rating,text
sadri 777, a week ago, 4,good latte mini muffin gluetin free
Cherie Calingasan, a week ago, 1,ok
Cherie Hankin, a week ago, 1,fine
Liz Cognat, 2 months ago, 2,let start saying daughter ordered cake april absolutely delicious decided order niece bridal shower september unfortunately cake dry stale disappointed embarrassed called store following day manager told person spoke happened apologized told would manager call back  24 hr later phone call poor customer service needle say returning
Star Bellemie, 2 months ago, 5,excellent best cannolis world
Nikhil Saxena, 3 months ago, 1,don\'t know people work know placed order special birthday phone simply two yellow cake chocolate frosting lady phone jotted two vanilla cake chocolate frosting followed specifically want yellow cake responded vanilla cake expected clarification yellow cake affirmation lady phone bakery would provide yellow cake picked cake week later however birthday party cut cake notice made u white cake honestly spoiled birthday party yellow cake birthday girl favorite professional bakery understand difference white cake yellow cake especially made clear repeated wanted yellow cake confident employee know top cake dry lacked flavor disappointing supposedly professional bakery couldn\'t manage complete simple cake order would recommend people use another bakery want cake actually ordered
LaTesha Collins, 3 months ago, 5,
Karishma Ahluwalia, 4 months ago, 5,absolutely loved delicious cake ordered son 1st birthday looked beautiful tasted super delicious  thank guy
Pete, 6 months ago, 5,nice little bake shop place cupcake cooky
Lady Ace, 6 months ago, 3,came dinner craving something sweet love eating something sweet always mood cake quaint bakeshop located near park due covid limiting amount people store ordered red velvet 3 75 fluffernutter 3 75 cupcake tasty felt bit small regular sized personally thought tasty presentation okay didn\'t see anything made noteworthy visit bakery ton interesting flavor sure would return maybe area one thing didn\'t like cupcake placed paper bag careful transporting home goody customer service okay person didn\'t really seem one way another another fly wall cared
Regina Cappio Wilson, 6 months ago, 5,
Hip Hop Junky Radio Show, 7 months ago, 2,impressed 2 cup cake joint price range taste better sweet spot would go last cupcake option
Liza Duval, 8 months ago, 5,getting cake cupcake sweet since day opened never go anywhere else angela team amazing cake unique delicious also best hot chocolate hoboken definitely highly recommend sweet
Soha Chokshi, 8 months ago, 5,cupcake great probably best place cupcake  ever coffee awesome
Jojo Gian24, 8 months ago, 1,hard flavorless cupcake cake sure 5 0 review place hoboken cupcake guess
Omar Lopez, 8 months ago, 5,
Rachael Genovese, 8 months ago, 5,ordered pawl patrol cake daughter  3rd birthday came adorable cake delicious 
Jessica Nisler, 9 months ago, 5,ordered delicious red velvet cake friend birthday good cute thanks sweet
LYVICK PEREZ, 9 months ago, 5,dessert incredibly delicious mini cupcake well regular sized one worth walk freezing s cold
Rich Slaby, 10 months ago, 5,n't miss cookie dough super easy make amazing fresh cooky home minute
JESSIE CHIRIBOGA, a year ago, 5,
Regina Wilson, a year ago, 5,sweet great lovely staff even better dessert neighborhood staple
G. Lee, a year ago, 1,wrong open hour google map google map say open 8:38am updated cupcake great  walk far 
Chris Bramble, a year ago, 5,
Kristin Tuozzo, a year ago, 5,
Evelyn Hanni, a year ago, 5,
Randall Bruins, a year ago, 5,ordered two 6  birthday cake ready time fabulous
Danielle Morrison, a year ago, 5,
Carla Reagan, a year ago, 5,omg best moist cupcake  ever life think sleeping yesterday tried chocolate peanut butter frosting delicious describe
Matt Schwalb, a year ago, 5,cake made wife birthday instruction make look pretty angela took vague instruction hit park little thing pandemic thanks angela
Kelly Mayer, a year ago, 5,delicious cupcake thank staying open pandemic making day much sweeter
