author,date,rating,text
Rajesh Patel, 2 days ago, 5,
Juan Escobar, a week ago, 1,ordered something cashier told would refund ran nothing week later kept money
Boo Bees, a week ago, 5,tried chicken sandwich delicious  different average halal spot onion caramelized raw sandwich hot white sauce mayo tasting side back
Robbie Brevard, 2 weeks ago, 5,parked near place wanted grab wing somewhere left hoboken impressed portion size honey garlic wing wing amazing would return try item menu
Larry Qin, 3 weeks ago, 5,great halal food complemented pleasant service
Andy Gonzalez, 3 weeks ago, 5,popped first time staff maybe owner friendly food amazing nice portion delicious variety flavor one platter
Rabi Khan, a month ago, 5,
David Lowenstein, a month ago, 5,
Mary Perez, a month ago, 5,
Nicholas Beyer, a month ago, 5,amazingly good platter falafel white sauce hot sauce really good spice level phenomenal ca n't go wrong
F Zaidi, a month ago, 5,amazing chicken try chicken salad  love
Robert Giesken, a month ago, 5,mango habanero sweet chili wing awesome platter good well
Jared Johnson (Jared), a month ago, 5,delicious halal local folk block made clean carefully-selected ingredient pack punch without leaving guilt clogged toilet like greasier fare truck
Aakriti Mahajan, a month ago, 5,red white sauce good crispy falafel 2 month glad joined hoboken area wing great nice staff
Mehtaab Singh, 2 months ago, 5,place honestly amazing food tasted great portion size great price staff also friendly  sure return
Andrew Lee, 2 months ago, 5,great service better food
Abhishek Allen, 2 months ago, 5,nice addition hoboken culinary world chicken rice sandwich better halal guy  skimp red white sauce going every week good quality well priced food item
Zack Halilovic, 2 months ago, 5,glad see new halal restaurant hoboken got chicken wing everything could  asked affordable fresh tasty definitely place eat often
Tina M, 2 months ago, 5,
Joseph Fung, 2 months ago, 5,
Lucky Blessed, 2 months ago, 5,best chicken platter ever absolutely delicious 
CARLOS T, 2 months ago, 5,favor come welcome
Swati Saxena, 3 months ago, 5,one best falafel
Mike E., 3 months ago, 3,went last friday night two friend take got mixed platter gave small tip asked 2 extra empty container fill white sauce table young guy working brown curly hair gave attitude threw hard bag understand cost extra lmk would paid food good rest staff seem friendly heard lot place bummer n't get best customer service
Matt D'Amico, 3 months ago, 5,good platter really good wing clean kitchen friendly welcoming staff highly recommend
Nick Scolaro, 3 months ago, 5,platter excellent
Josh, 3 months ago, 5,best platter hoboken jersey city sure
Andre Collazo, 3 months ago, 5,
Kshitij Khot, 3 months ago, 5,best falafel sandwich 7 year nj ny welcoming staff awesome food else need love place
Daniel Guterman, 3 months ago, 5,
habib ahmad, 3 months ago, 5,food good definitely life  name
Darek Michael, 3 months ago, 5,stopped yesterday mixed platter delicious would recommend white hot sauce first timer thanks mateen 
Michael Marando, 3 months ago, 5,best addition hoboken chicken platter everything 10 10
fae bee, 3 months ago, 5,got chicken sandwich delicious super filling greasy amazing quality great price  wait come back try wing dish impressed 
