author,date,rating,text
Shalyn O'Malley, 2 days ago, 5,30th birthday party back bar amazing best time would highly recommend bartender alex best
Ringoue Kumar, 3 days ago, 3,ordered crooked knife n't like got throw
Hannah Khattab, 6 days ago, 5,came last week friend birthday food great well service waiter leni made sure everything perfect super attentive friend couple time leni made experience ainsworth best one yet thanks
Nivedita J, 2 weeks ago, 1,never take kid get ptsd loud noise read response thank never coming back straight away declined request reduce loud music bit honestly deaf-ning never coming back
Ali A, 2 weeks ago, 5,excellent location vibe food definitely saturday night party spot
Ash GR, 3 weeks ago, 2,location really good view grilled salmon veggie cauliflower appetizer cauliflower dish great staff certainly work improving service ordered hot water got iced water also confused entree order
Philip Mierswa, 3 weeks ago, 4,burger good burger assembly amateur best resulting mess topping plate despite best effort keep together
Tommy DeSimone, a month ago, 5,short rib grilled cheese must
Renee Macaroni, a month ago, 5,
Lior Naaman, a month ago, 5,
Armando Rosas, a month ago, 3,
John Welson, a month ago, 1,small portion food expensive cheeseburger hard like rock expect pay minimum 100 2 n't go greedy owner think new york hello new jersey nyc lot fake review 
Julio Romero, a month ago, 5,
J Spiegel, 2 months ago, 5,never post review post one great experience daughter 16th birthday dinner 12 kid easy plan easy arrived loved meal staff attentive friendly  miss anything another table 4 adult separate kid beautiful set another space  worry plan event business say haylee staff confidentially pull event together  worry super reasonable pricing party good food made look like really smart mom thank ainsworth
Gilbert Tapia, 2 months ago, 5,daniela waitress best super helpful
Krystian Quintana, 2 months ago, 5,hospitality consultant must say service quality food drink phenomenal believe name galo  bartender exceptional one best old fashioned  awhile great bar service food fantastic well definitely back
Taylor Burgio, 2 months ago, 5,great service noel waiter food delicious
Denise Gray, 2 months ago, 4,gold wing indeed legendary energy fun need daniella server great
Javari Burrell, 2 months ago, 5,food die waiter daniella made experience 1000 time better thank 24k service wing
Jenise Bishop, 2 months ago, 5,food great daniella amazing waitress mac cheese burger must drink
Kamryn Montalvo, 2 months ago, 5,food delicious noel waiter super amazing
Tania Rivas, 2 months ago, 5,view incredible place atmosphere brunch best food quite good waitress daniela always attentive u come back
Alina C, 2 months ago, 5,excellent food ribeye steak delicious nicole server gave u best attention
Adriana S, 2 months ago, 5,service always great nicole attentive kind server food delicious back soon
Rakhil Soman, 2 months ago, 5,wonderful time friend godd prompt service eleni mac cheese burger awesome
Karthik Raveendran, 2 months ago, 5,really good view new york skyline great food awesome portion service exceptional smile eleni
daniel vergara, 2 months ago, 5,nice place view good service went today brunch definitely try macburger delicious thanks daniela hospitality
K. McDonald, 2 months ago, 5,really great brunch leaving second time month bottomless brunch great service staff really great elleni took care u handled entire outside section never went without attention would definitely recommend
Chelsea Vena, 2 months ago, 5,noel great waiter checked table often kept drink coming would highly recommend restaurant course noel best
Caroline Valenzano, 2 months ago, 5,great brunch love bottomless special server named noel absolute best would definitely come back
Kelly Schulhafer, 2 months ago, 5,great experience ainsworth waiter noel made everything much better awesome waiter would definitely recommend
Jordan Doherty, 2 months ago, 5,noel awesome waiter attentive kind made experience even better food awesome drink great
Emily Cummings, 2 months ago, 1,sat saturday night waited 10 min said something bartender told  serve  send someone waited another 10 min said something another person said someone would right w 5 min later left terrible place make wait 25 minute service empty table slow crowd wild wanted update review came 2 sunday ago give second shot waitress butched order salad gave food poisoning sick 2 day know salad bite tasted stopped eating son u asked water gave glass cup safe 1 year old kid maybe n't child friendly option since kid friendly food option either extremely priced food service receive save time money try one restaurant next door far superior dump
Mike Schwartz, 2 months ago, 5,great food killer drink try brunch menu eleni waitress absolutely lovely highly recommend
Dominique Brancato, 2 months ago, 5,ask leni group like 20 people leni server absolutely wonderful food delicious music good leni amazing 15 10 would recommend
Courtney Marie, 2 months ago, 5,leni server amazing went beyond group 12  definitely back service
Jacqueline Browne, 2 months ago, 5,private event ainsworth last weekend birthday went amazingly event planner emailed back forth responsive flexible question event much fun back part restaurant secured event 2 private bar tender alex shanelly attentive guest nice helped set cake cannolis brought displayed guest even first walked hostess friendly helpful wonderful event need place event ainsworth sure beautiful job
Mackenzie W, 2 months ago, 5,friend went happy hour dinner great food delicious service wonderful server miguel top manager corbin even came check table friend ordered 24k wing even came sparkler fun
Megan Nichol, 2 months ago, 5,best chicken pesto sandwich would highly recommend ordering server andre manager corbin friendly made table feel welcome cared
Colleen Hannon, 2 months ago, 5,staff nice attentive food incredible great place
Philip Leotardo, 2 months ago, 1,20 year kid brother billy needed grab bite pick esplanade newark ho  lem tell ya way run thing  sort messed respect thing knew something wrong second took seat  feel like sitting 12  clock could sat freakin san gennaro would sitting 12  clock tried tell seemed ok could ok  askew idea server entire time nobody checking u grab attention anybody walked anything needed drink plate food bill etc flat bad service lot compromise made wanted fried calamari compromised given low quality frozen shoprite tier onion ring instead wanted grilled chicken pesto sandwich compromised given bread sandwich instead see photo 5 freaking location new york got pygmy thing jersey  waste time money
Jasmine Ace, 3 months ago, 5,place ambient perfect music great food definitely plus drink amazing service awesome outside seating available view die
vrinda chopra, 3 months ago, 4,good top
Peter Schwarzenbach, 3 months ago, 4,
Maureen Langan, 3 months ago, 5,dinner 16 main dining room bar great service wonderful food outstanding nice price super friendly staff event coordinator haylee dream work one thing bear mind room bar loud music tv-fun environment maybe quiet event overall great experience
Magdalena Olech, 3 months ago, 5,atmosphere food drink great alex bartender awesome personable friendly attentive definitely would going back
Ileana Driggs, 3 months ago, 5,came friend saturday night alex took care u great drink food good ca n't wait come back
Nicole Cavaliere, 3 months ago, 5,came last night group friend friend birthday came around 9 sat right door alex helping u night everything great food delicious drink point definitely coming back
Tae Kim, 3 months ago, 4,kind food eat anywhere
Jessi Luna, 3 months ago, 5,everything place nice dinner yummm sauce oh also white red wine came significant awesome yummm sauceeee
Christopher Huber, 3 months ago, 1,overpriced food would good food n't even good buffalo cauliflower sitting water plate service pretty slow
Maria Ramson, 3 months ago, 4,
Lori Chilenski, 4 months ago, 1,absolute worst experience complete ripoff would give zero star could
Morgan Laidlow, 4 months ago, 5,celebrated birthday staff super accommodating brunch party 15 back room clean beautifully set
Demetrius Terry, 4 months ago, 5,waiter laura amazing definitely coming back great experience
Michael Desousa, 4 months ago, 5,really enjoy coming sitting bar always make sure get chicken pesto sandwich come highly recommended always satisfying bar service always attentive point great spot food even sporting event def check
georgios kotzias, 4 months ago, 5,
Wesley Barranco, 4 months ago, 5,dope experience dj mike great
Resham Kadam, 4 months ago, 2,waitress handed check even finished friend went get couple cocktail drink great waitress kept eyeing drink lingering around every 30 second made obvious waiting u finishing 15-20 min maximum ordered 2 round straight handed u check done even planning done lost business unprofessional couple drinking  bother bad treatment selectively
Lena Cazabat, 4 months ago, 5,
Natalia Arbeláez, 4 months ago, 5,amazing experience delicious food environment 
Octavio Navarro, 4 months ago, 4,
Lorraine Ramadan, 4 months ago, 2,service terrible waited hour food simple burger place crowded  understand thanks
PARNEET KAUR, 4 months ago, 5,dj mike awesome even bought song play punjabi style
Caroline McKew, 4 months ago, 5,loved great good
Sue L, 4 months ago, 4,
Kiley Mc Artney, 4 months ago, 4,food cocktail good
Lawrence Irons, 4 months ago, 4,
Abishek Sethuraman, 4 months ago, 4,
Daniel Friscia, 4 months ago, 5,
Lucy García, 4 months ago, 5,pricey food excellent service generous portion expensive cocktail pleasant atmosphere vegetarian pizza arugula salad delicious highly recommend wallet afford
Luca Bessi, 4 months ago, 4,
liz gosselin, 4 months ago, 3,went 90 degree saturday afternoon food good music loud repeat yell order several time waiter forgot app sweating eating air conditioning broken hot day costumer told air conditioning seated
Shakirah Chambers, 4 months ago, 5,brunch great laura server awesome  feel like going city perfect happy medium got city vibe right nj  definitely going back soon
Mollie Crom, 4 months ago, 1,place truly terrible party reservation brunch seated server took drink order served u last time ever interacted server went behind bar despite fact many u tried get attention order making full eye contact never came back help u order food think may even bartender flag server get every single thing else needed food order box bill literally everything honestly n't think even actual server assigned table maybe tip share something top everything else food mediocre way expensive drink good absolutely decent part place never go back
Samantha Stratton, 4 months ago, 5,threw sister surprise graduation brunch super satisfied everything start haylee event coordinator awesome accommodated 11 girl brunch put u good spot kinda separate normal brunchers right near perfect photo taking spot sister friend loved bottomless mimosa quick bring multiple pitcher full soon would finish one everyone love make good bottomless brunch food also good lighting music perfect much enough able talk table id definitely recommend coming brunch especially people coming town special occasion large group reach haylee
Alva Serrano, 4 months ago, 5,wonderful place
Chris Jack, 4 months ago, 5,presto chicken sandwich absolutely epic staff helpful numerous amount time drink little pricey remember could covid definite recommend
Aman Kesarwani, 5 months ago, 5,
