author,date,rating,text
Tom R. Garlick, 3 months ago, 5,stoped whim friend joe happy hour beer dinner great beer food fun
Miguel Carr, 3 months ago, 5,great exceptional customer service great waitress service definitely back party atmosphere
The Critical J, 2 months ago, 4,pro place nice bar eat sat u quickly place clean staff nice actually take reservation bathroom even refreshment bathroom attendant food great affordable area 
Dawn A, a month ago, 4,quick seating sport tv good service food good spectacular great spot would imagine weekly football game n major sporting event go back one definitely recommend checking place atmosphere lively
X Boone (The FiG), 2 months ago, 2,1 lady said sydney cute around food terrible chicken wing okay lacked crisp saucy flavor nacho looked better tasted bland fry 
Erica Ortiz, 3 months ago, 3,spot could benefit chef makeover add delicious bar bite would perfect alchemy breathtaking location large bar ample screen watch favorite sporting event friendly service
John Phelan, a month ago, 2,overrated disappointing place water bar 1st better bouncer aggressive looking fight watched multiple unnecessary altercation food ok thing say bartender good like bar u wait 5-10 min drink
Supreme Allah, a month ago, 5,place want sport girl drink fun fun also eat good food eat wicked
Nader Haddad, 3 weeks ago, 1,restaurant pay bill hire vendor service plan pay pretend anything n't pay manager never answer phone change manager still 
Julia D, 3 months ago, 2,place packed obnoxious kid early 20 n't even want stay left immediately literally packed like sardine mask sight music playing loud obnoxious kid thanks bar much better good music actual space people late 20 30
Joanne Pham, 2 years ago, 5,probably bar found friday night n't turn pseudo rave sausage fest good music great beer bartender super chill friendly laid back crowd started night finished well
Jatinkumar Patel (Jay), 2 years ago, 5,brunch awesome great view water new york city get chance try vegetarian burger delicious great place sit relax drink evening well
Vivian R, 4 months ago, 1,bartender extremely rude paid 20 cover charge person bartender told get seat stand wanted attend customer wasnt blocking customer kept ordering drink even 
Rodrigo Andrade, 5 months ago, 2,place need hire people meet demand order drink take age arrive also second visit cause would give second shot place well located hoboken found mouse coming 
Anthony Rodriguez, 3 months ago, 5,name suggests wicked fun awesome staff kewl drink drink responsibly please
Dylan Felix, 9 months ago, 5,come weekday quiet friendly service always booth great kid keep escaping 
J T, 3 months ago, 3,waiter drink great food took forever come wrong order
Thomas Williams, 5 months ago, 5,excellent great environment staff made feel home clean restroom overall wonderful experience
Kenny Eisenhardt, 3 months ago, 5,good service fun place
Laura Nicole, 3 years ago, 5,great view friendly service drink n't strong though price great prefer brunch spot evening drink spot
Veronica Maria, 4 months ago, 1,went day ago family food ok service seriously lacking waiter rude brother asked waiter empty cup grabbed cup brother hand threw content cup 
Brian G, 4 months ago, 5,never expected quality food drink place thought college pub steven institute street far best wing wing search price 12 piece 10 duckets-ca n't beat 
King GazaRadio, 2 years ago, 5,place awesome definetly going revisit food drink awesome filling much flavor customer service great  wo n't disappointed
J Kaur, 5 months ago, 3,food average nothing great view nice service slow
jon muzzarelli, 7 months ago, 5,hoboken amazing city filled greatest venue new jersey ample amount bar\\restaurants one stand many category wicked wolf great combination core element great 
Brandon Elgar, 3 weeks ago, 5,drink expensive atmosphere amazing
janvi Kothari, 4 months ago, 1,vegetarian asked waiter specifically vegetarian food served beef manager came apologize said cover expense hand u check diplomatically say meant 
Michael Centrella, 6 months ago, 4,bad experience management attentive fixed much appreciated
Devin F. Reckless, 8 months ago, 4,fun time would love work future great music energy sunday vibe
Heather Bubulka, a year ago, 5,great atmosphere great service food second none whether apps full entree definitely recommend took daughter 21st birthday certain go back hoboken looking reasonably priced place spot
Bohra Family, 4 months ago, 5,good food nice drink selection guinness
Stephen K, 8 months ago, 2,service sloooooow unbelievably slow fired wait staff due covid like two people waiting entire place signature burger incredibly priced charge every single 
Patrick Leahy, 6 months ago, 1,liked food seen mouse running around floor eat felt like getting sick told waitress laughed
yraida Tello, 4 months ago, 5,wicked wolf tavern amazing place visit family friend pet
Kiran Darekar, 2 months ago, 4,good hanging friend drink
Ciara Rose, 3 months ago, 5,love food great service world
Dane Molnar, 4 months ago, 5,great food service fired pickle best
B Ho., 2 years ago, 4,good time bar service good along food price seem reasonable back
Baker Jeff, 5 months ago, 5,great atmosphere great food great price
Sonya Sparrow, 3 years ago, 4,best part place definitely location view gorgeous right boardwalk 
Margarita Alvarado, 2 years ago, 4,wing delish craving wing people pleasant helpful
Di Z., 8 months ago, 1,went reserve table wicked wolf bday saturday informed system charging patron trying give wicked wolf customer 10 cover charge bartender answered phone 
Sean Glendon, 2 years ago, 4,lively sport bar solid deal food massive drink available great sporting event
Jiaren Li, 4 years ago, 5,good placd hangout drink even better whenever n't completely crowded
Jorge Mendez, a year ago, 5,nice place good service ordered burger chicken wing awesome really come back
Hardik Thakkar, 4 months ago, 5,amazing place downtown malden
Wilfredo Rivera Jr, 6 months ago, 5,fun staff friendly hard working
chitesh naik, a year ago, 2,taking walk hoboken waterfront 2 kid 2 year old ended eating wicked wolf waiter considerate kept stressing price reason made bit uncomfortable 
Rene Rydberg, 4 months ago, 3,decent roomy sport bar
richie “RAGE!” rugar, a year ago, 5,great place family friend great vibe awesome foodn n't let get started drink hostess r excellent price r rite view n shyline amazing
Victor Gavilanes, a year ago, 5,good food sexy waitress good price liqour could le watered good outdoor view cool great atmosphere
Jonathan Lorenzo, 11 months ago, 1,guy kicked miami reason mask kicked standing front chair place joke
Dom G, 4 years ago, 5,great food great service
Meryl Radisch, 4 months ago, 5,fun atmosphere good food
Michael Blair, 3 years ago, 5,great meal beer rep great drink suggestion enjoyable time
Tokisha Noesi, a year ago, 4,decent bar food drink good atmosphere always awesome great waiter bartender
Jonathan Shark, 8 months ago, 5,sunday funday good time great music
Van Tyc, 2 months ago, 5,fantastic place
Joseph Raczynski, a year ago, 3,classic corner bar expected fare everything fine nothing stood special want meet people drink would good pick happy hour decent deal well
Deeppak Chakravarthy Kambarayar, a year ago, 2,went happy hour food drink good service pathetic drink served 20 minute initial order even refill took 10 20 minute dj good visit next time definitely
Mark Malek, a year ago, 5,place sooo nice dj phenomenal played great music flow unparalleled
Misty Autum, 5 months ago, 5,great food strong drinks
Alyssa Portiae, a year ago, 5,great staff big fan pulling
