author, date, rating, text
Klutch, 7 months ago, 5, 'Sadly, COVID forced them out of business.\n\nThey were one of the better pizzerias in town. They had big slices at a good price.\n\nThere are a lot of superficial people in Hoboken and I think the outside appearance of this business made people overlook it and not spend money there.'
Ahmèd Hamed, a year ago, 5, ''
Sally al Saleh, a year ago, 5, 'Best pizza in Hoboken'
raspberryplatypus, a year ago, 5, ''
Miguel Perez, a year ago, 5, 'Love this place!!!!'
Savage Roblox sports, a year ago, 5, ''
cinthia remedios, a year ago, 5, 'Best pizza ever !!!!!!!!!! Drive from Elizabeth just to get some ♥️♥️♥️.'
Carolina Fung, a year ago, 5, ''
Carmen Rodriguez, a year ago, 5, ''
Cassandra Lopes, a year ago, 1, 'I ordered two pies and both of them are disgusting.'
Kenny Paulus, a year ago, 1, ''
Brantlee Houston, a year ago, 5, 'Fantastic spot to eat some food when in a rush. Their customer service is rapid, rates are affordable, good ambience. I highly recommend this place'
Rudy SIReast, a year ago, 3, ''
Xx gamer vloger xX Like lol, a year ago, 5, ''
Blix IGL Bad, a year ago, 5, ''
Martha Ramos, a year ago, 5, ''
Paulette, a year ago, 5, 'Rather small place but the food is out of this world. Great staff always a friendly face.'
Juan Perez Cruz, a year ago, 5, ''
Carmen Crespo, a year ago, 4, 'One of our stops when at Church Square Park'
Katharine Smith, a year ago, 5, '10 stars good food and nice!'
j g, a year ago, 1, "Rude and bad customer service. First time and last time customer here. This happened like a year ago, or a year and a half ago, (I know it's a little late review, but why not to share it?) Long story short: when they charge me, (I think it was $8.50) they didn't had coins, so instead of rounding the money down, they round it up to their advantage, so instead of charging me $8, they charge me $9. Of course, they asked me if I have change, but I didn't. I had no time to argue, so I just gave them the $9, and leave. I know that 50 cents its not a big deal (and thats why I didn't argue, plus I was in a rush) but its the action. If I were the owner, I would ask the customer if they have change, and if he don't, then I will charge him 50 cents less; not 50 cents more. What a piece of trash those people are."
Millie Rodriguez, a year ago, 5, 'Yummy and gooey!!!'
zaida zapata, a year ago, 5, ''
Adrienne Barrow, 2 years ago, 4, ''
mdc tosado, 2 years ago, 5, "I grew up eating pizza here. It's was and still is my favorite pizza place."
Nasir mahmood, 2 years ago, 5, 'Biggest slices around not bad at all'
Donwan Harrell, 2 years ago, 3, "The Positive: the largest slices of pizza you can buy in Hoboken.\nThe Negative: when you greet them in their local arabic language and say Salaam alaikum, they don't respond back. Ever."
jak jak, 2 years ago, 5, ''
Brian Pierson, 2 years ago, 1, 'This place is an eyesore and embarrassment  to the town - from the appearance outside to the quality {lack thereof} inside. It must be able to remain in business for one single reason . . it’s next to a park. And their core clientele - amped up toddlers - would eat cat food if you called it pizza. Boy, someone really just needs to bulldoze this dilapidated pile of rubbish and start all over. Or maybe, accidentally, flick a lit cigarette into the grease canisters that line the outside of the building. Rating: 7 Stars / if 1 is the best and 7 is the worst.'
Milton David, 2 years ago, 3, ''
A. C, 2 years ago, 4, 'Conveniently across from the park. Easy and fast food service for when children are hungry for a slice after playing all day.'
vincent prado, 2 years ago, 3, "Very basic pizza with basic service. I honestly prefer other pizza places here in Hoboken, but there are an excessive amount of pizza places here. It's good, but doesn't stand out"
Elliott Porter, 2 years ago, 2, "I've had way better pizza in my life (and in Hoboken). Nothing special; they charge $3 for a regular slice due to their location and size of the slice, but the taste isn't there"
Marcel Lima, 2 years ago, 5, ''
Carlos Rodriguez ELECTRICIAN, 2 years ago, 5, 'HUGE pizza slices'
usman kara, 2 years ago, 5, 'Love it'
Paul F, 2 years ago, 4, ''
Derek “AKA HardWire” Mobley, 2 years ago, 5, ''
Dragon Saxaphone, 2 years ago, 5, ''
Rudy Martinez, 2 years ago, 4, "Good Late night after drinking pizza! big slices and the wings aren't bad neither!"
M A, 2 years ago, 5, 'I know them for fifteen years. Good pizza. Big slice. Friendly staff'
matthew wilson, 2 years ago, 3, ''
Franco Nicolau, 2 years ago, 5, ''
Julia Walker, 2 years ago, 5, ''
Alvan Leung, 2 years ago, 4, ''
Jenny Lisboa, 2 years ago, 5, 'Deliciously'
