author, date, rating, text
Olla Abbasi, 4 days ago, 5, 'THE BEST MIDDLE EASTERN FOOD IN NJ!♥️🙏🏼'
brs “Brsrafal” rafal, 6 days ago, 4, ''
Sandy Godfrey, a week ago, 1, '$12.50. Just saying.'
J. B., a month ago, 4, ''
Chloe Bergman-Ray, a month ago, 5, 'We went here for the first time recently and had a wonderful experience. The staff were so friendly and food was delicious. Plus its BYOB!'
John Bing, a month ago, 5, "Love you abraham...you have feed me for more than 25 years...amazing food never disappointed no one makes lamb like you...but I like everything you cook there...please don't retire I will starve to death....jtb"
Shilpa Themdeo, a month ago, 4, 'One of the oldest restaurant in town, so it was a must try, even though we were late for the dinner, they served us very well. Falafel and soup were great. They have good variety of desserts.'
Shareen Fatima, a month ago, 5, 'This is a Mediterranean delight. Went there for a friend’s birthday dinner and so glad to have chosen this place. The staff is extremely accommodating and helpful. They even played the birthday song while we cut the cake (which was really nice). Everything we ordered was so refreshing from the Tabouleh salad to the falafel platter and the Sahara chicken. Highly recommend this place if you’re in the area. Super friendly on the pocket. Will definitely be back again.'
Shadi Sheikhfaal, a month ago, 3, ''
Tim Krasniqi, a month ago, 5, 'I’ve been wanting to try this place so badly and finally got the chance! Service was great! Mix Grille was juicy and tender! And please don’t leave without trying the homemade baklava. We tried the pistachioand the regular one. To die for!'
Lisa M Isley, a month ago, 5, 'We had such a nice experience here and our server could not have been kinder!! It was so refreshing. The food was absolutely delicious'
Fargol Araghi, a month ago, 5, 'Good foods there!'
Andrew G, 2 months ago, 4, ''
Dalia Galan, 2 months ago, 3, ''
Ellie Di Liberto, 3 months ago, 5, "Love this place! I've been going since 2017 and will never stop(: The food is so authentic and always outstanding. They have my order memorized and the service is always great."
Rich Slaby, 3 months ago, 4, ''
Parichit choksi, 3 months ago, 4, 'Hi, it was good food .'
Piyush, 4 months ago, 5, 'Enjoyed the hummus platter a lot. Will come back.'
Benedikt Parstorfer, 4 months ago, 5, 'Always delicious - one of our go-to takeout and delivery spots.'
Eric Rodriguez, 4 months ago, 5, "Best place to eat owner goes out of way to show case his love and passion food the food I could eat everyday it's that good"
Jeff Johnson, 4 months ago, 4, ''
Jesus Gonzalez, 4 months ago, 5, ''
Nu Fone, 4 months ago, 5, 'A wonderful experience. I used to come here as a kid and stopped coming for almost a decade but the food did not miss a step. Still delicious. Stellar service. This place has been in business for almost 40 years and once you come and eat you will understand why.'
Priyank Jain, 4 months ago, 5, "The taste, volume and presentation of the food are all top quality. The food is on the pricier side, but totally worth it. The outdoor sitting area is cute in terms if style. Definitely the best middle eastern food I've tried in Hoboken so far."
Irene C, 4 months ago, 5, ''
J. T., 4 months ago, 3, 'Food was decent. What gave a less positive feeling was the extra charges for credit card use and obligatory service charge. Added up more than 30% to our bill'
Julianne Yue, 5 months ago, 4, ''
reccden reccden, 5 months ago, 5, "I love Ali Baba's they always deliver!  The owner is super friendly as are the rest of the staff. Even the rice is addicting!! I'm sure it's cooked in butter or drippings.\nThe only thing I wish is that they would add more veggies to the plates rather than just one pepper and quarter of a tomato-- but this seems to be pretty typical for most  middle eastern cuisine."
Alejandro Herrera, 5 months ago, 3, 'The food was ok and customer service was average. Beware of the tip included on the check!!! Would have given a tip regardless, but an imposed tip came off as kind of rude. Will not be going back.'
Anita Bui, 5 months ago, 3, ''
Hira Iftikhar, 6 months ago, 5, ''
Andrew Price, 6 months ago, 5, ''
Yusuf Demircan, 6 months ago, 5, ''
cristina marin, 7 months ago, 5, ''
Susy Vargas, 7 months ago, 5, ''
louai kourani, 7 months ago, 5, 'Best falafel sandwiches in town'
Aki, 7 months ago, 4, "(Translated by Google) To accompany playing in the park along the river. It was a weekday, but the road in front of me wasn't very open, so it's recommended to stop at the road on the river side. I ordered pita and beef kebab with something like vegetable croquette, which is a specialty of the shop. I was full with plenty of vegetables. The seasoning was just right and both were delicious. I regret that I should have taken on the challenge with handmade sweets lined up in the glass showcase inside the store.\n\n(Original)\n川沿いの公園遊びのお供に。平日でしたが目の前の路駐はなかなか空いておらず川側に入った道に停めるのがオススメ。お店の名物という野菜コロッケみたいのが入ったピタとビーフケバブを注文。野菜たっぷりずっしり重たく満腹になりました。味付けがちょうど良くどちらも美味しかったです。店内ガラスショーケースには手作りの甘そうなお菓子が並んでいてチャレンジすれば良かったと後悔。"
Kerry McNeilly, 7 months ago, 5, 'Love Ali baba! Their 40 Thieves Grill Mix our favorite thing on the menu!'
Ahmed H, 8 months ago, 5, ''
Erick Rodriguez, 8 months ago, 5, ''
H A, 9 months ago, 2, "The food was Okay.\n\nTheir online ordering vendor (Beyond Menu) is nothing but terrible. I put in an order, they called me and asked so many questions for verification. Once I arrived at the restaurant I was told that the order was cancelled by BeyondMenu. No heads-up, no courtesy call, no nothing.\n\nOrdered 40 Thieves Grill Mix (for 2) which was much less in quantity than for-2 meals I've had in do many other restaurants."
Karim Hassan, 9 months ago, 5, ''
Roseann P. Eddris, 9 months ago, 4, ''
Abdullah Alazzani, 9 months ago, 5, 'Great food and wonderful service 👍🏻'
Nick Papp, 10 months ago, 2, 'the gyro is not that good'
Tom Zschach, 10 months ago, 4, 'Good quality Mediterranean food and friendly service with neighborhood feel.'
N M, 10 months ago, 5, 'I stopped by on Sunday afternoon for lunch and these guys were amazing! They were friendly, professional and the food was amazing! As a middle eastern person having middle eastern food from my parenrs I tend to be a bigger critic but loved their food! Highly recommend!!  Portions and price is just right. Plus they took COVID precautions very seriously, which I appreciated. Thanks for a great meal!'
Hector Hernandez, 10 months ago, 5, 'Super fast pickup, very friendly service and most importantly, delicious food'
K L, 11 months ago, 5, 'Not sure why I haven’t ordered from here previously, but that’s my loss. Haven’t eaten inside yet, but have gotten delivery. Delivery is quick, food is still warm, and everything I’ve tried so far is delicious - chicken tikka, hummus, baba ganoush, med salad, pita. Can’t wait to order again and try some other dishes!'
Syed Arif, 11 months ago, 5, "AMAZING AMAZING FOOD!!! The owner is super friendly and really knows what he's doing! Try the sandwiches!"
Adina Riback, 11 months ago, 5, 'Just ordered the moussaka! AND OMG! It is delicious!!! So many flavors that go well together. I’ve been looking for good moussaka in the area and so glad I found one!! Can’t wait to try all the other food they have!'
BioTerraSolutions Rick Eustaquio, 11 months ago, 5, 'Good'
Sarwat Hasan, 11 months ago, 3, 'Good service and good place but its expensive'
Tony Kinyua, 11 months ago, 5, 'Great Halal food and excellent service'
Guillermo E. Ayala, a year ago, 5, ''
Dylan Lai, a year ago, 5, ''
Enrique Prado, a year ago, 5, "Let me tell you if you are looking for fresh delicious and great ambience for turkish food this is a excelent place, we went for dinner and order the main dishes the  40's . We will come back for more!!!"
Cihan Aygunes, a year ago, 3, 'First of all, it’s not a Turkish restaurant. The food is not fresh. We ordered kids menu for my 4 year old and chicken came burned. We felt the same burnt smell in chicken sandwich. We ordered mousaka and it was clear that it cooked days ago. Friendly staff. Hummus is complementary.'
Ruba Zaheda, a year ago, 5, ''
Hera Dar, a year ago, 5, ''
Yahya ibn Waqar, a year ago, 5, 'The best food. I love it❤️ And also Great customer service.'
L Frees, a year ago, 5, 'The best chicken soup!!! Ibrahim makes everything with love and you can taste it!! If I am starting to feel sick I always have the chicken soup and start feeling better!! It’s a beautiful culinary fusion healthy and comfort!!! It’s a must try!!'
Arash Amini, a year ago, 3, "The service was overall good. But sahara chicken was dry and felfels were greasy. The skirt steak was not seasoned. The only good point about food is that it's halal."
Hiro Mishima Reed, a year ago, 5, 'The best middle eastern food I’ve ever had in my life! I’ll definitely come again!'
Julie B, a year ago, 5, 'The food here is delicious, my fave is the Chicken Tikka sandwich. My husband loves the tandoori. The falalfel is also great. Yummy pickles on the sandwiches. We got the mixed grill platter to split and every tasted so good. Love love love this place.'
Vinny Vaducci, a year ago, 5, 'This is one of the best restaurants I have ever been to. The food is extraordinary and the service is fabulous. The outdoor seating has a beautiful view of the hi rise towers in NYC, everything is amazing.'
Nigesh Prajapati, a year ago, 5, ''
Rajaddin Abdelaziz, a year ago, 5, 'Mashallah this is one of the best, if not the best Middle Eastern Restaurants within a 300 mile radius. The food is very fresh and the portions are enormous for a fraction of the cost from other restaurants. The atmosphere & especially the service are outstanding.'
suchendra kuchipudi, a year ago, 4, 'Lamb chops are on the expensive side but food is good'
Cassie Allison, a year ago, 5, 'My preferred spot for delicious middle eastern food. Food was so tasty. I had a cousin come into town and asked me to take him back here. Prices were decent.'
Rachel Cipkins, a year ago, 5, ''
Krish Kothari, a year ago, 5, ''
Emily Barker, a year ago, 5, 'Ali Baba is the absolute best! Everything from their hummus to honey cake is delicious and authentic, they give you a lot of food for a good price (especially the 40 thieves plate!), and they are super nice, friendly people who you can feel great about supporting.'
ota benga, a year ago, 5, ''
Safwan Shahid, a year ago, 5, ''
Guada Millet, a year ago, 5, 'Amazing food and friendly staff! The Forty Thieves Grill Mix was plenty of food for me and my husband, so it’s really good value. The meats are perfectly-seasoned and so juicy. The honey cake is also delicious. We will be coming back!'
Awaad Aamir, a year ago, 5, 'Seriously, one of the nicest restaurant owners I’ve met. Sat me and my girlfriend down and told us about his worldly adventures. Food was also top notch, it’s definitely an experience and the staff brings a lot of authenticity to the place.'
Haneef Arbubakrr, a year ago, 5, 'Great food, seasoned perfectly, great portions, clean location and really good service. Highly recommend and I will be returning with my family/friends.'
Katherine Shelton, a year ago, 5, 'Fantastic! Abraham, the owner, is so friendly!\n\nI stopped in to pick up the Hareesa-Honey Cake. Ironically I have only found this dessert on the west coast at a resultant with the same name!\n\nWill be back as soon as possible.'
