author, date, rating, text
M. J., a month ago, 5, "I haven't even wanted to look at frozen yogurt since trying Amanda Banana months ago. I can't get enough! Do yourself a favor and track down the food truck (usually Pier 13 - Hoboken). ProTip - their dairy-free whip cream is the best I've ever had."
Neena G, 2 months ago, 5, ''
Yaniv Schwartz, 2 months ago, 5, 'Incredible texture and taste. The original one is one of the finest!'
christina A, 3 months ago, 5, 'Delicious and refreshing !'
Zhao Huang, 3 months ago, 5, ''
Thomas Smith, 4 months ago, 5, 'Breakfast banana...AMAZING.  Banana "ice cream" with blueberries, strawberries and granola.\nSweet enough and great on a summer day on the boardwalk.'
Queeng1226, 5 months ago, 5, 'Omg it was so goooood. Toppings are abundant and taste is amazing'
Ben Thomson, a year ago, 5, ''
Ashleigh, a year ago, 5, 'We had this for work events. Very yummy & very nice  people.'
Lisa P, a year ago, 5, 'I love this “ice cream” it’s absolutely delicious. Whenever I come to Hoboken in the summer I stop here for a dessert! It’s a nice alternative to ice cream and tastes even better ! Great idea for ice cream!'
kmason, a year ago, 5, 'Great treats, family fun! Pier 13 😉'
mz. caraballo, a year ago, 5, ''
Jason Soto, a year ago, 5, "Coconut/Pineapple was awesome. Thank you for coming out and supporting Hero's Week in New Brunswick."
Adrian, a year ago, 5, 'Amazing !\n\nGreat food.'
Oscar, 2 years ago, 5, ''
Ali Brinjak-Gray, 2 years ago, 5, "I was introduced to Amanda's Bananas when they brought one of their trucks over to my apt building for a building hosted block party. I had heard of the brand before and was anxious to try. A little about me, I am currently on WW's and am someone who is always searching for a low point ice cream option that doesn't leave anything out. Amanda's has been the greatest discover on my journey! It tastes delicious, has a wonderful ice cream texture and has a great selection of toppings. I am especially happy with the portion size and the amount of whipped cream that is given. Overall, I try to make it over to Hoboken as often as I can for this delectable treat and hope you all expand in The City one day so that I can have the option to hit you up during my lunch hours. Thanks for making a great product!"
J, 2 years ago, 1, 'ok'
Zelly Princess Kitten, 2 years ago, 5, ''
Dave Bovenschulte (Dbovdbov), 2 years ago, 5, ''
Stephen McSpirit II, 3 years ago, 5, 'Gave us a free doggy threat and there’s any type of topping you could want. Love it!'
