author, date, rating, text
Kristen Corbisiero, 2 days ago, 5, 'We go here all the time and absolutely love the quality of the dishes!'
John Christiano, 5 days ago, 4, ''
Viviana Garcia, 2 weeks ago, 5, ''
Valerie Alvarez, 3 weeks ago, 5, "My friend and I's go to dinner spot on a Friday or Saturday night.  We absolutely love Apulia, the food is fresh and delicious.  The pizza is amazing and we love that there are so many GF options for my friend who has celiac.  It is also BYOB which is an added bonus.  Definitely try Apulia, it will quickly become one of your favorites!"
Ryan Rogalinski, 3 weeks ago, 5, ''
Mehul Agarwal, a month ago, 5, ''
cosmo mezzina, a month ago, 3, ''
Ann Soares, a month ago, 5, 'Outstanding. Everything was delicious!'
Pubg mobile SLAYER, a month ago, 5, 'Great food. Pizza is amazing. Pastas are authentic and flavorful. Great vibe. Chill music. Gelato is delicious as well!!!'
Annie O'Brien, a month ago, 5, 'Best pizza in Hoboken hands down!! Authentic and quality Italian cuisine. Loved every dish I had there… Pizza Diavola and Cacio e Pepe are 🤌🏼. Ambience in the backyard is also awesome when weather permits!'
erin pawlik, a month ago, 5, 'Went here for a birthday party last weekend. The food was absolutely spectacular. Highly suggest the burrata and fritto misto to start. Diavola and D.O.P. Pizzas were to die for! Great atmosphere and fun music. Highly recommend!'
Lindsay Rechan, a month ago, 5, 'Delicious pizza. Great atmosphere. A must do in Hoboken'
Joanna Sciacca, a month ago, 5, 'Best food, best ambiance, best staff.'
James Caponata, a month ago, 5, "Truly Italian, from food to attitude!!!. Love these guys, they do it their way. Food is clean, fresh and well crafted. Price points are fair considering location.\n\nHave an open mind and be respectful and you'll understand this place!"
Christopher J. Cornell, a month ago, 5, ''
Isabelle Soares, a month ago, 5, 'Amazing food and ambience. Cant wait to go back 10/10'
Vincent Vogt, a month ago, 2, 'Great food. Unfortunately the loud music made it impossible to have a conversation giving the whole experience a rather immature vibe.'
Isabelle Soares, a month ago, 5, 'Best pizza I’ve ever had, great service, beautiful patio😍'
Ann Marie Caruso, a month ago, 5, ''
Collette Bringham, a month ago, 4, ''
Pablo Valle, a month ago, 4, ''
Rose Phelan, 2 months ago, 5, 'We absolutely love this place. True italian cuisine, everything on the menu is worth trying! 🤩'
Kiley Dumas, 2 months ago, 5, 'We’ve been to this restaurant 20+ times and it is consistently phenomenal. Highly recommend the prosciutto and mozzarella, inferno pizza, spaghetti amatriana, and cacio Pepe pasta. Best  pizza I’ve ever had!'
Griffin Sorenson, 2 months ago, 5, 'Frank, Franco and Ryan are amazing. This is my favorite spot to eat in Hoboken. My fiancé and I go here regularly and love the pizza, pasta and gelato. I love the inferno pizza. Also must try the mozzarella and prosciutto. These guys get great food and great atmosphere. Don’t often do reviews but this place for sure want everyone to know what a hidden gem we have. It’s BYO but they also have wine available, I usually bring my own beer.'
Kesavanand M, 2 months ago, 4, ''
Sal Benanti, 2 months ago, 5, 'Joans outta her mind, this place slaps. Best pizza in Hoboken!'
Jacquie F, 2 months ago, 5, 'One of a kind, unique atmosphere and delicious food. Our family order basically one of everything off the menu and enjoyed every bite of it!! Definitely coming back for more 😊'
Francesco F., 2 months ago, 5, "One of the best place I've eaten in the US after 2 yrs in the US.  The pizza is fantastic.  I felt as home!"
Marco Vitrano, 2 months ago, 5, '(Translated by Google) Great food and great service!\nI had amatriciana al dente and super tasty.\nBuffalo mozzarella and Parma ham was great. Good quality! Enjoy your meal!\n\n(Original)\nGreat food and great service!\nI had amatriciana al dente and super tasty.\nMozzarella di bufala and prosciutto di Parma was great. Buona qualità! Buon appetito!'
Edward Brady, 3 months ago, 3, ''
Sara Laskowski, 4 months ago, 5, ''
RJ Lombardi, 4 months ago, 5, 'One of the best pizzas in Hoboken.'
Lindsay Ward, 4 months ago, 5, "Bruschetta was delicious. Pizza was incredible. Everything about this place was fabulous. I just didn't care for the one white pasta because it had wayyyyy to much black pepper in it."
Andrea Siciliano, 4 months ago, 1, 'We ordered our dinner and it came out in ten minutes (which is great). Ate it quickly and was promptly asked if we wanted dessert. I said please give us a minute to look at the menu. Sixty seconds later, the waiter comes back. I ordered gelato. Finished it and was given the check and told I had ten minutes. We were probably there for a total of 30 minutes and had a half bottle of wine (byob + corking fee).  I inquired w the waiter why we had to leave and he said there’s a time limit of 90 minutes (we were about an HOUR below that).  He said if you ordered more food you can stay the 90 (which is insane, we more wine to go through). Also, I probably would have ordered more wine. I thought oh they must have a long line (meanwhile it’s a random Wednesday night). Nope. No one waiting. The most rushed restaurant experience EVER. I felt more at ease with time limits during covid than I did tonight. Such bad service and etiquette.'
Brandon Pollock, 4 months ago, 5, 'Love this place, the vibe, the food, the service. I personally think this is my favorite pizza in Hoboken.'
Vera Tarassova, 4 months ago, 1, 'Sent back a carbonara for being overly salty and was told that is how carbonara always is, we told them we are not eating and were still charged for it. Plenty of other places to get some good food, better yet skip jersey and go into the city for better food and service.'
Justin Herrick, 5 months ago, 5, ''
Allison Ehrhart, 5 months ago, 5, 'great little BYOB spot in uptown hoboken. the pizza was really good and the interior terrace is a great vibe. service was also very good. would definitely go back!'
Mitali Bhiwande, 6 months ago, 5, 'A fine italian restaurant with great food and a good vibe! The inferno pizza is absolutely delicious!!  The theatrics with the presentation were unexpectedly delightful, the pizza was literally on fire! We also ordered the ravioli and panzerotti which were equally good. The tiramisu is a must have!!!'
Nicholas Tinsley, 6 months ago, 5, ''
Jaclyn Huntington, 6 months ago, 5, 'Excellent Authentic Italian Food and Ambience!!! The Owner and Manager was extremely welcoming and personable! I highly recommend this restaurant for any occasion. The pizza was dynamite! 🍕🍝🍷'
Kirk Madsen, 6 months ago, 5, ''
Ellie DeCandia, 6 months ago, 5, ''
Dillon Wu, 7 months ago, 5, 'Apulia is easily one of the best pizza places in Hoboken. Great service, fresh food and good wine. Appetizers, salads, pizza, pasta, main courses and even dessert! All excellent!'
Luca Bessi, 7 months ago, 3, ''
Anton Slyusar, 7 months ago, 4, ''
Ant, 7 months ago, 5, 'Great pizza and great outdoor seating. Staff was super friendly as well!'
Matthew S, 7 months ago, 5, 'Great authentic Italian! This is a must try- I highly recommend anything on their menu!'
Bladimir Flores, 7 months ago, 5, ''
Jessica Nisler, 8 months ago, 5, 'Had a great experience last Friday.  Delicious pizza, friendly staff.'
Ishaan Patel, 8 months ago, 1, 'The owner/manager is so rude. When we sent back the pasta to ask a question about it, he stormed outside the kitchen and attacked us in front of other customers. He said this is the way the run things at this place and they don’t care what the customer says. Trust me, you’ll get better service elsewhere. The pizza was good but there’s a THOUSAND places that you could go to get great tasting pizza but this place isn’t worth it.'
Mathieu Cattafesta, 8 months ago, 5, ''
Daniel Salcedo, 8 months ago, 5, "A friend of mine told us about this place. The minute you taste their pizza you transport yourself to Italy. It's probably the most authentic pizza I ever tried in America. It's so fresh and delicious and it's BYOB.  I am waiting for the NYT to rated this Pizza as good as Razza (which according to them is the best pizza in NY). I also love their local element and the whole story about Puglia a region in Italy which is where their name and their taste come from."
majeed simaan, 9 months ago, 5, ''
Kleri Marie, 9 months ago, 5, 'My brother and I go every week! The pizza is unbeatable and the pasta is always amazing. Make sure to try there specials when they have them, I wish they could keep them all year round!'
Maria Fernanda Marmolejo, 9 months ago, 5, 'The pizza is delicious'
Lori T, 9 months ago, 5, 'Great spot- cozy, friendly staff, great food, and BYOB. We need to support these guys during COVID. They need the help and it will be a shame if this spot goes. A great find in uptown Hoboken.'
Cara L., 9 months ago, 1, "I was just reading the reviews before picking a restaurant to go to in Hoboken and, honestly, the food sounds great but reading the restaurant's responses to less than glowing reviews just put a bad taste in my mouth that no good food could fix.  I can't see spending my time or money in a place that is so dismissive of their customers.  Even if the customer is wrong being so hostile and disrespectful in all of these responses is really awful. There was a better way to respond.  Stay classy guys."
Melissa Schultz, 10 months ago, 5, 'We’ve been dining at Apulia since they first opened their doors. Over the years they became one of our favorite restaurants in Hoboken. Their friendly service, food quality and flexibility with dietary restrictions have gone above and beyond. We recently moved out of Hoboken into the suburbs. Last Sunday, January 3rd, we spent a night back in Hoboken. Out of all the restaurant choices, we chose to dine here. This is no longer just a favorite in Hoboken, but all of NJ! Thank you Frank, Ryan and staff for a wonderful evening!'
Alan Morstein, 10 months ago, 2, 'Rip City.\nI know they are suffering, but ripping off locals is weak.\nThe portions are mini and poorly displayed.\nSoon to be another restaurant causality if they keep this up.'
Anna Ratto, 11 months ago, 5, ''
Matthew Miller, 11 months ago, 5, ''
Erick Rodriguez, a year ago, 5, 'Best food, delicious'
Bharat Chandra, a year ago, 4, ''
Philip Evan DeCorte, a year ago, 5, ''
Randy Flores, a year ago, 5, 'pizza and the feeling here is excellent. Nothing but great experiences here. The place has a nice atmosphere.'
Duygu TIGLI, a year ago, 5, 'Down to earth cool people, amazing thin crust pizza with high quality ingredients, good atmosphere, good vibes, what else you need??'
Gaurav Shankar, a year ago, 5, '| Answers | Service: Dine in'
Andy T, a year ago, 5, 'Great pizza and service. Open during covid-19. Nice outdoor seating.'
JJ Jones, a year ago, 5, 'I recommend the Orecchiette E Rapini pasta and Inferno pizza if you like spicy food.'
Michael Berg, a year ago, 5, 'Fantastic! Try the truffle pasta!'
Neil Amaral, a year ago, 5, "My wife and I have been ordering from here for the last few months. The pizza is great, the bucatini is great, and we've also tried the ravioli which was also great. Thank God they were open for delivery during COVID19. I can't wait to eat there in person."
FKD Smile, a year ago, 5, 'We were a party of 5 and travelled from Ridgewood, New Jersey.  Totally worth it!\nThese people....  This place...  Oh my dear JESUS...  I think I ate for six...  (Personally ate for 6)...  My goodness, the food and the hospitality made me feel better than being at home.\nWe had a lanky red headed server. Ryan.  He was so invested and so empathetic...  We LITERALLY told him to bring whatever is good.  We started a big wooden tray of delish...  Prosciutto and cheese and grapes...  Yumzo...  Then with some octopus 🐙 personally I am not a fan, but it was sooooooo good.  A couple green salads (again not a fan, but the table gobbled them up...)\nBring on the 🍕 pizza...  We had 4 pies...  A goat cheese honey pie, just order it like that...  They will know what ur talking about...  Jaw dropping delish...  Such a safari for ur taste buds...  U will believe me when u eat it...  A diablo sauced stunner and a marina "total simplicity offering"...\nThe pasta was sooooooo perfect. The texture and the al dente firmness...  Woe...  The gelato was spot on also...  We r food snobs so I must say, it was simple utter perfection...  One of our lunch guests has travelled to over 80 countries and gave a 2 thumbs up...  (Even worth the parking ticket, he told us).  There is simply one downside...  Parking is pretty AWFUL...  APULIA & it\'s people are a GOD SEND!  Thank you for enduring this covid-19 craziness and all the best to ur organization!'
Kevin Recio, a year ago, 5, 'Artisinal pizza with gelato. Nice outdoor back patio for social distance dining.'
Josh Anderson, a year ago, 1, 'Treat your customers with some respect next time.\n\nThe manager is absolutely disrespectful to his customers.\n\nCustomer was told to take a seat on the back patio and did so. The manager said “sorry you must get up that table is reserved.” Customer said “well then tell me where to sit and I’ll move.” The manager said “why don’t you ask next time before taking a seat”\n\nPicture: Patio is COMPLETELY empty!!!\nFood: Amazing!'
Carla Reagan, a year ago, 5, 'Absolutely delish. fresh prosciutto, shave parmigiana, and arugula, my favorite pizza ever.'
Virginia Patrone, a year ago, 3, 'In an area where amazing pizza is not too hard to come by, this pizza ranks just above average for me. Really delicious dough with a satisfying bite, but the ingredients and flavors fall a bit short in comparison to other pizza greats in the area. Not to mention being given the shakedown for an extra $3.00 at the end of my ($22 pizza) meal to meet the $25 per person minimum didn’t exactly leave a good taste in my mouth. For my money Panello and Porta are where it’s at for top notch pizza and service, but this place isn’t a bad backup.'
Edward L, a year ago, 4, "Been here a few times. Don't expect that crispy thin NY style pizza here. It's more about the rustic feel but the sogginess turns me off despite seeing the guy make your pie 10' from you. Still good. Took parents to here."
Coco Mocco, a year ago, 3, 'Was surprised they have minimum 25$ charge PER PERSON right now during COVID and they try to sell you Tasting menu which is 28$ at least. I asked waiter if that’s for two people he said - yes. Ended up paying 60$ bill at the end! They don’t tell you they charge for each person per ONE tasting, I found it very confusing and disappointing.\nNot coming back. Prob only will place delivery for pizza if they have it option, cuz pizza is delicious there.'
Stephen Lagano, a year ago, 4, 'Open back outside area.  Food and service just as good as before Covid.  Welcome back and best of luck moving forward. Thanks'
Kritika Sethi, a year ago, 5, ''
Jongha Kim, a year ago, 4, ''
Tamar Amitay, a year ago, 5, "My absolute favorite foodie fantastic restaurant in Hoboken! I  pretty much can't get by a week without my DOP pizza (think wood fired arugula pancetta mozzerella  yumminess). Frank and his team have it all - great ambience, interesting curated food with an eye on the exceptional. I just had a Nutella Panzaretto Gelato off menu dessert that I can't stop thinking about! PS they deliver! Highly recommended- an wonderful gem"
Christina Sonageri, a year ago, 5, 'I have a long list of why I love this restaurant! The entire staff is amazing, personable and attentive. The quality of the food is top-notch! You can tell everything is fresh and the chef really knows what he is doing. It is BYOB and incredibly reasonably priced; and the overall atmosphere is welcoming and cozy without feeling stuffy. This has definitely become one of my go-to spots!'
Lauren Huntington, a year ago, 5, 'I held a private event at Apulia earlier this month and wow! We loved going there for family dinners already but working with them for our event was awesome. They were so accommodating, helpful, responsive, friendly... truly a dream to work with. Not to mention the food! My husband and I had amazing pizza in Tuscany and had not tasted anything even close until Apulia opened uptown. The guys that own and operate this gem are the best- do yourself a favor and go for dinner at least! Thank you Frank and the Apulia team for making our event a huge success!'
Christa Greagori, a year ago, 5, ''
Shailesh Divey, a year ago, 5, ''
Pat D, a year ago, 5, 'Great food very clean and FRESH owners and staff really go beyond to make sure you have a good time.'
adrian victoria, a year ago, 5, '(Translated by Google) Excellent fine tea and Italian cuisine\n\n(Original)\nExcelente bien te y cocina italiana'
Gaurav Sharma, a year ago, 5, ''
Amanda, a year ago, 5, 'best pizza I’ve ever had!! Great looking staff'
J Y, a year ago, 5, ''
Bruno Leca, a year ago, 5, ''
Vincent Ferrante, a year ago, 1, "Pizza was authentic, the portions were small, the service was awful and not accomodating. We were rushed to the extend of having guests hovering our tableside  to rush us out. We didn't think 75 minutes dinner fo a table of five  was long. Ran the server certainly needs more training."
Greg DiGiovine, a year ago, 5, 'Awesome Pizza - try wo cheese\nAwesome Service\nAwesome Menu'
John Wahba, a year ago, 5, ''
Vinnidhy Dave, a year ago, 5, ''
Benicio Dennis, a year ago, 5, 'Had a excellent experience in this place with my daughter. The food was served fast and the service is just awesome. Prices are reasonable.'
Kristina Bodnya, a year ago, 4, ''
Katharine Smith, a year ago, 5, 'nice service!'
Lisa Lowell, a year ago, 5, 'This food is fantastic...My husband and I loved every minute of it. Service, atmosphere ,and ofcourse delicious healthy food....👍'
Morris Goldberg, a year ago, 5, 'From the pizza maker to the waitress to the owner everyone is awesome the food is great and the Nutella desert is to die for'
Rudy Scott, a year ago, 5, "Expect great food and vibes from Apulia. From the cheese & bread I started with, to the pizza and finishing up with some of the best gelato (try the pistachio) I've had in a while...it was all so good. The service was perfect and the passion from the guys behind the scenes is evident...professionally run for sure 😁"
Michael Pepe, a year ago, 5, ''
Jameson Roberts, a year ago, 5, 'Byob, had pizza and pasta, it all tasted fresh, not salty. Warm homely atmosphere'
yulia N., a year ago, 5, 'Such a charming and stylishly decorated Italian restaurant specializing in Napoli style pizza! We had an amazing dinner here: burrata cheese, octopus, prosciutto pizza and no cheese pizza with marinara sauce, capers and anchovies (What an amazing crust!! )\nIt’s BYOB but they do have a small selection of wines available at great prices!\nService was amazing as well: very friendly and fast. Can’t wait to go back!'
Richard Torres, a year ago, 5, 'I actually love the dishes and customer service, good location very close to where I live. The workers are always nice. Highly recommended.'
Kathleen Nipal, a year ago, 5, ''
Catherine Wrobel, a year ago, 5, ''
Frank Pugh, a year ago, 5, ''
Andrea Leconte, a year ago, 4, ''
Mike Falvo, a year ago, 5, 'Creative recipes and everything cooked perfectly!  Big eaters focus on the pizza'
Michael Mulcahy, a year ago, 5, ''
Gabrielle Bertier, 2 years ago, 5, ''
John Pope, 2 years ago, 5, 'Outstanding food for foodies!'
Anuradha Banerjee, 2 years ago, 5, ''
Jose Paredes, 2 years ago, 5, ''
Panos Ioannou, 2 years ago, 5, 'Chewy crispy crust\nPremium ingredients\nWood-fired awesomeness.'
Daniela Penna, 2 years ago, 4, ''
Kal Amin, 2 years ago, 4, ''
Jennifer Cunney, 2 years ago, 5, ''
Alexander LeRoy, 2 years ago, 5, ''
S Chadwick, 2 years ago, 4, ''
Stephen Klenert, 2 years ago, 5, ''
Everardo Castro, 2 years ago, 5, 'Busy'
David Torres, 2 years ago, 4, 'Good pizza, but there better places in Hoboken.'
Alexandra Ortiz, 2 years ago, 5, ''
Giuliana Layout to, 2 years ago, 5, ''
Ned Taddei, 2 years ago, 5, "Wow.  I took my family of five to Apulia last night for my wife's birthday.  We had an absolutely tremendous experience!!!  Every part of the dinner from the service to the food to the BYOB was superb.  We started off with the Prosciutto de Parma which I highly recommend. I can still taste the fresh prosciutto!   For entrees we had three pizzas and two pasta dishes.  The pasta was al dente; the sauces on the pasta dishes were perfect and the ingredients on the pizzas just oozed fresh!   The pizza is simply to-die-for!  We topped it off with Apulia's homemade gelato desserts for which there are no words to describe.   People who in these reviews complained about the price point are simply cheap or don't know great food when they get it.  In the past, we have had to travel to Edgewater or North Bergen to get really good brick/coal oven pizza.  Not any more.  This diamond in the rough is our new go-to spot!  Thank you Franco and Pasqua for a wonderful evening!"
Melanie Kaye, 2 years ago, 5, "We LOVE Apulia.  Their pizza's are amazing and they just use the best, highest quality ingredients in everything.  Super cute garden in the back too.  One of the best spots in Hoboken for sure."
Jacob Ullom, 2 years ago, 5, 'Best experience in Hoboken. Great food, great people and great vibes. Shout out to the guys that make this place run because it’s straight fire! Keep up the good food!'
Glenn Coogan, 2 years ago, 5, 'Italian Dishes from the Apulia region, appetizers, salads, pastas, and personal pizzas notom your everyday Italian restaurant.'
Luis Mordan, 2 years ago, 4, 'Relatively new to Hoboken and a welcomed addition!! Although the sign on the storefront refers to a "pizza" place, and that\'s where they have the most options on the menu, it is so much more. The Italian style gourmet pizza that we had was delicious. It did remind me of the pizza in Italy. Great seafood- prawns, swordfish, salmon and sushi grade tuna antipasti was amazing! The pasta dishes were served "aldente" which is personally how I love pasta. The staff was friendly and attentive. Good espresso is a must and I wasn\'t disappointed. Great for groups of all kinds and all ages. Indoor and outdoor seating in the front and rear options for sun or shade. Don\'t forget to BYOB.'
Jo A, 2 years ago, 5, 'Great find.  Relaxed atmosphere and BYOB. Very authentic cuisine and service was very friendly and attentive.  Great options, we all had something different and every thing was great!'
Nupur Kale, 2 years ago, 3, ''
Leo Cicchetti, 2 years ago, 5, 'Best pizza!!'
David Wilson, 2 years ago, 5, 'Hoboken has a serious pizza problem. That is, it has really bad pizza — and a lot of it. There’s a frat-boy pizza place on every corner; all with the same thick doughy insipid pizza.\n\nSo when I saw yet another pizza restaurant opening I was less than thrilled. Until I went there today. It is by far the best pizza I’ve ever had in Hoboken and the best I’ve had in years. Impeccable crust seared beautifully with prosciutto, aged Reggiano and baby arugula. Absolutely first rate.\n\n🏆🏆🏆🏆🏆'
Anthony DiIorgi, 2 years ago, 5, '(Translated by Google) In this restaurant, capocuocco Franco brings the Vera kitchen of Puglia. The food is delicious.\n\n(Original)\nIn questa ristorante, capocuocco franco porta la Vera cucina di Puglia. Il cibo è buonissima.'
Rich Slaby, 2 years ago, 5, ''
Kevin Devaney, 2 years ago, 5, ''
Jessica Lorenz, 2 years ago, 5, ''
Nanina's in the Park, 2 years ago, 5, 'Great food and service'
Kathleen Heaney, 2 years ago, 2, 'Pizza Was Good, Gnocchi Was Terrible - Majorly Overpriced. My husband and I ordered two pizzas and a pasta. Portions were very small. Pizza was tasty, but the pesto gnocchi was tasteless. PLUS, after delivery and tip... the bill came to $80! WHAT?! Dozzino is the same style pizza - tastier and cheaper. Will never order here again.'
Alan Babbitt, 2 years ago, 4, 'Octopus appetizer was tasty and well-prepared. Pizza was quite good, maybe not the best I’ve ever had but well above average for the area. Good service and friendly staff. BYOB is a big plus. Definitely will go back.'
James Thompson, 2 years ago, 5, ''
Kam Momeni, 2 years ago, 4, ''
Lorelle Cicitta, 2 years ago, 5, 'Great energy and ambiance. Pizza is to die for. However their pasta dishes are out of this world. Awesome service, clean environment. So homey and just an all around excellent place to go to.'
Sayali Godbole, 2 years ago, 2, "Food wasn't as good. Quantity was too less."
R OC, 2 years ago, 5, ''
Omer Morashti, 2 years ago, 5, ''
Jonathan Leicht, 2 years ago, 5, ''
Kevin Miller, 2 years ago, 5, ''
Michael Desousa, 2 years ago, 2, 'Good service, weird layout and bland food at best. I had the cavatelli and immediately thought "Wow this could use either some salt or cheese"and "This tastes like I made it!" I looked around and I noticed none of the tables had salt and pepper on them, I felt weird about asking for salt at an Italian restaurant so I just kept eating this pasta. I would have asked for some cheese but not one person asked me how my meal was.  The octopus and salad were pretty good but the pasta I almost couldn\'t finish.  Ill just stick to the places in Hoboken that have been around a while.'
Thomas Schonig, 2 years ago, 2, "Layout of the place is kind of strange. Food was bland, and the server made a few mistakes on our order. Menu doesn't have anything better or different than the other Italian spots in the neighborhood"
P C, 2 years ago, 5, ''
Mario Cutrignelli, 2 years ago, 5, ''
Meghan Fishman, 2 years ago, 5, 'Amazing food and amazing service. Love this local Hoboken spot!'
Elizabeth De Virgilio, 2 years ago, 5, 'The staff are all spectacular! The food is authentic, made with love and delicious ingredients. They are very family friendly and there is plenty of space. Always a fantastic meal!'
Carmela Angelo Pasquale, 2 years ago, 5, 'Delicious Cibo and Excellent service. 👍'
Brian Quinn, 2 years ago, 5, 'Great pizza'
Jo Hayes, 2 years ago, 4, 'Great service. Pizza is very good but not life changing. Good BYOB spot.'
Richard Hajjar, 2 years ago, 5, 'After sampling pizza in Hoboken last 5+ years- this place is the real deal. Great service and even better food. Ambiance and energy are unique. Love byob status - cork is right across the street.This is now a go to place any day- err day.'
Cristina M, 2 years ago, 5, ''
Carter Corriston, 2 years ago, 5, 'Truly authentic pizza made with all fresh ingredients  with a great atmosphere.  The desserts are all home made.  Avoid the crowds and bring a nice bottle of wine during the week'
Courtney O'Connor, 2 years ago, 5, "These guys really get it. Eating at Apulia is like being with family. Frank, the owner, wants to build his business organically which is so refreshing. If you have lived Hoboken for 15+ years you will really appreciate all of the vibes at Apulia. It's old school mentality for the next generation of restaurant entrepreneurs. Now onto the food - pizza is real deal with amazing sauce and cooked to perfection. Cavatelli is handmade on premises and delicious. To start we had the arugula salad and the octopus which were both amazing. Everything is made with love between Frank and his chef. These guys care about every detail of their restaurant. Get to Apulia and welcome them to the neighborhood. Love this place !!!"
Gilda Piccinelli, 2 years ago, 5, 'Byob place. Pizza was incredibly good. Very accurate service.'
Brian O'Connor, 2 years ago, 5, ''
Robert Lurie, 2 years ago, 5, "Overall, place had a good atmosphere and is really nice, definetly a great addition to uptown Hoboken. Not much to describe as far as atmosphere, they clearly do focus on food, as evidence by the massive brick pizza oven and equally huge manual fly wheel slicer for fresh Prosciutto de Parma. It's also byob which is a huge plus. The place is not huge, and as such waits can be long at times, luckily there a couple bars near by to grab a drink.\n\nMenu is limited, but they have been expanding, and usually have a few good specials. Last time, we ordered the pesto gnocchetti, which was good, but I felt needed a little more garlic. We also ordered 2 pizzas, the inferno and the caprina. Both are delicious Neapolitan\xa0style pizza.  After being there a few times, all of the pizzas are delicious. Dessert is also very good, with my wife's favorite being the Nutella calzone.\n\nOverall food is delicious, service and organization have been improving, as there were a couple stumbles in the beginning. My wife and I will delivery be back especially when the patio is open in summer."
Tigh Loughhead, 2 years ago, 5, 'Awesome food; truly phenomenal Italian fare.  The restaurant is welcoming, the staff friendly and helpful and the Pizza is fantastic.'
Sebby 1216, 2 years ago, 5, ''
Damian De Virgilio, 2 years ago, 4, 'I know what many of you are thinking, "Hoboken needs another pizza place like it needs more parking restrictions." However, the authenticity and quality at Apulia elevates it beyond the pack. The staff is very engaging and friendly (special thanks to Gaspare), which adds to the welcoming, warm atmosphere. I may be bias because the cuisine leans towards the region of Italy of my roots, but this only adds to its uniqueness among the standard fare. I removed a star only because I like my pizza crust a bit thinner and crispier, but that\'s just me.'
Gregg Binder, 2 years ago, 5, 'Good atmosphere and Italian style pizza is a nice change of pace option'
Daniel deCavaignac, 2 years ago, 3, 'Dining room and service were quite good.   Nothing super special but nothing bad either.   I just don’t like the value on the pizza.   It’s good pizza with thin crust and good quality ingredients but the pizzas are 4 slice personal pies for $18+ Each..   3 of us ate 1 pizza each for lunch and after tip and tax it was $68.  Wow.   Hoboken has a ton of pizza places and I am just not sure this price point remains viable.'
Karen Siegel, 2 years ago, 5, 'Yummy pizza and salads, and excellent service.'
Chloe Reyes, 2 years ago, 5, 'This was so godly, 100 percent recommend'
Elan Kagan, 2 years ago, 5, 'Amazing food'
Stephen DeLusant, 2 years ago, 1, ''
Aria Music, 2 years ago, 5, 'AMAZING PIZZA'
Joseph hamill, 2 years ago, 5, 'Nutella calzone is fire'
Ben Guyamier, 2 years ago, 5, "Great pizza with phenomenal service.\nWe dropped in on a Saturday at 6:30 with an infant AND a toddler expecting to be told we needed a reservation. Not only did they seat us right away, but they put us at a great table in the back.\nSince it's BYOB, the waiter pointed me to a local wine store 1 block away.\nThe white pizza was AWESOME! And highly recommend the pistachio desert.\nMusic was also great. when we asked the name of a song that played, the owner came over to talk to us about the music and how he ended up picking the location.\nOverall a great, unexpected, night out. Haven't had customer service this great in a long time.\nThanks Frank and crew!"
Gabriela Castaneda, 2 years ago, 5, ''
Lucia Constantouris, 2 years ago, 5, ''
Angelica’s Studio, 2 years ago, 5, ''
Toprak Kar, 2 years ago, 5, 'Sensational restaurant, wonderful food!'
Raafi Naveed, 2 years ago, 5, ''
Susann Friedrich, 2 years ago, 5, 'Best Pizza I’ve had in Hoboken, and super friendly service'
Anna Passafiume, 2 years ago, 5, ''
Loredana Lopiccolo, 2 years ago, 5, 'There is no other way to describe the authenticity of Italian pizza, food!! Apulia offers it all. The best there could be ..\nI live out of the way but will always find a way make a trip to go Apulia.'
Rosario Rodriguez, 2 years ago, 5, 'Awesome'
Armand B, 3 years ago, 5, ''
