author, date, rating, text
Ezra Zlika, 2 weeks ago, 5, 'I am familiar with this restaurant for over 25 years, never disappointed.\nAlways good and tasty steak service is good and polite I have been taking all my friends to eat there every one with no exception will say that this was the best steak they ever eate, even visitors from abroad. So thumbs up Arthur keep going.'
Joe Vella, 3 weeks ago, 3, 'Used to be better.'
John Casimiro, 3 weeks ago, 5, ''
Chad Simons, 4 weeks ago, 5, 'Been coming  here for years. Never disappointed.  Steak is like butter'
Danny Bracho, a month ago, 3, "Probably one of the more memorable experiences. Food was excellent and service was good. Can't beat a great steak!"
susy Martinez, a month ago, 4, '(Translated by Google) The perfect place for meat lovers, a spacious place full of attention\n\n(Original)\nEl lugar perfecto para los amantes de la Carnes, un lugar espacioso y lleno de atenciones'
Christian Olivares, 2 months ago, 3, ''
Mo'Que Que, 2 months ago, 5, 'My friend took me to this spot, he like this place for their stakes. I had the burger with fries and a Margarita. I enjoyed the Margarita the most yum yum yum.. he had the stake.. everything was on point.'
Jason S., 2 months ago, 5, ''
Ritmo, 2 months ago, 5, 'The food is very good.'
Sidney Keyles, 2 months ago, 4, 'The 16 oz. sirloin steak was very good.  Limited menu due to the pandemic.'
Robert Rose, 2 months ago, 5, 'Great place. Low key, 80s music, friendly, not expensive. Good service and food food.'
atlas490, 3 months ago, 4, ''
matt lagana, 3 months ago, 3, ''
Jonathan Guerra, 3 months ago, 5, ''
Vanessa Aquino, 4 months ago, 5, 'Love their Steaks....'
R.J. Cook, 4 months ago, 2, "6 of my friends some there 1st time there. The steak was good they cut back on a lot of stuff was VERY disappointed 😞 $46.00 you should still get a full portion of potatoes 🥔 and a pepper 🌶 didn't even have one my bill was $400.00 in some change drinks were terrible. Its just not the same and I've been coming to Arthur's for a long time $12.95 steaks. Still love the steaks. PS. COVID has really messed up a lot of things!! 😢😢😡😡"
MT Garcia, 4 months ago, 5, 'The Best ribeye steak'
Donna Kaht, 4 months ago, 3, ''
GASIMEX LLC, 4 months ago, 2, "I have been coming to Arthur's for many years, this time I was surprised of the quality of food and hight prices. I don't  see this business. In my next event."
Jacob Gerber, 5 months ago, 5, "The menu really has one steak, but it's done perfectly. If it's perfect, who needs a second choice?"
Sasha and the cats, 5 months ago, 3, "So I read all of the recent reviews.  I noticed that either people love or hate this place.  I admit I am a customer from over 15 years ago, and I loved this place.  Despite the recent negative reviews I decided to give them a try again.  Honestly I won't be coming back.  To be fair it's not because Arthur's is horrible or 1 star like some people have rated them.  It's because there are simply better places to go now that offer better food at a better value.  To be honest, you are better off going to Outback steakhouse.  You will get a better steak, choice, price and value, and better service.\n\nArthurs trimmed down there menu, it is 2 steak choices and I think a burger.  If you come here it's for steak.  The steak is large and a ribeye.  The steak was salty which I have never experienced before.  Not sure how they did that, salted butter or salt seasoning?  Way to salty, and I like salt.  Garlic bread was good, potatoes good, crab cake was tasty, service was adequate, but we noticed our neighbors waitress wasn't to friendly.  Overall, 2 people, 2 steaks, 3 drinks garlic bread, crab cake, $150 bill.  For that price like I said, go to outback, get a better steak, better sides, soup, appetizer, etc, cheaper bill.  Sad cause I used to love this place.  It's not 1 star, but not worth the trip or price."
A DiB, 5 months ago, 4, 'The steak was AMAZING!!!!!!'
Darnell Tucker, 6 months ago, 4, 'Old school steak house with, burgers, wedge salad, etc.  You will clean your plate.  The food is delicious'
Julia Morales, 6 months ago, 4, ''
milly ventura, 6 months ago, 2, 'Steak and potatoes not as good as I remembered in the past years. Priced at $44.00 not exactly reasonable and only one choice on the steak very disappointing! Potatoes were edible. The Salmon was undercooked had to send it back and the wedge salad which is usually one of my favorites at the finer steak restaurants was way overpriced for a piece of lettuce covered in some generic blue cheese sauce at 17.00! Waitress was great though they were obviously stressed out and trying to keep a positive attitude. Overall not a great dining experience. I took my niece for her birthday and I was embarrassed to even suggest it.'
MPW Media, 6 months ago, 2, 'APR 24, 2021- be aware that they only offer 3 entrees, so don’t expect anything . STEAK , SIRLOIN , BURGER. Steak is nothing special let me add .'
Joey, 7 months ago, 5, 'ABSOLUTELY wonderful and well portioned meal!! And the waitresses were so kind an excellent! I was skeptical at first about the $45 steak because you never know what the size is going to be but I tell you what it was huge and absolutely delicious!'
Joe Colón, 7 months ago, 5, 'The best Steak in Tri-state..'
Maribel Zorrilla, 7 months ago, 5, ''
Steve Holzer, 7 months ago, 5, 'Mama Mia they have great Italian food in a down to earth setting.'
P JM, 7 months ago, 4, ''
De Fra, 7 months ago, 5, 'Great father and son spot'
Rudy SIReast, 7 months ago, 4, ''
Maria Marino, 7 months ago, 3, 'Prices went up to high in Hoboken $44 for a small steak  and served with shoe strings fries thy was cold I was very disappointed yesterday last year it wasn’t this expensive steak wasn’t this tiny  flavor was great though hope thy change the price of their steaks are make them bigger for $44'
Sobeyda Romero, 8 months ago, 2, 'Menu was very limited not much to choose from.'
Jorge Deida, 8 months ago, 2, 'This place used to be the Spot....i cant believe how it spiraled down hill..it used to be $31.95. Now $44 for the same cut of fat...the potatoes were dry and the taste was horrible...I used to be a regular here but this was my last visit....Dont waste your time and money....👎👎👎'
Ed Anastasio, 8 months ago, 4, 'Pleasant environment and good food.'
zameia johnson, 8 months ago, 1, 'No option on menu for chicken'
Samuel Thomas, 8 months ago, 5, 'Shared a steak. Waiter didn’t make us pay for the extra plate. Good food and atmosphere.'
David N Rosensaft, 8 months ago, 4, "Still excellent value for the house steak.  Large size and tasty.  Don't expect aged beef or all the usual steakhouse sides, though.  A satisfying meal always available."
Jennifer Vega, 9 months ago, 5, ''
Joseph Collins, 9 months ago, 5, 'The very best as always'
Aries Mar, 10 months ago, 5, 'First time in Hoboken and this was my first experience in hoboken. My friend\'s sister got wed and choosed Arthurs Steakhouse for the reception. At first glance, the place was a "so-so", maybe because of the ambience, table was covered with this picnik table mats, dark and looks old. The food was decent for the price BUT what made the experience 5 star is only because of the service. Our server Alexa was marvelous. She made our night. We didnt need to look for her. She was always there. She knows when to come back and check on us. I dont know this lady but we had to ask for her name, just only for this reason. To give her respect and Thank you...'
Daniel Jimenez, 10 months ago, 4, ''
Ask Me, 10 months ago, 1, 'Cold need to turn up the heater'
José Pérez, 10 months ago, 5, '(Translated by Google) Exelete\n\n(Original)\nExelete'
Kimberly “ ” Watson, 10 months ago, 5, "Always a treat to eat a delicious meal from Arthur's."
FERNANDO RAMOS, 10 months ago, 5, 'Best steaks'
CARBONE CONCIERGE, a year ago, 2, "Not the same food we are accustomed to enjoying at Arthur's.\nA slow, but steady decline in quality and service.\nPlease don't blame it on Covid-19.\nNever again."
Mike Stoller, a year ago, 5, 'Great steak'
Charnette Thomas, a year ago, 5, 'Favorite place to eat a steak hands down😋😋😋😋😋😊'
Jose m, a year ago, 4, "Great food steak amazing the service was 2 stars . We asked basic questions like what's currently on the website and the waitress was a bit rude. The one dress in black was the rude one . We asked about dessert and very nasty attitude. . Still 5 stars for the food. And they would attend guest that they knew over us and another table both waitress would be hanging out by the table."
Rubi, a year ago, 5, ''
Tremaine Bembry, a year ago, 5, ''
Rashod Miller, a year ago, 4, ''
MARIA JOSE MALVACIAS V, a year ago, 5, ''
marta halgren, a year ago, 5, ''
Jeana Gates, a year ago, 4, 'Good food. way too expensive.'
Mario Navas, a year ago, 4, 'They are close Monday through Wednesday, open Thursday to sunday  4 pm untill close'
Katie, a year ago, 2, "What happened to this place?? All the sides used to be amazing here. The French onion soup, the sautéed mushrooms, the garlic bread... It's a shadow of its former self."
Alex R, a year ago, 2, "One of the institutions of Hoboken. Wish they would figure out how to fix the food though. Can't make a steak if their life depended on it. Burgers were not bad before, but after covid they are terrible now. Staff is nice and friendly. Since it's a steak restaurant that can't make steaks - I'd rate 1*, but it's a good place to hang, so... +1* for staff and atmosphere. Look into sous vide + a salamander, will ya?"
Angel Tagorda, a year ago, 3, ''
Darshan Shah, a year ago, 5, "I've loved Arthur's since I was a kid.bthey have another location in North Brunswick that my friend and I always go to. Recommend the our steak and Arthur's potatoes!"
julian delpino, a year ago, 5, 'Steaks here are the best in town. Not to mention the cherry peppers they give you with your meals. This place is a bit pricey,  but the meal is absolutely delicious. The burgers are arguably the best in town.'
ASC Sales, a year ago, 5, 'I love their steaks. Only 1 time in over 40 years did I get a bad steak and the manager was decent about it.'
Mahid S, a year ago, 5, 'Two of my best buddies brought me here for my bday. They suggested I have the steak and mashed potatoes, and trust me it was off the hook. Just loved it. Would totally come back again when I come to NJ.'
Bushido Ken, a year ago, 5, 'Hoboken classic!'
Francois Frites, a year ago, 4, 'One of the best if not the best place for a good steak and french onion soup.\nDeserving of a 4.5 based on price and quality.\nI\'ve been going here for over 20 years!\n\nI remember when they had the 24oz steak for around $24 and the quality was fantastic. Definitely something to take home and make a stew the next day.\nI still think the lunch menu is a great deal!\nWhere in the NYC area can you get a high quality steak for under $37 these days?\nThe same steaks sell in fine dining Steakhouses for $50-60!\n\nIt\'s really hard to tell the difference between these top steakhouses and Arthur\'s because they get very similar "if not" the same quality cut!'
Sarah G, a year ago, 3, 'Food is okay. Can be better.'
shermine tan, a year ago, 5, ''
Jairo Sanchez, a year ago, 5, ''
mustafa salah, a year ago, 1, ''
Rosibel Contreras, a year ago, 5, ''
Dorothy Griffin, a year ago, 5, ''
Suzanne Houser, a year ago, 5, 'Spectacular French Onion Soup!'
Lamar Coombs, a year ago, 4, ''
Jordan Spivey, a year ago, 4, 'Nice service good steaks'
shay ledbetter, a year ago, 5, 'Steaks are made to your desired preference and the amount you get coincides with the price of the food. Pickles are delicious and garlic bread is amazing. Will be visiting again soon.'
Burim Iseni, a year ago, 5, 'Steaks number 1  place needs renovation kitchen on site. Eww'
Kassiem Lawry, a year ago, 5, 'The house steak is AMAZING!!!!'
Coleen Sivo, a year ago, 4, ''
Quanzhen Ding, a year ago, 5, ''
Natalia Hershkowitz, a year ago, 2, 'I don’t know about their steaks but I wasn’t expecting to get reconstituted instant mashed potatoes at a restaurant. It’s not a $7 meal after all. Salmon was over cooked. Obviously, not coming back. The waitress was nice.'
Jim Madden, a year ago, 4, ''
Tina Grant, a year ago, 5, "I love Arthur's!! This place never let's me down, also great service, hot food. Will definitely return❤"
Rafiq Jones, a year ago, 4, ''
flower., a year ago, 1, 'HORRIBLE!! WHAT HAPPENED TO THAT PLACE? 🤢'
Nicholas Villane, a year ago, 4, ''
Masateru Saimaru, a year ago, 5, 'Delicious burgers and nice old fashioned onion glatin soup.'
Celeste Holloway, a year ago, 5, ''
Margarita Alvarado, a year ago, 4, 'Service was great, food was amazing and large portion. Everything came out timely with the service to follow behind it. Definitely would recommend to others and will be returning.'
Raul Ortiz, a year ago, 4, ''
Jasmin Bonilla, a year ago, 4, ''
Priyanka Basu, a year ago, 3, ''
Nelson Borgono, a year ago, 4, ''
Luís Davim, a year ago, 3, ''
Millie Rodriguez, a year ago, 5, 'Great food and great service!'
Iris Morales, a year ago, 5, ''
Ward Williams, a year ago, 5, 'Awesome service and awesome food'
Joseph Rozzelle, a year ago, 5, 'Food an service was excellent'
Cutty Luciano, a year ago, 5, ''
David Kim, a year ago, 5, "It's been a while since I've been to Arthur's but the steaks never changed!\nThe very first time I went their 28oz ribeye was only $11!!  Imagine that!\nIt's time I took the drive to Arthur's again!"
Maggie Kruse, a year ago, 4, ''
Barbara Sharpe, a year ago, 5, ''
Nick Lanza, a year ago, 5, ''
p cox, a year ago, 3, "Good food mixed service. Wasn't even asked if we wanted more water, soda,or drinks. Food is good but not worth the drive from New York City"
Jake Bailey, a year ago, 3, 'Great place but they forgot my veggies and stopped selling the yellow rice. Still good though.'
Louise Caracci, a year ago, 4, ''
fred m., a year ago, 3, "The food was delicious but the service was sub-par. The place was completely empty when I went yet the waiters were conversing and walking around and tool forever to take our order. Then after the meal arrived and we'd Al finished our food they waiters again took even longer to bring the check despite is trying to get their attention. I don't have any pictures of the food but trust me the food was definitely good. Not knock your socks off Fantastic but good."
Jordan Janis, a year ago, 4, ''
