author, date, rating, text
Campbell Anthony, 3 days ago, 5, ''
Dan Miranda, a week ago, 5, "Let's cut to the chase, you're gonna love it. This place is very old school Italian, do expect a little bit of that in the heart and soul of this place, from the food to the staff. Our bartender and server Denise was delightful, and made our one year anniversary dinner absolutely delightful, can't wait to be back."
Eric P, 2 weeks ago, 5, 'Authentic and incredible old school Italian restaurant that stands among the best in the nyc area for classic red sauce spots. The service and people makes it unique to itself. 100% must try. Try the chicken parm (pictured), artichoke francaise, or the pork chop!'
Staci Hilsheimer, 2 weeks ago, 3, 'Had been waiting months to have dinner here and was really disappointed. The food was EXCELLENT, but service sub par, the portions for the price?? I would be very upset if I was charged the $5 sharing fee for that amount of calamari.  We had out of town guests and felt rushed to enjoy dinner and conversation.  We also realized that our tip was already included (party of 5) something our waitress ( who btw was very friendly) did not tell us in advance. In Hoboken you can find great food everywhere but atmosphere and service in today’s world is still #1.'
Honorio Aparicio, 3 weeks ago, 5, ''
Abigail James, a month ago, 5, 'Lovely place for a nice dinner with the family.'
Elizabeth D'Amato, a month ago, 5, 'Excellent service, food and atmosphere. All deserve five stars.\n\nHomemade sauce, breaded pork chop was top notch. Also freshly filled cannolis are great.'
Melissa Sheehan, a month ago, 2, 'I’ve lived in hoboken for 5yrs - This place survives on its reputation for being exclusive and hard to get into. I had the linguine with clams and found it to be too garlicky and the sauce was broken - we make it better at home. We were sat just after 7 and asked to get up at 8:36, after we had just ordered a bottle of wine with dessert. Around 8:45 we were again asked to get up from our table, despite the fact that we weren’t notified of a table time limit when we were sat and most places offer a 2 hour limit when there is one. During the meal, we were also told to stop chatting so we could select an appetizer.'
Oscar Abreu, a month ago, 5, "What can you say about this place other than that everything is amazing from the ambience to the food to the staff to the patrons. This place is awesome! Amazing food, drinks are always topped off and Denise is amazing!!! Will always come back to this place! Order the Chicken Danielle(I think that's how it's spelled )"
Karen Parziale, a month ago, 1, 'Bad attitude!!!!! Owners wife is nasty.'
