author, date, rating, text
brielle b, 4 days ago, 5, 'My go to for hibachi!!! My all time favorite place!! So yummy!'
Aishwarya Jema, a week ago, 5, ''
Frank Guzman, 3 weeks ago, 5, "Hadn't been to one in a while, but my Grandson, Wife and I really enjoyed it and had fun with the Hibachi Chef and the Sushi was Awesome...Reservations a must for accommodations of time frames..."
numan can akıllı, a month ago, 5, '(Translated by Google) The most successful sushi I have eaten in many countries of the world, it deserves 5 stars both visually and in terms of taste, the prices are very reasonable 👍\n\n(Original)\nDünyanın bir çok ülkesinde yedigim sushiler içinde en başarılısı görsel olarak ta lezzet olarakta 5 yıldızı hakediyor fiyatlarda çok makul 👍'
Shelley Hamilton, a month ago, 5, 'Fresh sushi and unique "special rolls". Hibachi tables in the back. Great, friendly service. I plan to eat there again next visit to Hoboken.'
Yolanda Lopez, 2 months ago, 5, ''
Jacqueline Aguilar, 2 months ago, 5, 'Amazing place to get sushi! Clean environment, friendly staff, a little bit of a wait but it was a Friday night  in Hoboken (expected). We ordered the “old men and the sea”, “ayame gyoza 🥟 ”  made of salmon, and “the crazy tuna roll.”REMEMBER :it’s BYOB! Liquor store on 7th and Washington street.'
Cassandra Jones, 2 months ago, 5, 'Their food is always great. Service even better. I’ll continue to frequent.'
Kelli Cheng, 3 months ago, 5, 'great lunch deals, sushi fish is always very fresh and nice'
Charles Frederick, 3 months ago, 4, 'The best (and only) hibachi in hoboken:)'
prajakta sonawane, 3 months ago, 5, ''
Luzy Calafat, 3 months ago, 1, 'BE AWARE, they will RIP you off!!  Trashy dead fish!\nThey will obliged you that you must give what they want as tip! Tip is gratuity that you give whatever you want to gift. We did a $20 tip for two people. They forced us to give $35. Never ever again will go back!'
Agnes Rousen, 4 months ago, 1, 'My first and my last time. $8 per 6 super tiny and crushing down rolls. I think I would make them better lol. No thanks …. ordered delivery'
Anibal Vasquez, 4 months ago, 1, 'The store was totally closed when it says opened as I write this.'
Matt Basile, 4 months ago, 5, 'Outrageous taste. Very clean and excellent service.'
Chad Robison, 4 months ago, 1, 'For the amount they charge, you would think they can read a note…. Do not buzz, call number… don’t waste your time or money'
Adam Scott, 4 months ago, 4, 'Great food Great service'
Steven Lopez, 4 months ago, 5, 'Bit pricey but still delicious food'
Zoe Spinelli, 4 months ago, 5, ''
Amelia mu, 5 months ago, 5, 'Got yellow dragon roll and salmon roll and was a mouthful of flavors! Deff recommend this place. So good! Quality of sushi is very high!'
cece merejo, 5 months ago, 5, "This place is nice and quaint. Still gives Benihana vibes but less people. Food was awesome. Service was great! Could've had more Lobster though lol"
Francisco Ortiz, 5 months ago, 5, ''
JuliJu, 5 months ago, 5, 'Best sushi in HB a must do🤤🤤'
Tony Thambinayagam, 5 months ago, 5, ''
Lion Pashchenko, 7 months ago, 3, '(Translated by Google) Tasty but ugly\n\n(Original)\nВкусно но некрасиво'
PLA Service Co, 7 months ago, 3, '(Translated by Google) So-so...\n\n(Original)\nТак себе...'
Forrest Klawunn, 7 months ago, 5, "Great food, service and byob can't ask for much more"
Megan Gillen, 7 months ago, 4, 'Tried this place the other weekend for takeout, and got on of their combos. Great value for 3 standard rolls and miso soup, and it tasted great. I’ll definitely be going back to try their special rolls next time I’m craving sushi.'
Silvia Rodrigues, 8 months ago, 4, 'The food was delicious but the service was slow'
Israel Villanueva, 8 months ago, 5, ''
Kevin L. Vasquez, 8 months ago, 5, ''
Jack Tolkien, 9 months ago, 5, 'Best hibachi in town!!!! The cooks do it right in front you while eating also which is so great!!! A must in town'
Nexusforce, 9 months ago, 5, ''
Mel L, 10 months ago, 5, 'The best sushi in Hoboken. No debate! Freshest fish'
