author, date, rating, text
Audrey, a week ago, 2, 'Did not enjoy the food. It weirdly didn’t taste like Mexican food. Just got typical dishes - burrito, quesadillas…The staff and ambiance was very nice though. The chips and salsa were good.'
Jessica Hinkle, 4 weeks ago, 3, 'The Mexican meal was amazing. Everything else was small portions and lacking flavor. Honestly, never again'
Peter Cedeno, a month ago, 5, 'A hidden Gem in Hoboken. Food is genuinely Amazing in a very welcoming environment followed by a Staff that is on Point. Full disclosure, i am not too much into Mexican cuisine But Bajas has coming back again and again. 😋🤗😋'
Tim Riggins, a month ago, 1, 'Without a doubt, the worst restaurant I have ever been too. From the rude owner, AWFUL service, to their new increasing prices. If you go to Baja, you’ll stand like an idiot inside the waiting for a table. Staff will walk past you, like you don’t exist. Finally (after 10 minutes minimum) someone will say “oh, do you want a table?” As if they’re surprised you’re there to eat. Once sat down, let the timer begin! If you get a drink within 20 minutes, congrats you’re the first I’ve ever heard of. Anything can be saved with good food and drinks right? Too bad you’re at Baja, you won’t be getting either. Overpriced weak margaritas, bad tacos and the greatest sin a Mexican restaurant can commit, awful tortillas. I never review restaurants, but the combination of bad food, overpriced drinks and rude staff made me irate. Do NOT come here.'
OREN R, a month ago, 5, '(Translated by Google) Excellent food and good service\n\n(Original)\nאוכל מעולה שרות טוב'
B Romo, a month ago, 5, 'Absolutely love this place. Always good, always fresh, and always a smile behind the bar.  A true taco heaven!!'
Valentina Largo, a month ago, 1, 'Service wasn’t that bad, except that they took 45 minutes to bring the food. Other than that nothing good to say, the food tasted terrible and the prices were pretty high. This was my first and last time there. This place is pretty bad.'
G Morales, 2 months ago, 4, 'Great food...great staff...always come out of here feeling like a butterfly lol'
Dhishan, 2 months ago, 2, ''
Shawn McAdams, 2 months ago, 5, 'Love the enchiladas and flautas dishes with refried rice and beans.  They clili con queso is creamy and delicious.'
Horacio Kovacs, 2 months ago, 3, 'Chicken taco is a chicken wrap, in the wrap you can find only chicken, nothing else, no cheese, or peppers, or onion, literally a chicken wrap in a tortilla (and the chicken is dry). Everything else very good'
Robert Modansky, 2 months ago, 5, 'Warm friendly atmosphere, large portions'
richard newmark, 3 months ago, 5, 'Always goid food n a service'
Priyanka Bobra, 3 months ago, 5, 'Nice authentic Mexican food'
Dusan Pavlovic, 3 months ago, 5, 'Very decent food, and the service was more than decent.'
momi sabag, 3 months ago, 2, 'We love Mexican food but we were very disappointed here. We ordered a few dishes, none of them were good. The guac tasted stale, the steak was burned. You have better chances at Chipotle...'
Timothy Levine, 3 months ago, 5, ''
Rockie Rae, 3 months ago, 5, 'I got an appetizer a cheese quesadilla with the toppings. It was great and the portion was just right for a quick lunch.'
360SiteVisit 6317427742, 4 months ago, 4, 'Came here for the first time and we loved it. Definitely will come back again.\n\nThe food was fresh and hot. Our server was sooo pleasant.  We asked for their hottest hot sauce and she was nice enough to bring a milder version.  That was the best because we could t handle the hottest 😊\n\nWe had two special margarita. A fajita a camarones and a chicken fajita.  The chicken fajita was a generous portion. Shrimp fajita was reasonable.\nLove that it came with guacamole and beans\n\nVery reasonably priced. Two drinks and two entrees tax and tips for two is under $80.'
Charlie Passmore, 4 months ago, 2, 'Below average food and service.'
Andrew, 4 months ago, 4, ''
Krysta Kalajian, 4 months ago, 4, "The food here is absolutely delicious! We have ordered a couple of times throughout covid but never actually came here before. We did outdoor seating and it was really nice. My boyfriend and I both ordered alcoholic drinks and I was shocked that we had to buy bottled water - no tap. They charged us for the water, but I never received a bottle. For a dollar not a huge deal but kind of annoying as a whole.\n\nWe got a chorizo quesdilla as an app and 10/10 recommend! It was so freaking good. We didn't get little plates and chorizo is messy, again not a huge deal just an inconvenience. I highly recommend their steak burrito, the meat is actually really tastey and the burrito is huge! Overall would definitely recommend!"
Luis Bano, 5 months ago, 5, ''
Darcy Harris, 5 months ago, 3, ''
Gloria Gibson-Washington, 5 months ago, 5, 'OMG!! Sooooo Good! I missed this place.  We moved out of the area and no one makes food like this place!!! So glad they made it thru the pandemic.'
Nicholas Tinsley, 5 months ago, 5, ''
Austin Bennett Green, 6 months ago, 2, 'Ok food. Busy and no excuse to have to wait over an hour for our meal to be served.'
Lil Stormy, 6 months ago, 5, ''
Katheryne Arevalo, 6 months ago, 5, ''
Nick Veltri, 6 months ago, 1, 'Ordered my food an hour and a half ago and the guy had the audacity to call me and tell me that they were too busy to fulfill my order after I was waiting for my food for a while but has the time to call me and tell me they can’t make my order.'
Hakan Güneş, 6 months ago, 2, '- Guac tasted OK, although it said “medium spicy” in the menu - it wasn’t.\n- Very long wait times for server\n- They basically did not wipe our table even though we asked for it twice\n- Both of our margaritas were close to non-alcoholic, felt like they did not put any tequila in them.'
Gokce Dalkilic, 6 months ago, 1, ''
Betty A, 6 months ago, 5, '(Translated by Google) Very good service.\n\n(Original)\nMuy buen servicio.'
Khushboo Lapsia, 7 months ago, 2, 'The food was very mediocre. It was empty on a Wednesday night but they asked us to sit away from the window as that was the only location they had for a “big party”.  The WiFi wasn’t working well so my boyfriend asked for a menu... AFTER the check came we were told the menu was old and the prices had increased. This is not the Baja I had remembered. Won’t be going back.'
Ryan Bednarski, 7 months ago, 1, 'Not very good\nMargarita was ok\nForgot guac brought at end and still charged\nquesadilla was soggy'
Karina Quijano, 7 months ago, 1, ''
Anish Nair, 7 months ago, 5, ''
Marvin Hickman, 8 months ago, 4, 'Very cool experience. Went on a rather cold night and it was still comfortable in the igloo. Service in the igloo was excellent but the hostess initially seemed annoyed to have to go out in the cold. The menu is VERY limited so check it out prior to going as you will need to spend a minimum of $250 during the week. They do automatically add gratuity to the bill so take note of that. What we did eat was very good but was missing one thing...MARCUS WHERE WAS THE SALT?? You would have been chopped!!! The experience did offer a 5 star view and atmosphere. Overall would recommend for a definitely different dining experience.'
Ralf274, 8 months ago, 5, 'Food and drinks are great.'
yesid f. Villabón, 9 months ago, 5, ''
Frank Guzman, 10 months ago, 5, 'Just have to go and see for yourself 😎'
Angelo Zepeda, 10 months ago, 5, 'Nice'
asa james, 10 months ago, 5, 'Great Food! Great Staff! Great Service!'
DJ Marly Mar, 10 months ago, 5, 'Delicious Food and Unique Drinks ...\nCheers !!! 😁💘🌮🌯🫔🍸'
Joe Marinello, 10 months ago, 5, ''
Lisa Moriarty, 11 months ago, 3, 'The steak quesadia  food came to the table ice cold. The order was smaller than usual. The waitress had to be called 3 times so far. She did not pay attention. Tio many people to serve one table.'
Seda Arca, a year ago, 5, 'First time, I went to this Mexican restaurant today in Hoboken. I cannot describe my satisfaction here. Everything was delicious!! Yes, It’s still pandemic and there was almost no customers inside. We wanted to support local businesses in Hoboken. Most of the restaurants are closed on Monday in Hoboken. Baja is the one of the open places. We ordered Baja combo which is chicken, beef, shrimp. It served with rice, avocado, black beans, sour cream and warm wrap (It’s for 2 ppl but enough for 3 ppl too). After we ordered our food, they treated us with a nice nachos with salsa sauce. The waitress who is really nice and polite ,served our dinner 15-20 min later. (I am sorry that I didn’t ask your name). Food was Fantastic!!!!!  I’m a picky person. I only eat in certain places ( old fashioned woman) and I’m so happy to find out this place today!! I cannot wait to come back with my family and friends. Thanks for everything guys!!!\nPlease, support local businesses due of pandemic. We need each other.\nThank you!'
maryfitzzz, a year ago, 5, "I have eaten here many times, both inside and now outside the spot and it has always been a great experience. The food was great, fresh and hot; just the way I like it. The drinks were terrific and the service was the best.  I will be back again and again. And the salsa and chips were the best I've ever had."
ashley, a year ago, 5, 'I cannot emphasize enough how great this place is! My bf and I went on a Monday night. It wasn’t busy. We were the second table in there. They first serve you with fresh cooked tortilla chips and salsa. The chips were still warm both times when we asked for seconds. We order house margaritas, one mango and the other, passion fruit. Both are also great. My boyfriend ordered steak fajitas and I ordered Baja steak tacos. We were both mind blown! The seasoning on the steaks are just TO DIE FOR! As much as we tried to continue savoring all that flavor, we were already so stuffed!  As much as prices go, I think it is worth it! I totally recommend trying it out!!'
Parth Patel (Patel9727), a year ago, 5, ''
Silvia Jaramillo, a year ago, 5, "Love this place & I can't wait to go back again. The waitresses, waiters, and bartenders are so courteous, and the owner is very nice. The vibe is perfect, especially now when all you want is a good night despite the difficult times we're going through. They are super professional, very sweet with making you feel good, and always looking to reassure that you get what you want and how you want it (like when I order the special margarita with more agave for my sweet tooth). Definitely coming again and would recommend!"
M A, a year ago, 5, ''
Sophia T, a year ago, 5, 'I highly recommend the steak tacos!'
Priyank Shah, a year ago, 5, 'Nice and testy food'
Eric Hammer, a year ago, 3, ''
Mark Calcagno, a year ago, 1, ''
Jay Alvarez, a year ago, 1, 'HORRIBLE!!!!! NEVER AGAIN!!!\nWorst drinks, no alcohol on them what so ever.\nFood took hour to get and didn’t even taste good at all. Sorry but this is the worst Mexican restaurant I been too. P'
Irais Rubio, a year ago, 5, 'Love this place the  Food it is Authentic Mexican!👏🏼'
Andrew Skoller, a year ago, 3, ''
Flabio Almonte, a year ago, 5, 'La cida riquísima is one of the best restaurants'
Liubov Kozynbaeva, a year ago, 5, "A very cozy, down to earth place with a menu to die for. Caldo de Camarones is simply divine! A great selection of adapted, yet authentic enough Mexican cuisine with perfect presentation, various drinks and pleasant ambience. Waitstaff are attentive, friendly and knowledgeable of their menu, can easily recommend a best dish or drink for you if you're not sure. Hope to come back really soon!"
Joseph Tierney, a year ago, 5, 'Delicious !'
Gabriela Espana, a year ago, 5, ''
Shweta Patel, a year ago, 4, ''
Alexandra Ortiz, a year ago, 3, ''
Sara Lin, a year ago, 5, 'Nice little spot in the far corner of Hoboken, closer to the ferry. I always can go for their guac, plus they have fun drink specials. I found that the veggie fajitas were a great option the last time I went since I wanted to go easy on my stomach, but the typical chicken or steak dishes are really delicious as well. They also easily split the check three ways for us. Always a lovely time here!'
Chris Barry, a year ago, 5, ''
Pooja Bendale, a year ago, 4, ''
Braulio Lazaro, a year ago, 3, ''
Ronda Morrison, a year ago, 5, ''
Owen Li, a year ago, 5, 'Just downstairs across the street. Portion large. Authentic.'
The Awesomeness Guy, a year ago, 5, ''
cesar delarosa, a year ago, 5, ''
Jose Bombino, a year ago, 5, ''
chandu k, a year ago, 4, ''
Mike Burke, a year ago, 4, 'Absolutely in love with the food here. Everything is cooked and seasoned very well, plus portions of the entrees are quite large.\n\nStaff is alright, they’re not on top of you the whole time but they could do with checking in a bit more. Drinks are a little pricey. Expect to pay like $20-30 for an entree and drink'
Gregg Saldutti, a year ago, 5, ''
Amanda Shirley, a year ago, 1, 'The waiter had an earbud in the entire time making it impossible to get his attention. He brought part of meals, and then went missing for over 15 minutes (not bringing the tortillas with a fajita order) to the point where I had to get up and find other staff. The food was also just okay, but mostly disappointing. For example, the guacamole was very pale and hardly verdant so there was definitely filler in it. The avocado crema sauce was actually slightly better guacamole but not a crema sauce at all. And the fish was chewy. They have a good drink deal though, so maybe if you drink enough, you would not mind the experience.'
sharon richnelli, a year ago, 5, 'Food was delicious, drinks were great & the staff was amazing.'
peter gudaitis, a year ago, 5, ''
Antonio Gaitan, a year ago, 5, ''
nabil khallel, a year ago, 5, ''
Ivanna Almendarez, a year ago, 3, ''
Anthony Iannone, a year ago, 3, ''
Sandy Mones, 2 years ago, 5, ''
Atlas, 2 years ago, 5, ''
nanci roman, 2 years ago, 5, 'Very delicious and great service'
Hybrid AutoBody, 2 years ago, 5, 'Great'
Elaine DePinto, 2 years ago, 4, 'Excellent,  Ambiance - Food - Service'
RICHARD LENIS QUINTERO, 2 years ago, 5, '(Translated by Google) Excellent attention. Very good food and very cozy restaurant.\n\n(Original)\nExcelente atención. Comida muy buena y restaurante muy acogedor.'
What A Joke, 2 years ago, 1, 'Rubber. Food.'
Chris Kruger, 2 years ago, 2, ''
Ankit Shah, 2 years ago, 3, ''
Jewels MacPherson, 2 years ago, 5, 'Friendly staff and the guac was great!'
Brad Stevens, 2 years ago, 5, ''
David Jamroz, 2 years ago, 5, ''
Hugo Izquierdo, 2 years ago, 1, 'My dish had a live cockroach. We left immediately!'
Danielle DeZao, 2 years ago, 5, 'Our local favorite! Great food and service.'
Dillon Wu, 2 years ago, 5, "Hoboken's old school original Mexican restaurant. Great food with friendly service and a full bar!  Kid friendly too."
Jose Rivas, 2 years ago, 5, 'Great food hreat service'
J. Foy, 2 years ago, 5, "I love coming here. Its like a little gem!! First their margaritas are ALWAYS  on point. The quesadillas are soooo delicious!! I always get the chicken mixed with shrimp. Just a delightful little meal. My friends and I travel here from the bronx just to enjoy the chill vibes, great food and drinks. The bartender is always super cool too. I don't know his name but i like his friendly service."
martin spector, 2 years ago, 5, 'The special is unbelievable'
candido perez, 2 years ago, 5, ''
Animesh, 2 years ago, 4, ''
Kaustubh Asawa, 2 years ago, 5, ''
Manav Sheth, 2 years ago, 4, ''
Manav Sheth, 2 years ago, 4, ''
Evan Stack, 2 years ago, 5, 'Really good sized portions at a good price. Always treat us well. Cheap margaritas during the week.'
Mawel Soler, 2 years ago, 5, 'Service was very quick and polite. Food was delicious as were the drinks. We had shrimp flautas & quesadilla, very good! Definitely get the guacamole.'
GR Alia, 2 years ago, 5, 'Love it'
Priyanka Mhatre, 2 years ago, 4, ''
kmason, 2 years ago, 4, 'I recommend Baja Mexican Cuisine. The atmosphere is friendly with a Mexican flare, but the two main rooms are long and narrow.  The layout gave us a limited exposure to the entrance, bar area and other diners, energy/activity, and felt a little isolated. The food was excellent for that type venue but the prices are a bit high for what you get. For example, a Kids Cheeseburger is $9.95. The service was very good and the location is highly accessible. So, only a few dings for some pricing, and seating configuration thats not the fault of ownership. Otherwise very good Mexican food and services!'
mike garcia, 2 years ago, 3, ''
Alexey Lutsenko, 2 years ago, 3, ''
Ashley Bromiley, 2 years ago, 5, 'The only "authentic" style Mexican place that\'s ever made tacos I enjoyed and didn\'t make a huge fuss about not being able to swap out ingredients on their default tacos. The wait was a little long but it was 1000% worth it! Also this sauce was delicious:'
Tom Hennigan, 2 years ago, 5, 'The most authentic Mexican cuisine in the NY/NJ metro area!'
Nathan Bougourd, 2 years ago, 3, ''
cali 1908, 2 years ago, 2, 'Just came was not greeted. Had a server peeking around the corner versus just coming and asking how you can assist. Sat with no place setting and no water with chips and salsa for my first 25 min of my dining experience. Service needs to be better if your price point is going to be what it is. This is not a Taco truck so please do not treat it as such.'
Caroline Miller, 2 years ago, 5, 'Very friendly staff. They didnt seem to mind my baby running around when no other customers were in. And gave us the best service. Great tasting food too! The Tortilla bowl is huge!'
Raul Avila, 2 years ago, 3, ''
Giselle Chevez, 2 years ago, 5, '(Translated by Google) Excellent Margaritas\n\n(Original)\nExcelentes Margaritas'
Amarjyoti Dutta, 2 years ago, 5, ''
Fred, 2 years ago, 5, 'Great place to eat. I always make a stop and order the Baja Special with friends when visiting NJ'
cathy borrero, 2 years ago, 2, 'What a waste of time and money. Horrible food. Not fresh. And the waitress was bad!!!'
krishna rana, 2 years ago, 2, 'We had food and drinks for 5 of us and payed around 180$. The food was not at all worth it.\nSoggy tacos, bad tasting enchiladas and horrible fajitas. We have had way better Mexican food. Its sad when spending money does not come off well.\n\nDrinks were okay. Nothing Great!!\n\nNever returning.'
zairatheqwee zaira quinones, 2 years ago, 5, 'The food n drinks  were awesome'
Mark Smith, 2 years ago, 4, ''
Xiaoyun Lin, 2 years ago, 1, ''
Giuliana Layout to, 2 years ago, 5, ''
Kevin Champion, 2 years ago, 5, ''
Lilian Sotomayor, 2 years ago, 3, ''
fermin Fermin, 2 years ago, 5, ''
jessica zuluaga castro, 2 years ago, 5, ''
Chris P, 2 years ago, 5, ''
Michael John, 2 years ago, 4, ''
Saquina Hyman, 2 years ago, 5, 'Love it here, service is great!'
Hen Pastry Chef, 2 years ago, 5, "Love this place! My favorite Mexican restaurant, let start with this that everything is frash,  They are making everything on the spot. The nachos with the salsa is the best super fresh, the nachos they make themselves no store buy, and also for the salsa. The food is delicious and let's talk about the amazing margaritas!! You don't want to miss that!"
Fabian Schvartzman, 2 years ago, 5, 'Nice place'
Kirk Brabham, 2 years ago, 4, ''
Morris Goldberg, 2 years ago, 4, ''
Gigi Fanous, 2 years ago, 5, 'Best Mexican I’ve have in a long time! This is my go to place for a delicious meal. Love the Texano burrito  & jalapeño poppers! Always make it the way I ask. I recommend this place 100%.'
Akshay Jamsandekar, 2 years ago, 1, ''
Jeff Herrigel, 2 years ago, 5, ''
Chris Frie, 2 years ago, 5, 'Javier was an awesome bartender. Especial Margaritas were especially good'
Vivian Ortiz, 2 years ago, 5, "Wonderful steak fajitas. One of the best Sangrias I've ever had anywhere."
Vulgares Team RD & NYC, 2 years ago, 5, '(Translated by Google) Excellent service\n\n(Original)\nExcelente servicio'
Stephanie Garcia, 2 years ago, 5, '(Translated by Google) Excellete service and very rich food!\n\n(Original)\nExcellete servicio y la comida muy rica!'
Nicholas Gentile, 2 years ago, 5, 'Ordered in, couldn’t be happier with the food. 👌🏼'
pratik kachalia, 2 years ago, 5, ''
Alex Ellick, 2 years ago, 5, 'A very understated Mexican Restaurant with outstanding food and attentive service. Ordered a frozen margarita and the chicken chimichanga and it was outstanding. The warm lighting and beautiful murals makes it a comfortable and pleasant spot to get dinner. Prices were medium-high but *totally* worthwhile. Wish I lived more local because I plan on coming here as often as possible.'
Zandra Lopez, 2 years ago, 5, 'Great tasting authentic Mexican food and large portion.  Great staff : friendly and attentive.  Loved the feel of the restaurant and owner is very hospitable.   Thanks again!!!'
Alan Carlisle, 2 years ago, 5, 'Best Mexican food in Hudson county. Great Margaritas served by great staff'
rajkumar PARDASANI, 2 years ago, 4, 'Good service. Good food.'
Piyaporn L., 2 years ago, 5, ''
Frankie James, 2 years ago, 4, ''
Angelo Avanti, 2 years ago, 5, 'Nice and great food.'
Nicole Cre, Amaker, 2 years ago, 4, ''
Carlos Henrique Guardão Gandarez, 2 years ago, 5, ''
Mike Siegel, 2 years ago, 5, 'This is our absolute favorite restaurant for the last 31 years. There is no Mexican cuisine NY or NJ that  even comes close. We have introduced no less than 40 families. it is THAT GOOD\n7 STARS.\nOrder the HOUSE SPECIAL..its expensive but the platter for 2 easily.feeds 4. Which makes it a real bargin.\nGo there ummediately...'
William Hargett, 2 years ago, 5, ''
Evelin Braaksma, 2 years ago, 5, 'Excellent food and service.'
Brian O'Connor, 2 years ago, 4, ''
