author, date, rating, text
chris kay, 2 days ago, 5, 'Best spot in Hoboken .Live jazz which was awesome great atmosphere and the food was fantastic especially the steak.\nThe owner is a great guy too.'
Carlos Henriquez, 2 days ago, 5, ''
Sliman Balouma, 2 days ago, 1, "Omar ...i need m'y money u steal from me like à faceless dog ...wé did illégal bizness with thé company # Omar thé tent man# fortunately wé didnt get caught by the tax fraude office ....and u steal my money like u steal from students who came work in your boui boui for their rents ....i f m waiting for you\nCheap monde"
Audrey, 2 days ago, 5, 'Lots of great dishes! Very nice staff. Excellent neighborhood spot. Reasonably priced. Would recommend for sure.'
Ostap Kirichenko, 4 days ago, 5, 'Delicious moroccan-french cuisine in a romantic, European-like setting. Very attentive, service with a heart. And in cold months they offer hot wine - a European traditional wine-based warm drink with fruits and spices.'
Erin Babcock, 6 days ago, 5, ''
Dave Reed, a week ago, 4, "Not bad, just not really my type of food. I think it's more on me than them.  Definitely a cool, interesting vibe in there. Worth a try."
Anastasiia Ofitserova, 2 weeks ago, 3, ''
Monica Moore, 2 weeks ago, 5, ''
Swetha Anand, 2 weeks ago, 5, ''
sylvester scott, 3 weeks ago, 5, 'Excellent Food, atmosphere , staff, and fantastic live music!!'
Patrick Mauro, 3 weeks ago, 5, 'Fantastic food & friendly staff'
Eddie Carrasco, 3 weeks ago, 5, 'Brunch was good. Wait staff was very good.'
Jenny Soto, 4 weeks ago, 5, '(Translated by Google) Excellent French food rich chámpaña I recommend La Veal very Tuca good price Excellent attention\n\n(Original)\nExelente comida Francesa rica chámpaña le recomiendo La Ternera muy Tuca buenos precio Exelente atenciones'
Jenny Lukose, a month ago, 4, "Loved the vibes plus the waiters and staff were super friendly- you could tell they actually care about your dining experience. The food itself was why I reduced the star- it was good but nothing crazy. We felt like it wasn't seasoned enough but maybe that's just our personal preference. I'd still recommend it because it's such a cute place."
Ryan McLaughlin, a month ago, 1, "Service was good but thats about it.\n\nFood in general is extremely bland. My friend and I ordered the traditional couscous bowl as suggested but it was so dry it was practically inedible. After adding 2 bowls of broth, which also lacked any real flavor, we just stopped eating.\n\nWhen asked about why we didn't like it one of the managers suggested another (3rd bowl) of broth. Didn't seem to understand that neither the bowl nor broth had any flavor."
Karol Vargas, a month ago, 5, ''
Janvi Sharma, a month ago, 5, 'Thurs, fri, sat evenings they have live musicians that make the dining experience so much fun. Great interactions with staff as well, can’t wait to come back and try more of the menu!'
Rebeca Rozenbaum, a month ago, 5, 'Good food, service and ambiance! They had live music which made the experience even better! Would be coming back for sure!'
Zack Mejias, a month ago, 5, 'Very friendly service and great menu! Really nice outdoor dining area too. If you’re looking for a unique Hoboken spot this is a good choice.'
Korim Box, a month ago, 4, ''
Kelli Callahan, a month ago, 5, 'Hidden gem in Hoboken! This is exactly what our little city needed - some quality restaurant diversity. The food, staff & vibe  were a 10/10. I’m not one to write reviews but this was worthy. Lisa and Omar the owners work their butts off and the staff is like family. We will DEFINITELY be back!'
Andres Diaz-Borda, a month ago, 5, ''
Pratheep Balendra, a month ago, 5, ''
c warnp, a month ago, 5, "First off let me say that I'm here visiting from Memphis,TN. I did not know what type of vibe I was walking into. All I know was that I was HUNGRY!!!! When I walked inside I realized it was a causal dress type vibe and after reading the menu, reservations are to be made. I cod also be wrong about that. However, they welcome us with open arms!!!! What I love the most more than the food, is the family atmosphere. They actually sit down together and eat together. I love that!!! But this LAMB though.....so freaking tender and the combination of seasoning, I can't even explain. Please try is all I can say. Drinks are so different in a good way!!! I will definitely come back and recommend!! Thanks for a great experience!!!!"
Moshiur Rahman, 2 months ago, 4, ''
Nancy Chung, 2 months ago, 5, "Excellent service!!\nThe owner came by and shared his story of opening up this location.  He was so warm and welcoming and the staff were so wonderful too!  They actually waited until we were DONE with our appetizers to bring the main course out!\nit's the little things that add up that make you fall in love with this place.\nMy friend and i got the trio appetizer, cheese platter and kale salad and 1 entree.  This was plenty of food for us!!"
solanyi rosario, 2 months ago, 5, ''
Simo Maddi, 2 months ago, 5, ''
Alexander Chen, 2 months ago, 5, ''
E M, 2 months ago, 5, 'We tried Barbes for the first time last weekend and had a great experience. Our waiter made great recommendations and the cocktails were amazing also. This will definitely be a spot we come back to'
John C. Fusi, 2 months ago, 4, 'Very good and authentic Mediterranean food,  and attentive service.  Will definitely return again.'
Karen Nemet-Nejat, 2 months ago, 5, 'I have been to this restaurant many times. The food is excellent. The appetizers are prepared according to Moroccan Cuisine, just the correct amount of spice and herbs. The main dishes are also various and well-prepared. The only disappointing item is the vegetables with couscous in which the assortment of vegetables are few. The desserts vary; they are great and interesting. The proportions of foods served are generous. There is a full bar. Finally, the service is perfect! They are attentive to customer’s needs without spending too much time at the table. This is one of the few restaurants did not raise prices since CoVid lockdown. Try it for yourself.'
Kushal Berera, 2 months ago, 5, 'Excellent food. Make a reservation before you go. It’s a popular spot.'
Judy Luo, 2 months ago, 3, "We dined indoors.\nLive jazz music on Friday night: A+\nAmbiance: A\nFood: B- our entrees (lamb tagine, couscous) were extremely underseasoned and the baklava dessert was mediocre. Steamed mussels were yummy.\nDrinks: A\nService: B- nice servers, but very slow and seemed chaotic. It took 30 min? to get my second cocktail. The restaurant looked short staffed considering total number of diners.\nConclusion: I'll just enjoy at the bar next time 😁"
Valentina Locatelli, 2 months ago, 2, 'This is the second time I dine here and I got back to give the place a second chance to surprise me!\nTuesday night, 7:30pm, me and my girl friend go there for dinner.\nWe order one appetizer (delicious) and two entrees. I asked if the spicy sauce can be on the side or completely removed, if not I\'d order something else. The waiter noted that down and said "absolutely no problem".\nAt 8:45 the waiter comes out saying that there is a delay in the kitchen and our meal would be out soon - no big deal we were having a good time.\nAt 9:20 the entrees got out brought by someone that was not the waiter, her is perfect and very good. Mine is floating in harissa sauce. At that point I ate most of the couscous that wasn\'t soaked (and that was good) but couldn\'t have the whole meal because of the spiciness.\nThe waiter then came and asked how everything was and I said that probably something went wrong in the kitchen and that his note got lost, we went back in to check and few minutes after came out apologizing of the mistake.\nNo big deal again we were having a good time.\nJust before leaving (10:30pm) he came out once more asking (and here I am quoting) "do you have a dessert for your netflix show tonight? or can i pack some baklawa for you?"\nI thought that was very nice so we said yes! the doggy bag came out and few minutes after the check....\nThey charged us for the whole meal (which is fine even if they made a mistake on my order) AND for the baklawa to go!!!\nI let the reader draw conclusions but I\'m sure I won\'t give the place a third chance.'
Philip Mierswa, 2 months ago, 2, ''
Allyson Clark, 2 months ago, 5, ''
