author, date, rating, text
bill richardson, a week ago, 1, 'watched who i believe to be the owner of establishment treat workers in the most disrespectful way. very distasteful. have not been back, will not be back.'
Cesca Tolwinski, a week ago, 1, ''
S K, a month ago, 1, 'Placed a shake but it was a cup of milk. Next time just go to the grocery store and get milk instead.'
Hari Patel, a month ago, 4, ''
ronak patel, a month ago, 1, "Employees are shy and mess up order very often mot going here again.Highly exaggerated customer service and quality. It's more like a safe space for softies...\nEmployees are rude and have a disgusting attitude which says all u need to know about ben and jerrys."
Brayan Suarez, a month ago, 1, ''
Ship Shop, 2 months ago, 5, 'Loved the caramel Icecream cake. Took it as a dessert gift and the host couldn’t stop raving about how delicious it was! A bit pricey but hey it was worth it!'
Raymond D, 2 months ago, 5, 'Alyssa is the best!! So kind! So helpful! And gave us the best service. And she was so fast about it without us feeling rushed at all!!'
Sandy Pepin, 2 months ago, 5, 'Awesome Ice cream.'
Adam S Bromberg, 3 months ago, 1, ''
Griffin Acevedo, 3 months ago, 5, ''
Ann Wallace, 3 months ago, 1, 'Excellent ice cream - that goes without saying. But there is a sign posted on the front door stating that masks are mandatory — yet the store was full, with no distancing, and almost no customers were wearing masks.\n\nPLEASE enforce the rules that you post. I would not have taken my business there if I had realized how unsafe the store was and that the employees wouldn’t ask people to mask up or leave..'
Allison Eberle (Allie E), 3 months ago, 5, ''
Marcell Frazier, 3 months ago, 5, ''
S G, 3 months ago, 1, ''
Mary Perryman, 4 months ago, 5, ''
Daniela José, 4 months ago, 5, ''
Subhor Verma, 4 months ago, 5, 'Nice and Clean place with ample of seating. Staff is polite'
Erwin Espitia, 5 months ago, 4, ''
Abhishek Allen, 5 months ago, 1, 'Horrible experience. Apparently Ben & jerry don’t serve kids with small portions. When I asked for a scoop for my toddler, server rudely told us to pay for 2 scoops cup and take 1 scoop or half scoop.'
Marc Carrion, 6 months ago, 5, ''
Kayla, 6 months ago, 1, 'I am a pregnant women so when I crave something I want it. I go on Doordash craving chocolate chip cookies I see this store was selling them cool. The instructions on the tab said to call ahead to order on the phone so they’re freshly made,Which I did. Afterwards I paid for the  order on Doordash. When I received my cookies they were hard as a rock. Taste like its been sitting out all day. I can tell they weren’t fresh since they was individually wrap and I ordered a dozen. Why bother writing instructions for the customer  to call ahead for fresh cookies if you’re not gonna keep your end of the bargain.'
Yokasta Castillo, 6 months ago, 5, "Yummmm!!! I never realized there was a ben and jerry's in hobo. Love it."
Marketta Monroe, 6 months ago, 5, ''
Tarun Garg, 7 months ago, 1, 'Terrible service.'
Shravankumar Hiregoudar, 7 months ago, 5, 'Mouth watering ice cream!!'
Leslie Guzman B, 7 months ago, 1, ''
