author, date, rating, text
Chris B, 3 days ago, 4, "largest slice I've ever seen, wasn't bad."
Tracie Lutz, 4 days ago, 1, "Ordered through Uber eats for delivery: A pizza I will never forget and not in a good way!\nHonestly I am not even sure what this pizza was and have never seen anything like it. Opened the lid and thought it was a joke. This is far from a veggie and meat pizza that I've seen. The pizza was so heavy and soggy by the time it was delivered it was starting to fall through the bottom of the box. Needless to say this pizza went right down to the trash!\nUber Eats total cost all in: $57.00 down the trash"
Aman Pawar, 5 days ago, 3, ''
Manuel Saenz, a week ago, 5, '(Translated by Google) Very good 👍\n\n(Original)\nMuy bien 👍'
Lena Zhu, a week ago, 4, 'Met expectations.  Bring cash! I got a slice of cheese pizza. Total came out to $4.25.'
CARMEN-DELIA V, a week ago, 5, 'Best pizza ever.'
Jennifer Decker, a week ago, 5, ''
Eloy Musso, a week ago, 4, ''
Martin Ramos, 2 weeks ago, 5, 'Fire pizza'
Amelia mu, 2 weeks ago, 5, 'Delicious pizza! Deff an experience going there!'
Juan Seguinot, 2 weeks ago, 5, ''
Jose Castro, 2 weeks ago, 5, 'Good pizza'
Cheryl Lesser, 3 weeks ago, 5, 'One slice of pizza. Two plates. Awesome!'
Lance Kallfelz, 3 weeks ago, 5, 'Tasty, great service,'
Jocelyn Rivera, 3 weeks ago, 4, "I've been eating here since I was a little girl (I'm now in my 40's). The slices are still large but I feel the tomato sauce changed. It hasn't tasted the same the past 5 years. Again, I feel they changed the sauce they use in the pizza because it's not the same at all."
Fatih Tulun, 3 weeks ago, 1, 'i ordered and gave my debit card.owner told me only cash and there was no only cash sign. there is  an atm in restaurant and they pushed me to get cash.atm charged me extra 3 dollars.they are ripping of irs tax and us'
Briana Torres, 3 weeks ago, 5, "The slices are the biggest I've ever seen definitely worth the trip if you are out of town. And the prices are very fair."
Tony DiM, a month ago, 5, "Be ready if you order a whole pizza.. it's huge. And is good."
Justin Young, a month ago, 5, ''
German Konwai, a month ago, 5, ''
Narinder Sharma, a month ago, 1, 'Below average taste, we asked for veggie slices and dude literally put raw/uncooked toppings on regular slice on serve.\nCash only!'
Titi S, a month ago, 1, 'Used to be my go to spot but lately the pizza dough hasn’t been done. Even when adding comments to make the dough well done. I won’t be getting food from here again.'
Lupita Leal, a month ago, 5, '(Translated by Google) Excellent place . The food is very tasty and it is not expensive, I recommend it.\n\n(Original)\nExcelente lugar . La comida es muy rica y no es caro lo recomiendo.😊'
Ankit Patel, a month ago, 4, "I know it's in Hoboken but best NY Pizza is at Benny tudinos! Five stars for the pizza but minus one star for being cash only and kinda dingy on the inside."
Clay Smith, a month ago, 4, ''
Mel M, a month ago, 4, 'The quality seems to have lessened more than a tad. There is not one italian around anymore. I think they just use the old name. Slives ate smaller. It used to be my FAVORITE.'
Jeannette Calle, a month ago, 2, 'No longer the greatest it used to be.'
Shadi Sheikhfaal, a month ago, 2, 'He was very rude and angry for no reason 🙄'
Amanda Babes, a month ago, 1, 'Wait time was horrible !!'
Vinlo, a month ago, 1, ''
Melissa W., a month ago, 4, 'This restaurant was great! Staff was friendly, pizza slices are HUGE, and the food was good.'
Luis Colon III, a month ago, 5, 'The go to place when family visits from out if state. Love the food'
Nishanth Mudkey, a month ago, 4, ''
C, a month ago, 4, 'Slices were huge eggplant was delicious'
Yanir Guzman, a month ago, 5, ''
Jasmine Ortiz, a month ago, 5, ''
alfresco antonelli, a month ago, 1, '30 minutes here waiting and the waiter never came and say hello , or give us excuse for the delays, we are still here waiting and noting, 45 minutes late , the waiter came and says , if you want to  eat have to wait , like this , I say thank'
Noel Paris, a month ago, 5, ''
Anthony Marshall, 2 months ago, 5, ''
Norma Santiago, 2 months ago, 4, ''
Tom B, 2 months ago, 5, 'Absurdly good food, had it for first time last night. Can’t wait to go again'
Kim Wakefield, 2 months ago, 4, 'One of the best slices we ate....definitely a must go to place to eat'
Robert Giaquinto, 2 months ago, 2, 'Slices are huge....thats the only good thing I can say about this place. Pizza is mediocre and cash only (ATM ran outta cash at 3:30pm)'
Jose Gil, 2 months ago, 4, ''
Stephon Shearin, 2 months ago, 5, ''
Micah Bowden, 2 months ago, 1, 'Went there and the service was TRASH. After 30 mins no server made eye contact and did not acknowledge my human existence. It was extremely rude and I would not go back. Beware!!'
michael stine, 2 months ago, 5, 'My favorite place for a slice'
Eddie Barahona, 2 months ago, 5, ''
Suyash Schmidt, 2 months ago, 5, 'Pizza is great ofc, but it was the garlic bread that made me give a 5!'
Kritika Sethi, 2 months ago, 4, ''
Francisco Ortiz, 2 months ago, 5, ''
mark north, 2 months ago, 1, 'Worst place to order from I ordered shrimp and grilled chicken penna vodka and only got 3 shrimp and it was not grilled for $28 NOT FORTH IT Hoboken food sucks and is over priced simply bc of location!!!!'
Wanda Rodríguez, 2 months ago, 5, '(Translated by Google) Good place and excellent pizza\n\n(Original)\nBuen lugar y excelente pizza'
Kilsys Almonte, 2 months ago, 5, 'Huge pizza slices... VERY YUMMY!'
Danielle Broderick, 2 months ago, 4, ''
