author, date, rating, text
Christine Daly, a week ago, 5, 'Steph is super friendly and attentive and courteous the facility is immaculate and has a very homey feel the wasabeef sandwich had the perfect amount of wasa! Was delicious! 🙏🌈😋'
Charles Kraybill, a week ago, 5, ''
Stephen Stevens, 3 weeks ago, 5, 'On the side of the 9th street  Lightrail stadium.  Very busy in the AM with Friendly Fast Service. Healthy  Choices  and Foody Choices. Love my Morning Coffee and Americana. ie. EGG,Cheese and Sausage  on a buttery hot Croissant.  Yum!!'
Ali Senatore, a month ago, 5, 'Always hospitable service. Excellent selection of wonderfully fresh sandwiches and healthy salad options. Cozy environment. Cafe is always clean. My favorite place to come for lunch.'
Karina Tantalean, a month ago, 1, 'Worker gave me the wrong order, and then explained to me that iced coffee and cold brew are the same thing, where I ordered a cold brew because it’s supposed to be steeped for at least 16 hours. Very expensive coffee as well.'
Kcreme, a month ago, 5, ''
James Foley, a month ago, 5, 'Excellent spot, good coffee, great food. Friendly staff.  Biggie wrap is fire'
kate dubitski, a month ago, 5, "Coffee was good, food was good. Great environment. Some people were working with laptops, some families. Seems like they've got everyone covered!\nRight on the light rail train."
Calvin Darden, a month ago, 5, ''
Allison Madden, 2 months ago, 5, ''
Melissa W., 2 months ago, 5, 'Staff was lovely. Food and drink was as well!!'
A F, 2 months ago, 5, 'Delicious coffee but also delicious and hand made food! Tons of options. Most coffee shops in Hoboken lack good sandwiches/light lunch stuff. Everything we’ve had here is delicious, healthy, and appropriately priced. Everyone who works there is very nice as well. Neighborhood gem 😍'
Simon Gorelkin, 2 months ago, 5, ''
Isabella D'Amico, 2 months ago, 3, ''
Joe Feghali, 3 months ago, 5, 'Best coffee shop in Hoboken! Intelligentsia coffee and high quality food. And the staff greets you with a smile every time. If I lived closer this would be my daily coffee shop'
Maya Cobb, 3 months ago, 5, ''
sunghee kim, 3 months ago, 5, ''
Mark Colin, 3 months ago, 5, 'Absolutely warm , friendly and beautiful place to hang out'
Abby Washuta, 3 months ago, 5, 'So good and so many gluten free options. The  owners take good food a d service seriously and it shows.'
Rudy SIReast, 3 months ago, 4, ''
Sylvia Kendrick, 3 months ago, 1, ''
Sylvia Kendrick, 3 months ago, 1, 'Hung up on and ignored because I wanted to order over the phone and per usually no one know what to do'
N FfJ, 3 months ago, 1, 'Horrible place and no one is trained properly or can speak English enough to make order correct I order and egg and cheese and got bacon I’m Muslim'
Jason Slocum, 4 months ago, 5, 'Great coffee and service'
