author, date, rating, text
Michael Blazek, 2 hours ago, 3, "Decent pizza, a little watery though.\n\nService was okay but I would have liked the server to come by a little more often. Considering the staffing situation in this country though, I don't fault the establishment on this."
Beatriz Lizanne, 2 days ago, 5, ''
Grace .S, 5 days ago, 5, 'My boyfriend and I came here for dinner since it’s always packed when we walk past it. We were really impressed by their Tagliatelle al Ragu Bolognese. It wasn’t overly salty, the pasta was perfectly cooked, and the sauce was *chef’s kiss*. We also ordered their Margherita pizza which was also great. The only complaint we had was not having enough space on our table as their dishes are large and we had to have our sharing plates taken away.  The location is great, its right by the water front so the view is nice. We will definitely be back to try their other dishes.'
Andressa C, a week ago, 1, ''
Verito “ecuaverito” 81, a week ago, 5, ''
catherine hetmanski, a week ago, 5, 'I love this place. Great staff. Great food. Wonderful view of NYC'
Vanessa Lance, a week ago, 3, ''
Henry Estrada, a week ago, 4, 'The pizza was excellent!'
Slavica Chavdarsky, 2 weeks ago, 5, 'The place has an outside sitting area with a beautiful view of the Sinatra Park and the Hudson River. The tables are small but still it feels comfortable. Food was very good. We ordered some chicken served with pasta and it was delicious and the dish was large. I tried pizza too but for my taste it was a bit too soggy with tomato sauce. Yet, that’s just my personal preference. Prices for a meal ranged 15-30. Staff were great. Definitely coming back here.'
Mina Defee, 2 weeks ago, 2, 'Pretty disappointed to be honest.\n\nReading the Google reviews and looking through some of the other pics on here it looks like this would be an awesome place with great food and a view. It’s pretty much none of that.\n\nThe service was incredibly slow. It took forever to order, forever to get the food, and forever to pay. It wasn’t very busy and it didn’t look understaffed so I don’t know what the deal was. Did see others get better service so maybe it was just our individual server.\n\nThe food was not worth the price. We paid over $20 for the chicken parm and they literally used sliced cheese… the fruta di mate was pretty good but some of the shells were broken in the spaghetti.\n\nOh and if you’re looking for something Sinatra related, you won’t find it here. The name and a plaque outside are the only things that are related.\n\nIf you’re looking for a good view, just go to one of the local parks.'
vinamra jain, 2 weeks ago, 5, 'One of the most authentic Italian restaurant in the city and nearby areas. Staff was very helpful with reservation, ordering and substitutions. We did a professional gathering of about 20 people and everyone liked the food, the drinks and the ambience. Thank you for a wonderful arrangement. Would definitely recommend going there for food, ambience and a wonderful evening.'
Supratik Hajare, 3 weeks ago, 5, 'Great place to eat and enjoy the NY sky lines. I had Salmon with Pino Noir ,the Salmon was nicely cooked with sauce on the plate with veggies. Although their wine selection is not the best out their but is considerable. Give it a go.'
STOOL PIGEON, 3 weeks ago, 3, "This place is pretty nice with a view-our waiter (Anthony if I'm not mistaken) was really attentive and funny. We were a group of 4 around 2030, food was served fast -my friend got tuna salad I belive which was nothing special tbh. My bro got pork chops and I gotta say that was real good, my other friend only got a cheesecake which was not bad, I got the prosciutto truffle pizza (my first time trying truffles) and I think that was the highlight of the whole night -it was super delicious. Downside is they have no cocktails on site -just wines which we weren't in the mood for"
Sahil Bassi, 3 weeks ago, 5, ''
Paola Fernanda Uribe Mora, 3 weeks ago, 5, "Dinner with Italian food & Full moon in Hoboken. Couldn't be better"
Roula Harfoush, 3 weeks ago, 4, 'We enjoyed our dining experience here! Tasty food with wonderful view of NY 🤩 Pizza was so delicious 😋 For dessert, we got half Nutella cannoli cream and half Nutella pizza; and it was super yummy!! Although the service was a bit slow, we enjoyed seating outdoor 😁🥂🍻'
Yuriy Vasilyev, 3 weeks ago, 1, "We had late lunch, octopus was burned and overcooked. Seafood  stew  was cold, no bread was offered until you ask. Not worth the money, I wouldn't go again."
Roger Mendoza, 4 weeks ago, 5, 'Great food'
Kyle, a month ago, 5, 'Good food, riverside.\nWindows are a little glossed over so view is kinda, but the food makes up for any lackings  ;)'
Gery Mifodin, a month ago, 5, ''
Jael Matos, a month ago, 5, '(Translated by Google) This place is cool. So far one of my favorites in NJ, With an outdoor terrace with a European flair that teleports you to Italy and a wonderful view of the Hudson River and the NY skyline. As for the food it is 5 stars. In the kitchen, the chef must be Italian because each bite tastes like a little piece of Italy, the food is excellent and with first-class products and finally in terms of service ... if you want perfect attention, attentive, friendly and very polite ask for young MATH. He knows well how to treat diners, he gives you your time to order what you want and explains the ingredients of the dish very well in case you have any doubts, he does not harass you like others who as soon as you have sat down and they are already there. attacking for you to order and order a drink. You will have the time you need to safely order what you want to eat and drink.\n\n(Original)\nEste lugar es genial. Hasta ahora unos de mis favoritos en NJ,  Con terraza al aire libre con un aire Europeo que te teletransporta   hasta Italia  y una vista maravillosa hacia rio Hudson y el skyline de NY. En cuanto a la comida es de 5 estrellas. En la cocina el chef debe ser Italiano por que cada bocado sabe a un trocito de Italia, la comida es excelente y con productos de primera y para finalizar en cuanto al servicio... si quieres una atención perfecta, atento, amable y muy educado pregunta por el joven MATH. El sabe bien como tratar a los comensales, te da tu tiempo para ordenar lo que quieras y te explica muy bien los ingredientes del plato en caso de que tengas alguna duda, no te acosa como otros que no bien te has sentado y ya te están atacando para que ordenes y pidas bebida. Tendrás el tiempo que necesitas para ordenar con seguridad lo que deseas comer y beber.'
Harshad Pardeshi, a month ago, 5, ''
Dulla Jane, a month ago, 5, ''
Dhwani Mithun, a month ago, 4, ''
Yash Kapani, a month ago, 4, ''
Maryel Balletta, a month ago, 5, 'Fun place , great views, food was good!'
Juanjo E, a month ago, 4, 'Great place to eat! The portions are great and the pastas are amazing.'
Meenu Choudhary, a month ago, 5, ''
Frank Cates, a month ago, 5, 'The experience and service overall the best in NJ!!'
Massimiliano Attanasio, a month ago, 5, ''
cosmo mezzina, a month ago, 2, ''
Viktoriia Liashenko, a month ago, 5, ''
Van Tyc, a month ago, 5, 'Amazing place spectacular view of Hudson river. Very good service and food.'
tata marin, a month ago, 2, 'Food is not that good.'
Tejas Rana, a month ago, 3, 'Long wait and slow service, worth going once.'
Ryan Lee, a month ago, 5, ''
