author, date, rating, text
Emily G, 2 weeks ago, 5, 'Good food and customer service. Fast ordering using QR code. I wish they expand their space with more outdoor seats.'
溫翎君, 3 weeks ago, 4, ''
Matt Huron, a month ago, 5, ''
Mihail Sirotenko, a month ago, 5, 'Probably the best breakfast place in Hoboken'
Jimmy Zuniga, a month ago, 1, 'I’m not sure what is going on with management - but why is there only one employee running the entire show? They’re the barista, server, and takes the orders.\n\nIt takes 20 minutes just to grab a coffee. And when there are staff working - it takes over an hour to get food.\n\nI’m only marking this review with 1 star so that it gets noticed - revamp your business model because this is extremely inefficient for the business and customers.'
Oscar, a month ago, 5, 'Very cute place. 6 of us showed up during main brunch time and they were able to accommodate us. The food was delicious'
Ivanna Kaleniuk, a month ago, 1, 'Terrible service.\nDon’t tip until you get your order. We waited 50 minutes for avocado toast. AVOCADO TOAST!!!\nAll they have to say is sorry. Maybe only one person prepares food but it’s not acceptable.\nDo not ever go there for brunch'
Lynn D, a month ago, 5, 'The coffee at this location always hits the spot. They have milk alternatives for my dairy free friends and the food is good!'
Fargol Araghi, a month ago, 4, "Good Australian cafe' in Hoboken. On weekends, it's a bit crowded!"
David Lewis, 2 months ago, 5, 'The banana bread is fire'
Thomas Fahy, 2 months ago, 1, 'Burrito was terrible, staff is inattentive. Very overpriced.'
Aj Simon, 2 months ago, 1, 'Food is mediocre, staff is friendly but inattentive. Don’t get the sauce on the burrito'
rashi, 2 months ago, 4, 'Great breakfast place\nLove it!!!\nWill surely visit again'
Aniket Deshpande, 2 months ago, 5, 'Cute little cafe. Avacado smash was amazing! And great coffee. Lot of healthy and vegetarian options. Nice music and great vibe overall. Eco friendly as well 👏🏻'
Ilayda Karabayir, 2 months ago, 5, ''
mixay s, 2 months ago, 3, 'Coffee came out Luke warm. Should have returned it but waited over 20 min for it. Otherwise breakfast was pretty solid. Shame about the coffee experience though.'
Amrit Niyogi, 2 months ago, 4, ''
N Busch, 2 months ago, 5, 'We only had drinks and croissants but I’ve had food at the upper westside location and it was great. I so appreciate the healthy options this restaurant offers, the outdoor seating was nice, and once I figured out that I was supposed to order from my phone it was ok. We had a hibiscus iced tea and an americano (called something else on their menu) and croissants. The croissants were fine and would have been good with a few minutes in an oven to crisp them up. I hope to be back soon and order more food. My high rating during this particular visit was the absolute, genuine warmth and kindness from our server. It was hot out and we have a big, very old dog. We were surprised she made it the few blocks to the restaurant. The server brought her a big bowl of ice water and really lavished her with petting and kindness. It was so sweet. Really appreciated the warmth. Look forward to determining my favorite coffee item on their menu.'
Jason Lopez, 2 months ago, 5, 'Everything. Is. Amazing.'
Даша Васильева, 3 months ago, 1, 'Coffee taste bad. The time you will wait for your food is ridiculous. We order online, it’s been 30 min and food is not ready.'
J Y, 3 months ago, 4, ''
David Gitman, 3 months ago, 5, ''
Cristiano Oliveira, 3 months ago, 5, ''
Randall Blecher, 3 months ago, 5, 'We stopped by for coffee with our pup.  Nice outdoor seating, easy ordering from the QR code on the table, friendly service. Our coffees were really tasty.'
Linda Vee, 3 months ago, 5, 'This was my second time eating at this restaurant. The tables outside are positioned in comfortable spots and in shady areas. Ordering food is a breeze using the QR code. Waiters were friendly and answered my questions about the menu.\n\nI had a chicken and vegetable bowl and my mother in law had the toast. We also had a mocha and iced tea. Drinks were refreshing and food was delicious. I’m looking forward to trying more items on the menu.'
tejaswi koganti, 3 months ago, 2, 'Over priced food and underwhelming in taste and quality.'
Jonathan Petrakakos, 3 months ago, 5, ''
Oscar Castillo, 3 months ago, 1, ''
Allie Gazda, 4 months ago, 3, ''
Shashank Yaduvanshi, 4 months ago, 5, ''
Gayatri Anguloori, 4 months ago, 2, 'Went in today to get a cold brew with oat milk. I’m not sure if the coffee or the milk was spoiled but the coffee had a spoiled sour taste and it also tasted burnt. It honestly did not even taste like a cold brew because it was so harsh and not smooth like most cold brews are; i think they gave me their iced coffee instead because it tastes burnt and sour. Staff was nice but If you want good coffee do not come here—you’re better off going to Dunkin Donuts instead to be very honest.'
yasir sherza, 4 months ago, 5, "Love the food and the service. I was hoping to order the impossible burger but it wasn't on the menu. However, I ended up enjoying the items ordered. The wedges could've been crisper, but overall a good experience. Special shout out to the friendly and excellent service"
Ken Katz, 4 months ago, 5, ''
Ken Boyar, 5 months ago, 5, 'I found the food choices to be quite good. Great healthy alternatives to most everything else on Washington street. Service was caring and professional. I had the grains salad and poached eggs. Quite tasty. I will be back.'
Kathleen O'Hara, 5 months ago, 5, 'The brekkie board is always a great option to sample some of their signature items. Their coffee selection is fantastic but I miss their fresh juices.'
Bruno Angulo, 5 months ago, 5, 'Amazing food ans service'
lyndy jo, 5 months ago, 5, "Melbourne, Australia in your mug! Would I rather grab a cuppa in Melbourne, of course, but the coffee here is certainly the most authentic you'll get in the northern hemisphere. Brilliant!"
Karen Gu, 5 months ago, 5, 'We found this place by strolling along the street and decided to eat outside there just as it was getting busy around 10:30-11. You can order food and pay for it by scanning a QR code on the table, which was very convenient. I got a breakfast burrito which was very tasty, and the cold brew was decent, although my friend noticed some of her food was burned. Overall good experience though.'
Will Clark, 5 months ago, 2, ''
Hana Sherza, 5 months ago, 5, ''
Peta Savva, 5 months ago, 2, 'Love the coffee but apparently it’s hard to serve a fresh croissant. 2nd time I’ve gotten dry flakey & stale croissants to go. Stop serving them!'
Kiki R., 5 months ago, 4, 'This is my first time trying their Brunch after drinking their coffee for long time.\n\nThere a lot of seats outside that look nice and also very cute inside. The decor and decorative plant inside is beautiful. Clean and cozy.\n\nWe have to scan QR code, order and pay from our phone.\n\nCoffee is not bad.\nWe had three dishes for two people, Avocado smash, B.L.A.T.E and warm chicken salad.  Everything is good, fresh and healthy. Our favorite is Chicken salad.\n\nIt’s a nice place to hang out with friends, great food.'
Tabatha Poonpurmsiri, 5 months ago, 5, ''
Mats L, 5 months ago, 5, ''
hope noelle, 5 months ago, 1, 'TERRIBLE SERVICE!'
A Mes, 5 months ago, 5, 'Service/staff is great !\nThe food look amazing but tasteless'
Gizem Acar, 6 months ago, 4, 'The food is okay, but way overpriced.'
Isabella Rubinson, 6 months ago, 5, 'My favorite place always look forward to coming here best banana bread of all time !'
Y H, 6 months ago, 4, ''
Hasan Ozmulla, 6 months ago, 4, 'Good coffee, indoor and outdoor seating available'
Her Empire, 7 months ago, 5, 'Great coffee, amazing vibe'
Syelee Doshi, 7 months ago, 5, ''
Diana Quiroz, 8 months ago, 5, 'I been to several blue stone and this hits the spot like all of them.. amazing service'
John Bell, 8 months ago, 4, 'Great food and coffee.'
Emily Ng, 8 months ago, 5, 'The pancakes and chai are soooo good, definitely coming back'
Wilson Teng, 8 months ago, 5, 'Ordered online via postmates. Food was good, coffee is excellent. I can recommend the Warm Chicken and Ancient Grains Bowl which is simple and delicious.'
E&A Holdings, 8 months ago, 1, 'The staff are very rude and the service is even more and it takes them more than 40 minutes to get the food.  Not recommended at all!'
Ali Mitchell, 8 months ago, 5, 'Such a clean, friendly shop. Love this location!'
Tana Bza, 9 months ago, 5, 'The avocado toast and mocha latte were delicious. I usually go to the one in SoHo but there is no way I’m sitting outside in cold weather.'
Big Chungus, 9 months ago, 1, 'Sharp edged plastic bit found in yogurt cup, yikes'
Rezart Duka, 10 months ago, 5, ''
Zach Gannon, 10 months ago, 5, "This place had the best breakfast I've ever had in my life."
POOJA PATEL, 10 months ago, 5, 'Avocado Smash was legit 💣 fresh. Chai Latte, Hot Milo & Macchiato was upto mark, Soft Chili Scramble w/ Avocado was spicy fresh & delicious. Healthy, fresh ingredients prepared to perfection! Cute cozy warm little place, with a nutritious and delicious menu,friendly helpful staff will make you feel at home, definitely my new go to place!'
Liz, 10 months ago, 5, 'What a lovely experience! Stopped by to grab coffee and breakfast, and to my surprise, the GF options were so impressive and delicious. Additionally, you can make a reservation for indoor seating, which allows the shop to ensure proper social distancing. Will definitely be returning!'
Divya Sadarangani, 10 months ago, 5, ''
Kaberra Nobles, 11 months ago, 5, 'latte was great, croissant was good I enjoyed my first time eating here.'
Miguel “Angel” Ribot, 11 months ago, 5, ''
Javier Sanz Fernández, 11 months ago, 5, ''
Victor Aguirre, a year ago, 5, 'Friendly staff. Clean location. Great service.'
Nahil Jain, a year ago, 2, 'Dude.. you can’t close at 4pm!'
Sky Song, a year ago, 5, ''
Eraldo Llukaj, a year ago, 5, ''
carlos sandoval, a year ago, 5, 'Amazing service and the food is just as good. They make you feel welcome in every way. That’s the right way to run a business!'
Emily Raque, a year ago, 5, 'The food is delicious, filling, and perfectly portioned. This is an amazing place to get breakfast/brunch on the weekends because it opens before everyone else. The staff is always super cheery. I usually hate sweet breakfasts but I LOVE their pancakes. Everything is also healthy without compromising at all on flavor.'
k t, a year ago, 5, 'You can enjoy brunch under COVID. Several tables outside and menu view / payment online using QR code on the table.'
Brendan Davis, a year ago, 5, ''
Greg Banbury, a year ago, 5, 'Best coffee in town'
Sergey Nastich, a year ago, 4, "Outside of one frustrating experience where I had to wait for a very long time for my avocado smash, I'm usually very happy with Bluestone Lane regardless of the location. They make some of the best coffee around, and the food is great! I hope the Hoboken location will start serving lox sandwiches soon.\n\nGlad to see they're determined to make things right when customers have negative experience!\n\nPrevious review (7/21/20): Horrible, horrible time management. I ordered an avocado smash - and 50 min later (30 min later than ETA displayed by the app), I'm still waiting for it. How hard can it be to make a toast?"
Julia Clark, a year ago, 2, 'A friend and I waited at least 20 minutes for iced coffee and a piece of zucchini bread - there were maybe only three other customers at the time, and they were all waiting extended periods of time as well!'
Jose Pou, a year ago, 5, 'Yhis place is awesome'
Gaurav Shankar, a year ago, 5, ''
Emmanuel Soto, a year ago, 1, ''
Jennifer Zhu, a year ago, 5, ''
Maria Marotta, a year ago, 5, ''
Z Ibrahim, a year ago, 4, 'Good customer service. Friendly staff too!'
Mila Zender, a year ago, 5, '(Translated by Google) Tasty and healthy food!\n\n(Original)\nВкусная и полезная еда!'
Matt Isard-McNulty, a year ago, 4, ''
Liza Gomelski, a year ago, 4, 'This was 3 star: My boyfriend and I came here and both got the green eggs. It’s supposed to be an over easy or at least medium dish to dip the bread in the eggs. We essentially received 2 hard boiled eggs with spinach and 2 small mushrooms and 1 cherry tomato. This is my first time eating here and I will try again but my first impression is less than mediocre. Also, our sever was not the best.\n\nMy 4 star update: I still don’t think the food is very good here, but I work from home and I enjoy the atmosphere of working from here. Also enjoy the outdoor seating.'
Chris Yuen, a year ago, 4, ''
Jane Manzari, a year ago, 5, ''
Kevin Schultz, a year ago, 4, ''
Sandy Cartagena, a year ago, 5, 'Can’t start my day without Bluestone Lane! Love the Hoboken store !'
danielle caserta, a year ago, 5, 'Always great food and a great vibe'
