author, date, rating, text
Gaurav Kalani, 3 days ago, 5, 'Loved the ambience and the coffee. Will try the Turkish coffee the next time'
Nitesh Maurya, a week ago, 5, "Staff is very polite and they know their coffee well. That's what every person needs before they start their hustle. What's more pleasing is that it's dog friendly and my joey just loves to hang out. Not to mention the doggy treats they dish out for my boy."
vrinda chopra, a month ago, 4, 'The rose latte was tasty and unique but a little overpriced overall!'
Nesibe BZ, a month ago, 5, ''
Busra Uruc, a month ago, 5, 'I had a very pleasant time! I visited this cute coffee shop with a friend. Coffee was very quality and they had delicious cookies 😋 Also try their danish'
Haley Spechler, a month ago, 2, 'extremely subpar'
Selin Okumuş, a month ago, 5, ''
Andrew G, a month ago, 5, 'A nice little neighborhood spot. The Turkish coffee is pretty good. We come often!'
Alexandra Ortiz, a month ago, 3, '☕🥤ice coffee !good!'
Mrinal Agarwal, 2 months ago, 5, ''
Trenton Hiltbrand, 2 months ago, 5, 'Very very strong roasty cold brew. So good.'
A Binhammad, 2 months ago, 5, ''
David Orr, 2 months ago, 4, 'Nice place to grab a cuppa. There are pastries and some more hearty fare.'
Bisikletli Kız, 3 months ago, 5, 'Perfect place for hanging out with our friends and tasting good coffee and latte cakes also the decorations are good for selfie !!!'
Bee Concept, 3 months ago, 5, ''
Shaya B., 3 months ago, 5, ''
Soul Kianna, 3 months ago, 5, 'Very good Cranberry Chocolate energy bar and matchas! It’s a very cute cafe and the owner is super sweet!'
Elissa Erwin, 4 months ago, 5, ''
may sam, 4 months ago, 5, 'The best Rose latte👍🏻'
Aeri Co, 4 months ago, 5, 'baklava here is unbelievable. melting in the mouth'
Olivia Spark, 5 months ago, 5, 'Amazing atmosphere, cute little coffee shop. Professional baristas'
Millie Oquendo, 5 months ago, 5, 'So cute! Rose latte was so yummy. And i love macaroons!!'
Fernando Gonzalez, 6 months ago, 5, 'Amazing Turkish coffee and Danish. Decor and service is 5 stars. My favorite spot.'
Jay Mattan, 6 months ago, 1, 'Very limited options. Quality of the food is poor. We have not enjoyed neither the foods nor the drinks'
kate dubitski, 6 months ago, 5, 'Service was warm and friendly. My fussy coffee order was delicious. The baklava was amazing! The place looks so good, you can see that a lot of care and love went into the place!'
Shravanthi Chidambaram, 6 months ago, 5, ''
Darya Macarchik, 6 months ago, 5, 'Absolutely delicious coffee, pastries and sweets! The cafe is so nice, beautifully decorated and the service is outstanding!'
kim jensen, 6 months ago, 5, ''
Amer A, 7 months ago, 3, 'Very quaint and cute place. The aroma that floats in the air is charming! The decor is unique. However, there is an inconsistency in the coffee execution. From the two cappuccino I ordered at the same time, one was balanced and tasted like a cappuccino, the other was scalding hot milk with barely a hint of coffee taste. I may give the place another chance, but with all the new coffee shops opening in the area, I will sample around, first.'
cristina marin, 7 months ago, 5, ''
Mac ER, 8 months ago, 5, 'Incredible local coffee!!! Just try! Not only coffee also other products as well!!!!! GREAT!!!'
busra aydin, 8 months ago, 5, 'The rose latte and macarons taste awesome!! Also the decorations is so cute...'
Michael Wu, 8 months ago, 5, 'Nice quiet cafe with fresh pastries and macarons. Recommend the almond croissant, flat white with oatly oat milk, and cold brew.'
Gabriela Michelle López Ceja, 8 months ago, 5, ''
Palak Baid, 8 months ago, 5, ''
Makensey Lindaberry, 8 months ago, 5, 'Absolutely gorgeous! This is my favorite coffee shop in Hoboken. It has a beautiful atmosphere & the staff is incredibly sweet! The coffee is great and the pastries are delicious! The rose latte is one of the most beautiful cups of coffee I have ever had in my life. They also have a punch card program where after 10 cups of coffee you get the next one free. I recommend this place with the highest regards!'
Matteo De Santis, 9 months ago, 5, ''
Simon Gorelkin, 9 months ago, 5, ''
CurlsnPearlsss, 9 months ago, 5, 'Upon entering this cafe, I fell in love with the vintage vibes and beautiful decor. I ordered a rose latte which was absolutely gorgeous and tasted like rose macarons. The avocado hummus toast was amazing as well. Customer service was excellent! So happy to have found this gem!'
Paola Leon, 9 months ago, 5, 'LOVED IT'
Rob Chacon, 10 months ago, 5, 'really cool coffee spot, a must try if you’re in the area.'
Meghana D Masudi, 11 months ago, 5, ''
Doaa Abdelaziz, 11 months ago, 5, 'LOVE THIS PLACE😍😍😍 so adorable and very beautiful, the details are too cute and everything tasted so yummy!! They even have the cutest little pieces of jewelry to buy! Very vintagy!🌹'
Eric Dore, 11 months ago, 5, 'One of the best coffee shops in Hoboken. The staff is amazing and the coffee is delicious. I go pretty much every morning. Highly recommend it.'
Michelle Light, 11 months ago, 5, 'The chai latte here is perfect. I went with a friend and she got the peppermint tea. We met Ozzie (sp?) She was soooo sweet! Loved the interior and the pastry case was full of delicious and beautiful pastries. Will be coming back here again!'
Ipek Sahin, 11 months ago, 5, ''
Öznur Erdem, 11 months ago, 5, ''
Tasha Tokar, a year ago, 5, "Outstanding experience and might be the cutest coffee I've ever found! The entire place seems like out of old Paris,  would recommend it to anyone!"
Alisa Ali, a year ago, 5, 'Amazing service and beautiful lattes! The rose latte not only looks gorgeous but tastes delicious, and came with a macaron. We also ordered iced lattes on our way out, which tasted rich - great quality espresso. The women who work here are so kind and sweet. Highly recommend and I would love to come again!'
J, a year ago, 5, 'Loved this cafe ! Clean, cozy, welcoming. Rose latte was my fav and avocado toast w/peppers! Definitely coming back'
Stephanie D, a year ago, 5, 'Really cute cafe with fantastic drinks and lovely staff! The hummus avocado toast was one of the best I’ve ever had and the rose latte was delicious! Definitely will be back here'
Emily Ng, a year ago, 3, 'Best part of this trip was the photo-ops. Pretty good chai, but kind of pricey. And the spinach egg thing was more expensive than the drink, but not great :/'
Nadein, a year ago, 5, 'avocado toast was really good, such a cute spot for brunch !'
Fatma İzgi, a year ago, 5, ''
Serpil Gülçiçek, a year ago, 5, 'I like this cafe a lot 🤗'
ahmet cicek, a year ago, 5, ''
Lyla Mannoia, a year ago, 1, 'I’ve been here a few times now, each time hoping for the best. Nope. This place won’t be my first choice until things change. They have the most overpriced teas in all of Hoboken, maybe all of New Jersey. And not only are the teas overpriced, they’re usually anemic. I’ve been disappointed each time.'
Merve Sky, a year ago, 5, 'Avocado toast is delicious!!!'
Des KF, a year ago, 4, "When I arrived I had to park illegally because parking in the area is terrible. The place had indoor and outdoor seating.  The place was super cute and I loved the decor. I was greeted by Balseyat, I believe she was the owner or manager and she was so kind. I got the baklava, which I was eager to try because it was my first time, and was supposed to get coffee. I told her I wasn't a huge coffee drinker so she offered me mint tea which was so nice of her. While waiting customers came in and one of which had a dog. So this place is dog friendly.  Balseyat gave me my items and I left.\n\nWhile driving home I was trying to drink the tea but the lid kept leaking a lot. It was dripping all over. Nothing was wrong with the lid, I just think they probably need better lids or cups. When I got home I I ate the baklava and it was just ok. It was very sweet but glad I finally got a chance to try."
Elisabeth Lenheim, a year ago, 4, ''
Xiping Dai, a year ago, 5, 'Great new poace!'
Miguel Perez, a year ago, 5, 'Love this place! Everything here is great!'
Sarah Du, a year ago, 5, ''
Tess L, a year ago, 5, 'Amazing spot for coffee and snacks.\nEverything has beautiful presentation and the owner is very very nice.'
Dean Locke, a year ago, 5, 'Worth going out of your way for. Delicious.'
Gulay Kaya, a year ago, 5, 'Delicious pastry, peaceful atmosphere. Coffee is the best.'
Hannah Garone, a year ago, 5, ''
Andrew Holloway, a year ago, 5, 'Dalgona coffee, almond croissant and baklava was amazing! Very cozy atmosphere and service was great.'
Jefferson Thomas, a year ago, 5, 'That is the first time that I tried ice version. But definitely worth it. Awesome 🤩'
Hilal Kahya, a year ago, 5, "That was a nice experience. I have never seen the place before. It was like a European style coffee shop. I believe they are new in town.  But coffee was top of the line and venue is good for studying for me. prices were also really cheap.   Unfortunately I couldn't stay very long due to current pandemic situation but this is the plan when this is all over."
Samantha, a year ago, 1, "I'd avoid getting their matcha lattes. I got one over the weekend and it basically tasted like just ice milk. There barely any matcha in it. The latte was a pale green color unlike the pictures of matcha they post on Instagram which is vibrant dark green. Not worth the money."
Katarzyna Ługowska, a year ago, 5, 'Greta ice tea! I will definitely come back!'
Victoria Tobio, a year ago, 5, 'I have been coming here nearly everyday since they opened two weeks ago. The coffee and iced tea are super delicious! Don’t care for Starbucks anymore with this local place selling high quality drinks! Looking forward to trying the Turkish coffee once the weather gets a bit cooler. Staff is lovely and it’s women owned!! Highly recommend everyone visit Cafe Vista and super excited to try more options on their menu. Very happy this cute coffee shop opened up during the gloomy pandemic.'
varvara kirylchyk, a year ago, 5, 'Finally tasty coffee found in Hoboken 👍🏼 Cozy and warm atmosphere and staff'
Jackson Luis, a year ago, 5, "Great coffee and very friendly staff! So glad to have a good cafe in this part of town.\n\nAlso the decor is very cute and pleasing. Can't wait to hang out in there when indoor dining returns!"
Dan Schrotter, a year ago, 5, 'Amazing coffee ;) Owner is amazing'
Neha Chawla, a year ago, 5, ''
alfredo jimenez, a year ago, 5, ''
Zahiddin Çetin, a year ago, 5, ''
