author, date, rating, text
Ademil Correia, 52 minutes ago, 5, 'Meu sonho conhecer está confeitaria sou brasileiro cheguei em Portugal a pouco tempo mas um dia eu chego lá com MT fé em Deus vou conhecer o meu ídolo não desistirei enquanto há vida há esperança tudo posso naquele que me fortalece em Cristo Jesus'
Kelvin Daigle, an hour ago, 1, 'I stay in St. Louis Missouri I’ve always wanted to try cakes from this location so once I found out that DoorDash was delivering the slices of cake I decided to order five of the slices of cake but upon delivery two of the cakes were not correct and one was missing  and the cakes tasted as if they have been refrigerated for a few days I contacted DoorDash and they said they could not replace the items and they can’t  refund it so I was really disappointed in my first experience with this product I’ve always thought it would be better than what it was but I guess you always have to try something once to get a full experience and I wasn’t satisfied with my experience I thought it would be better than what it was but the Cakes taste  basic'
wvu96, 10 hours ago, 5, 'Best bakery in NYC area. Chocolate cupcake and Hazelnut Lobster tail are my favorites'
Aleisa Keyes, a day ago, 5, 'Packaged well, received quick and the cake was perfect!'
Moody Abdalla, 2 days ago, 1, 'Drove almost 35 minutes to get rainbow cake. It was dry, over priced and over rated.'
Tea Tree, 5 days ago, 1, "Carlo's Bakery has cake slice vending machines in Vegas and other cities. It gave me the wrong cake, which had ingredients I'm allergic to. Each slice costs $10.00. I called and emailed customer service for a refund. A month later, never heard back from anyone. Zero stars for zero customer service!!!!"
Jose Ramos, 5 days ago, 5, 'Always good pastry, good prices'
Steve Kerr, 5 days ago, 5, '"What to Say" 👨\u200d🍳Traditional Italian Bakery "Delicious" O.M.G 🇮🇹 This is Italian 🇮🇹\nLobster Claw Pastries O.M.G\nRum Cakes O.M.G.\n🇮🇹 Italian birthday cakes loaded with rum and almonds around the side of the cake and let\'s not forget Whip Cream..\n(No Cream of Tarter)  stiffening whipped cream.  (Straight up Whip Cream) O.M.G\nYou New York Residents of Hoboken NJ.\nTry The Cake 🎂 Boss Italian Birthday Cake\nBeen going to this Bakery  long long time when his Father was running the Bakery.\nI \'m 66. His Father Started a Small Bakery  on Adam Street in Hoboken my Dad would take me into his father\'s Bakery when a was a young boy.. The Cake Boss Father eventually close the small bakery and opened this Bakery on Washington Street Hoboken. The father died and his son took over\nThe Cake Boss took over and thats how the Cake Boss name was born! God Bless Buddy.. Great!  Great! Family owned  Bakery\n🇮🇹 👨\u200d🍳 🇮🇹 This is Italian! Hey Buddy! Hey Cake Boss ! Don\'t Americanized this Bakery keep that Italian taste...again God Bless!'
Brian Ware, 5 days ago, 5, ''
Emily Russo, a week ago, 5, 'They have the best cupcakes!'
Chef Ahmad, a week ago, 4, 'Wonderful neighborhood And A lot of great desserts to choose from'
Harman Singh, a week ago, 4, 'Huge fan of the Cake Boss and visiting his shop was amazing! Super friendly service and the cannolis were great!'
Jonathan Battista, a week ago, 5, ''
Lorena Tacle Castro, a week ago, 5, ''
Susan Wilson, a week ago, 5, 'I have literally never had better cheesecake in my whole life. So sad I don’t live near here, but might order off Goldbelly to be able to enjoy it at home. Sooooo good! I can see why so many people love this place and why it’s so famous.'
Tangenia Nunley, 2 weeks ago, 5, 'This was our first visit to Carlo’s Bakery and boy did it live up to the hype. Everything was good the butter cookies, cannolis and other Italians 🥮 pastries. I am so glad that I didn’t leave New York without dropping into Hoboken New Jersey. The staffs was kind and very helpful. 💯💯'
Ally D, 2 weeks ago, 4, ''
deina delgado, 2 weeks ago, 1, "What kind of deseption!!! I just drove 4hr straight from Maryland to visit that place and get a lobster tail. In first I felt harassed by the way how the employee who was attending us looked at me and i'm not exaggerating!!! It almost make me run  from that place. in 2nd I was still excited for try my dessert and can’t be more disappointed instead to be fresh and crunchy the lobster tail was soooo chewy and absolutely Not fresh. Of course I got I few other dessert which was just Ok and as you can imagine after 4hr drive I was need to use the restroom wich I was denied to use even after spend (waste ) my money at that place"
Roger Prado, 2 weeks ago, 5, 'Súper nice. Vayan a conocer. Y los dulces deliciosos'
Mr. Jim Business, 2 weeks ago, 4, 'Popped in here for a slice of cake, rainbow it is, staff quick to serve.'
Hugo Garcia Picado, 3 weeks ago, 5, 'Always busy.  But you need to stop by and eat there'
Carli Fenus, 3 weeks ago, 5, 'Seriously super impressed!'
gaby ze, 3 weeks ago, 1, '(Translated by Google) Appalling\n\nThe sweets were literally horrible I think they were even out of date that they had been in the box for several days, the cheesecake was just as ugly and everything was so expensive!\nLook for another place this place is not worth it\n\n(Original)\nPésimo\n\nLos dulces estaban literalmente horribles creo que estaban incluso pasados que tenían ya varios días en la caja, el cheesecake igual feo y todo carísimo!\nBusquen otro lugar este lugar no vale la pena'
Krista Lorenzo Realtor, 3 weeks ago, 5, 'Ordered online to surprise our niece and it was perfect!!! Loved the cake!! It was BEAUTIFUL!!!!'
Nicole Figueroa, 3 weeks ago, 5, ''
Yara Alejandro, 3 weeks ago, 5, ''
Ryan Murphy, 3 weeks ago, 1, 'I, like a lot of others, was really excited to visit the original Carlo’s when I was in the area. I had been to the location in Dallas and I was disappointed in the quality and the selection, but I thought surely the original would be better. When I got there, it had the same overly commercialized feel as I remember at the Dallas location. It was over priced. I paid nearly $30 for 4 cannolis and 2 lobster tails. They were pre-boxed. A voice in the back of my head told me I would be disappointed again, but I bought them anyway. When I got them home to Los Angeles later that same day, the cannolis were soggy and had a strange taste and the lobster tails had a tough, ropy texture that was hard to chew. The filling also had a weird taste. So, I echo other reviews that say that quality seems to not be what you’d expect. I was disappointed. I had walked by another “ma and pa” bakery on the same street that in retrospect, I wish I’d gone to.'
Kristin H, 4 weeks ago, 3, 'Not as friendly as they were 10 years ago. Staff is not as knowledgeable about products. The pastries are not as good as I remember. Let down when coming from California. The Las Vegas restaurant pastries aren’t good either.'
Jandy Ramirez, 4 weeks ago, 5, ''
Akki, 4 weeks ago, 1, 'Butter cookies taste very bad and have strong awful odor.'
Senthil, 4 weeks ago, 1, ''
Fabian Ortiz, 4 weeks ago, 3, ''
Dilum Kinigama, 4 weeks ago, 5, 'Great tasting cookies...always full.of people ..'
Raul Ruiz, a month ago, 5, ''
Arturo Alencastro, a month ago, 5, 'Finally made it to see Buddy’s famous Carlos bakery. Made the wife’s day! And yes the treats taste as good as they are advertised.'
Amanda Schlitz, a month ago, 5, "Ordered online for a delivery about a week before my daughter's baby shower with superhero theme. This was perfect!! Freezes well, thaws perfect, and most importantly- TASTES AMAZING!!!! My daughter has always been a fan and what a fun way to bring a piece to her."
Kevin Plummer, a month ago, 5, ''
Marcio Risso, a month ago, 5, 'Really good experience. We were not luck to find Buddy at the store, but nevertheless the visit was worth it. If you do not want to wait in line for so long I recommend to go early in the morning.'
Wendy Rodríguez, a month ago, 1, '(Translated by Google) The bakery is very nice and the cookies are delicious ... but the service is not good, we wanted a photo with some of the employees but one of them refused, he told us that the owners were not there and that they were not working ...\n\n(Original)\nMuy linda la panadería y rica las galletas  .. pero el servicio no es bueno , queríamos una foto con alguno de los empleados pero uno de ellos se negó nos dijo que no estaban los dueños y que ellos estaban trabajando no podían …..'
Anazap, a month ago, 5, ''
diego lopez castellanos, a month ago, 5, '(Translated by Google) Very tasty I recommend the rainbow cake\n\n(Original)\nMuy rico recomiendo el pastel de arcoiris'
Maegen Worley, a month ago, 5, 'Excited to see the bakery! Smelled so good, absolutely delicious. Friendly staff!'
Paola Hernandez, a month ago, 5, ''
mooniut, a month ago, 5, 'Cannolis are amazing'
Andrés Caicedo, a month ago, 5, ''
Sarah F, a month ago, 3, "Beautiful cakes, great packaging and delivery. I agree with other reviewers that the cake itself is just too sweet. The multiple layers of thick buttercream in each slice completely overshadow any nuance or flavor in the cake itself. It would be great if they would offer versions that don't have as much icing involved or even just a thinner layers."
YZ YZ, a month ago, 5, ''
Mary Perryman, a month ago, 5, ''
