author, date, rating, text
Oscar Celi, a week ago, 5, 'Awesome decoration family environment. Passion fruit margarita was delicious.'
Costa Verde Hostal Manta, a week ago, 1, 'No sali complacido a pesar de que la comida lucia muy bien. Tacos al pastor no fresh,calentado en microondas. Burrito de Carne sin sazon mexicana y las fajitas de carne si son buenas pero reativo a sus precios y servicio no justifican.\nServicio al cliente 8/10\nNo soy un cliente complicado, pero deben prestar mas atencion en lo que sirven. Para gustos nada esta escrito, pero lo que muestras es lo que vendes y si lo vendes debe estar bueno.\nPuntos a corregir!'
Matteo De Santis, 2 weeks ago, 4, ''
lucy veintimilla, 2 weeks ago, 5, ''
Nelson Martinez, 3 weeks ago, 5, 'Great food, service and vibe.'
prajnesh kumar, 3 weeks ago, 5, 'Excellent restaurant, friendly staff and great food.'
Ryan Dembek, 3 weeks ago, 5, ''
Sohil Gandhi, 3 weeks ago, 5, 'Fabulous food and amazing service 😇'
Rachana, 4 weeks ago, 1, 'Would not recommend this restaurant.\nFirstly,My friend waited 45mins to be seated. There were empty tables still the server said no at first and was rude and later when the other person came he helped us.\n\nThe restaurant ambiance is very congested, crumpled and not hygienic.\n\nThe server who took our order seemed very disinterested to take our order, was not friendly.\n\nThe menu was very limited and the food was not good in taste.\nAlso, I ordered coke they served me warm come and in a glass bottle, also had to wait for the straw for 10mins.'
Catherin Ramos, 4 weeks ago, 4, ''
Abhishek Nandgaonkar, a month ago, 4, ''
mitali bonde, a month ago, 1, 'Pathetic service. Staff was very rude to me. I was on the waitlist, they gave my table to someone else and when I asked for a table they again asked me to wait.'
Juan Melgar, a month ago, 2, "We were sat all the way in the back, and nobody ever came to even offer us water. We left, can't speak on the food."
Melicia Pristell, a month ago, 3, "The food was okay that's all I can say honestly. My chicken fajita was bland and for a Mexican restaurant ....  😕"
Beatriz Gonzalez, a month ago, 5, ''
hüseyin bilik, a month ago, 5, ''
Madhan Raj, a month ago, 5, ''
William L, a month ago, 5, 'Food is always great. Glad they serve liquor now too which adds to the experience!'
Aswin Chalupadi, a month ago, 5, 'Very tasty'
fabio silva, 2 months ago, 5, ''
Chinmay Nerurkar, 2 months ago, 5, ''
Paudia Acosta, 2 months ago, 3, ''
Stefanie Greenberg, 2 months ago, 5, '(Translated by Google) Mango mojito ✅\nRoast meat✅\nGuacamole ❤🙌\n\n(Original)\nMango mojito ✅\nCarne asada✅\nGuacamole ❤🙌'
Michael Mignone, 2 months ago, 1, 'Awful'
Amy Salcedo, 2 months ago, 1, 'Really bad service!\nI had to cancel my order because I had to wait for more than an hour and I never got my food.'
Steven Romero, 2 months ago, 5, ''
Humaira Sardar, 2 months ago, 5, ''
Sol Lee, 2 months ago, 5, ''
Vivek Thirumalai, 2 months ago, 4, ''
vrinda chopra, 3 months ago, 5, ''
Cristian Matos, 3 months ago, 4, ''
Adrian Olguin, 3 months ago, 1, '(Translated by Google) Terrible place if you really want to try Mexican food this is not the place\nA burrito 18 dlls and it was just a flour tortilla with too much rice and a hint of tasteless meat\n\n(Original)\nPésimo lugar si realmente quieres probar comida mexicana este no es el sitio\nUn burrito 18 dlls y solo era una tortilla de harina con demasiado arroz y una pisca de carne insípida'
Thomas Graglia, 3 months ago, 3, ''
Hany Kamal, 3 months ago, 3, "Nice place with attractive decorations,\nStuff are so nice and very friendly, But\n.. You don't get a Physical menu, but you have to get it on phone with a barcode. So be ready with a good data.( Menu in my pics)\n.. Not all food is tasty or delicious, be careful choosing, prices are normal for Hoboken,\n.. Good Bathrooms but no Wi-Fi.\nThanks"
N Exp, 3 months ago, 4, 'Authentic mexican restaurant ambience, but had mix experience with food.\nWe ordered Chips & Guac, Enchilada, Fajita, and Flan.\n\nEvery thing except enchilada was spot on. It had soapy after taste, which made it inedable. It may be stale or might have been left over as it was late in the night but it is not expected from a top notch restaurant in Hoboken.\n\nThey served guac in traditional stone pot, which was the highlight of the dinner.'
Solmarie Rivera, 3 months ago, 4, 'Very pleasant place'
Mijail RK (mishark), 3 months ago, 4, ''
Cecy Solano, 3 months ago, 5, '(Translated by Google) The best Mexican food in New Jersey. Everything is cooked at the moment, that is, the food is fresh, they have very particular flavors because the seasonings they use are natural and many of them brought from Mexico. …'
Stephanie N, 3 months ago, 4, ''
Mariana Durán, 3 months ago, 1, '(Translated by Google) Super bad, the lady who was attending in other words told us to leave since there were not enough staff to attend outside, the treatment was super ugly and according to her she wanted us to come back after 4: 30-5: …'
Amy Brook, 3 months ago, 5, 'Nice vegan options.'
Luis Alonso Bonilla, 3 months ago, 5, ''
JERRY LEE, 3 months ago, 4, ''
Rebecca MacInnes, 3 months ago, 1, "I'm giving one star because the service was good.   The waiters couldn't have been nicer. However, the food is mediocre. On top of that they have a suggested tip at the bottom of the bill which I added. This morning I see that they had already added 20% gratuity so I wound up tipping 36% for food that I didn't even liked."
eneaz wells, 3 months ago, 5, ''
Steve Day, 3 months ago, 5, ''
María Schmidt, 3 months ago, 4, '(Translated by Google) Delicious food\n\n(Original)\nComida deliciosaaa'
Janice Del Valle, 4 months ago, 3, 'Prices are kinda ridiculous but the rest of the restaurant is pretty cool'
Yesi Toro, 4 months ago, 1, ''
Gigi G, 4 months ago, 5, "First time eating here. Cute and cozy place. Love their outdoor seating. Staff was great and attentive. We really enjoyed our lunch.  Was a little sad they didn't serve chips and salsa but I really don't need them anyway.  I had vegetarian …"
Robin Cavanaugh, 4 months ago, 2, 'The cheese dip had almost as much grease as cheese, the chicken tacos were overloaded with onions and dry, and it took 20 min to get our check after we asked for it. The waiters never asked if we wanted refills or checked how everything was. It was disappointing to be honest.'
Luca Bessi, 4 months ago, 4, ''
April Bramble, 4 months ago, 5, 'I had a great meal. Guacamole and  enchiladas were amazing'
Priyank Jain, 4 months ago, 5, 'Reasonably priced, excellent taste and top notch service. I and a friend ordered veggie and chicken burrito. The burritos come with a side of rice and beans. The ambience is alright, the lighting could be improved.'
Katrina Michalewski, 4 months ago, 5, 'Had the most delicious coconut mojito!! Their tacos are also quite tasty! Overall great experience.'
Bhargav Reddy, 4 months ago, 5, ''
Ericka Zapet (EriZ), 4 months ago, 5, ''
Charles Kraybill, 4 months ago, 5, ''
Dakota Pierson, 4 months ago, 3, 'Food is great, service is mediocre. We had a nice time but the food took way too long to arrive and the bill was not resolved in a timely manner.'
