author, date, rating, text
Justin O'Boyle, 2 months ago, 5, 'I go here very often for lunch and get their Soy Garlic. Very friendly people great food'
Vanessa W, 2 months ago, 5, 'Best chicken around. Love sweet spicy flavor!'
DD, 2 months ago, 3, 'Not sure if this is a legit Korean Fried Chicken restaurant. The drumstick and wings both lack flavor. They are good, but lacks a bit of flavor. The sweet spicy flavor also lacks spiciness which is a bummer for people like me who actually enjoy spicy foods in my opinion. I can’t say much about the service because I ordered online for pickup. Upon arriving, my order was ready which was good I guess for a Friday night order. I’ll probably give it another shot next time I’m in the area.'
Lisa Marie Zapata, 2 months ago, 5, "I love the soy garlic wing. They're crispy and well seasoned. It's not everyday that I pick up a box from chicken factory but every time I do, it's a delight."
Auston, 2 months ago, 5, "Absolutely delicious!! Perfectly crispy as you'd expect from Korean fried chicken and the fries are equally as good!!"
Joemy Assaf, 4 months ago, 5, 'Crack Chicken! Need I day more? It is a small place but they deliver and the lunch special is perfect. $10 for portion control rice, cold slaw and wings...soy garlic or spicy or half/half. Delicious 😋 never disappoints.  Lunch special avail but not on the online menu.'
OPFOR SQUAD, 4 months ago, 5, 'Great food Everytime.'
Fantin C., 5 months ago, 1, ''
Atiqa Ghouse, 6 months ago, 5, 'Great food with non-spicy and spicy flavors wings 👌 and great lunch special options 🍗 its clean and delicious!!'
Alex Wang, 6 months ago, 5, ''
Marina Havriliak, 6 months ago, 5, 'Wonderful little place with tasty food and friendly service. Will definitely go back again and again'
Tim Stead, 8 months ago, 5, 'Great wings!'
Adriel ', 8 months ago, 2, "The serving size is fairly large but I have a few big issues with this place. The menu is limited to like 5 different things, prices jump from lunchtime to dinnertime and the chicken wrap that I ordered had no real flavor whatsoever, it's as if they didn't season the chicken before they cooked it. The fries however, were really crispy and the sauce you get with every order makes the food tolerable."
Connie G, 8 months ago, 5, 'Delicious, crispy, and travels well.'
flashy Money Moe Hollywood Reid, 10 months ago, 5, 'Chicken was delicious 😋'
Roy Lee, 10 months ago, 5, 'Best fried chicken in hoboken with really friendly service!'
Maurice S, 11 months ago, 5, 'korean bbq at this place - excellent. Had a sister come into town and asked me to take her here again. This place has an awesome feel to it.'
Manouchka Ali, 11 months ago, 5, 'The food is always good. The chicken is always on point and delicious . My salad was fresh and well prepared'
Eduardo Lowery, a year ago, 5, 'Korean BBQ at this place - very good. service is always super even when they have a full house. the staff was very friendly and attentive. this place has a nice atmosphere. food is like a place in baltimore i loved.'
Trinanjana Mandal, a year ago, 3, 'Ordered chicken bibimbap through uber eats, it was okay, nothing great. I prefer gogi grill. It is possible that by the time uber eats delivered the food it was already semi cold and did not taste good as a result. Being close to nyc and the great korea town restaurants have spoilt us. This does not compare.'
Carmelita Flores, a year ago, 5, "B E S T!!! fried chicken 🍗. There's a 20 min wait but its so worth it!. Definitely, please give them a try. You won't regret it!"
Young K, a year ago, 5, "Amazing Korean spicy chicken! It tastes authentic and flavorful. It's our go-to food when wanting some quick and easy dinner."
Katsuya K, a year ago, 5, ''
Vin Thomas, a year ago, 4, ''
Grace Casale, a year ago, 5, 'Delicious food, even better service..'
Jennifer Volker, a year ago, 5, ''
Juan Huerta, a year ago, 3, 'This place gets only 3 stars because food needs a little more flavor. I have tried korean fried chicken at other places and are much better. Food is very "simple and mediocre " for the price. I tried the wings and drums ....I got 2 big pieces of drums and the rest looked like pigeon legs.... yeah that tiny!!!....'
W X, a year ago, 2, 'Low quality'
Jesica Boyoung Park, a year ago, 5, "It was best chicken ever!\nThey're very kind and chickens are very crispy and tender 😋"
Rachel, a year ago, 5, 'DELICIOUS CHICKEN!!!! So yummy and kind workers. Probably the most best chicken place in Hoboken!!'
Chavaz Macey, a year ago, 5, 'I come to this superb restaurant many times because I like the ambiance that is part of this place. The team is extraordianrillyremarkably loving and qualified. The service is impressively efficient. Not to mention, the food they cook is exceptionaly good. I visited often and I was never disappointed. The rate is fair. I recommend this place to to all.'
Mark Wittman, a year ago, 5, 'Best Korean food around'
Desmond Ly, a year ago, 4, ''
Pang Hyun Joo, a year ago, 5, '(Translated by Google) Love gourmet tasty restaurant ~\n\n(Original)\n애정 맛집 tasty\xa0restaurant~'
Caridad Garcia, a year ago, 1, 'WORST EXPERIENCE EVER. WAITED 2 HOURS FOR DRUMSTICKS AND FRENCH FRIES. VERY SLOW SERVICE.'
DH Kwon, a year ago, 5, 'I had soy garlic chicken this morning for the first time. Taste was great.'
Ray Tsang, a year ago, 4, ''
James Foley, a year ago, 4, ''
Calo NABK (NewAgeBloodKvlt), a year ago, 4, ''
Sandy Smith, a year ago, 5, "This is good chicken & the cole slaw is the best I've had."
Rebecca Cuering, a year ago, 5, ''
Thao vo, a year ago, 1, 'The wings are too dry and small. Not juicy at all. I ordered three times  from here and both times it was dry and small wings... so disappointed, I guess I need to order from boom boom chicken .. they are much more juicer and bigger bigs'
Marie Armino, a year ago, 5, 'Amazing food...super polite staff'
Arslan Mobarak, a year ago, 5, ''
Ben Thomson, 2 years ago, 5, ''
Rumofo7, 2 years ago, 1, 'Delivery driver is extremely unprofessional . Chicken was also scrawny. Avoid avoid'
Gary BART, 2 years ago, 1, 'Ordered food. Was given wrong food by delivery driver. Then delivery driver texts me cursing at me and calling me a thief bc he made a Mistake!? I called the store and they apologized but didn’t even say they would fire him. He said I hope you order again. Do not order from this place they’re extremely unprofessional.'
Tabatha Joseph Fritsch Gil, 2 years ago, 5, ''
Jesiah Owens, 2 years ago, 5, ''
Hudson Shi, 2 years ago, 4, 'A little bit over cooked'
Joseph Katz, 2 years ago, 4, ''
Craig Hayes, 2 years ago, 5, 'Amazing food. Cool Staff. Perfect for a date night or out to dinner with friends.'
Chris Tan, 2 years ago, 4, 'tasty stuff'
K G, 2 years ago, 5, 'Best chicken in North Jersey'
Jodi Miller, 2 years ago, 1, 'We ordered sweet potatoe noodles with vegetables and bulgoki. Very disappointing because there was no meat at all.'
Dennis W., 2 years ago, 4, "This is a copy cat of BonBon Chicken, that famous Korean fried chicken fast food outlet.  Located on Washington St in the heart of Hoboken's main thoroughfare, this place does a decent version of the sweet, fried, chicken wings and drumsticks.   They have other Korean specialties... But we've never seen an Asian working here, so don't expect authentic tastes.  Prices are decent... While the service is bland."
James Buckley, 2 years ago, 5, ''
John Peralta, 2 years ago, 5, '(Translated by Google) Delicious highly recommended chicken flavor\n\n(Original)\nDelicioso muy recomendable el sabor del pollo'
Sandeep Joshi, 2 years ago, 4, ''
xs w, 2 years ago, 4, ''
Ry D’Lessio, 2 years ago, 4, 'If you\'re too lazy to take the path for AUTHENTIC Korean Fried Chicken in NYC, this PLACE IS THE CLOSEST spot for your famous Soy Garlic wings. Although, I\'ve had better quality as far as flavoring and batter. The only downfall about this restaurant is the wait time. Normally, "KFC" will take about 35-40 minutes (even less) to make at other korean restaurant . Whoever is cooking in the back makes the wait a little longer. I once waited over an HOUR for a small batch of fried wings and THIS WAS NOT A DELIVERY OPTION. Be prepare for the wait time. Don\'t be surprised if you wait longer than 45 minutes but it\'s worth the wait once you feast! If you can\'t wait that long, CALL AHEAD! I honestly forgot to call ahead since I thought it wouldn\'t be that bad of waiting around. Learned the hard way.\n\n** if you like your wings extra crispy, don\'t be afraid to say so. The lady who owns this restaurant is extremely nice! She listens to every feedback! **'
hae kim, 2 years ago, 5, 'Wonderful authentic Korean-style chicken place! Fresh food and friendly service. I always visit this place to pick up hot spicy chicken whenever I visit Hoboken. Strongly recommended!!'
Gwen Thorpe, 2 years ago, 5, 'The food is here is the best'
Gordon Myers, 2 years ago, 1, 'Big mistake. Where did they get these scrawny chickens?  Heavy coating and rather greasy.  Totally disappointed and just over fried til the meat filled with grease.'
peter chang, 2 years ago, 5, ''
Reina Ramirez, 2 years ago, 3, ''
Charles Zwicker, 2 years ago, 5, "I'm a huge fan of their chicken here, and the lady who works here is always very nice.\nPSA: you can get half soy garlic and half sweet spicy if you're stuck between them or looking to split with someone."
Piyanuch Saechung, 2 years ago, 5, ''
David Wilson, 2 years ago, 5, 'I spent the last five months in SE Asia where I became obsessed with Korean fried chicken, so I’m really happy Hoboken — not known for having very interesting restaurants in general — has this place. The food isn’t earth-shattering but it’s exactly as it should be for a cheap-and-cheerful chicken place.\n\nHad the spicy fried and it was delicious. Will definitely be ordering whenever I get a craving for Korean fried chicken.\n\n👏🏻👏🏻👏🏻'
Katie, 2 years ago, 5, "Really tasty Korean fried chicken - both the regular and spicy are great, though the other stuff on the menu leaves a bit to be desired.\n\nBe warned that the spicy sauce - while not excruciatingly spicy - is sticky and will burn the skin around your mouth if you don't eat neatly."
Ahmad Bereka, 2 years ago, 5, 'Best chicken in Hoboken hands down'
Mo (mustangnation93), 2 years ago, 5, "Chicken is great, they just have to fix menus when you walk in. You can't tell what is what"
Tremaine Green, 2 years ago, 5, ''
Benji, 2 years ago, 5, ''
David Lorocco, 2 years ago, 5, ''
Iasia SweetPea Shannon, 2 years ago, 5, ''
sunghee kim, 2 years ago, 4, "It's the only and the best Best korean style fried chicken in hoboken. It's great for delivery but no mood to dine in..  Try soy garlic and spicy w extra sauce on the side."
Cory Lee, 2 years ago, 5, ''
Ora Ora Ora Ora, 2 years ago, 5, 'Great chicken.'
Xiao Wang, 2 years ago, 4, ''
Brett Hladczuk, 3 years ago, 5, 'Someone who came in after me took the order that should have been mine, so I waited for over 30 minutes... if that guy is reading this, I have some not so friendly words for you. Other than that, this place was top notch. The wings were perfectly crispy, and the garlic-soy sauce on them was just enough, not overbearing or underwhelming. They were a bit understaffed but the service was very friendly and hardworking, and they even gave me a free drink when they found out I had waited so long. I’ll be coming back here.'
Robert Frusina, 3 years ago, 5, 'Really dank food..the beef is amazing too don’t let the title fool you'
Christine Zhao, 3 years ago, 5, ''
Gary Engler, 3 years ago, 4, ''
Divya Rathore, 3 years ago, 5, ''
Carlo Ang (CaraB00), 3 years ago, 5, ''
pouria babvey, 3 years ago, 1, 'I did not like the foods serving there. Delivery was tooo slow.'
JP PHX, 3 years ago, 4, ''
Osvaldo Lopez, 3 years ago, 5, ''
Lorenzo D-W, 3 years ago, 5, 'Love It!!! But Clerk had no personality.'
Nate Harp, 3 years ago, 4, 'Good food'
Giorgio Rosi, 3 years ago, 5, 'Best Korean fried chicken I have eaten !! Fries are delicious and crispy too and the garden salad is also really good !!'
Jennifer Spadavecchia, 3 years ago, 5, "Why didn't I get here sooner!!! Great food, delicious and FRESH!!!!  This place is spotless!"
Brenda Brown-Williams, 3 years ago, 5, 'I love the food and the staff'
LUI L, 3 years ago, 2, 'fried chicken is good, salad is ordinary/not up to standard and delivery is very slow and often 30min +/- late !!!\n\nyou want us to starve to death ?'
Enrique Dayanghirang, 3 years ago, 4, ''
dianne davis, 3 years ago, 5, ''
John Tessieri, 3 years ago, 2, "The chicken was good, not great. Place wasn't the cleanest."
Coco Zhu, 3 years ago, 5, ''
Ziyun Dong, 3 years ago, 5, 'I love this place. It’s Korean Style wings ~~~'
Bo Li, 3 years ago, 4, ''
Jean-Baptiste Lefevre, 3 years ago, 4, 'Really good chicken'
qh L, 3 years ago, 5, ''
Michael Wilson, 3 years ago, 4, ''
Thomas McG., 3 years ago, 1, ''
Gene Lol, 3 years ago, 5, 'This place is amazing.'
Stuart Lester, 3 years ago, 4, ''
Yumin Yi, 3 years ago, 5, ''
Saoirse Lavach, 3 years ago, 1, 'terrible'
Benjamin Zhang, 3 years ago, 5, ''
Mstofel123 Kuuipo, 3 years ago, 5, ''
Chen Yuan, 3 years ago, 5, ''
Saravanan Setty, 3 years ago, 5, "Really crispy wings with right amount of sweet and spicy sauce made this one of the best wings I've ever had. The wings seemed to be made fresh too! Also this is the amount of wings present in their small pack which is quite a lot. So keep that in mind when ordering."
James Fong, 3 years ago, 5, "It's gud"
Mina Aziz, 3 years ago, 5, ''
Vimalkumar R, 3 years ago, 5, ''
Jonathan Almeida, 3 years ago, 4, ''
MrSajanim, 3 years ago, 5, 'We love Chicken Factory.  The food is fresh and unique.  The service is outstanding.  It is the best take out in Hoboken!'
Rayasia B, 3 years ago, 5, 'I love this place... Food always fresh... always a great experience from start to finish'
Cevat Gelgel, 4 years ago, 5, ''
HitzSquadUP, 4 years ago, 5, 'Food was amazing, best chicken in town so addicting!'
A C, 4 years ago, 5, ''
Jason Manenkoff, 4 years ago, 5, 'Best in the area! Much better than bon chon in JC!'
김태균, 4 years ago, 5, "(Translated by Google) A restaurant I stumbled across after passing Hoboken. We had chicken and bibimbap. It's better than Bonchon Chicken. It is not easy to find such a taste in Korea ..\nNext time I come to Hoboken, I will come again.\nVery Good ♡♡♡\n\n(Original)\n호보큰을 지나다 우연히 찾은 맛집. 우리는 chicken과 비빕밥을 먹었다. 본촌 치킨보다 맛있다. 한국에서도 이런맛을 찾기 쉽지 않은데..\n다음에 호보큰에 오면 또 와야겠다.\nVery Good♡♡♡"
Jorje Serrano, 4 years ago, 5, ''
Esther Martinez, 4 years ago, 5, 'Really tasty chicken..😎'
Gene Levin, 4 years ago, 4, ''
Bo Zhang, 4 years ago, 5, '(Translated by Google) Very good Korean fried chicken restaurant, occasionally very delicious. Korean bibimbap is also good. The overall price is more expensive than Chinese food\n\n(Original)\n很不错的韩国炸鸡店，偶尔吃非常好吃。还有韩式拌饭也不错。总体价格比中餐贵'
