author, date, rating, text
Rob Fitz, a week ago, 5, ''
Peter Gallagher, a week ago, 5, ''
Alberto Navarro, 3 weeks ago, 5, 'I really like this bar. Friendly, not very loud. The beer selection is vast and in constant change. I have found excellent beers here. Good for meeting in the afternoon, great for watching the games with friends.'
Deborah Markiw, a month ago, 5, ''
ankur wadhwa, a month ago, 5, ''
Regina Jaslow, a month ago, 5, 'Great beer selection!'
Samanta English, a month ago, 5, 'Anthony is great and the owner is friendly as well!'
PH ST, 2 months ago, 5, 'This is the place for a fantastic selection of tap beers'
Kelvin Peterson, 2 months ago, 3, ''
Eric Finkelstein, 2 months ago, 5, "Impressively deep selection of well-rated beers. I love that the drafts are all displayed cleanly and well-organized on a digital board that also displays the Beer Advocate rating. I'd prefer the Untappd rating, but now I'm just being nitpicky.\nMy one genuine issue is the fact they don't serve flights or small pours (eg 4oz). But I'm otherwise so impressed that I still rate it 5 stars."
Soho koho, 2 months ago, 1, 'pro-segregation'
Henry Diaz, 2 months ago, 5, ''
Shweta Kamat, 2 months ago, 5, 'So many NJ beers on tap! Cork city is a hoboken gem!'
Daniel Nieves, 3 months ago, 1, ''
Ali Sinicrope, 3 months ago, 5, 'Love the massive amount of beer on tap. 👍🏻'
Precella Pareja, 3 months ago, 4, ''
Mike Rivera (Mike R), 3 months ago, 5, 'Great choice of beers and wines.'
Adam Brown, 3 months ago, 4, ''
Allie Gazda, 3 months ago, 5, ''
Marc Carrion, 4 months ago, 5, ''
Dorian Alvarez, 4 months ago, 5, 'Affordable beer and wine with a healthy amount of options!'
Jocelyn Argueta, 4 months ago, 4, ''
Rishabh Choudhary, 4 months ago, 5, ''
steffan boule, 5 months ago, 5, 'Quick service, available seating, old friends, loved it.'
Regina Cappio Wilson, 5 months ago, 5, ''
Nicole Ascione, 5 months ago, 4, "Excellent watermelon beer didn't realize how big of a tab we ran up until it came at the end"
Adrian Sanchez, 7 months ago, 3, ''
Yana Yano, 7 months ago, 5, "Dog friendly bar with very kind staff members. Selection of beer is huge! Highly recommend! They don't have kitchen, so no food, only drinks"
David Holmes, 7 months ago, 4, 'Great pub! My wife and I stopped in and was pleasantly greeted and pleased to see the dividers up. Great selection of beers. They don’t really do mixed drinks as my wife wanted a margarita and they weren’t able to make it but she got a nice glass of wine instead.'
Daniel McCauley, 7 months ago, 5, ''
Chelsea Horstman, 8 months ago, 5, ''
BM J, 8 months ago, 5, 'Great local bar with rotating selection of beers that is dog (and human!) friendly!'
Michael Telesco, 11 months ago, 2, ''
Brian Kamenetz, 11 months ago, 5, ''
Alex Smith, a year ago, 5, 'My favorite bar in Hoboken, by far! Great, laid back atmosphere. Incredible craft beer selection. Always friendly service. Best place to grab a few drinks.'
Kam Momeni, a year ago, 4, ''
kiley goodwin, a year ago, 2, 'Our waiter, Luke, was super rude. They didn’t have the drinks we wanted and when we asked to turn on space heaters he said it was too warm... it was 58° and several people wanted them on.'
Neil Nelanuthala (katanarama424), a year ago, 5, "This is my favorite bar in Hoboken! As a craft beer enthusiast, I'm happy to have this place near by so that I can try a wide variety of beers that are local to NY and NJ."
Harrison Kanarick, a year ago, 4, 'Nice selection of beers and good amount of space to be able to socially distance.  They also had tvs to watch the NBA games which was nice.'
Jack Llaneza, a year ago, 5, ''
Casey Donohue, a year ago, 5, 'Wide selection of beers!'
David Felt, a year ago, 5, ''
Chris Egebo, a year ago, 5, ''
Luke D, a year ago, 5, ''
Cody Kroeker, a year ago, 5, ''
Steve Noon, a year ago, 5, 'Great beer selection, good bartender interaction!!'
James C, a year ago, 4, ''
Patrick Walls, a year ago, 5, ''
Sean Dudzik, a year ago, 5, 'Great atmosphere. Great beer selection. Dog friendly.'
Gromit Lauriello, a year ago, 5, 'Lovely no-frills bar that pours 40+ exotic and unique craft beers. They allow dogs and you can bring your own food in.'
Brian Cruz, a year ago, 5, ''
Jake Shapiro, a year ago, 5, ''
