author, date, rating, text
Nazar Lubchenko, a week ago, 5, ''
Shareen Fatima, a month ago, 5, 'This is a beautiful spot for a date night or a nice sit down meal with friends. Happen to stumble upon this place while on a casual stroll on Washington street (although felt a bit under-dressed for this place but the staff was very welcoming) the food was excellent and the service was on point. Would highly recommend it.'
Ryan Black, a month ago, 5, 'Great food, great service. Reasonable corkage fee. Would recommend the vodka sauce'
Ej Carannante, 2 months ago, 5, 'Excellent food for decent prices. Solid ambience. Service is not perfect but decent enough.'
Morris Goldberg, 2 months ago, 5, 'Food Is very good, Service is great, I really love this authentic  Italian restaurant.'
Syna Kenna, 2 months ago, 5, 'They have THE BEST VEGAN PENNE VODKA!!! I absolutely love this place and I would highly recommend anyone to go and taste one of the best Italian food in town! And if you have any food allergies they do accommodate (taken very seriously). My mother is already planning to have this for her birthday next year!'
Rony Francisco, 3 months ago, 5, 'Dear owner of this restaurant,\n\nI really hope you take a hard look at this comment and please answer me one question or maybe a few.\n\nFirst of how do you become, undoubtedly one the best Italian cuisine restaurant in New Jersey. The taste of the food, the immaculate amazing over exceeding my expectations customer services. One word, wow. My family and I had the honor/privilege to eat at this establishment last night on Tuesday. It was a table of 9, instantly we were seated and immediately attended too. My other question is simple, how do you become such an iconic Hoboken hidden gem according to Girls Blog and I was not told. Once again amazing'
Nauman Butt, 3 months ago, 5, 'Exceeded my expectations. It looks nice from outside but their service is definitely far better than one can expect. The seating host who also was our server due to being short staffed was very friendly and courteous. And he made excellent recommendations on our meal.\n\nWe decided on ordering a pasta special as an appetizer. It was lobster ravioli with salmon along with tomato based cream sauce. Just writing about it is making me hungry. It was simply delicious.\n\nThen we got a plate of bruschetta on the house. That was indeed very sweet of them.\n\nFinally we ended our meal with an entree of their chicken special of the day which came with lemon based sauce and sautéed spinach. Also a great dish.\n\nThe fact that it’s BYOB just made the evening perfect.'
Jose Gonzalez, 3 months ago, 5, 'Amazing place, great pasta!  The sauce is amazing, thanks to the owner Mike and Marco.   We had an amazing experience!'
Annette Chirichella, 3 months ago, 5, 'This is by far the best Italian Restaurant in Hoboken. True authentic food. This is not a fast food Italian Restaurant!  The service is excellent. Atmosphere is warming. It is worth every penny spent to dine here.'
Kareem I. Talaat, 3 months ago, 5, ''
Nihal Ragaie, 3 months ago, 5, 'Great food, amazing service. Best marinara sauce I have ever had this side of Italy.'
Rachael Richard, 3 months ago, 5, 'Excellent food, amazing wait staff! We loved sitting and watching the world go by with delicious food.'
Bhavesh Panchani, 3 months ago, 5, ''
Amy Mattare, 4 months ago, 5, 'My husband and I live in Jersey City and ordered dinner from here. The food arrived hot and everything we got was delicious! Our new go-to Italian spot. Highly recommend!!'
DAVID RIVERA, 4 months ago, 4, ''
Vanessa Guembes Rondon, 5 months ago, 5, '(Translated by Google) The food is delicious, the attention is very warm and friendly, I like it because you can bring your own wine. The prices are affordable, I recommend it :)\n\n(Original)\nLa comida es deliciosa, la atención es muy cálida y amable, me gusta porque puedes llevar tu propio vino. Los precios son accesibles, lo recomiendo :)'
Jynnei Brown, 5 months ago, 5, "Food was delicious! Was recommended by the owner when she was visiting my job. She didn't lie food was excellent, the server was so attentive and friendly. l will definitely return again. Great food, great staff!"
Andrew Wong, 6 months ago, 5, 'Loved it! I came here craving a good vongole (clam) pasta and got exactly what I was hoping for. The pasta came with a generous serving of fresh clams in a white wine sauce. Service was top notch as well, left us feeling like VIP guests.'
Matthew Dinnocenzo, 6 months ago, 1, ''
Ron Schmitges, 6 months ago, 1, 'Very unnacommodating. Very rude staff. Very nasty to my 94 year old grandmother. Please stay away. Plenty of good restaurants in Hoboken stay away from this one.'
Akshay Joshi, 6 months ago, 4, 'Good food'
Donna Battisti, 6 months ago, 4, 'Good classic Italian BYOB.  Excellent service with friendly staff.'
L. Jason Smith, 7 months ago, 5, 'Food was good...service was phenomenal! I will be here weekly whenever Tank is working what great friendly service!'
Tommy Frerking, 7 months ago, 5, '(Translated by Google) The Tortellini della Nonna was excellent!\n\n(Original)\nThe Tortellini della Nonna was excellent!'
ilhan akar, 8 months ago, 5, 'Great friendly staff and the food is out of this world. The mussels and pasta dishes are perfection the marinara sauce is so delicious.'
Rony Francisco, 8 months ago, 5, 'Was there with my family on Valentine’s Day, it’s was six of us at night (very difficult to find a restaurant and we came across here) and  What a lovely night it was, food was amazing, service was exceptionally great overall one of the best restaurant and experience.'
Matthew Horesta, 9 months ago, 5, "Really good food at a great price. The veal parm is as good as it gets. More importantly, Tank and the staff couldn't be nicer and more welcoming."
Rosalia Gil, 9 months ago, 2, 'Food is not the same'
patricia delorey, 9 months ago, 5, 'Dinner was outstanding, staff so very accommodating..please visit soon!'
Cheryl Epstein, 9 months ago, 5, 'Wandered in and was pleasantly surprised over the cozy/safe atmosphere.  The food was fresh and hot.  Loved the variety of fresh pasta!  The service was excellent and waitstaff accommodating.  Looking forward to going back!'
Hafsa Aydın, 10 months ago, 5, 'We went for a birthday dinner. The food was fabulous and the service was marvelous!'
Melissa, 11 months ago, 5, 'The food was absolutely amazing!!! And the service was top notch! Our waiter really went above and beyond! I would definitely go back!'
Amy B, 11 months ago, 4, 'Cute and cozy atmosphere! Must try the parmesan wheel - your server cooks your pasta tableside and sets it on fire. However, pasta was al dente. Large glasses of wine when ordered by the glass. Very clean and relaxing spot to grab dinner. Park across the street!'
Megan Gillen, a year ago, 4, 'Went here for outdoor dinner with a friend and they were very accommodating even though we walked up without a reservation during the busy dinner rush. We both ordered different lobster dishes off the specials of the day and really enjoyed them!'
Hanna Daoudy, a year ago, 5, ''
pratik kachalia, a year ago, 5, ''
Andrew Price, a year ago, 5, ''
R, a year ago, 5, 'I ate here last week and thank god I did. The service and food were both outstanding. Tank has an amazing personality and made our visit more of an experience, rather than just a meal. I ate a salad, the manicotti, & tiramisu (ORDER that tiramisu, I guarantee it’s the best one you’ll ever have). There was not a single bite left on any of the plates we ordered. Food was absolutely amazing. Everything is incredibly fresh and perfectly done. If you want Italian, this is the spot.'
Carlos Chacon, a year ago, 5, 'Great food and excellent service.'
Gary Rabbitt, a year ago, 5, 'We absolutely love coming to Saporito. The staff here is super friendly and always makes us feel like part of the family. They even remembered mine and my wife’s names when we arrived on our second visit here! I don’t think I’ve EVER had an empty glass of water and their specials are second to none. The pasta itself is so good; just like nonna used to make. I personally always order the chicken parm and they make it to order with a little extra kick upon request. Truly an unsung hero of Hoboken.'
Jennifer Porto, a year ago, 5, 'We go there weekly. The chicken Parm is delicious! The owner is super sweet. The waiters are very knowledgeable and personable. We have always been very well taken care of (and overfed haha!)'
Alessandro Orsini, a year ago, 5, ''
Arlene Madrid, a year ago, 5, 'I came here yesterday and I loved it! The food was delicious and the service was fast and it was a nice candle lit dinner and I was surprised that me and my significant other ate alot and between both us it was 68$ we even ordered dessert and a appetizer.the lobster ravioli is to die for and the salmon is juicy and flavorful.'
Gicel Genao, a year ago, 5, 'Amazing Italian food  best in hoboken'
Jay, a year ago, 5, 'Food is amazing!! Service was great highly recommended best Italian spot in Hoboken!!'
Sam Wasserman, a year ago, 1, "Tried their veal parm and the veal wasn't very soft and had a very weird after taste. I'm not sure if it was old or what but I've definitely had better veal."
Luis Mollinedo, a year ago, 5, 'Awesome food and great service.  We been coming here for years and its still a great place for dinner. P'
Nestor B, a year ago, 1, ''
Logan Schurig, a year ago, 4, ''
Matthew Dugan, a year ago, 5, ''
Joelle Stasak, a year ago, 3, 'Food was not very good and was too expensive in my opinion. Wait staff was great, though!'
Anna Hope Emerson, a year ago, 5, ''
Nicole Dorn, a year ago, 5, 'This is the best Italian restaurant in Hoboken! Everything my husband and I have ever tried has been nothing short of delicious. Their vodka sauce is outstanding! It’s no wonder why we choose to celebrate many special occasions here. The staff is also great, especially Mike, the manager. If you haven’t been here yet, you must give it a try!'
Rogelio Vargas, a year ago, 1, 'Bad service\nMediocre food\nWatery pasta sauce\nBread was stale\nDirty silverware\nTiramisu resembled melted ice cream covered in chocolate powder'
Krish Goswami, a year ago, 3, ''
PraDeep Patel, 2 years ago, 5, ''
Christian Farrell, 2 years ago, 4, ''
Javier Berezovsky, 2 years ago, 5, 'Amazing food, sat 12 people with no reservation and great service'
Peter Oyawusi, 2 years ago, 5, 'The food was fantastic. Atmosphere was great. I would eat here again.'
Adel Rod, 2 years ago, 5, ''
Riley Dunn, 2 years ago, 5, 'Fantastic offering of homemade pastas and old school Italian feel that would make my grandma proud.'
Dean Pires, 2 years ago, 5, 'Awsome experience, came in. Lose to closing and they sat us with a smile .    The carbenaro spaghetti was fabulous.'
Hannah Federman, 2 years ago, 5, 'Delicious! Perfectly cooked pasta and excellent service. Brought our own wine and had a lovely time.'
Juan Manuel Diaz Quero, 2 years ago, 5, '(Translated by Google) Very good\n\n(Original)\nMuy buenos'
Tom Garcia, 2 years ago, 5, ''
Lauren, 2 years ago, 1, 'We had a very terrible dining experience the other night. We waited almost two hours for our entrees and watched two tables come and go before we ever got ours. We had to ask for water, menus and utensils because no one even came over to our table to get us situated after we were seated. The few times we would ask for these things the staff would give us attitude as if we were inconveniencing them. It was 30 minutes before someone even came over to our table to tell us the specials. Our cold app was gross - burrata on a hard, inedible  tomato and asparagus wrapped in prosciutto.\n\nThey clearly forgot about our table - when our entrees finally came out my fiancé’s dish was ice cold and was served on wilted lettuce. It was a completely underwhelming meal. I will say my gluten free carbonara was delicious though.\n\nWe’re completely reasonable and understand bad nights happen, so I quietly let the manager know about our experience. I really appreciated how apologetic he was, and they did take a meal off of our bill. However, at the end of the night we were still paying $50+ for mostly bad food, non existence service, and a free limoncello shot? It was our first and last time coming here.\n\nI’m super disappointed because this place came highly recommended and this was probably the worst dining experience I’ve ever had out. We were celebrating our 4 year anniversary, and the entire experience just added so much tension and exhaustion to the night. Again, I very much appreciate how the manager handled the situation, but if the roles were flipped I would have never charged someone for that experience.'
Nicholas Tomaselli, 2 years ago, 5, 'Fantastic Italian food! This place has been here for decades and is an original Hoboken restaurant. Staff are very friendly there is a huge selection of Italian food, especially pasta.'
Louis Granato, 2 years ago, 5, 'Best Italian restaurant in Hoboken. If you want a genuine Italian meal while feeling like you’re in an Italian dining room, and service with a smile. This is the place to be'
Gary Peker, 2 years ago, 4, ''
Alex 1028, 2 years ago, 5, ''
Anuj Mittal, 2 years ago, 4, ''
Alyssa Pasculli, 2 years ago, 1, ''
Guiomar Gracia Ramirez, 2 years ago, 4, 'Good service.'
John Saterfiel, 2 years ago, 5, ''
Daisy Tercero, 2 years ago, 5, 'Great Italian restaurant..great food..great servers very attentive. I really recommend this place.'
sara szalwinski, 2 years ago, 3, ''
Mitch Panciuk, 2 years ago, 4, ''
Pablo Marques, 2 years ago, 5, '(Translated by Google) Wonderful. Great food and fantastic service.\n\n(Original)\nMaravilhoso.  Comida excelente e atendimento fantástico.'
Seth Wright, 2 years ago, 4, 'Pretty good pasta, all made in house.  BYOB is nice.'
Tyrus Curtis, 2 years ago, 5, ''
Zeljko Gregov, 2 years ago, 4, 'good food, good service, and value.'
Aov Aov, 2 years ago, 5, 'Delicious homemade gnocchi....!!!'
MaryAnn Massumi, 2 years ago, 5, 'Very nice staff, delicious food. One of the best dinners I’ve had in Hoboken.'
Eddie Genao, 2 years ago, 5, "This place has been around for a while and there's a reason why.... it's delicious. They always have great specials so I get something new almost all the time and never disappointed. The staff and service are top notch. It's BYOB so make sure to bring plenty to drink cause your going to want to make this a full 3 course meal."
Andrew Lana, 2 years ago, 5, ''
vrcollaguazo, 2 years ago, 1, ''
Maria Alonso, 3 years ago, 1, 'Worse customer service! after finishing my meal they failed to mention their CC machine is down. I had to step out to the nearest ATM! The food is basic, nothing special.'
Prakriti Shukla, 3 years ago, 1, 'Made to wait for 1 hour for pasta which was raw (not al-dente, but raw). Not worth going to at all. Better restaurants in the area. Waste of time. Wouldve given it 0 stars if I could.'
Ben Wang, 3 years ago, 1, 'Waited 1 hour for soggy pasta. Served a $100 bill to be told the credit card machine was not working.'
Georgiana Bobe, 3 years ago, 5, 'Delicious food, friendly service. Takes a little longer than usual but worth as the food is made on premises. Slightly pricey,  but within reason.'
Mengting Zheng, 3 years ago, 5, 'Pasta is amazing here!!!'
Richard Scaduto, 3 years ago, 5, 'Very good food, specials are pricey, bread could be better'
