author, date, rating, text
Aditya Vaidya, 17 hours ago, 1, "Used to really love this place, getting delivery at least once every week or two. Unfortunately, our last couple of orders have been well below par (one bland, one inedible order).\n\nThe latest order of 2 Kati rolls (delivery) appeared to have stuffing which had gone completely bitter (it was either burnt, or had something else wrong with the spices and peppers).\n\nHad to completely dump both rolls because they were unfortunately inedible. It's the first time I've dumped a complete order this size ever."
Divy Patel, a day ago, 5, 'Awesome food'
Rahul Sood, a week ago, 5, ''
Courtney Chu, a week ago, 5, ''
alka singh, a week ago, 5, 'We had ordered vada paw which was really very good I didn’t expect it to be that good.\nSo all together it was a good experience and looking forward to explore more menus'
Chris Castille, 2 weeks ago, 5, 'Had the lamb kima bowl and death by Tikka masala ....!!!!! The best!'
ann ricchio, 2 weeks ago, 5, "Great Indian fusion and convenient location. We've been back many times!"
Elizabeth Ynoa, 3 weeks ago, 3, ''
NIRAV JAIN, 4 weeks ago, 3, ''
Chris Putignano, 4 weeks ago, 5, 'This was my first time trying Indian food and I went all out. It was so delicious! The Tikka Masala burrito is a MUST!'
Daniel Ruiz, a month ago, 5, ''
Emmanuel Delgado, a month ago, 5, 'Food was delicious and came very quickly'
mitali bonde, a month ago, 4, 'So yummy! food was delicious. Everything was tasty and well prepared with incredible flavors.\nLove love love their vadapav its very close to what we get in India, I’m hooked. We also ordered the Naughty Naan with stuffed Paneer makhini. Great service too.'
Matt Tragna, a month ago, 5, "Omg this place is so good! The only thing I would critique is the little tiny squares of naan are silly (and not enough) give us big bread please we aren't children!  Also, can you PLEASE sell t-shirts? It's a no-brainer to have customers advertise for your business!      YUM I want some now! <3"
omeer rahman, a month ago, 1, 'This is for that God awful commercial I had to suffer through during IPL matches.'
Neil Patel, a month ago, 5, ''
Anna M, a month ago, 5, 'Great food, great service. GF options labeled on menu and took precautions to limit cross contamination.  Will definitely be back!'
X L, a month ago, 5, 'This is a typical “contemporary Indian” place, but in a good way. Food is great, music is kinda loud but all great songs. The only thing I didn’t really like was bun samosa, which is tasty but literally 2 samosa in a bun, lol'
Pete Romano, a month ago, 5, ''
poonam Kapoor popli, 2 months ago, 5, 'Temptating Indian street type food.'
ankur wadhwa, 2 months ago, 5, ''
Dan, 2 months ago, 5, 'I have gone to this place but in Cali for years, very excited one opened up in Hoboken!'
