author, date, rating, text
Aidan, 3 weeks ago, 5, 'Absolutely no complaints. Friendly and helpful service. Great selection and will help you find anything you need. My go to store'
Jaclyn Verga, 2 months ago, 5, 'Staff are always helpful and friendly. If something is sold out, they will take down your name and text you when it comes back in stock. Awesome service.'
Jayme Lisiewski, 3 months ago, 5, 'Great selection of craft beer and a nice, wide variety is whisky. Very friendly staff always willing to help in any way they can'
Andrew Chernicoff, 3 months ago, 5, 'Always my go to Liquor store in Hoboken. Staff are always helpful and friendly and go above and beyond to make sure we find what we want, and if not, will make a special order for you. I walked in on Saturday, asked for a beer they did not carry, and I got a call on Monday that it was in. Awesome service.'
S810, 4 months ago, 5, ''
Mario Salto, 4 months ago, 5, 'I LOVE the amount of different choices they have. My friends and I had a party and this store gave us such a variety of choices than we usually have. DEFINETLY RECOMMEND.'
Catherine Z, 4 months ago, 5, "I live close to several liquor stores, but I will go the extra 1/2 mile to get to Delite Liquor because of their service and selection.\n\nI've gone to places like Sparrow and have asked them to call me when certain wines/drinks come in and they never follow up. Sparrow will also say something is out of stock without helping me look, only for me to find it a few minutes later.\n\nThe service is also 10x better than other stores in Hoboken. They are kind, give you the time of day, and are incredibly helpful. Delight will not only call/text me when my selection has come back in stock, but they will also hold special drinks if you ask them too.\n\nBest liquor store in Hoboken by far."
Abhishek Shukla, 4 months ago, 5, 'Friendly staff, good selection and convenient location. What more could you ask of a liquor store?'
Sarvesh Mohite, 5 months ago, 5, 'I was totally amazed by craft beer selection!! Especially from Maine & Vermont!! Lots of local breweries as well! Fair prices store was neat and clean HIGHLY RECOMMENDED!! ⭐️ ⭐️⭐️⭐️⭐️'
Alicia Lester, 5 months ago, 5, 'Best liquor store in the neighborhood. The owner really knows his stuff and gives very useful suggestions.'
Alex Coleman, 5 months ago, 5, ''
Theo S, 6 months ago, 5, 'Amazing Service, Friendly Staff and amazing prices definitely would recommend this place for the best drinks in hoboken !!! 😊'
Jade Briggs, 6 months ago, 5, 'i love this place. i order delivery from them thru drizly and it comes in under 30 minutes every time. i had an issue once using and i was able to call and speak to someone and they fixed everything and had my order delivered in ten minutes. these people are so kind and fast. dont watse money anywhere else on a friday night or even a wed...lol'
Chris Brauner, 6 months ago, 5, 'Excellent service and a very helpful, friendly staff. Decent prices... Couldn’t say better things about this place!'
Courtney Mulligan, 6 months ago, 5, 'Love Delite! Harry is the best and literally like a fine and spirits concierge. I love going there as well as super fast + convenient delivery. He makes everything so easy! So happy to always shop local and small. It\'s so nice when an Owner extends that personal touch and goes the extra mile for his customers. With Harry, I would even call customers, "clients." I have a favorite variety of wine and he is always willing give me the heads up when it\'s in stock. Check out Delite. You won\'t be disappointed.'
Brian Firestone, 6 months ago, 1, 'Pop Quiz: name a store in the business of selling things - that doesn’t show prices on 50% of the items it sells ?\nDing ding ding !! Delite Liquor Store !\n\nAny reason for this: that prices aren’t shown for much of the beer that you peddle ? Please explain this business decision to your customers.'
Kevin O'Keefe, 6 months ago, 5, 'One of my very favorite stores in Hoboken with friendly and helpful staff and very reasonable prices.'
Louis Dapron, 7 months ago, 4, ''
Ray Tin, 7 months ago, 5, 'This is a great liquor store... Harry and team are always great... speedy delivery and great service. Thanks so much'
Binoy Vasavada, 7 months ago, 4, 'Nice, clean store with good liquor prices.'
Ishaan Wanikar, 7 months ago, 5, 'Really good Selection of Cali Cab and Pinot Noir handful of beers from Vermont! Place was nice and clean with very friendly customer service!! Great recommendations!'
Brian Pierson, 9 months ago, 2, 'Why does your store refuse to show the prices for all of the items you peddle . . like any normal business ? Is it so that you can easily manipulate and overcharge customers ?\n\nAn honest response is eagerly awaited - though not expected . . as this has been inquired about for awhile without any fix.'
Kishore Reddy, 9 months ago, 5, 'Wonderful wines, reasonably priced, and their customer service exceeded anything expected. Clean & neat setup!! All COVID-19 protocols are stickily followed. Certainly happy to have found this resource!!'
Connor Purcell, 10 months ago, 5, 'The only liquor store I’ll order from in Hoboken anymore. It always arrives quickly and if they ever don’t have what I order, they reach out to line up a substitute. Five stars.'
Yousaf body, 10 months ago, 5, ''
Anthony Orlando, 10 months ago, 5, 'Best Liquor store in Hoboken. Harry, the owner is so personable and really knows his wines and liquors. If he doesn’t have something he’ll get it for you immediately. The customer service is second to none.'
neel parikh, 11 months ago, 5, 'I have been coming here for some time now and let me tell you, this place is the best wine/liquor spot in Hoboken! Great selection of all your liquor needs. The staff is super friendly and always happy to help. The prices are the best in town. This will always be my go to place.'
Abdel Bhikam, 11 months ago, 5, 'One of the most attractive store I’ve ever been too, in town!  Very appearing & organized with music. Unlike other wine/liquor stores just slacks Gets you in the mood to party & drink up! With cheerful staff!'
Derrick Davis, 11 months ago, 5, 'I have been coming to this store for about 4 years. When it changed hands I thought we were going to have to find a new store. However after many changes and upgrades I have to say this is still my go to spot. Prices are always competitive and Harry is always friendly and willing to answer any questions. You guys are killing it and keep it up!'
Carolyn Bazan, 11 months ago, 5, 'Great store! The staff is super friendly and goes above and beyond with their customer service!'
James M, 11 months ago, 5, 'Delite is great and their selection is excellent.  The staff and owner are always friendly and extremely helpful.  Delivery is always quick and easy too.  Highly recommend!'
Irania Marin, 11 months ago, 5, 'My favorite liquor store in Hoboken, the customer service is great and the staff is super friendly. The selection is the best in the area as well in my opinion, during the holiday season they always stock a variety of new seasonal craft beers which is great especially if you are in the mood to try something new. I always stop here to buy liquor to pre-game prior to hitting the local bars since its right on Washington St. They also deliver which is super convenient if you dont feel like walking over!'
Jose Pena (Josema), 11 months ago, 5, ''
dhruv vekaria, a year ago, 5, ''
marilyn nizama, a year ago, 5, 'I placed an order via Drizly on cold night received my order very fast! Good reliable & fast service at Delite!👍'
Nancy Hernandez, a year ago, 5, 'One the friendliest and helpful people I ever met at Delite Market who clearly takes pride in his work. Buying good value price wine is typically an experience for my boyfriend and I. Delite’s staff makes delightful always offering tastings and suggestions for new wine lovers! Also got my delivery order very fast on a rainy day!'
Renee Grimm, a year ago, 5, 'This store and their people are great. I’ve been looking for a specific type/flavor of bourbon for my Mom when she visits. They offered to order the bourbon and it’ll arrive within a day or two. Such great service!!!'
Ana Abedini, a year ago, 1, 'Ordered from minibar from this place, called him after 1 hour to follow up on my order, he said he will not deliver to Jersey city because it’s out of his territory! I called minibar they said he just decided not to deliver. You are\ndefinitely in his territory!!!! Terrible customer service!'
Juan Manuel Diaz Quero, a year ago, 5, ''
Anand Patel, a year ago, 5, ''
Todd Rosman, a year ago, 5, "Inquired about a bottle of whiskey for someone's birthday that they didn't have in stock. They got it delivered the next day and the service was incredible. Very responsive and helpful!!"
Jane Migliore, a year ago, 5, "I love this place! They have a huge selection of beers. And they will order rare beers if they don't have it in stock. Plus, the owners are so friendly and nice!"
Richa Jadhav, a year ago, 5, 'Great Customer Service. They make you feel as family. Always has great suggestions in wine and very clean compared to other stores in the area. I would definitely recommend to friends and family.'
