author, date, rating, text
Tobias Torres, 2 days ago, 5, "Great nachos! Great long island. Ask for George the server he'll take care of ya."
Anu Desai, a week ago, 4, 'Very nice food and drinks. Service was excellent. Servers were very prompt and smiley.'
Mike Schwartz, a week ago, 5, 'Excellent Margheritas, great tacos, fast and friendly service and bottomless tortilla chips and salsa. Seriously, check this place out.'
Jennifer Decker, a week ago, 5, ''
Olga Bom, 2 weeks ago, 3, ''
Alex Stepanyan, 2 weeks ago, 3, 'Mediocre food, very basic menu, not very clean.'
E_ Gizzie, 3 weeks ago, 1, "ABSOLUTELY DO NOT EAT FROM HERE!! I just ordered shrimp tacos from East La and my boyfriend opened his container and this sour rancid smell seeped out. I thought maybe it's just the seasoning or garnish they used around the tacos. WRONG! He bit into one and immediately spit it out saying it tasted spoiled like sour milk!. 🤮🤮🤢🤢 They should be ashamed of themselves! Seafood needs to be quality controlled and I'm pretty sure they smelled the shrimp BEFORE they sent it out. Disgusting ..."
Ana Fernandez, 3 weeks ago, 5, 'Amazing! Margaritas are to die for!'
Emily S., 3 weeks ago, 5, ''
Tamytha Brevard, a month ago, 4, 'Margaritas are STILL a hit.'
Multitrack Production and Management, a month ago, 5, '(Translated by Google) The margaritas are very good !!!\n\n(Original)\nLas margaritas son muy buenas!!!'
Elena Solis, a month ago, 3, ''
Christopher, a month ago, 3, 'Food was great but the server Silva was very rude and unprofessional'
Gene Howell, a month ago, 5, 'ALWAYS ENJOY THIS PLACE THE DRINKS 🙌🏾'
Mitchell Reiff, a month ago, 5, ''
Ginny Maico, a month ago, 5, ''
Linda Famous, a month ago, 5, ''
ricardo cuellar, a month ago, 5, ''
Carlos Lugo, a month ago, 4, 'Good tacos'
Samanta English, a month ago, 4, 'Margaritas are great!'
David Gonzalez, 2 months ago, 5, ''
Tyler Witt, 2 months ago, 2, 'Simplified menu with all the traditional favorites. Good food, great frozen margaritas and good service. Disappointed however they feel they need to automatically charge 20% gratuity. I do not feel a $13 drink ordered necessarily should cost $14.60. Or that the public is not capable of tipping accordingly. Should gratuity automatically start at 20%? What happened to 15 and 18%? These servers are making $60 per hour+ for serving Mexican style McDonalds. I have a college degree and don’t make half that. 2 ppl X 2 taco orders X 2 frozen margaritas + tip = $60.38'
SAHIL BHANGE, 2 months ago, 4, ''
Megan Gillen, 2 months ago, 5, 'Really good food with indoor and outdoor seating. We got sangria and tacos and thought everything was very tasty. Also unlimited chips and salsa. Would definitely recommend!'
John Temple, 2 months ago, 5, 'Food was amazing. The drinks were amazing and even our servers was amazing!'
Noah McGowan, 2 months ago, 4, 'Solid drinks average food'
Joyce Vidal, 2 months ago, 1, 'For starters I asked for a chicken quesadilla and they gave me beef. I also ordered steak tacos and they were cold and had no taste. They tasted plain and felt like I was chewing on rubber'
