author, date, rating, text
Robert Spichiger, a day ago, 4, ''
Tejal Raval, a day ago, 5, 'My family and I came for Diwali lunch and everything was just wonderful! The food was fresh and delicious! The warm hospitality of the staff was just great! Definitely a place to check out in Hoboken!'
Mrutyunjaya Panda, 2 days ago, 5, ''
Shikshya Gurung, 3 days ago, 5, 'Wonderful Place with Tasty food items😍'
Api&Astit gurung, 3 days ago, 5, 'Best place with delicious food😍'
Nishanth Mudkey, 4 days ago, 4, ''
Tom P, 4 days ago, 1, 'Ordered food 2:30 hours ago and still isn’t ready.  Not even sure why they’d take orders if they can’t fill them.  Never ordering or going there again.\n\nAlso tried calling after an hour and they said they were preparing the food.  Tried calling back and they’d answer then not say anything while keeping the phone online to be busy.\n\nMy biggest issue is that they weren’t honest when they picked up the phone as we would’ve made other plans if we knew it’d end up being 3 hours.'
Atharv Gosavi, 4 days ago, 1, 'The service sucks a lot. For one beer to serve they took 1 hr. We had placed the order at 8:50pm and the waitress came to ask at 9:45pm  for our order, however we had placed the order long back. Never order paneer chili as it’s not paneer it’s just rubber. When we asked about why everything is so late the manager and the waitress started giving us rude looks. So far it is the worst service I have ever had in any Indian Cuisine restaurant in entire US. I’m sitting in restaurant and still waiting for rest of my order and it’s 10:30pm.'
EZ NZ, 4 days ago, 1, '2.5hrs and food not even ready for delivery driver to pick up. Order at your own risk.'
Mo Sekhon, 4 days ago, 1, "Awful experience. Ordered over two hours ago and they still have not got the food ready to be delivered. It is fine to be busy but to not update the wait time online is wrong. I looked on UberEATS again to see if this has since been changed but no it has not, it still states 45mins. You can't call either as they have clearly disengaged their line to show as busy. Terrible service."
Gopal Agarwal, 4 days ago, 4, 'Good food. Appetizer (Gobi 65, paneer tikka) were great, main course was okay-ish.\nHas a lot of jain options.'
Arun Kumar, 6 days ago, 5, ''
kishan smith, a week ago, 5, 'Really good restaurant in Hoboken, I went their with 12 friends on my birthday and the service was amazing and food was great. If you are looking for real Indian taste  must visit here, also their momo’s were really good, must try Strongly recommended.'
Chandni Gandhi, a week ago, 4, ''
PRANAI RAI, a week ago, 5, 'We were exhausted the whole day after home inspection ! Was looking for good  soul- food place to eat ~~  MY God finding a needle in a Haystack was this Indian cuisine.What a find !!!!   Hell Yeah. It was about late afternoon 3P. and the staff was in a break , the manager in the house  was kind enough to accommodate us.  Long story short- food was incredible , great selections and nice vibe. Thank god they had MOMO and chutney :).  Kasto din ma ayechau. Dhunga khojda- deuta bheteko !!!  Good job Team. I totally recommend this place.'
Ismael Boussatta, a week ago, 5, 'Delicious food. Excellent service. Great ambiance.'
Roshni Agarwal, a week ago, 5, 'This is at a stone throw away distance from the Hoboken path station. We tried samosa chat, Empyrean mix grill, chicken curry and mutton biryani and a few drinks.. The food was really good. Recommend the place for trying out Indian food'
totof z, a week ago, 5, 'Best Indian food around! I particularly like the butter chicken and the chicken curry.\nNice generous portions with plenty of sauce.\nGreat garlic naan!'
Eric Williams, 2 weeks ago, 5, ''
Ekta Chordia, 2 weeks ago, 2, 'We ordered Chilli Paneer as Starter. But it was highly spicy. And the Drink Old Fashioned was all Sweet. Poor Dining Experience. Talking about Entrees, it took quite long time to serve Main'
Abhishek Nandi, 2 weeks ago, 4, 'The best Indian restaurant of NY is on this side of Hudson ;)\n\nService - Managed by a seasoned Mr Rana and an excellent crew, we felt as if we are dining out with our friends.\nDining in or takeout, the service is top notch.\n\nFood - Mmmmmmm\nMomos - Must have! They have an expansive menu but this is possibly their bestseller.\n\nSizzling platters - We have tried both the Paneer Tikka and Chicken/Fish combination and both are highly recommended. Very well marinated and cooked to perfection.\n\nDefinitely my fav Indian restaurant in and around NYC/Jersey City. All the best guys!!'
Keerthi Sravan Ravi (K3), 3 weeks ago, 4, '- Friendly staff\n- Outdoor seating was pleasant\n- Tomato soup was tasty! BUT was strong on the colouring agents, watch out stained tongues haha\n- Fried paneer momos and chili garlic naan are great\n- Affordable'
GARIMA SINGH, 3 weeks ago, 1, ''
Sanga Agrawal, 4 weeks ago, 4, "Loved the cocktails! You have to try jaljira cocktail, it's tasty and boozy forward.\nThe Momo's were good too. I also tried paneer pakodas which I'd say were average.\n\nI'd say the management at the place could be better, I appreciate being asked about my experience but not 7 times in 2 hours. Also I was asked about what I wanted to order 3 times within 5 minutes of sitting down by different servers.\nIt's not a deal breaker, but just a genuine good hearted feedback. Would definitely be going back here!"
Nitesh Madival, 4 weeks ago, 5, ''
