author, date, rating, text
Martyna Glaz, a day ago, 5, 'Their food is excellent!\nand Leon makes the best coffee in the area, especially cappuccino :)'
Andrew Stivelman, 6 days ago, 2, ''
flicka Flicka, 3 weeks ago, 5, 'Wow, very nice place but the cappuccino was fabulous! Well done Green Pear. Nice outdoor space as well. My coffee spot while in Hoboken!'
John Bell, a month ago, 5, 'Breakfast sandwiches are delicious. Staff is friendly and knows their coffee. They use Lavazza beans 👍'
tomer shoham, a month ago, 5, 'Amazing relaxed vibe, great coffe, smoothie and food, the hoste was nice and courteous.\nThank you so much will definitely come again.'
Phil Wingo, 2 months ago, 5, ''
Candace Dipsey, 2 months ago, 5, 'Was looking on the map for a quick coffee/breakfast while waiting to be seen at PromptMD. I am glad I found this! It is a small cafe and only had one man working at the time, but he was friendly and made a very delicious croissant breakfast sandwich. Good coffee as well. Would definitely recommend!'
Nejat Erguven, 2 months ago, 4, ''
Calvin Kwon, 3 months ago, 5, 'Simple cafe for breakfast/lunch items. Food is delicious and the staff is very friendly.'
Kate MacNamee, 4 months ago, 5, 'This place is amazing. Incredible coffee, lovely staff, targeted high quality menu, and a delightful atmosphere. It’s rare to find a neighborhood spot like this. Keep up the good work!'
Heather Wahl, 4 months ago, 5, 'Croissants are homemade - excellent food!'
Matthew Bombard, 5 months ago, 5, ''
louis doto, 5 months ago, 4, ''
MAKO MORI, 7 months ago, 5, 'We had such a wonderful experience. There was only one guy working there. He was handling and cooking the delivery orders all by himself! So naturally, the food took some time to come out. It’s a unique menu and vibe that just feels so wonderfully small-business like and we really enjoyed it. We could tell that the worker took pride in the food and the cafe!  Thats honestly the best to see. Wonderful experience and will be back. Thank you!'
Nicholas Canepa, 8 months ago, 5, 'Incredible food, very different and original. Staff is extremely friendly. Would highly recommend.'
Lokesh Bhargav, 10 months ago, 4, ''
Katelyn R, 11 months ago, 5, 'The lattes, oatmeal and dosa are so delicious'
Mary King, 11 months ago, 5, 'I’m vegetarian, so there were several good options for me too. The service is friendly and efficient. Both of our meals were very tasty, hot and of great quality. Tea and coffee were great quality too. This is somewhere we will return to soon.'
Charlie Baxter, 11 months ago, 5, "Good job! This coffee shop really has the best coffee that's best for me! Every time I come around here, the staffs are very polite and even greeted me enthusiastically. The coffee was really good, and thanks to this barista, who does it very well. It was a good place to hang out with friends and family."
Mark Pasculli, a year ago, 5, 'Quality food.'
Chantel Figueroa, a year ago, 5, 'Great service, amazing food and reasonable prices. Closes early so catchem while you can'
Freddy Lezama, a year ago, 5, 'High quality food and several kind of beverages. Simply excellent!!'
Sarah Pagliocco, a year ago, 5, 'Always enjoy spending some time at Green Pear Cafe! A really cozy spot, great croissant with eggs and bacon, and wonderful coffee!'
Regina Wilson, a year ago, 5, ''
Sripathi Sridhar, a year ago, 4, 'Nice cozy cafe for a weekend brunch. The food is good and the staff are helpful. However, the wait time was significant-  might have been a better experience during a less busy time of the day.'
Matt F, a year ago, 5, 'Great little spot, just what I needed - sausage/egg/cheese on a croissant and a cup o coffee'
Jill, a year ago, 5, 'Delightful, local, idiosyncratic approach to dining.'
Gemma Kim, 2 years ago, 1, "I visited here many times as my go-to place. I always find the staff to be very friendly and hard working in general but every few times I encountered the owner at this place, I just felt very un-welcomed and intimadated to stay. The look and the way you are treated by the owner and the whole vibe of the Cafe just changes a lot when the owner is around. I've been quite a regular customer despite the fact that I've experienced such an unpleasant treatment from the owner because the staff and their food are actually ok. But i really don't think I will be going back anymore.. I do not post any reviews but this time, the rudeness of the owner's service was just really unbearable."
Adam Lyman, 2 years ago, 4, ''
