author, date, rating, text
Terry Lesyk, 3 days ago, 5, 'Just an all around great pizza'
Audrey, a week ago, 5, 'Great pizza. Never regret coming here. What’s not to love?'
David Marcillo, a month ago, 5, 'Fantastic pizza 🍕'
Brian Stauffer, a month ago, 5, 'Literally my favorite pizza place on the planet. We get Grimaldi’s nearly every week, and always take visitors'
Dave Bendit, a month ago, 5, ''
balall yaqub, a month ago, 4, 'Good pizzas and good service'
joe aceves, 2 months ago, 5, 'Really nice location pizza was delicious'
Chirag Bilimoria, 2 months ago, 4, ''
Max Oro-Hahn, 2 months ago, 5, ''
Gustavo Saavedra, 2 months ago, 5, ''
Joseph Brown, 3 months ago, 3, "Everything was just average which was disappointing. I went because I witnessed a wonderful pizza delivered to a guest's table a week or so prior to my visit. The pizza I received was not at all close to the amazing pie I had witnessed. Add to this a less than welcoming hostess and a disinterested server  you begin to feel you'd made a terrible mistake. The food runners and bussers were the only ones that delivered excellent customer service."
Yoann Bentz, 3 months ago, 4, "We ordered 7 pizzas for a party. They have a lot of original options, and all the ones we've tried were good!"
Armando Betancourt, 3 months ago, 1, 'Food is 🤮'
Elizabeth D'Amato, 3 months ago, 5, 'Medium-thickness crust pizza that’s chewy on the inside and perfect crisp on the outside.\n\nOrdered Grimaldi’s Favorite and Margharita. Both were great. Margharita was the best - tomato sauce was really fresh tasting.'
Marina Molinelli, 3 months ago, 5, 'Best pizza, hands down from the family that knows pizza best!'
Ron J, 3 months ago, 5, 'Been here a bunch of times. Great pizza. One of the best Ive had in years.'
Victor Delgado, 3 months ago, 5, "The meals at Grimaldi's Pizzeria are very tasty and the oven brick pizza 🍕 is one of the best in town. But the staff that they have and are several Latinos, they have no character and the level of attention is absolutely poor."
Jacob Yi, 3 months ago, 5, 'Delish 🍕'
J Lin, 3 months ago, 5, 'excellent pizza and excellent eggplant parm and spaghetti,,'
Mei-Ly Chua, 3 months ago, 4, "Pizza was delicious, server was not happy and very slow. Our drinks came out right before our food did. They have a full bar but couldn't make any cocktails? She didn't check up on us once."
Hansel Cabrera, 3 months ago, 3, 'Great service, friendly staff.'
Kanika Aggarwal, 3 months ago, 2, 'We ordered Margherita pizza. The 1st slice of the pizza was quite good but it started becoming cold & soggy really fast, probably due to the sauce. Not a great experience & the chef had no interest in taking a feedback.'
Tessa Gerald, 4 months ago, 4, "The food was okay, nothing to write home about, but it stacks up quickly. The waitress didn't know what some of the flavors on the menu were."
Lior Naaman, 4 months ago, 5, ''
Christian Murphy, 4 months ago, 3, ''
eunjoo park, 4 months ago, 5, 'The best pizza I’ve ever had! You can meet very authentic Italian pizza and find every ingredients are super fresh and savory! Service was good as well!\nWould recommend to everyone who wants the best pizza in town!'
biraj parikh, 4 months ago, 5, ''
Priyanka Kulkarni, 4 months ago, 4, ''
Max Mandel, 4 months ago, 5, ''
Robert Yampolsky, 4 months ago, 5, ''
Lalit Kumar, 5 months ago, 5, ''
Lincoln Naik, 5 months ago, 5, ''
Amish Bhavsar, 5 months ago, 4, 'Great brick over coal fired pizza. The garlic bread pizza is amazing. The prices are reasonable and the service is quick. Will definitely visit them again soon'
Marcelino Portillo, 5 months ago, 5, ''
Amy Hughes, 5 months ago, 5, 'Pizza was great.  Thin crust. Big pizza slices. Fresh and hot.'
Michael Desousa, 5 months ago, 5, 'Amazing pizza and great service, no reservation needed. Just walked up on a busy Sunday and got a beautiful seat outside right away. The pizza here is always consistent and never fails. This is a Hoboken staple!'
RitMan, 6 months ago, 4, 'Great tasting  pizza 🍕🍕🍕.. wish they would deliver to more areas'
sue sue, 6 months ago, 5, 'Delicious'
payam rastogi, 7 months ago, 4, ''
Laura Bari, 7 months ago, 5, ''
douglas pearson, 7 months ago, 5, 'Great pizza great quality ingredients...look forward to going back again....'
Jonah Beck, 7 months ago, 1, ''
Tattoo, 7 months ago, 5, 'Nice place for a slice and drink. Outside dining also available'
nicole rose, 8 months ago, 5, ''
Darshil Shah, 8 months ago, 4, ''
Harrison Ovalles, 8 months ago, 3, ''
Shraddha Bansode, 8 months ago, 5, 'I had a wonderful time here. We had the white pizza and it was truly amazing and freshly made! Even the Cappuccino was delicious. The server was well-spoken and made us feel comfortable.'
Barb Riley, 8 months ago, 5, ''
David Rosensaft, 8 months ago, 4, "Good food, good service.  Haven't tried the pizza, but entrees are tasty."
Carlos Titos, 9 months ago, 5, "Great quality, very fresh. Margarita pizza gets a thumbs up. Easily recommend the Cheese Ravioli and Chocolate Mousse Cup for Dessert. Fast and friendly service. Great atmosphere. Can't go wrong with Grimaldi's."
Ileania Lopez, 9 months ago, 5, 'First time here with a friend. They did not disappoint. Loved their Margherita pizza. Will be back!'
Nik, 10 months ago, 1, 'I was here a few years ago best Hawaiian pineapple pizza in town'
Michael S, 10 months ago, 5, 'Top 3 pizza places in Hoboken and JC'
Nayana Parikh, 10 months ago, 5, 'Nice pizza and mozzarella sticks.'
Tina Ahuja, 10 months ago, 5, 'Wonderful ambiance, very warm and inviting. The pizza and the spaghetti and meatballs are delicious meals. Definitely recommend!'
eve be, 10 months ago, 3, 'Good hot pizza.'
Zeeshan M, 10 months ago, 5, ''
Paul Bajada, 11 months ago, 5, 'Awesome pizza, surpasses its reputation'
Juan Jose Rodriguez Cruz, a year ago, 5, 'Fast service and tasty food! Traditional Coal oven pizza with a great taste and a perfect crust.'
AlexY Rodriguez, a year ago, 5, 'Great service, Brick oven Pizza, completely delicious,  highly recommended Margherita Pizza Pie, mozzarella cakes yum, wings are phenomenal, and the house salad is pretty appetizing, Thank you for the great service, they have also added outdoor dining to combat the coronavirus, makes eating there safer and more comfortable'
A, a year ago, 5, ''
Jihong Song, a year ago, 5, 'Pretty nice.'
Preetma Singh, a year ago, 5, 'Best pizza in hoboken'
Shakira Santos, a year ago, 5, 'Lovely staff great food! Will be going soon!'
Sophia T, a year ago, 4, 'Good Margherita pizza'
Brigitte Kolibab, a year ago, 5, ''
Subhor Verma, a year ago, 5, 'Nice thin crust Pizza'
Vinit Yagnik, a year ago, 5, ''
